id	text_html	text_readable	gold_label	a	b	marker	raw_text
E617936342	Dubbed the "One", we can confirm that it will have Wi-Fi connectivity, <span style="color: #9A14B2; font-weight: bold">Ethernet:[OBJECT_A]</span> networking, a solid-state hard drive, at least two <span style="color: #6CB219; font-weight: bold">USB:[OBJECT_B]</span> ports and audio jacks.	Dubbed the "One", we can confirm that it will have Wi-Fi connectivity, *Ethernet* networking, a solid-state hard drive, at least two §USB$ ports and audio jacks.		USB	Ethernet	TRUE	Dubbed the "One", we can confirm that it will have Wi-Fi connectivity, Ethernet networking, a solid-state hard drive, at least two USB ports and audio jacks.
M1933006894	Or is there a better way to scrape in <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span> with <span style="color: #6CB219; font-weight: bold">JavaScript:[OBJECT_B]</span>?	Or is there a better way to scrape in *PHP* with §JavaScript$?		PHP	JavaScript	TRUE	Or is there a better way to scrape in php with javascript?
J1524498799	I will admit to only one significant thing I like about <span style="color: #9A14B2; font-weight: bold">Lisp:[OBJECT_A]</span> better than <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span>, and that's easy programmatic manipulation of other code.	I will admit to only one significant thing I like about *Lisp* better than §Python$, and that's easy programmatic manipulation of other code.		Python	Lisp	TRUE	I will admit to only one significant thing I like about Lisp better than Python, and that's easy programmatic manipulation of other code.
J1436453610	It's a lot easier to install everything then get emacs, gcc, gdb, <span style="color: #9A14B2; font-weight: bold">Perl:[OBJECT_A]</span>, utilitys such as grep and <span style="color: #6CB219; font-weight: bold">AWK:[OBJECT_B]</span>, not to mention the servers it comes with like Apache and MySQL if you want to try something out quick.	It's a lot easier to install everything then get emacs, gcc, gdb, *Perl*, utilitys such as grep and §AWK$, not to mention the servers it comes with like Apache and MySQL if you want to try something out quick.		Perl	AWK	TRUE	It's a lot easier to install everything then get emacs, gcc, gdb, perl, utilitys such as grep and awk, not to mention the servers it comes with like Apache and MySQL if you want to try something out quick.
R2852378827	This makes <span style="color: #9A14B2; font-weight: bold">JavaScript:[OBJECT_A]</span> in my experience harder to debug than <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span>.	This makes *JavaScript* in my experience harder to debug than §Python$.		Python	JavaScript	TRUE	This makes JavaScript in my experience harder to debug than Python.
F760011854	For that testing we used <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span>, as it's proven a faster platform than <span style="color: #6CB219; font-weight: bold">Windows Vista:[OBJECT_B]</span>.	For that testing we used *Windows XP*, as it's proven a faster platform than §Windows Vista$.		Windows XP	Windows Vista	TRUE	For that testing we used Windows XP, as it's proven a faster platform than Windows Vista.
Q2623765315	The process of converting it to <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> resulted in a 100x speed up - despite <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span> possibly having a faster regex implementation.	The process of converting it to *Java* resulted in a 100x speed up - despite §Perl$ possibly having a faster regex implementation.		Java	Perl	TRUE	The process of converting it to Java resulted in a 100x speed up - despite Perl possibly having a faster regex implementation.
F793560388	further, some stuff is a lot easier (one example: standardized vertex buffers in <span style="color: #9A14B2; font-weight: bold">Direct3D:[OBJECT_A]</span> versus the VAR/VAO extension mess in <span style="color: #6CB219; font-weight: bold">OpenGL:[OBJECT_B]</span>).	further, some stuff is a lot easier (one example: standardized vertex buffers in *Direct3D* versus the VAR/VAO extension mess in §OpenGL$).		OpenGL	Direct3D	TRUE	further, some stuff is a lot easier (one example: standardized vertex buffers in direct3d versus the VAR/VAO extension mess in opengl).
S3059253326	Welcome to the 4 th of my operating system tweak guides, Tweaking <span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span>. Like the <span style="color: #6CB219; font-weight: bold">Windows XP:[OBJECT_B]</span> (first version created in 2002!), Vista, and Seven guides before it, the aim of this guide is to make your Windows experience a little better.	Welcome to the 4 th of my operating system tweak guides, Tweaking *Windows 8*. Like the §Windows XP$ (first version created in 2002!), Vista, and Seven guides before it, the aim of this guide is to make your Windows experience a little better.		Windows XP	Windows 8	TRUE	Welcome to the 4 th of my operating system tweak guides, Tweaking Windows 8. Like the Windows XP (first version created in 2002!), Vista, and Seven guides before it, the aim of this guide is to make your Windows experience a little better.
K1629250594	like Eiffel, O'Caml, Ada, ML, <span style="color: #9A14B2; font-weight: bold">Smalltalk:[OBJECT_A]</span>, etc. (I'm not lumping <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> in	like Eiffel, O'Caml, Ada, ML, *Smalltalk*, etc. (I'm not lumping §Java$ in		Java	Smalltalk	FALSE	like Eiffel, O'Caml, Ada, ML, Smalltalk, etc. (I'm not lumping Java in
F737437453	For an awesome HTPC you could go with an Intel Core i3 or better, 6+ Gb ram, an Nvidia GTX 500 series or better, an intel SSD for the OS and 2 4TB drives in a raid array (or more if needed), Gigabit <span style="color: #9A14B2; font-weight: bold">Ethernet:[OBJECT_A]</span> networking, and <span style="color: #6CB219; font-weight: bold">Bluetooth:[OBJECT_B]</span> for a wireless keyboard.	For an awesome HTPC you could go with an Intel Core i3 or better, 6+ Gb ram, an Nvidia GTX 500 series or better, an intel SSD for the OS and 2 4TB drives in a raid array (or more if needed), Gigabit *Ethernet* networking, and §Bluetooth$ for a wireless keyboard.		Ethernet	Bluetooth	TRUE	For an awesome HTPC you could go with an Intel Core i3 or better, 6+ Gb ram, an Nvidia GTX 500 series or better, an intel SSD for the OS and 2 4TB drives in a raid array (or more if needed), Gigabit Ethernet networking, and bluetooth for a wireless keyboard.
I1390329615	I think that <span style="color: #9A14B2; font-weight: bold">Scala:[OBJECT_A]</span> probably is not better than <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> yet.	I think that *Scala* probably is not better than §Java$ yet.		Java	Scala	TRUE	I think that Scala probably is not better than java yet.
J1545024764	<span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span>) is demonstrably worse than teaching in <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span>, but "worse" in	*Java*) is demonstrably worse than teaching in §Python$, but "worse" in		Java	Python	TRUE	Java) is demonstrably worse than teaching in Python, but "worse" in
M1996496322	PHP, <span style="color: #9A14B2; font-weight: bold">Ruby:[OBJECT_A]</span>, JQuery, AJAX Guru, C++/<span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>.-	PHP, *Ruby*, JQuery, AJAX Guru, C++/§Java$.-		Java	Ruby	FALSE	PHP, Ruby, JQuery, AJAX Guru, C++/JAVA.-
M1926875538	'<span style="color: #9A14B2; font-weight: bold">Oracle:[OBJECT_A]</span>, DB2, SQL server, <span style="color: #6CB219; font-weight: bold">MySQL:[OBJECT_B]</span>	'*Oracle*, DB2, SQL server, §MySQL$		Oracle	MySQL	FALSE	'Oracle, DB2, SQL server, MySQL
P2495760629	The following skills are required: Solid grasp of Python, <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span>, SQL, XHTML, CSS, and <span style="color: #6CB219; font-weight: bold">JavaScript:[OBJECT_B]</span>.	The following skills are required: Solid grasp of Python, *PHP*, SQL, XHTML, CSS, and §JavaScript$.		PHP	JavaScript	TRUE	The following skills are required: Solid grasp of Python, PHP, SQL, XHTML, CSS, and Javascript.
J1507785372	I've used quite a few netbooks that had smaller screens--both in terms of screen size and resolution--and they were quite usable, despite running old operating systems such as <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span> and Windows 7. Like <span style="color: #6CB219; font-weight: bold">Windows 8:[OBJECT_B]</span> or hate it, the new touch-powered user interface will mean that 10.6 inches of screen real estate on the Surface Pro will be a lot easier to use than an earlier version of Windows.	I've used quite a few netbooks that had smaller screens--both in terms of screen size and resolution--and they were quite usable, despite running old operating systems such as *Windows XP* and Windows 7. Like §Windows 8$ or hate it, the new touch-powered user interface will mean that 10.6 inches of screen real estate on the Surface Pro will be a lot easier to use than an earlier version of Windows.		Windows XP	Windows 8	TRUE	I've used quite a few netbooks that had smaller screens--both in terms of screen size and resolution--and they were quite usable, despite running old operating systems such as Windows XP and Windows 7. Like Windows 8 or hate it, the new touch-powered user interface will mean that 10.6 inches of screen real estate on the Surface Pro will be a lot easier to use than an earlier version of Windows.
J1470264174	It's usefull for <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> developers and organizations to scientificaly examine competing Flash, .NET and <span style="color: #6CB219; font-weight: bold">PHP:[OBJECT_B]</span> in order get better.	It's usefull for *Java* developers and organizations to scientificaly examine competing Flash, .NET and §PHP$ in order get better.		Java	PHP	TRUE	It's usefull for Java developers and organizations to scientificaly examine competing Flash, .NET and PHP in order get better.
B251676846	And even where C is faster, your runtime is generally dominated by algorithm efficiency and use of concurrency, so any difference is generally negligable (which is why C#, <span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span>, and <span style="color: #6CB219; font-weight: bold">JavaScript:[OBJECT_B]</span> are so popular; developers outside of certain special niche cases don't give a crap about the runtime speed differences).	And even where C is faster, your runtime is generally dominated by algorithm efficiency and use of concurrency, so any difference is generally negligable (which is why C#, *Python*, and §JavaScript$ are so popular; developers outside of certain special niche cases don't give a crap about the runtime speed differences).		Python	JavaScript	TRUE	And even where C is faster, your runtime is generally dominated by algorithm efficiency and use of concurrency, so any difference is generally negligable (which is why C#, Python, and JavaScript are so popular; developers outside of certain special niche cases don't give a crap about the runtime speed differences).
G1064612641	(ie: the slower, general-purpose <span style="color: #9A14B2; font-weight: bold">Perl:[OBJECT_A]</span> engine, versus the faster <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span> DFA-based engine).	(ie: the slower, general-purpose *Perl* engine, versus the faster §Python$ DFA-based engine).		Python	Perl	TRUE	(ie: the slower, general-purpose Perl engine, versus the faster Python DFA-based engine).
T3226352107	Yes, it's not elegant in pure <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> (though <span style="color: #6CB219; font-weight: bold">Scala:[OBJECT_B]</span> is much nicer), but it's effective and can be quite fase.	Yes, it's not elegant in pure *Java* (though §Scala$ is much nicer), but it's effective and can be quite fase.		Java	Scala	TRUE	Yes, it's not elegant in pure Java (though Scala is much nicer), but it's effective and can be quite fase.
A122096766	AbuBakr Akram: The reason why Sony Vegas isn't stable for most of you is because it's one of the FEW video editing softwares that perform better with AMD's <span style="color: #9A14B2; font-weight: bold">OpenCL:[OBJECT_A]</span> than they do with Nvidia's <span style="color: #6CB219; font-weight: bold">CUDA:[OBJECT_B]</span> cores.	AbuBakr Akram: The reason why Sony Vegas isn't stable for most of you is because it's one of the FEW video editing softwares that perform better with AMD's *OpenCL* than they do with Nvidia's §CUDA$ cores.		CUDA	OpenCL	TRUE	AbuBakr Akram: The reason why Sony Vegas isn't stable for most of you is because it's one of the FEW video editing softwares that perform better with AMD's OpenCl than they do with Nvidia's cuda cores.
B319133013	Anyways, <span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span> is much better than <span style="color: #6CB219; font-weight: bold">Windows 7:[OBJECT_B]</span> IMO.	Anyways, *Windows 8* is much better than §Windows 7$ IMO.		Windows 7	Windows 8	TRUE	Anyways, Windows 8 is much better than Windows 7 IMO.
Q2703372684	These people mentioned Half-Life, a 1998 game but didn't mention System Shock I, published much earlier (1994?), with similar graphics (even though it lacked <span style="color: #9A14B2; font-weight: bold">OpenGL:[OBJECT_A]</span>/<span style="color: #6CB219; font-weight: bold">Direct3D:[OBJECT_B]</span> support and was a DOS game) and a MUCH better plot/gameplay/engine.	These people mentioned Half-Life, a 1998 game but didn't mention System Shock I, published much earlier (1994?), with similar graphics (even though it lacked *OpenGL*/§Direct3D$ support and was a DOS game) and a MUCH better plot/gameplay/engine.		OpenGL	Direct3D	TRUE	These people mentioned Half-Life, a 1998 game but didn't mention System Shock I, published much earlier (1994?), with similar graphics (even though it lacked OpenGL/Direct3D support and was a DOS game) and a MUCH better plot/gameplay/engine.
M2054168848	<span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Ruby:[OBJECT_B]</span> are solid choices.	*Python* and §Ruby$ are solid choices.		Ruby	Python	TRUE	Python and Ruby are solid choices.
H1235463977	In a language like <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span> or <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>, we can hide even more and the code becomes even easier to read:	In a language like *PHP* or §Java$, we can hide even more and the code becomes even easier to read:		Java	PHP	TRUE	In a language like PHP or Java, we can hide even more and the code becomes even easier to read:
L1916619999	On the database connectivity side there is currently native support for: mSQL1, mSQL2, MySQL, Sybase, <span style="color: #9A14B2; font-weight: bold">Oracle:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">PostgreSQL:[OBJECT_B]</span>, Illustra, FileProPlus, Solid, Adabas D, and the various Unix dbm implementations.	On the database connectivity side there is currently native support for: mSQL1, mSQL2, MySQL, Sybase, *Oracle*, §PostgreSQL$, Illustra, FileProPlus, Solid, Adabas D, and the various Unix dbm implementations.		Oracle	PostgreSQL	TRUE	On the database connectivity side there is currently native support for: mSQL1, mSQL2, MySQL, Sybase, Oracle, PostgreSQL, Illustra, FileProPlus, Solid, Adabas D, and the various Unix dbm implementations.
K1666746349	Make sure you are using the <span style="color: #9A14B2; font-weight: bold">Ethernet:[OBJECT_A]</span> port rather than the <span style="color: #6CB219; font-weight: bold">USB:[OBJECT_B]</span> one, it will be faster with 98 anyway and should just work with linux.	Make sure you are using the *Ethernet* port rather than the §USB$ one, it will be faster with 98 anyway and should just work with linux.		USB	Ethernet	TRUE	Make sure you are using the ethernet port rather than the usb one, it will be faster with 98 anyway and should just work with linux.
I1352087709	I specialize in iOS development with over 4 years of experience in <span style="color: #9A14B2; font-weight: bold">Objective-C:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Swift:[OBJECT_B]</span>.	I specialize in iOS development with over 4 years of experience in *Objective-C* and §Swift$.		Swift	Objective-C	FALSE	I specialize in iOS development with over 4 years of experience in Objective-C and Swift.
J1545005067	JavaFX development with <span style="color: #9A14B2; font-weight: bold">NetBeans:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Eclipse:[OBJECT_B]</span>	JavaFX development with *NetBeans* and §Eclipse$		Eclipse	NetBeans	FALSE	JavaFX development with NetBeans and Eclipse
I1335809216	i really loved <span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span> but i think <span style="color: #6CB219; font-weight: bold">Windows 7:[OBJECT_B]</span> is better....	i really loved *Windows 8* but i think §Windows 7$ is better....		Windows 7	Windows 8	TRUE	i really loved Windows 8 but i think Windows 7 is better....
N2243644560	Solid experience developing web applications with PHP and <span style="color: #9A14B2; font-weight: bold">MySQL:[OBJECT_A]</span> and/or <span style="color: #6CB219; font-weight: bold">PostgreSQL:[OBJECT_B]</span> (.	Solid experience developing web applications with PHP and *MySQL* and/or §PostgreSQL$ (.		MySQL	PostgreSQL	TRUE	Solid experience developing web applications with PHP and MySQL and/or PostgreSQL (.
I1295489959	Intel Pentium or better CPU 32MB RAM or more 30MB free disk space Microsoft Office (Word, Excel, PowerPoint) installed Microsoft <span style="color: #9A14B2; font-weight: bold">Windows 98:[OBJECT_A]</span>, Windows ME, Windows NT4, Windows 2000, <span style="color: #6CB219; font-weight: bold">Windows XP:[OBJECT_B]</span>, Windows Server 2003, 2008, 2012, 2016.	Intel Pentium or better CPU 32MB RAM or more 30MB free disk space Microsoft Office (Word, Excel, PowerPoint) installed Microsoft *Windows 98*, Windows ME, Windows NT4, Windows 2000, §Windows XP$, Windows Server 2003, 2008, 2012, 2016.		Windows XP	Windows 98	TRUE	Intel Pentium or better CPU 32MB RAM or more 30MB free disk space Microsoft Office (Word, Excel, PowerPoint) installed Microsoft Windows 98, Windows ME, Windows NT4, Windows 2000, Windows XP, Windows Server 2003, 2008, 2012, 2016.
M2054210335	<span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span> with Gtk+ or Qt is a much better cross-platform environment than <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>: easier to develop for, with better desktop integration, and nicer looking UIs.	*Python* with Gtk+ or Qt is a much better cross-platform environment than §Java$: easier to develop for, with better desktop integration, and nicer looking UIs.		Java	Python	TRUE	Python with Gtk+ or Qt is a much better cross-platform environment than Java: easier to develop for, with better desktop integration, and nicer looking UIs.
L1791481496	<span style="color: #9A14B2; font-weight: bold">NetBeans:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Eclipse:[OBJECT_B]</span> provide that today.	*NetBeans* and §Eclipse$ provide that today.		Eclipse	NetBeans	FALSE	NetBeans and Eclipse provide that today.
Q2645457592	The reason we want to load games off the <span style="color: #9A14B2; font-weight: bold">Ethernet:[OBJECT_A]</span> is because it is for sure 110% faster than playing games off the <span style="color: #6CB219; font-weight: bold">USB:[OBJECT_B]</span> interface.	The reason we want to load games off the *Ethernet* is because it is for sure 110% faster than playing games off the §USB$ interface.		USB	Ethernet	TRUE	The reason we want to load games off the Ethernet is because it is for sure 110% faster than playing games off the USB interface.
D541299476	Currently the VCF runs on Win32 (<span style="color: #9A14B2; font-weight: bold">Windows 98:[OBJECT_A]</span>, Windows NT 4 sp4 or better, Windows 2000 and <span style="color: #6CB219; font-weight: bold">Windows XP:[OBJECT_B]</span>).	Currently the VCF runs on Win32 (*Windows 98*, Windows NT 4 sp4 or better, Windows 2000 and §Windows XP$).		Windows XP	Windows 98	TRUE	Currently the VCF runs on Win32 (Windows 98, Windows NT 4 sp4 or better, Windows 2000 and Windows XP).
I1309420121	In the more liberated languages, such as <span style="color: #9A14B2; font-weight: bold">JavaScript:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Ruby:[OBJECT_B]</span>, there's decent object-oriented support, but it's not a requirement.	In the more liberated languages, such as *JavaScript* and §Ruby$, there's decent object-oriented support, but it's not a requirement.		Ruby	JavaScript	TRUE	In the more liberated languages, such as JavaScript and Ruby, there's decent object-oriented support, but it's not a requirement.
A127796578	According to recent tests, the performance improvements were significant: 26 percent faster for <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span> and 84 percent for <span style="color: #6CB219; font-weight: bold">Windows Vista:[OBJECT_B]</span>.	According to recent tests, the performance improvements were significant: 26 percent faster for *Windows XP* and 84 percent for §Windows Vista$.		Windows XP	Windows Vista	TRUE	According to recent tests, the performance improvements were significant: 26 percent faster for Windows XP and 84 percent for Windows Vista.
B338257377	Are you saying that you use <span style="color: #9A14B2; font-weight: bold">JavaScript:[OBJECT_A]</span> outside a browser, and that you feel it is a better language in that context than Java, C++, C, Smalltalk, Lisp, Perl, <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span>, etc?	Are you saying that you use *JavaScript* outside a browser, and that you feel it is a better language in that context than Java, C++, C, Smalltalk, Lisp, Perl, §Python$, etc?		Python	JavaScript	TRUE	Are you saying that you use JavaScript outside a browser, and that you feel it is a better language in that context than Java, C++, C, Smalltalk, Lisp, Perl, Python, etc?
B326290804	Apple iMac, MacBook Pro, Air all run Microsoft Windows, all versions from <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span> to <span style="color: #6CB219; font-weight: bold">Windows 8:[OBJECT_B]</span>. Apple and Microsoft are partners in bed, in fact, Microsoft Windows run best on a Apple iMac or MacBook better than any other PC.	Apple iMac, MacBook Pro, Air all run Microsoft Windows, all versions from *Windows XP* to §Windows 8$. Apple and Microsoft are partners in bed, in fact, Microsoft Windows run best on a Apple iMac or MacBook better than any other PC.		Windows XP	Windows 8	TRUE	Apple iMac, MacBook Pro, Air all run Microsoft Windows, all versions from Windows XP to Windows 8. Apple and Microsoft are partners in bed, in fact, Microsoft Windows run best on a Apple iMac or MacBook better than any other PC.
P2504608892	The GIS functions of <span style="color: #9A14B2; font-weight: bold">MySQL:[OBJECT_A]</span>, and even better ones of <span style="color: #6CB219; font-weight: bold">PostgreSQL:[OBJECT_B]</span>, make light work of this, but I started simply.	The GIS functions of *MySQL*, and even better ones of §PostgreSQL$, make light work of this, but I started simply.		MySQL	PostgreSQL	TRUE	The GIS functions of MySQL, and even better ones of PostgreSQL, make light work of this, but I started simply.
G1039752932	IDEA, <span style="color: #9A14B2; font-weight: bold">Eclipse:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">NetBeans:[OBJECT_B]</span> come to mind)	IDEA, *Eclipse* and §NetBeans$ come to mind)		Eclipse	NetBeans	FALSE	IDEA, eclipse and netbeans come to mind)
F768972131	For years, the common industry perception has been that <span style="color: #9A14B2; font-weight: bold">MySQL:[OBJECT_A]</span> is faster and easier to use than <span style="color: #6CB219; font-weight: bold">PostgreSQL:[OBJECT_B]</span>.	For years, the common industry perception has been that *MySQL* is faster and easier to use than §PostgreSQL$.		MySQL	PostgreSQL	TRUE	For years, the common industry perception has been that MySQL is faster and easier to use than PostgreSQL.
I1350052718	Is <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> really that much faster than <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span> or is there some serious optimization going on?	Is *Java* really that much faster than §Python$ or is there some serious optimization going on?		Java	Python	TRUE	Is Java really that much faster than Python or is there some serious optimization going on?
T3156232225	Which works better and is easy to learn - PHP, <span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span>, PHP and <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span>, or a combination?	Which works better and is easy to learn - PHP, *Python*, PHP and §Perl$, or a combination?		Python	Perl	TRUE	Which works better and is easy to learn - PHP, Python, PHP and Perl, or a combination?
F736513008	For a laptop to be called so, It has to use <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span> tablet PC edition, which (regardless of your feelings towards MS) works much better than <span style="color: #6CB219; font-weight: bold">Windows 98:[OBJECT_B]</span>.	For a laptop to be called so, It has to use *Windows XP* tablet PC edition, which (regardless of your feelings towards MS) works much better than §Windows 98$.		Windows XP	Windows 98	TRUE	For a laptop to be called so, It has to use Windows XP tablet PC edition, which (regardless of your feelings towards MS) works much better than Windows 98.
N2223379082	<span style="color: #9A14B2; font-weight: bold">Smalltalk:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> do just fine without it.	*Smalltalk* and §Java$ do just fine without it.		Java	Smalltalk	FALSE	Smalltalk and Java do just fine without it.
H1159277775	I heard that <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> servlets are faster than <span style="color: #6CB219; font-weight: bold">PHP:[OBJECT_B]</span>...(load-balancing).	I heard that *Java* servlets are faster than §PHP$...(load-balancing).		Java	PHP	TRUE	I heard that java servlets are faster than PHP...(load-balancing).
T3184473891	<span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span> is rock solid, performs better than <span style="color: #6CB219; font-weight: bold">Windows 7:[OBJECT_B]</span> and feels zippy throughout!	*Windows 8* is rock solid, performs better than §Windows 7$ and feels zippy throughout!		Windows 7	Windows 8	TRUE	Windows 8 is rock solid, performs better than Windows 7 and feels zippy throughout!
L1777203148	<span style="color: #9A14B2; font-weight: bold">MySQL:[OBJECT_A]</span> works better on Windows than <span style="color: #6CB219; font-weight: bold">PostgreSQL:[OBJECT_B]</span> does.	*MySQL* works better on Windows than §PostgreSQL$ does.		MySQL	PostgreSQL	TRUE	MySQL works better on Windows than PostgreSQL does.
A41793532	1. Since it already has wifi, why hasn't nokia used this interface instead <span style="color: #9A14B2; font-weight: bold">Bluetooth:[OBJECT_A]</span>/<span style="color: #6CB219; font-weight: bold">USB:[OBJECT_B]</span> since its much faster?	1. Since it already has wifi, why hasn't nokia used this interface instead *Bluetooth*/§USB$ since its much faster?		USB	Bluetooth	TRUE	1. Since it already has wifi, why hasn't nokia used this interface instead bluetooth/usb since its much faster?
D538988864	<span style="color: #9A14B2; font-weight: bold">CUDA:[OBJECT_A]</span> is still strong because it has better support, but we all want <span style="color: #6CB219; font-weight: bold">OpenCL:[OBJECT_B]</span> to win out in the long run (even if they have to update it majorly before that happens)	*CUDA* is still strong because it has better support, but we all want §OpenCL$ to win out in the long run (even if they have to update it majorly before that happens)		CUDA	OpenCL	TRUE	CUDA is still strong because it has better support, but we all want openCL to win out in the long run (even if they have to update it majorly before that happens)
E673688725	Even <span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span> does (in my experience) a decent job of playing games that hark back to the <span style="color: #6CB219; font-weight: bold">Windows XP:[OBJECT_B]</span> era.	Even *Windows 8* does (in my experience) a decent job of playing games that hark back to the §Windows XP$ era.		Windows XP	Windows 8	TRUE	Even Windows 8 does (in my experience) a decent job of playing games that hark back to the Windows XP era.
N2243644879	Solid experience with MySQL design and implementation, <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span>, AJAX, CSS/XHTML, XML, OLAP and Data Warehouse design.	Solid experience with MySQL design and implementation, *PHP*, §Perl$, AJAX, CSS/XHTML, XML, OLAP and Data Warehouse design.		PHP	Perl	TRUE	Solid experience with MySQL design and implementation, PHP, Perl, AJAX, CSS/XHTML, XML, OLAP and Data Warehouse design.
E721106926	First backup your data; it's safer in case of a failure since a dual boot <span style="color: #9A14B2; font-weight: bold">Windows 7:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Windows 8:[OBJECT_B]</span> .	First backup your data; it's safer in case of a failure since a dual boot *Windows 7* and §Windows 8$ .		Windows 7	Windows 8	TRUE	First backup your data; it's safer in case of a failure since a dual boot windows 7 and windows 8 .
R2803559734	They will learn it in two weeks and probably be better than the <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span>/<span style="color: #6CB219; font-weight: bold">PHP:[OBJECT_B]</span>/perl/etc.	They will learn it in two weeks and probably be better than the *Java*/§PHP$/perl/etc.		Java	PHP	TRUE	They will learn it in two weeks and probably be better than the Java/PHP/perl/etc.
I1273454608	In my opinion <span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span> is worlds better then <span style="color: #6CB219; font-weight: bold">Windows 7:[OBJECT_B]</span>.	In my opinion *Windows 8* is worlds better then §Windows 7$.		Windows 7	Windows 8	TRUE	In my opinion Windows 8 is worlds better then Windows 7.
N2120513242	<span style="color: #9A14B2; font-weight: bold">Ruby:[OBJECT_A]</span> is much faster than <span style="color: #6CB219; font-weight: bold">PHP:[OBJECT_B]</span> when objects are involved.	*Ruby* is much faster than §PHP$ when objects are involved.		Ruby	PHP	TRUE	Ruby is much faster than PHP when objects are involved.
K1722130226	misunderstanding to think that <span style="color: #9A14B2; font-weight: bold">Ruby:[OBJECT_A]</span> is an attempt at better <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span>,	misunderstanding to think that *Ruby* is an attempt at better §Perl$,		Ruby	Perl	TRUE	misunderstanding to think that Ruby is an attempt at better Perl,
K1674852294	Many of these are faster and easier to use than <span style="color: #9A14B2; font-weight: bold">Sed:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">AWK:[OBJECT_B]</span> within their own areas of expertise.	Many of these are faster and easier to use than *Sed* and §AWK$ within their own areas of expertise.		Sed	AWK	TRUE	Many of these are faster and easier to use than sed and awk within their own areas of expertise.
H1078689787	I find <span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span> much easier to read six months down the road than <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span> is.	I find *Python* much easier to read six months down the road than §Perl$ is.		Python	Perl	TRUE	I find Python much easier to read six months down the road than Perl is.
