,_golden,_last_judgment_at,_trusted_judgments,_unit_id,_unit_state,a,also_acceptable,b,expected_label,gold_label,id,label,label:confidence,label_gold,label_gold_reason,marker,orig__golden,raw_text,text_html,text_readable,type,better_count,worse_count,none_count,judgements,label_winner_count,most_frequent_class,most_frequent_count,ratio
730,False,2/3/2018 13:14:27,3,1572198661,finalized,Ford,,Chevrolet,,,L1838442171,NONE,1.0,,,True,,"Not that RoadFrames heralds the advent of a religion of Ford or Chevrolet, but it does envision the automobile as a doorway, or better, a window on what we call America.","Not that RoadFrames heralds the advent of a religion of <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Chevrolet:[OBJECT_B]</span>, but it does envision the automobile as a doorway, or better, a window on what we call America.","Not that RoadFrames heralds the advent of a religion of *Ford* or §Chevrolet$, but it does envision the automobile as a doorway, or better, a window on what we call America.",brands,0,0,5,5,0,NONE,5.0,1.0
508,False,1/28/2018 09:46:56,3,1532714893,finalized,Ford,,Toyota,,,D552571618,BETTER,0.6709999999999999,,,True,,"@Dave M - when you suggest a Toyota Camry would drive better than a Ford Contour, what exactly did you mean?","@Dave M - when you suggest a <span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> Camry would drive better than a <span style=""color: #6CB219; font-weight: bold"">Ford:[OBJECT_B]</span> Contour, what exactly did you mean?","@Dave M - when you suggest a *Toyota* Camry would drive better than a §Ford$ Contour, what exactly did you mean?",brands,3,0,2,5,0,BETTER,3.0,0.6
1668,False,2/18/2018 15:40:36,3,1572199627,finalized,Ford,,Chrysler,,,F740340336,NONE,1.0,,,False,,"Ford had Mazda, and Chrysler had Mitsubishi.","<span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span> had Mazda, and <span style=""color: #6CB219; font-weight: bold"">Chrysler:[OBJECT_B]</span> had Mitsubishi.","*Ford* had Mazda, and §Chrysler$ had Mitsubishi.",brands,0,0,5,5,0,NONE,5.0,1.0
503,False,1/27/2018 18:56:21,3,1534177340,finalized,Ruby,,Python,,,O2325300969,NONE,0.7036,,,True,,"Sure, C# is a lot nicer than C, but Python & Ruby are a lot nicer than C#.","Sure, C# is a lot nicer than C, but <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> & <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> are a lot nicer than C#.","Sure, C# is a lot nicer than C, but *Python* & §Ruby$ are a lot nicer than C#.",compsci,0,0,3,3,0,NONE,3.0,1.0
407,False,1/28/2018 08:32:24,3,1532714789,finalized,Intel,,Hewlett-Packard,,,G941090717,NONE,0.7196,,,False,,"High-tech presences in Colorado Springs include MCI Worldcom, Hewlett-Packard, Oracle, Compaq, and Intel.","High-tech presences in Colorado Springs include MCI Worldcom, <span style=""color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span>, Oracle, Compaq, and <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span>.","High-tech presences in Colorado Springs include MCI Worldcom, *Hewlett-Packard*, Oracle, Compaq, and §Intel$.",brands,0,0,5,5,0,NONE,5.0,1.0
570,False,2/5/2018 16:38:48,3,1576122064,finalized,basketball,,golf,,,N2125025314,NONE,1.0,,,False,,"SA Alt.. golf, basketball.","SA Alt.. <span style=""color: #9A14B2; font-weight: bold"">golf:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">basketball:[OBJECT_B]</span>.","SA Alt.. *golf*, §basketball$.",jbt,0,0,3,3,0,NONE,3.0,1.0
668,False,1/27/2018 17:53:47,3,1543287185,finalized,soup,,pizza,,,S3080744575,NONE,0.6532,,,True,,"We're serving up fresh deli sandwiches, superior salads, pizza, daily soup specials, local baked goods, homemade ice cream, specialty coffee drinks and so much more!","We're serving up fresh deli sandwiches, superior salads, <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span>, daily <span style=""color: #6CB219; font-weight: bold"">soup:[OBJECT_B]</span> specials, local baked goods, homemade ice cream, specialty coffee drinks and so much more!","We're serving up fresh deli sandwiches, superior salads, *pizza*, daily §soup$ specials, local baked goods, homemade ice cream, specialty coffee drinks and so much more!",jbt,0,0,3,3,0,NONE,3.0,1.0
1391,False,2/18/2018 15:36:42,3,1572199339,finalized,Intel,,Hewlett-Packard,,,G935186995,NONE,1.0,,,False,,"Hewlett-Packard Co., Dell Inc. and Intel Corp. are mainstays of the show.","<span style=""color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span> Co., Dell Inc. and <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> Corp. are mainstays of the show.","*Hewlett-Packard* Co., Dell Inc. and §Intel$ Corp. are mainstays of the show.",brands,0,0,5,5,0,NONE,5.0,1.0
643,False,1/27/2018 20:09:01,3,1534177480,finalized,CUDA,,OpenCL,,,L1857347252,BETTER,1.0,,,True,,"nVidia had Tesla  architecture, but they lack the will to make an OpenCL implementation that runs better than CUDA.","nVidia had Tesla  architecture, but they lack the will to make an <span style=""color: #9A14B2; font-weight: bold"">OpenCL:[OBJECT_A]</span> implementation that runs better than <span style=""color: #6CB219; font-weight: bold"">CUDA:[OBJECT_B]</span>.","nVidia had Tesla  architecture, but they lack the will to make an *OpenCL* implementation that runs better than §CUDA$.",compsci,3,0,0,3,0,BETTER,3.0,1.0
849,False,2/16/2018 08:42:20,3,1576061731,finalized,Windows 7,,Windows 8,,,T3184481762,WORSE,1.0,,,True,,Windows 8 slower out of the traps than predecessor Windows 7 - StatCounter,"<span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> slower out of the traps than predecessor <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> - StatCounter",*Windows 8* slower out of the traps than predecessor §Windows 7$ - StatCounter,compsci,0,3,0,3,0,WORSE,3.0,1.0
730,False,2/5/2018 16:36:29,3,1576122225,finalized,psp,,ps3,,,L1813252790,NONE,1.0,,,True,,"No, just that you won't relax when psp and ps3 were worse.","No, just that you won't relax when <span style=""color: #9A14B2; font-weight: bold"">psp:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ps3:[OBJECT_B]</span> were worse.","No, just that you won't relax when *psp* and §ps3$ were worse.",jbt,0,0,3,3,0,NONE,3.0,1.0
1333,False,2/15/2018 11:34:37,3,1576123289,finalized,ds,,ps2,,,Q2762202359,NONE,1.0,,,True,,"The Wii launch lineup is far better than the ds, or the ps2 for that matter... anyone who disagrees can have my copy of Fantavision.","The Wii launch lineup is far better than the <span style=""color: #9A14B2; font-weight: bold"">ds:[OBJECT_A]</span>, or the <span style=""color: #6CB219; font-weight: bold"">ps2:[OBJECT_B]</span> for that matter... anyone who disagrees can have my copy of Fantavision.","The Wii launch lineup is far better than the *ds*, or the §ps2$ for that matter... anyone who disagrees can have my copy of Fantavision.",jbt,0,0,3,3,0,NONE,3.0,1.0
1527,False,2/17/2018 15:31:52,3,1576062413,finalized,USB,,Ethernet,,,N2201492864,NONE,1.0,,,True,,"Should you demand more from your ultraportable, configuration options include faster processors, 4GB of memory and accessories such as the MacBook Air SuperDrive and a USB Ethernet Adapter.","Should you demand more from your ultraportable, configuration options include faster processors, 4GB of memory and accessories such as the MacBook Air SuperDrive and a <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span> Adapter.","Should you demand more from your ultraportable, configuration options include faster processors, 4GB of memory and accessories such as the MacBook Air SuperDrive and a *USB* §Ethernet$ Adapter.",compsci,0,0,3,3,0,NONE,3.0,1.0
1282,False,2/15/2018 11:32:35,3,1576123238,finalized,restaurant,,cafe,,,B219637862,NONE,0.6283,,,True,,"Also, the Superior restaurant and Paris cafe have come in handy for us.","Also, the Superior <span style=""color: #9A14B2; font-weight: bold"">restaurant:[OBJECT_A]</span> and Paris <span style=""color: #6CB219; font-weight: bold"">cafe:[OBJECT_B]</span> have come in handy for us.","Also, the Superior *restaurant* and Paris §cafe$ have come in handy for us.",jbt,1,0,2,3,0,NONE,2.0,0.6666666666666666
504,False,1/27/2018 18:20:26,3,1543287020,finalized,bread,,soup,,,S3038785261,NONE,1.0,,,True,,We'd better get the soup kitchens and bread lines ready.,"We'd better get the <span style=""color: #9A14B2; font-weight: bold"">soup:[OBJECT_A]</span> kitchens and <span style=""color: #6CB219; font-weight: bold"">bread:[OBJECT_B]</span> lines ready.",We'd better get the *soup* kitchens and §bread$ lines ready.,jbt,0,0,3,3,0,NONE,3.0,1.0
1192,False,2/16/2018 10:04:24,3,1576062076,finalized,Windows 7,,Windows 8,,,T3184476893,WORSE,1.0,,,True,,"Windows 8 (MSFT) is being adopted at a slower rate than Vista, and slower than Windows 7, according to usage data from Net Applications.","<span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> (MSFT) is being adopted at a slower rate than Vista, and slower than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span>, according to usage data from Net Applications.","*Windows 8* (MSFT) is being adopted at a slower rate than Vista, and slower than §Windows 7$, according to usage data from Net Applications.",compsci,0,3,0,3,0,WORSE,3.0,1.0
83,False,1/12/2018 13:37:24,3,1543286591,finalized,wii,,ps2,,N,R2785597148,NONE,1.0,,,True,,"They have XBox360, ps2 and wii onboard and a decent variety of games.","They have XBox360, <span style=""color: #9A14B2; font-weight: bold"">ps2:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">wii:[OBJECT_B]</span> onboard and a decent variety of games.","They have XBox360, *ps2* and §wii$ onboard and a decent variety of games.",jbt,0,0,3,3,0,NONE,3.0,1.0
943,False,2/18/2018 13:58:28,3,1572198875,finalized,Toyota,,Chrysler,,,J1451678430,NONE,0.6715,,,True,,"It should have a solid front axle, if Jeep wants to retain buyers, but DaimlerBenz(there ain't Chrysler anymore) doesn't care a whit about you, the Jeep buyer, they want the Toyota/Honda/Nissan buyer.","It should have a solid front axle, if Jeep wants to retain buyers, but DaimlerBenz(there ain't <span style=""color: #9A14B2; font-weight: bold"">Chrysler:[OBJECT_A]</span> anymore) doesn't care a whit about you, the Jeep buyer, they want the <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span>/Honda/Nissan buyer.","It should have a solid front axle, if Jeep wants to retain buyers, but DaimlerBenz(there ain't *Chrysler* anymore) doesn't care a whit about you, the Jeep buyer, they want the §Toyota$/Honda/Nissan buyer.",brands,0,2,3,5,0,NONE,3.0,0.6
1522,False,2/15/2018 11:35:31,3,1576123483,finalized,virginia,,georgia,,,F805048914,NONE,1.0,,,True,,"georgia Tech, virginia and Boston College shift depending on which program (football or hoops) is better.","<span style=""color: #9A14B2; font-weight: bold"">georgia:[OBJECT_A]</span> Tech, <span style=""color: #6CB219; font-weight: bold"">virginia:[OBJECT_B]</span> and Boston College shift depending on which program (football or hoops) is better.","*georgia* Tech, §virginia$ and Boston College shift depending on which program (football or hoops) is better.",jbt,0,0,3,3,0,NONE,3.0,1.0
1713,False,2/17/2018 15:29:55,3,1576062600,finalized,Java,,PHP,,,J1545026916,NONE,0.6667,,,True,,"Java is not losing out to PHP (and the like) due to lack of focus on the present, not inferior technology.","<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> is not losing out to <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> (and the like) due to lack of focus on the present, not inferior technology.","*Java* is not losing out to §PHP$ (and the like) due to lack of focus on the present, not inferior technology.",compsci,1,0,2,3,0,NONE,2.0,0.6666666666666666
164,False,2/5/2018 17:13:16,3,1576121653,finalized,swimming,,skiing,,,O2297690845,NONE,0.6667,,,True,,"Stefano: Spent goods moments with my friends, meeting people and, of course TRAVELLING!!! My favorite sports are : climbing, skiing and swimming..if possible, in the sea is better!","Stefano: Spent goods moments with my friends, meeting people and, of course TRAVELLING!!! My favorite sports are : climbing, <span style=""color: #9A14B2; font-weight: bold"">skiing:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">swimming:[OBJECT_B]</span>..if possible, in the sea is better!","Stefano: Spent goods moments with my friends, meeting people and, of course TRAVELLING!!! My favorite sports are : climbing, *skiing* and §swimming$..if possible, in the sea is better!",jbt,0,1,2,3,0,NONE,2.0,0.6666666666666666
695,False,2/5/2018 16:42:35,3,1576122189,finalized,restaurant,,cafe,,,S3111782656,NONE,1.0,,,True,,"What it needs is a decent middle of the price range cafe/restaurant and some better quality retail businesses, especially upstairs.","What it needs is a decent middle of the price range <span style=""color: #9A14B2; font-weight: bold"">cafe:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">restaurant:[OBJECT_B]</span> and some better quality retail businesses, especially upstairs.","What it needs is a decent middle of the price range *cafe*/§restaurant$ and some better quality retail businesses, especially upstairs.",jbt,0,0,3,3,0,NONE,3.0,1.0
681,False,2/5/2018 18:12:51,3,1576061563,finalized,Python,,Perl,,,L1790053271,BETTER,0.6403,,,True,,"Neither is a clear winner on performance; Perl is faster for some things, Python for others.","Neither is a clear winner on performance; <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> is faster for some things, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> for others.","Neither is a clear winner on performance; *Perl* is faster for some things, §Python$ for others.",compsci,2,0,1,3,0,BETTER,2.0,0.6666666666666666
1233,False,2/18/2018 14:09:10,3,1572199175,finalized,Dell,,Hewlett-Packard,,,D420082717,BETTER,1.0,,,True,,"But those with a broader portfolio -- like Hewlett-Packard and IBM -- will be able to weather the storm better than the likes of Dell,"" Kumar said.","But those with a broader portfolio -- like <span style=color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span> and IBM -- will be able to weather the storm better than the likes of <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span>,"" Kumar said.","But those with a broader portfolio -- like *Hewlett-Packard* and IBM -- will be able to weather the storm better than the likes of §Dell$, Kumar said.",brands,4,0,1,5,0,BETTER,4.0,0.8
211,False,2/2/2018 18:23:14,3,1572198125,finalized,Nokia,,Samsung,,,L1813294597,BETTER,1.0,,,True,,"Nokia CBD is better than this overrated, defective Super Amoled by Samsung.","<span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span> CBD is better than this overrated, defective Super Amoled by <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span>.","*Nokia* CBD is better than this overrated, defective Super Amoled by §Samsung$.",brands,5,0,0,5,0,BETTER,5.0,1.0
137,False,2/5/2018 18:42:55,3,1576121626,finalized,truck,,motorcycle,,,E597415548,NONE,1.0,,,True,,"Donating your car, truck, van, SUV, boat, motorcycle, ATV, RV, trailer or airplane has never been easier!","Donating your car, <span style=""color: #9A14B2; font-weight: bold"">truck:[OBJECT_A]</span>, van, SUV, boat, <span style=""color: #6CB219; font-weight: bold"">motorcycle:[OBJECT_B]</span>, ATV, RV, trailer or airplane has never been easier!","Donating your car, *truck*, van, SUV, boat, §motorcycle$, ATV, RV, trailer or airplane has never been easier!",jbt,0,0,3,3,0,NONE,3.0,1.0
1028,False,2/15/2018 08:58:10,3,1576122525,finalized,ps3,,ps2,,,J1463133444,NONE,1.0,,,True,,It's probably way easier to find composite cables for ps2/ps3.,"It's probably way easier to find composite cables for <span style=""color: #9A14B2; font-weight: bold"">ps2:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">ps3:[OBJECT_B]</span>.",It's probably way easier to find composite cables for *ps2*/§ps3$.,jbt,0,0,3,3,0,NONE,3.0,1.0
823,False,2/18/2018 14:10:08,3,1572198755,finalized,Samsung,,Toshiba,,,F744217009,NONE,0.6885,,,True,,"For example, I see both Samsung & Toshiba have 2 80GB models, my guess is that the ""newer"" the model number the better.","For example, I see both <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> & <span style=""color: #6CB219; font-weight: bold"">Toshiba:[OBJECT_B]</span> have 2 80GB models, my guess is that the ""newer"" the model number the better.","For example, I see both *Samsung* & §Toshiba$ have 2 80GB models, my guess is that the ""newer"" the model number the better.",brands,0,1,4,5,0,NONE,4.0,0.8
313,False,1/11/2018 19:30:48,4,1534177149,finalized,Swift,,Objective-C,,,I1352087709,NONE,1.0,,,False,,I specialize in iOS development with over 4 years of experience in Objective-C and Swift.,"I specialize in iOS development with over 4 years of experience in <span style=""color: #9A14B2; font-weight: bold"">Objective-C:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Swift:[OBJECT_B]</span>.",I specialize in iOS development with over 4 years of experience in *Objective-C* and §Swift$.,compsci,0,0,4,4,0,NONE,4.0,1.0
986,False,2/18/2018 14:10:24,3,1572198918,finalized,Sony,,Intel,,,P2583885800,BETTER,0.6518,,,True,,"The NP900X4C was decidedly mediocre at gaming tests, thanks to its Intel HD Graphics 4000 integrated graphics, but the 62Wh battery let it last a long time on the MobileMark battery test: just short of 7 hours, ahead of the Zenbook Prime UX32VD (5:26) and the Sony VAIO E15 (4:34) by a wide margin.","The NP900X4C was decidedly mediocre at gaming tests, thanks to its <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> HD Graphics 4000 integrated graphics, but the 62Wh battery let it last a long time on the MobileMark battery test: just short of 7 hours, ahead of the Zenbook Prime UX32VD (5:26) and the <span style=""color: #6CB219; font-weight: bold"">Sony:[OBJECT_B]</span> VAIO E15 (4:34) by a wide margin.","The NP900X4C was decidedly mediocre at gaming tests, thanks to its *Intel* HD Graphics 4000 integrated graphics, but the 62Wh battery let it last a long time on the MobileMark battery test: just short of 7 hours, ahead of the Zenbook Prime UX32VD (5:26) and the §Sony$ VAIO E15 (4:34) by a wide margin.",brands,3,1,1,5,0,BETTER,3.0,0.6
403,False,2/5/2018 15:55:29,3,1576061283,finalized,Oracle,,MySQL,,,T3287193027,NONE,1.0,,,False,,"·  Database: Oracle, MySQL, Hibernate.","·  Database: <span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span>, Hibernate.","·  Database: *Oracle*, §MySQL$, Hibernate.",compsci,0,0,3,3,0,NONE,3.0,1.0
471,False,2/3/2018 11:33:29,3,1572198391,finalized,Nokia,,Motorola,,,D541315295,NONE,1.0,,,False,,Currently they're offering Motorola and Nokia phones.,"Currently they're offering <span style=""color: #9A14B2; font-weight: bold"">Motorola:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Nokia:[OBJECT_B]</span> phones.",Currently they're offering *Motorola* and §Nokia$ phones.,brands,0,0,5,5,0,NONE,5.0,1.0
1677,False,2/15/2018 12:13:55,3,1576123647,finalized,google,,itunes,,,L1837931022,NONE,1.0,,,True,,"Not surprisingly, google has rejected the majority of Digimarc's poorly researched takedown requests, including the links to Apple's itunes.","Not surprisingly, <span style=""color: #9A14B2; font-weight: bold"">google:[OBJECT_A]</span> has rejected the majority of Digimarc's poorly researched takedown requests, including the links to Apple's <span style=""color: #6CB219; font-weight: bold"">itunes:[OBJECT_B]</span>.","Not surprisingly, *google* has rejected the majority of Digimarc's poorly researched takedown requests, including the links to Apple's §itunes$.",jbt,0,0,3,3,0,NONE,3.0,1.0
552,False,1/27/2018 17:53:13,3,1543287068,finalized,rifle,,pistol,,,A51202488,BETTER,1.0,,,True,,.223 rifle is better than pistol!,".223 <span style=""color: #9A14B2; font-weight: bold"">rifle:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">pistol:[OBJECT_B]</span>!",.223 *rifle* is better than §pistol$!,jbt,3,0,0,3,0,BETTER,3.0,1.0
628,False,1/27/2018 17:58:41,3,1543287145,finalized,pizza,,sausage,,,D522339718,NONE,0.6629999999999999,,,True,,"Cooked ground sausage, ground beef and cubed chicken, all stored in reach-in pizza cooler, noted between 60 degrees-66 degrees (voluntarily discarded).","Cooked ground <span style=""color: #9A14B2; font-weight: bold"">sausage:[OBJECT_A]</span>, ground beef and cubed chicken, all stored in reach-in <span style=""color: #6CB219; font-weight: bold"">pizza:[OBJECT_B]</span> cooler, noted between 60 degrees-66 degrees (voluntarily discarded).","Cooked ground *sausage*, ground beef and cubed chicken, all stored in reach-in §pizza$ cooler, noted between 60 degrees-66 degrees (voluntarily discarded).",jbt,0,0,3,3,0,NONE,3.0,1.0
1098,False,2/15/2018 08:58:35,3,1576122595,finalized,timber,,lumber,,,S2984361643,NONE,1.0,,,True,,"Use solid timber, a built up lumber beam, a laminated beam or box beam, or multiple poles sized for the weight the lintel will carry.","Use solid <span style=""color: #9A14B2; font-weight: bold"">timber:[OBJECT_A]</span>, a built up <span style=""color: #6CB219; font-weight: bold"">lumber:[OBJECT_B]</span> beam, a laminated beam or box beam, or multiple poles sized for the weight the lintel will carry.","Use solid *timber*, a built up §lumber$ beam, a laminated beam or box beam, or multiple poles sized for the weight the lintel will carry.",jbt,0,0,3,3,0,NONE,3.0,1.0
802,False,2/12/2018 18:55:09,3,1576122298,finalized,football,,basketball,,,N2124368408,NONE,1.0,,,True,,Ryan was a pretty decent football/basketball player right?,"Ryan was a pretty decent <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">basketball:[OBJECT_B]</span> player right?",Ryan was a pretty decent *football*/§basketball$ player right?,jbt,0,0,3,3,0,NONE,3.0,1.0
332,False,2/5/2018 14:57:05,3,1576121822,finalized,michigan,,pennsylvania,,,B302042204,NONE,1.0,,,True,,"ANN ARBOR, Mich.-Making computer programming faster, easier and more intuitive is the goal of a new $10 million National Science Foundation project that involves a University of michigan researcher and is based at the University of pennsylvania.","ANN ARBOR, Mich.-Making computer programming faster, easier and more intuitive is the goal of a new $10 million National Science Foundation project that involves a University of <span style=""color: #9A14B2; font-weight: bold"">michigan:[OBJECT_A]</span> researcher and is based at the University of <span style=""color: #6CB219; font-weight: bold"">pennsylvania:[OBJECT_B]</span>.","ANN ARBOR, Mich.-Making computer programming faster, easier and more intuitive is the goal of a new $10 million National Science Foundation project that involves a University of *michigan* researcher and is based at the University of §pennsylvania$.",jbt,0,0,3,3,0,NONE,3.0,1.0
485,False,2/5/2018 16:46:36,3,1576121976,finalized,carolina,,pennsylvania,,,E632610847,NONE,1.0,,,True,,"Earlier, Wilson's maternal grandmother walked from North carolina to pennsylvania in search of a better life.","Earlier, Wilson's maternal grandmother walked from North <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span> to <span style=""color: #6CB219; font-weight: bold"">pennsylvania:[OBJECT_B]</span> in search of a better life.","Earlier, Wilson's maternal grandmother walked from North *carolina* to §pennsylvania$ in search of a better life.",jbt,0,0,3,3,0,NONE,3.0,1.0
1229,False,2/15/2018 09:04:34,3,1576123123,finalized,knife,,pistol,,,S2985318557,NONE,0.6538,,,True,,"Use your knife to get to places faster, but also use your pistol if your not sure the area is clear.","Use your <span style=""color: #9A14B2; font-weight: bold"">knife:[OBJECT_A]</span> to get to places faster, but also use your <span style=""color: #6CB219; font-weight: bold"">pistol:[OBJECT_B]</span> if your not sure the area is clear.","Use your *knife* to get to places faster, but also use your §pistol$ if your not sure the area is clear.",jbt,1,0,2,3,0,NONE,2.0,0.6666666666666666
357,False,1/11/2018 20:28:26,3,1534177193,finalized,Java,,Smalltalk,,,D483603898,NONE,1.0,,,False,,"C++, Java, Smalltalk, database schemata, data dictionaries,","C++, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Smalltalk:[OBJECT_B]</span>, database schemata, data dictionaries,","C++, *Java*, §Smalltalk$, database schemata, data dictionaries,",compsci,0,0,3,3,0,NONE,3.0,1.0
26,False,2/5/2018 12:31:01,3,1576060900,finalized,iOS,,Apple TV,,,H1120803127,NONE,1.0,,,True,,"If you're full-in on Amazon already, Fire TV does for your stuff what Apple TV does for the OS X and iOS faithful, with a decent gaming experience thrown in as a bonus.","If you're full-in on Amazon already, Fire TV does for your stuff what <span style=""color: #9A14B2; font-weight: bold"">Apple TV:[OBJECT_A]</span> does for the OS X and <span style=""color: #6CB219; font-weight: bold"">iOS:[OBJECT_B]</span> faithful, with a decent gaming experience thrown in as a bonus.","If you're full-in on Amazon already, Fire TV does for your stuff what *Apple TV* does for the OS X and §iOS$ faithful, with a decent gaming experience thrown in as a bonus.",compsci,0,0,3,3,0,NONE,3.0,1.0
502,False,1/27/2018 18:57:02,3,1534177339,finalized,Ruby,,Python,,,T3228227947,WORSE,1.0,,,True,,"Yes, that's right folks: according to the Programming Languages Shootout, Python, PHP, and Perl are all slower than Ruby .","Yes, that's right folks: according to the Programming Languages Shootout, <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, PHP, and Perl are all slower than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> .","Yes, that's right folks: according to the Programming Languages Shootout, *Python*, PHP, and Perl are all slower than §Ruby$ .",compsci,0,3,0,3,0,WORSE,3.0,1.0
1062,False,2/15/2018 09:04:21,3,1576122559,finalized,mobile,,laptop,,,C358901539,BETTER,1.0,,,True,,"As he explained, ""Writing, reading, and organising e-mails is usually faster on my mobile device than on a laptop.","As he explained, ""Writing, reading, and organising e-mails is usually faster on my <span style=""color: #9A14B2; font-weight: bold"">mobile:[OBJECT_A]</span> device than on a <span style=""color: #6CB219; font-weight: bold"">laptop:[OBJECT_B]</span>.","As he explained, ""Writing, reading, and organising e-mails is usually faster on my *mobile* device than on a §laptop$.",jbt,3,0,0,3,0,BETTER,3.0,1.0
900,False,2/18/2018 14:08:09,3,1572198832,finalized,Apple,,Intel,,,B326463867,NONE,1.0,,,True,,"Apple, on the other hand, chose to use GCC and NAGWare, which apparently is poorly optimized for the Intel P4.","<span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span>, on the other hand, chose to use GCC and NAGWare, which apparently is poorly optimized for the <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> P4.","*Apple*, on the other hand, chose to use GCC and NAGWare, which apparently is poorly optimized for the §Intel$ P4.",brands,0,0,5,5,0,NONE,5.0,1.0
1666,False,2/18/2018 16:06:22,3,1572199625,finalized,Apple,,Sony,,,H1090932772,NONE,1.0,,,True,,"If Sony and Google are joining forces to make a phone for gamers, it'll make Apple work harder to keep its users happy.","If <span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span> and Google are joining forces to make a phone for gamers, it'll make <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> work harder to keep its users happy.","If *Sony* and Google are joining forces to make a phone for gamers, it'll make §Apple$ work harder to keep its users happy.",brands,0,0,5,5,0,NONE,5.0,1.0
867,False,2/18/2018 14:04:47,3,1572198799,finalized,Samsung,,Motorola,,,A131040096,NONE,0.6168,,,False,,Acer and Motorola followed Samsung regarding sales.,"Acer and <span style=""color: #9A14B2; font-weight: bold"">Motorola:[OBJECT_A]</span> followed <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> regarding sales.",Acer and *Motorola* followed §Samsung$ regarding sales.,brands,0,2,3,5,0,NONE,3.0,0.6
33,False,1/5/2018 14:54:18,3,1530057559,finalized,Toyota,,Chevrolet,O,,O2375117413,NONE,0.6957,,,True,,"That's better than the Toyota Yaris, Hyundai Accent and Chevrolet Aveo.","That's better than the <span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> Yaris, Hyundai Accent and <span style=""color: #6CB219; font-weight: bold"">Chevrolet:[OBJECT_B]</span> Aveo.","That's better than the *Toyota* Yaris, Hyundai Accent and §Chevrolet$ Aveo.",brands,0,0,5,5,0,NONE,5.0,1.0
