A_GREATER_B,A_LESSER_B,NO_COMP,Sentence
8.18,37.15,54.66,I don't want to indicate that whatever the majority says is always correct - the majority of people think any version of OBJECT_B is better than OBJECT_A or Linux.
10.79,3.46,85.76,I prefer this one to LustyExplorer because I cannot compile vim against OBJECT_A in OBJECT_B and with OBJECT_B I can do it fine.
3.19,37.54,59.27,"For moderate priced lenses, OBJECT_B are often a bit faster in the same length (because they're in fact shorter for the same FOV), so the available darkness factor levels out a bit, and you may be shooting a OBJECT_B at 800 against a OBJECT_A at 1600."
12.01,32.34,55.65,"Every OBJECT_B body is already better than its OBJECT_A equivalent... where's the point in making a d900, d4 or whatever ?"
3.57,91.15,5.28,"A lot? Well, realistically there's just the OBJECT_B d600/d610 which is of course the better overall camera, but OBJECT_A knows from experience that 100-200€ won't make people jump ship - and those who want a ff and don't care about af will pay some $$$ more than the 70d w/o a second thought."
13.93,18.91,67.17,Migration from OBJECT_B to OBJECT_A is problematic because OBJECT_A lacks certain features.
12.59,77.32,10.09,15. OBJECT_B has a much better Emacs mode than OBJECT_A
8.10,28.02,63.88,"4.20PM - Wow, lots of searching and flicking through Twitter OBJECT_A GEMs, thecoverage here is a lot worse than OBJECT_B"
4.84,67.95,27.21,"OBJECT_B unicode support has always seemed trivial to me, and much better than the other languages I've worked with (c, php, perl, OBJECT_A javascript, actionscript)."
5.95,72.75,21.30,THE OBJECT_B D800 HAS ALREADY PROVED TO BE BETTER THAN OBJECT_A 5Dmk3 and even better than the Phase one.
56.21,3.23,40.56,"As far as I'm concerned, OBJECT_A is not any better than MS OBJECT_B"
6.67,6.56,86.77,And it is a fact that all the Adobe Applications run way better under OBJECT_B then OBJECT_A
54.15,3.72,42.12,"I will simply say : no, people will only see OBJECT_A is not better than OBJECT_B and will simply reject it."
26.82,2.87,70.30,And OBJECT_A is better than either perl or OBJECT_B
48.86,3.67,47.46,"Storage issues aside, most experts believe that the plist method of OBJECT_A is superior to the configuration mechanism of OBJECT_B"
7.20,3.64,89.16,"So, Microsoft, you're even losing on price + a better OS experience on OBJECT_A than OBJECT_B 8."
5.74,5.00,89.25,"The trackpad in my opinion is pretty bad, but it's better in OBJECT_A than in OBJECT_B or Linux due to the community drivers for it."
67.39,8.69,23.92,OBJECT_A is also much better at power management than OBJECT_B this is a good thing.
3.63,1.84,94.53,"Thinking about the OBJECT_A SX160IS and OBJECT_B L610 for the main options and on how much we can afford, want one with some decent video, I know that OBJECT_A seems to have a better optical picture quality on the point and shoots but OBJECT_B seems to be OK also."
2.97,69.35,27.67,pls OBJECT_B bring out a new pro camera for sports - tested the d3 against the mark IV - more pixels plus the crop means for pics shoot on the other side of the pitch: a much better quality for OBJECT_A .... a d3x as fast and as low noisy like the d3 would help all the sportsshooters ... its a world cup year!
67.11,3.46,29.43,"Featuring a magnesium-alloy body, 7-point autofocus system, and CMOS image sensor, the OBJECT_A 10D offers better performance and handling than its predecessor, the D60, and a more attractive price than the OBJECT_B D100."
10.11,12.09,77.80,"But I wonder if the folks running OBJECT_B and Olympus web strategy know what OBJECT_A is doing so much better than them, and is predicted to do much better (slope of the line in the yellow area of the graph) than them during the holiday season."
3.45,2.99,93.57,"I didn't make much of it, because as an indie game developer it's easier to get noticed on Mac OBJECT_A or Linux than on OBJECT_B"
4.21,18.15,77.65,"Years ago, when I was trying to decide between similarly spec'ed OBJECT_A and OBJECT_B cameras, I chose OBJECT_A because of the ergonomics."
4.20,2.47,93.33,I could suggest that I prefer OBJECT_A to OBJECT_B because of whitespace but that would be a crock.
71.65,16.01,12.34,OBJECT_B user wanting to make the switch Using OBJECT_A mail is a much better choice due to superior junk mail handling and the integration of all i apps with each other.
58.54,11.09,30.36,"I'm a professional photographer and use OBJECT_A gear - partly because I had 2 OBJECT_B (back in film days) and parts fell off those cameras so when it came time to 'go digital' I had the opportunity to try OBJECT_A -and I've had only one issue and OBJECT_A fixed it free even after the warranty expired, yet there are millions of happy OBJECT_B users out there."
75.59,0.15,24.26,"""Office on OBJECT_A is far better then the one on OBJECT_B (many a times office has crashed on Win than on Mac(never) .. and Entourage is quite """"beautiful"""" and useful to work with)."""
6.11,2.99,90.90,"1) People move to OBJECT_A because OBJECT_B including 7, has more problems and nuisances than I care to mention."
10.12,1.05,88.83,I can now see why every one buys the OBJECT_A for video.. OBJECT_B are loosing heaps of customers because of it.. Really stupid move by them.
55.82,2.82,41.37,I also find that OBJECT_A has a better shelf life than OBJECT_B
1.54,2.43,96.03,The camera and lens combination is so much better than the OBJECT_B equivalent and I can't wait to start adding other OBJECT_A lenses to my collection.
31.14,0.38,68.49,"Every so often, some of our academic colleagues wax lyrical about OBJECT_A apps and their rich functionality and/or ease of use for areas of content creation in which we're interested - podcasting, audio/video/image editing and upload, recording, etc. It'll be interesting to see whether Macs offer better or easier solutions than OBJECT_B for some kinds of content creation."
14.01,1.53,84.46,"while roughly 100 vulnerabilities have been revealed in Mac OBJECT_A this year, this is still dwarfed by those in OBJECT_B mainly because of Apple's automatic updating software"
4.74,3.23,92.03,"No actually I gave up with the OBJECT_B version cause none of the buttons had writing on them unless I moved my mouse over them :S The OBJECT_A version of 2.25 renders far better than the 2.23 version,but is just as slow... I've got a 1.2MB .blend"
1.26,11.31,87.43,"The facts are that the D600 has been crippled as a serious video tool, and in that respect falls far behind the OBJECT_A lineup, which is a huge pity because I was looking forward to putting my OBJECT_B glass on it and not having to buy a OBJECT_A camera (I don't like them as stills cameras)."
4.94,8.25,86.81,"It is quite possible that even if a Mac OBJECT_A system were also tested, that the OBJECT_B system would score higher, despite Mac OBJECT_A having better usability, strictly speaking."
6.93,19.72,73.35,One could argue that OBJECT_B is even worse in this regard because it zoom to fullscreen with maximize but this is only a very weak consolation and I'm talking about OBJECT_A only here anyway.
36.37,32.95,30.69,"What Apple is betting on is that the user experience on Mac OBJECT_A is enough better that, when users get to try  OBJECT_A and OBJECT_B side-by-side, they'll prefer  OBJECT_A."
54.82,3.68,41.50,"""In most ways, OBJECT_A is superior to OBJECT_B XP."""""""
13.06,33.00,53.94,OBJECT_B would have also been a good choice but IMO it is an inferior language compared to OBJECT_A
10.37,6.03,83.61,"I now notice things about OBJECT_B that would have never bothered me before, because OBJECT_A is just so perfect compared to OBJECT_B"
4.27,2.95,92.78,I'd like to say it was because i liked OBJECT_A over OBJECT_B but for me it was simple economics.
37.33,7.72,54.96,like i said i use linux and have worked on HPC installations and have used the ubiquitous OBJECT_B but i will not shy away from the fact that OBJECT_A is superior.
15.78,5.09,79.13,But then we'll need better security in Linux and OBJECT_A (both of which are apparently already far more secure than OBJECT_B but do have vulnerabilities).
43.61,2.28,54.11,They love OBJECT_A because it's nice and shiny and 'just works' and hate OBJECT_B because it's far from shiny and is still fraught with problems left and right.
56.51,6.62,36.86,"you might want to consider lens offered from each manufacture... there are pro's and cons to each... depending on what you are looking for, they 'can' cost more than the camera and impact the body used... OBJECT_A lenses are thought to be better than the OBJECT_B nikor's..."
2.50,75.80,21.69,I really hate small characters looking purple and green on OBJECT_B much more than a little fuzziness on OBJECT_A Adobe Flash has even worse sub-pixel rendering then cleartype.
18.18,2.00,79.82,"This could be because OBJECT_A is a more secure system, or simply because there are so few Macs in relation to OBJECT_B PCs that malicious programmers don't bother targeting the Mac OS."
10.06,0.80,89.14,"I'd come to the conclusion OBJECT_A was 'better' than most(certainly php, probably OBJECT_B and javascript because is not well supported server-side), but i could not have said why as succinctly as you have."
