a,also_acceptable,b,expected_label,id,marker,raw_text,text_html,text_readable
Ethernet,,Bluetooth,,P2442435401,True,"The compact computer now gets integrated WiFi and Bluetooth, rather than just wired ethernet connectivity, together with a built-in hard-drive of unspecified capacity; Marvell have also given it a faster CPU, in the shape of the 2GHz Armada 300 processor.","The compact computer now gets integrated WiFi and <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span>, rather than just wired <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span> connectivity, together with a built-in hard-drive of unspecified capacity; Marvell have also given it a faster CPU, in the shape of the 2GHz Armada 300 processor.","The compact computer now gets integrated WiFi and *Bluetooth*, rather than just wired §Ethernet$ connectivity, together with a built-in hard-drive of unspecified capacity; Marvell have also given it a faster CPU, in the shape of the 2GHz Armada 300 processor."
Java,,Python,,L1908025413,True,"On January 20, Java and Python developers got an easier way to tap VMware cloud services.","On January 20, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> developers got an easier way to tap VMware cloud services.","On January 20, *Java* and §Python$ developers got an easier way to tap VMware cloud services."
Sed,,AWK,,B214139001,True,"Also, I'd probably be able to offer better help, but I need to study awk and sed more.","Also, I'd probably be able to offer better help, but I need to study <span style=""color: #9A14B2; font-weight: bold"">AWK:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Sed:[OBJECT_B]</span> more.","Also, I'd probably be able to offer better help, but I need to study *AWK* and §Sed$ more."
Java,,Python,,Q2640585448,True,"There are other cross-platforms languages around, that are easier to learn and arguably more productive, like Java or Python.","There are other cross-platforms languages around, that are easier to learn and arguably more productive, like <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.","There are other cross-platforms languages around, that are easier to learn and arguably more productive, like *Java* or §Python$."
Oracle,,PostgreSQL,,A83829253,True,"[ 4 ] However, recursive SQL queries can be expected to perform comparably for 'find immediate descendants' queries, and much faster for other depth search queries, and so are the faster option for databases which provide them, such as PostgreSQL , [ 5 ] Oracle , [ 6 ] and Microsoft SQL Server .","[ 4 ] However, recursive SQL queries can be expected to perform comparably for 'find immediate descendants' queries, and much faster for other depth search queries, and so are the faster option for databases which provide them, such as <span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span> , [ 5 ] <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span> , [ 6 ] and Microsoft SQL Server .","[ 4 ] However, recursive SQL queries can be expected to perform comparably for 'find immediate descendants' queries, and much faster for other depth search queries, and so are the faster option for databases which provide them, such as *PostgreSQL* , [ 5 ] §Oracle$ , [ 6 ] and Microsoft SQL Server ."
Java,,Groovy,,L1813128167,True,"No, I've had some very bad experiences with a bad language :-) And having started getting into Groovy, I might say that time spent on something like, say, closures, would be time better spent in the Java world then parametric polymorphism.","No, I've had some very bad experiences with a bad language :-) And having started getting into <span style=""color: #9A14B2; font-weight: bold"">Groovy:[OBJECT_A]</span>, I might say that time spent on something like, say, closures, would be time better spent in the <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> world then parametric polymorphism.","No, I've had some very bad experiences with a bad language :-) And having started getting into *Groovy*, I might say that time spent on something like, say, closures, would be time better spent in the §Java$ world then parametric polymorphism."
MySQL,,PostgreSQL,,D437806234,True,By using a SQL database such as Postgresql or Mysql it seams that it would make this task much easier.,"By using a SQL database such as <span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> it seams that it would make this task much easier.",By using a SQL database such as *PostgreSQL* or §MySQL$ it seams that it would make this task much easier.
Java,,Ruby,,J1544980990,False,"Java, C#, Ruby, Python, VisualBasic.NET, ...).","<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, C#, <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>, Python, VisualBasic.NET, ...).","*Java*, C#, §Ruby$, Python, VisualBasic.NET, ...)."
USB,,Ethernet,,Q2665811498,True,"There's an integrated NAND controller for on-board solid state storage, 10/100/1000 ethernet support, 2 x 3Gbps SATA ports and 2 USB 2.0 ports.","There's an integrated NAND controller for on-board solid state storage, 10/100/1000 <span style=""color: #9A14B2; font-weight: bold"">Ethernet:[OBJECT_A]</span> support, 2 x 3Gbps SATA ports and 2 <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> 2.0 ports.","There's an integrated NAND controller for on-board solid state storage, 10/100/1000 *Ethernet* support, 2 x 3Gbps SATA ports and 2 §USB$ 2.0 ports."
OpenGL,,Direct3D,,O2390532760,True,The 3.2 update also makes it easier to port Direct3D applications and includes version 1.5 of the OpenGL Shading Language (GLSL).,"The 3.2 update also makes it easier to port <span style=""color: #9A14B2; font-weight: bold"">Direct3D:[OBJECT_A]</span> applications and includes version 1.5 of the <span style=""color: #6CB219; font-weight: bold"">OpenGL:[OBJECT_B]</span> Shading Language (GLSL).",The 3.2 update also makes it easier to port *Direct3D* applications and includes version 1.5 of the §OpenGL$ Shading Language (GLSL).
Python,,JavaScript,,B278128940,True,"And that's why I don't want to do it on my own, it's better if Twicker makes a Python applet for a javascript chat.","And that's why I don't want to do it on my own, it's better if Twicker makes a <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> applet for a <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> chat.","And that's why I don't want to do it on my own, it's better if Twicker makes a *Python* applet for a §JavaScript$ chat."
MySQL,,SQLite,,J1536882501,True,"I would say MySQL is better, but if your application doesn't involve much of write operations (since its a home project) you can consider using SQLite.","I would say <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> is better, but if your application doesn't involve much of write operations (since its a home project) you can consider using <span style=""color: #6CB219; font-weight: bold"">SQLite:[OBJECT_B]</span>.","I would say *MySQL* is better, but if your application doesn't involve much of write operations (since its a home project) you can consider using §SQLite$."
Python,,Perl,,N2243706837,True,"Solid scripting skills in Shell, PHP, Perl or Python ?","Solid scripting skills in Shell, PHP, <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> ?","Solid scripting skills in Shell, PHP, *Perl* or §Python$ ?"
Java,,Ruby,,J1544980702,False,"Java, C#, Python, Ruby?","<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, C#, Python, <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>?","*Java*, C#, Python, §Ruby$?"
Python,,PHP,,T3225364394,True,"Yes, I believe Python/Perl/PHP can be a lot faster in terms of performance, but I wouldn't try writing an enterprise application with those technologies.","Yes, I believe <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>/Perl/<span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> can be a lot faster in terms of performance, but I wouldn't try writing an enterprise application with those technologies.","Yes, I believe *Python*/Perl/§PHP$ can be a lot faster in terms of performance, but I wouldn't try writing an enterprise application with those technologies."
Windows XP,,Windows Vista,,R2822853821,True,This excellent PC optimizer helps your computer run faster by accelerating some key components of Windows Vista and Windows XP.,"This excellent PC optimizer helps your computer run faster by accelerating some key components of <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>.",This excellent PC optimizer helps your computer run faster by accelerating some key components of *Windows Vista* and §Windows XP$.
Java,,Haskell,,L1810637543,True,"Node.js is a bit slower, Java and Haskell are pretty much on par.","Node.js is a bit slower, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Haskell:[OBJECT_B]</span> are pretty much on par.","Node.js is a bit slower, *Java* and §Haskell$ are pretty much on par."
PHP,,JavaScript,,I1405463847,True,"It is easier, less cryptic, and more robust than using a RegEx, and it comes in JavaScript, Ruby, Python, C#, PHP, and Objective-C flavors.","It is easier, less cryptic, and more robust than using a RegEx, and it comes in <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span>, Ruby, Python, C#, <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>, and Objective-C flavors.","It is easier, less cryptic, and more robust than using a RegEx, and it comes in *JavaScript*, Ruby, Python, C#, §PHP$, and Objective-C flavors."
Ruby,,Perl,,O2300616623,True,"Stevey describes how totally crazy its founder - Lary Wall - was, turning Perl into a cult, and how and why Ruby and Python are superior.","Stevey describes how totally crazy its founder - Lary Wall - was, turning <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> into a cult, and how and why <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> and Python are superior.","Stevey describes how totally crazy its founder - Lary Wall - was, turning *Perl* into a cult, and how and why §Ruby$ and Python are superior."
Java,,Objective-C,,T3159031621,True,"While I enjoy Python over Java, and have ample experience working with other dynamically-typed languages like Ruby and Objective-C, I'm still not convinced of which is better (static vs. dynamic).","While I enjoy Python over <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, and have ample experience working with other dynamically-typed languages like Ruby and <span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span>, I'm still not convinced of which is better (static vs. dynamic).","While I enjoy Python over *Java*, and have ample experience working with other dynamically-typed languages like Ruby and §Objective-C$, I'm still not convinced of which is better (static vs. dynamic)."
Python,,Lisp,,T3258231096,True,"You'll get better programming tools (including C, LISP, Python, and Perl) than any Microsoft operating system can dream of hosting, you'll have fun, and you'll soak up more knowledge than you realize you're learning until you look back on it as a master hacker.","You'll get better programming tools (including C, <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>, and Perl) than any Microsoft operating system can dream of hosting, you'll have fun, and you'll soak up more knowledge than you realize you're learning until you look back on it as a master hacker.","You'll get better programming tools (including C, *Lisp*, §Python$, and Perl) than any Microsoft operating system can dream of hosting, you'll have fun, and you'll soak up more knowledge than you realize you're learning until you look back on it as a master hacker."
MySQL,,SQLite,,S3099833188,True,"(What about PostpreSQL you ask? Meh, decent license but it can't be embedded, performs better than SQLite but much worse than Firebird and MySQL; feature-wise its about on par with Firebird)","(What about PostpreSQL you ask? Meh, decent license but it can't be embedded, performs better than <span style=""color: #9A14B2; font-weight: bold"">SQLite:[OBJECT_A]</span> but much worse than Firebird and <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span>; feature-wise its about on par with Firebird)","(What about PostpreSQL you ask? Meh, decent license but it can't be embedded, performs better than *SQLite* but much worse than Firebird and §MySQL$; feature-wise its about on par with Firebird)"
Java,,Haskell,,J1419191207,True,"It is written in Java, and might scales better over Haskell than Erlang, yet I find some ""operations"" to be more intuitive using emacs (plain text editing) than creating ""tempo"" objects to fit functional's lazyness :/","It is written in <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, and might scales better over <span style=""color: #6CB219; font-weight: bold"">Haskell:[OBJECT_B]</span> than Erlang, yet I find some ""operations"" to be more intuitive using emacs (plain text editing) than creating ""tempo"" objects to fit functional's lazyness :/","It is written in *Java*, and might scales better over §Haskell$ than Erlang, yet I find some ""operations"" to be more intuitive using emacs (plain text editing) than creating ""tempo"" objects to fit functional's lazyness :/"
Perl,,JavaScript,,N2094938309,True,"Required skills: Solid Perl HTML, CSS AJAX, Javascript Linux US Residency","Required skills: Solid <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> HTML, CSS AJAX, <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> Linux US Residency","Required skills: Solid *Perl* HTML, CSS AJAX, §JavaScript$ Linux US Residency"
Python,,Lisp,,B172808386,True,"After years of both OO, as much RM as I could get through SQL, and functional programming through Lisp, I feel that OO is the inferior abstraction framework, especially as implemented in Java and C++ (and Ruby and Python don't give me any special reason to re-embrace OO, though I appreciate their functional aspects).","After years of both OO, as much RM as I could get through SQL, and functional programming through <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span>, I feel that OO is the inferior abstraction framework, especially as implemented in Java and C++ (and Ruby and <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> don't give me any special reason to re-embrace OO, though I appreciate their functional aspects).","After years of both OO, as much RM as I could get through SQL, and functional programming through *Lisp*, I feel that OO is the inferior abstraction framework, especially as implemented in Java and C++ (and Ruby and §Python$ don't give me any special reason to re-embrace OO, though I appreciate their functional aspects)."
Perl,,AWK,,H1238768378,True,"In a nutshell: this kind of task is usually better done in awk or perl.""","In a nutshell: this kind of task is usually better done in <span style=""color: #9A14B2; font-weight: bold"">AWK:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>.","In a nutshell: this kind of task is usually better done in *AWK* or §Perl$."""
PHP,,Perl,,K1676147757,True,"Many PHP apps are much easier to install than equivalent Perl ones, solely due to dependencies.","Many <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> apps are much easier to install than equivalent <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> ones, solely due to dependencies.","Many *PHP* apps are much easier to install than equivalent §Perl$ ones, solely due to dependencies."
Eclipse,,NetBeans,,B328773304,False,"apps are eclipse, oracle's jdeveloper and netbeans.","apps are <span style=""color: #9A14B2; font-weight: bold"">Eclipse:[OBJECT_A]</span>, oracle's jdeveloper and <span style=""color: #6CB219; font-weight: bold"">NetBeans:[OBJECT_B]</span>.","apps are *Eclipse*, oracle's jdeveloper and §NetBeans$."
Java,,PHP,,N2162215932,True,"Server side (PHP,ASP,Java,etc) is probably a better way to go.","Server side (<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span>,ASP,<span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>,etc) is probably a better way to go.","Server side (*PHP*,ASP,§Java$,etc) is probably a better way to go."
Java,,Scala,,O2302644844,True,"Still much better in Java, but the Scala plugin is catching up fast.","Still much better in <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, but the <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> plugin is catching up fast.","Still much better in *Java*, but the §Scala$ plugin is catching up fast."
PHP,,JavaScript,,N2243644757,True,"Solid experience of PHP, HTML, XML, SQL and JavaScript.","Solid experience of <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span>, HTML, XML, SQL and <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span>.","Solid experience of *PHP*, HTML, XML, SQL and §JavaScript$."
Oracle,,PostgreSQL,,M1926837657,True,"Oracle 12c, PostgreSQL 9.2, VoltDB and others support JSON - often with performance benchmarks superior to ""native"" JSON NoSQL stores.","<span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span> 12c, <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> 9.2, VoltDB and others support JSON - often with performance benchmarks superior to ""native"" JSON NoSQL stores.","*Oracle* 12c, §PostgreSQL$ 9.2, VoltDB and others support JSON - often with performance benchmarks superior to ""native"" JSON NoSQL stores."
Oracle,,PostgreSQL,,P2508158685,True,"The graphical DB control clients available for PostgreSQL are significantly better than those available for Oracle (Toad), which cost $1K.","The graphical DB control clients available for <span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span> are significantly better than those available for <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span> (Toad), which cost $1K.","The graphical DB control clients available for *PostgreSQL* are significantly better than those available for §Oracle$ (Toad), which cost $1K."
MySQL,,SQLite,,F890239843,True,"Hell, SQLite is better than MySQL for that.","Hell, <span style=""color: #9A14B2; font-weight: bold"">SQLite:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> for that.","Hell, *SQLite* is better than §MySQL$ for that."
Ruby,,Python,,E659085790,True,"Erlang, Python, Ruby, PHP and etc.) · Extensive knowledge of Unix/Linux · A solid...","Erlang, <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>, PHP and etc.) · Extensive knowledge of Unix/Linux · A solid...","Erlang, *Python*, §Ruby$, PHP and etc.) · Extensive knowledge of Unix/Linux · A solid..."
Oracle,,MySQL,,K1732566663,False,More on Oracle MySQL,"More on <span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span>",More on *Oracle* §MySQL$
Ethernet,,Bluetooth,,M2076473397,True,"Recently, a spec sheet was apparently accidentally released on the HP Web site for an HP Pavilion Chromebook with a 14-inch display, 2GB of memory, HD webcam, Bluetooth, three USB ports, HDMI, Ethernet, a 16GB solid state drive and a battery with an estimated 4.25 hour charge.","Recently, a spec sheet was apparently accidentally released on the HP Web site for an HP Pavilion Chromebook with a 14-inch display, 2GB of memory, HD webcam, <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span>, three USB ports, HDMI, <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span>, a 16GB solid state drive and a battery with an estimated 4.25 hour charge.","Recently, a spec sheet was apparently accidentally released on the HP Web site for an HP Pavilion Chromebook with a 14-inch display, 2GB of memory, HD webcam, *Bluetooth*, three USB ports, HDMI, §Ethernet$, a 16GB solid state drive and a battery with an estimated 4.25 hour charge."
USB,,Ethernet,,S3061888985,True,"Well, ethernet or usb, it shouldn't matter, and it's still a lot faster than dial up.","Well, <span style=""color: #9A14B2; font-weight: bold"">Ethernet:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span>, it shouldn't matter, and it's still a lot faster than dial up.","Well, *Ethernet* or §USB$, it shouldn't matter, and it's still a lot faster than dial up."
Integer,,Floating-point,,C350099621,True,"As a rule of thumb, floating-point is about 2x slower than integer on Android-powered devices.","As a rule of thumb, <span style=""color: #9A14B2; font-weight: bold"">Floating-point:[OBJECT_A]</span> is about 2x slower than <span style=""color: #6CB219; font-weight: bold"">Integer:[OBJECT_B]</span> on Android-powered devices.","As a rule of thumb, *Floating-point* is about 2x slower than §Integer$ on Android-powered devices."
Windows 7,,Windows 8,,T3150295303,True,Where the previous version Windows 7 is perceived as superior to Windows 8.,"Where the previous version <span style=""color: #9A14B2; font-weight: bold"">Windows 7:[OBJECT_A]</span> is perceived as superior to <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span>.",Where the previous version *Windows 7* is perceived as superior to §Windows 8$.
CUDA,,OpenCL,,Q2671693658,True,"The rest of the world continues adopting OpenCL and now the whole Khronos supergroup is super hyper for Vulkan (NV even giving a solid thumbs up), with Apple and NV being the two rogue vendors pushing proprietary wares (Metal and CUDA).","The rest of the world continues adopting <span style=""color: #9A14B2; font-weight: bold"">OpenCL:[OBJECT_A]</span> and now the whole Khronos supergroup is super hyper for Vulkan (NV even giving a solid thumbs up), with Apple and NV being the two rogue vendors pushing proprietary wares (Metal and <span style=""color: #6CB219; font-weight: bold"">CUDA:[OBJECT_B]</span>).","The rest of the world continues adopting *OpenCL* and now the whole Khronos supergroup is super hyper for Vulkan (NV even giving a solid thumbs up), with Apple and NV being the two rogue vendors pushing proprietary wares (Metal and §CUDA$)."
Java,,PHP,,Q2665346703,True,There's also a whole bunch of things that Java can do way better (PHP can't even handle longs well!).,"There's also a whole bunch of things that <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> can do way better (<span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> can't even handle longs well!).",There's also a whole bunch of things that *Java* can do way better (§PHP$ can't even handle longs well!).
Ruby,,JavaScript,,E618802558,True,"Due to solid and stable growth, we are seeking a Java / RUBY/ JavaScript Software Engineer to join our client as a permanent employee in the Burlington area of Boston , Massachusetts.","Due to solid and stable growth, we are seeking a Java / <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span>/ <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> Software Engineer to join our client as a permanent employee in the Burlington area of Boston , Massachusetts.","Due to solid and stable growth, we are seeking a Java / *Ruby*/ §JavaScript$ Software Engineer to join our client as a permanent employee in the Burlington area of Boston , Massachusetts."
Ethernet,,Bluetooth,,E694329950,True,"Falling in line with the same price and specs as its cousin the ASUS Chromebox, the HP Chromebox offers an Intel Celeron (2955U 1.4 GHz) processor, 2GB of RAM, 16GB of storage, Wifi 802.11n, 10/100 ethernet, Bluetooth 4.0 and a solid assortment of ports including...","Falling in line with the same price and specs as its cousin the ASUS Chromebox, the HP Chromebox offers an Intel Celeron (2955U 1.4 GHz) processor, 2GB of RAM, 16GB of storage, Wifi 802.11n, 10/100 <span style=""color: #9A14B2; font-weight: bold"">Ethernet:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> 4.0 and a solid assortment of ports including...","Falling in line with the same price and specs as its cousin the ASUS Chromebox, the HP Chromebox offers an Intel Celeron (2955U 1.4 GHz) processor, 2GB of RAM, 16GB of storage, Wifi 802.11n, 10/100 *Ethernet*, §Bluetooth$ 4.0 and a solid assortment of ports including..."
Python,,Lisp,,Q2636545979,True,"There are better programming languages than Java (pick a dynamic language: Common Lisp, Ruby, Smalltalk, Python Scheme, etc.) but there are three things that keep me focused on Java:","There are better programming languages than Java (pick a dynamic language: Common <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span>, Ruby, Smalltalk, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> Scheme, etc.) but there are three things that keep me focused on Java:","There are better programming languages than Java (pick a dynamic language: Common *Lisp*, Ruby, Smalltalk, §Python$ Scheme, etc.) but there are three things that keep me focused on Java:"
Java,,Python,,K1636290264,True,"Lisp is about 1.5 to 4 times faster than Java, and about 10 to 50 times faster than Python.","Lisp is about 1.5 to 4 times faster than <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, and about 10 to 50 times faster than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.","Lisp is about 1.5 to 4 times faster than *Java*, and about 10 to 50 times faster than §Python$."
Java,,Scala,,L1800748861,True,Next scala release will target java 8 platform with a new backend and aim for much better performance.,"Next <span style=""color: #9A14B2; font-weight: bold"">Scala:[OBJECT_A]</span> release will target <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> 8 platform with a new backend and aim for much better performance.",Next *Scala* release will target §Java$ 8 platform with a new backend and aim for much better performance.
Windows XP,,Windows 8,,D397169943,True,But it is not legitimate to make up a myriad of excuses why Windows 8 is worse than Windows XP or Linux.,"But it is not legitimate to make up a myriad of excuses why <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> is worse than <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span> or Linux.",But it is not legitimate to make up a myriad of excuses why *Windows 8* is worse than §Windows XP$ or Linux.
Windows XP,,Windows Vista,,L1899809032,True,One of the major complaints about Windows Vista was the fact that it was consistently slower than Windows XP .,"One of the major complaints about <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span> was the fact that it was consistently slower than <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span> .",One of the major complaints about *Windows Vista* was the fact that it was consistently slower than §Windows XP$ .
Java,,Perl,,A77721609,True,"- 3+ years solid development experience with object-oriented Perl or Java, XML and HTML in a dynamic, fast-paced environment.","- 3+ years solid development experience with object-oriented <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, XML and HTML in a dynamic, fast-paced environment.","- 3+ years solid development experience with object-oriented *Perl* or §Java$, XML and HTML in a dynamic, fast-paced environment."
Java,,Perl,,C356883749,True,"As for performance, I've seen Perl GUI apps run faster than Java, so while Swing may be built in, that's not the end of the story.","As for performance, I've seen <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> GUI apps run faster than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, so while Swing may be built in, that's not the end of the story.","As for performance, I've seen *Perl* GUI apps run faster than §Java$, so while Swing may be built in, that's not the end of the story."
Python,,Lisp,,Q2662073870,True,"There may be no way you can develop this faster in other languages, but there are several other languages that would allow for equal ease of development: Ruby and Python for sure (but also Lua, Icon, and Lisp are good candidates).","There may be no way you can develop this faster in other languages, but there are several other languages that would allow for equal ease of development: Ruby and <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> for sure (but also Lua, Icon, and <span style=""color: #6CB219; font-weight: bold"">Lisp:[OBJECT_B]</span> are good candidates).","There may be no way you can develop this faster in other languages, but there are several other languages that would allow for equal ease of development: Ruby and *Python* for sure (but also Lua, Icon, and §Lisp$ are good candidates)."
Java,,Perl,,B224400478,True,"Although it doesn't quite match the ease of string-handling that Perl delivers, it is certainly easier to perform many string manipulations in Java than in C++.","Although it doesn't quite match the ease of string-handling that <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> delivers, it is certainly easier to perform many string manipulations in <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> than in C++.","Although it doesn't quite match the ease of string-handling that *Perl* delivers, it is certainly easier to perform many string manipulations in §Java$ than in C++."
PHP,,Perl,,J1501306550,True,I've done it before with Perl but I'm not particularly solid with PHP.,"I've done it before with <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> but I'm not particularly solid with <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>.",I've done it before with *Perl* but I'm not particularly solid with §PHP$.
MySQL,,PostgreSQL,,D527266319,True,"could also do that for MySQL, but PostgreSQL is simply a better RDBMS.","could also do that for <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span>, but <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> is simply a better RDBMS.","could also do that for *MySQL*, but §PostgreSQL$ is simply a better RDBMS."
Swift,,Objective-C,,B326674436,False,"Apple's Swift Programming Language Faster, Safer Than Objective-C","Apple's <span style=""color: #9A14B2; font-weight: bold"">Swift:[OBJECT_A]</span> Programming Language Faster, Safer Than <span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span>","Apple's *Swift* Programming Language Faster, Safer Than §Objective-C$"
Oracle,,PostgreSQL,,J1513178281,True,I was also surprised at how robust the query planner and optimizers are compared to Oracle when our performance testing found PostgreSQL to be faster.,"I was also surprised at how robust the query planner and optimizers are compared to <span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span> when our performance testing found <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> to be faster.",I was also surprised at how robust the query planner and optimizers are compared to *Oracle* when our performance testing found §PostgreSQL$ to be faster.
Java,,Python,,M2054186286,True,Python is easier to program in than Java.,"<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> is easier to program in than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",*Python* is easier to program in than §Java$.
