a,also_acceptable,b,id,marker,raw_text,text_html,text_readable
soup,,pasta,Q2639542872,True,There are no better memories than making a pasta primavera or a soup from veggies you grew yourself.,"There are no better memories than making a <span style=""color: #9A14B2; font-weight: bold"">pasta:[OBJECT_A]</span> primavera or a <span style=""color: #6CB219; font-weight: bold"">soup:[OBJECT_B]</span> from veggies you grew yourself.",There are no better memories than making a *pasta* primavera or a §soup$ from veggies you grew yourself.
carolina,,pennsylvania,M1979677167,True,"Pennsylvania is the biggest state left and has much better demographics for her than the second biggest (North Carolina, where polls all show Obama up by 10+%).","<span style=""color: #9A14B2; font-weight: bold"">pennsylvania:[OBJECT_A]</span> is the biggest state left and has much better demographics for her than the second biggest (North <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span>, where polls all show Obama up by 10+%).","*pennsylvania* is the biggest state left and has much better demographics for her than the second biggest (North §carolina$, where polls all show Obama up by 10+%)."
california,,carolina,O2416087629,True,"The Better Business Bureau in the states of: Arizona, California, Florida, Georgia, Nevada, South Carolina, Texas and many other states.","The Better Business Bureau in the states of: Arizona, <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, Florida, Georgia, Nevada, South <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span>, Texas and many other states.","The Better Business Bureau in the states of: Arizona, *california*, Florida, Georgia, Nevada, South §carolina$, Texas and many other states."
baseball,,basketball,F820263720,True,"Golf, Baseball, Basketball, Swimming, are solid.","Golf, <span style=""color: #9A14B2; font-weight: bold"">baseball:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">basketball:[OBJECT_B]</span>, Swimming, are solid.","Golf, *baseball*, §basketball$, Swimming, are solid."
beer,,juice,L1850401946,True,"Now that I think about it, the beer being distilled couldn't be any worse than the tomato juice being distilled.","Now that I think about it, the <span style=""color: #9A14B2; font-weight: bold"">beer:[OBJECT_A]</span> being distilled couldn't be any worse than the tomato <span style=""color: #6CB219; font-weight: bold"">juice:[OBJECT_B]</span> being distilled.","Now that I think about it, the *beer* being distilled couldn't be any worse than the tomato §juice$ being distilled."
mobile,,wallet,G924043184,True,He talks about the current shift toward the mobile wallet and how it's still not making life easier.,"He talks about the current shift toward the <span style=""color: #9A14B2; font-weight: bold"">mobile:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">wallet:[OBJECT_B]</span> and how it's still not making life easier.",He talks about the current shift toward the *mobile* §wallet$ and how it's still not making life easier.
harvard,,cornell,F849870782,True,"Harvard Head Coach Tim Murphy on the team's win versus Cornell and the upcoming game versus Lehigh Overall, our win was a very solid effort.","<span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> Head Coach Tim Murphy on the team's win versus <span style=""color: #6CB219; font-weight: bold"">cornell:[OBJECT_B]</span> and the upcoming game versus Lehigh Overall, our win was a very solid effort.","*harvard* Head Coach Tim Murphy on the team's win versus §cornell$ and the upcoming game versus Lehigh Overall, our win was a very solid effort."
playstation,,wii,H1088620429,True,"if people love the wii, they will love the nextgen graphics plus playstation Move even better.","if people love the <span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span>, they will love the nextgen graphics plus <span style=""color: #6CB219; font-weight: bold"">playstation:[OBJECT_B]</span> Move even better.","if people love the *wii*, they will love the nextgen graphics plus §playstation$ Move even better."
football,,hockey,S2979580472,True,Upper Deck: I do better in hockey and football.,"Upper Deck: I do better in <span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span>.",Upper Deck: I do better in *hockey* and §football$.
michigan,,pennsylvania,S3114572575,True,"What's good for the national GOP would be quite bad for Wisconsin, Pennsylvania, and Michigan, and probably even worse for Republican legislators and governors in those states.","What's good for the national GOP would be quite bad for Wisconsin, <span style=""color: #9A14B2; font-weight: bold"">pennsylvania:[OBJECT_A]</span>, and <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span>, and probably even worse for Republican legislators and governors in those states.","What's good for the national GOP would be quite bad for Wisconsin, *pennsylvania*, and §michigan$, and probably even worse for Republican legislators and governors in those states."
thanksgiving,,halloween,P2449049970,True,"The cooler weather brings on the more comforting foods and then before we know it, Thanksgiving arrives, then Halloween and pretty soon Christmas will be around the corner!","The cooler weather brings on the more comforting foods and then before we know it, <span style=""color: #9A14B2; font-weight: bold"">thanksgiving:[OBJECT_A]</span> arrives, then <span style=""color: #6CB219; font-weight: bold"">halloween:[OBJECT_B]</span> and pretty soon Christmas will be around the corner!","The cooler weather brings on the more comforting foods and then before we know it, *thanksgiving* arrives, then §halloween$ and pretty soon Christmas will be around the corner!"
carolina,,missouri,F733348629,True,"Following the nasty trip to Carolina, the Dores have three very winnable games with non-conference foes UMass and UAB before hosting a mediocre Missouri team.","Following the nasty trip to <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span>, the Dores have three very winnable games with non-conference foes UMass and UAB before hosting a mediocre <span style=""color: #6CB219; font-weight: bold"">missouri:[OBJECT_B]</span> team.","Following the nasty trip to *carolina*, the Dores have three very winnable games with non-conference foes UMass and UAB before hosting a mediocre §missouri$ team."
virginia,,oregon,S3005187914,True,virginia vs asu nc state vs oregon state clemson vs cal florida vs fresno state?... my money is on the 4 teams that beat FSU not the rejects of mediocre football Take a minute and look at each teams schedule and explain to me how those four teams are any better.,"<span style=""color: #9A14B2; font-weight: bold"">virginia:[OBJECT_A]</span> vs asu nc state vs <span style=""color: #6CB219; font-weight: bold"">oregon:[OBJECT_B]</span> state clemson vs cal florida vs fresno state?... my money is on the 4 teams that beat FSU not the rejects of mediocre football Take a minute and look at each teams schedule and explain to me how those four teams are any better.",*virginia* vs asu nc state vs §oregon$ state clemson vs cal florida vs fresno state?... my money is on the 4 teams that beat FSU not the rejects of mediocre football Take a minute and look at each teams schedule and explain to me how those four teams are any better.
google,,facebook,F824556825,True,Google+ is simply worse than Facebook.,"<span style=""color: #9A14B2; font-weight: bold"">google:[OBJECT_A]</span>+ is simply worse than <span style=""color: #6CB219; font-weight: bold"">facebook:[OBJECT_B]</span>.",*google*+ is simply worse than §facebook$.
tennis,,volleyball,O2348747214,False,Tennis Volleyball Modeling?,"<span style=""color: #9A14B2; font-weight: bold"">tennis:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">volleyball:[OBJECT_B]</span> Modeling?",*tennis* §volleyball$ Modeling?
california,,carolina,E587774456,True,Disposed of in California Superior Court North Carolina ex rel.,"Disposed of in <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span> Superior Court North <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span> ex rel.",Disposed of in *california* Superior Court North §carolina$ ex rel.
steel,,aluminum,B228997117,True,"Aluminum is much lighter than steel, dissipates heat better, and is easier to mod.","<span style=""color: #9A14B2; font-weight: bold"">aluminum:[OBJECT_A]</span> is much lighter than <span style=""color: #6CB219; font-weight: bold"">steel:[OBJECT_B]</span>, dissipates heat better, and is easier to mod.","*aluminum* is much lighter than §steel$, dissipates heat better, and is easier to mod."
phone,,ipod,H1087858317,True,I found that the experience on my HTC Sensation Android phone was far superior to use of my iPod Touch.,"I found that the experience on my HTC Sensation Android <span style=""color: #9A14B2; font-weight: bold"">phone:[OBJECT_A]</span> was far superior to use of my <span style=""color: #6CB219; font-weight: bold"">ipod:[OBJECT_B]</span> Touch.",I found that the experience on my HTC Sensation Android *phone* was far superior to use of my §ipod$ Touch.
knife,,pistol,J1574230921,True,Just switch to a pistol or knife secondary and you can reach certain choke points faster+ have range advantage with a AR.,"Just switch to a <span style=""color: #9A14B2; font-weight: bold"">pistol:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">knife:[OBJECT_B]</span> secondary and you can reach certain choke points faster+ have range advantage with a AR.",Just switch to a *pistol* or §knife$ secondary and you can reach certain choke points faster+ have range advantage with a AR.
lumber,,plywood,M2012890875,True,plywood or solid lumber to 3-1/4 in.,"<span style=""color: #9A14B2; font-weight: bold"">plywood:[OBJECT_A]</span> or solid <span style=""color: #6CB219; font-weight: bold"">lumber:[OBJECT_B]</span> to 3-1/4 in.",*plywood* or solid §lumber$ to 3-1/4 in.
california,,virginia,H1184299742,True,I'll start in Virginia and end in California but am happy to be flexible if anyone's got any better ideas ...,"I'll start in <span style=""color: #9A14B2; font-weight: bold"">virginia:[OBJECT_A]</span> and end in <span style=""color: #6CB219; font-weight: bold"">california:[OBJECT_B]</span> but am happy to be flexible if anyone's got any better ideas ...",I'll start in *virginia* and end in §california$ but am happy to be flexible if anyone's got any better ideas ...
steel,,timber,M1952411462,True,Our shipping containers are also extremely durable as they are made from marine grade corten steel with solid timber flooring.,"Our shipping containers are also extremely durable as they are made from marine grade corten <span style=""color: #9A14B2; font-weight: bold"">steel:[OBJECT_A]</span> with solid <span style=""color: #6CB219; font-weight: bold"">timber:[OBJECT_B]</span> flooring.",Our shipping containers are also extremely durable as they are made from marine grade corten *steel* with solid §timber$ flooring.
psp,,ps2,B338870749,True,Arguably the biggest disappointment with the PSP version of Armored Core 3 is the control scheme; it's simply inferior to the PS2 version.,"Arguably the biggest disappointment with the <span style=""color: #9A14B2; font-weight: bold"">psp:[OBJECT_A]</span> version of Armored Core 3 is the control scheme; it's simply inferior to the <span style=""color: #6CB219; font-weight: bold"">ps2:[OBJECT_B]</span> version.",Arguably the biggest disappointment with the *psp* version of Armored Core 3 is the control scheme; it's simply inferior to the §ps2$ version.
ds,,psp,L1805809001,False,"( Nintendo DS , PSP )","( Nintendo <span style=""color: #9A14B2; font-weight: bold"">ds:[OBJECT_A]</span> , <span style=""color: #6CB219; font-weight: bold"">psp:[OBJECT_B]</span> )","( Nintendo *ds* , §psp$ )"
california,,virginia,Q2678168303,True,"There were better quarterbacks out there, such as Geno Smith (West Virginia) and Matt Barkley (University of Southern California).","There were better quarterbacks out there, such as Geno Smith (West <span style=""color: #9A14B2; font-weight: bold"">virginia:[OBJECT_A]</span>) and Matt Barkley (University of Southern <span style=""color: #6CB219; font-weight: bold"">california:[OBJECT_B]</span>).","There were better quarterbacks out there, such as Geno Smith (West *virginia*) and Matt Barkley (University of Southern §california$)."
truck,,motorcycle,S3063974734,True,"Well I parked my truck after I bought a Motorcycle (actually whats termed a ""SuperScooter"") and found I liked riding it better than driving.","Well I parked my <span style=""color: #9A14B2; font-weight: bold"">truck:[OBJECT_A]</span> after I bought a <span style=""color: #6CB219; font-weight: bold"">motorcycle:[OBJECT_B]</span> (actually whats termed a ""SuperScooter"") and found I liked riding it better than driving.","Well I parked my *truck* after I bought a §motorcycle$ (actually whats termed a ""SuperScooter"") and found I liked riding it better than driving."
california,,oregon,G1033818363,True,"I changed employers once after that in order to get out of California...AFTER getting a solid (and better) offer in Oregon, where I stayed until I retired.","I changed employers once after that in order to get out of <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>...AFTER getting a solid (and better) offer in <span style=""color: #6CB219; font-weight: bold"">oregon:[OBJECT_B]</span>, where I stayed until I retired.","I changed employers once after that in order to get out of *california*...AFTER getting a solid (and better) offer in §oregon$, where I stayed until I retired."
football,,hockey,F744679606,True,"For example, NYCB's program cites a study in which ballet was found to be the second-most strenuous ""sport"" out there: easier than football, harder than hockey.","For example, NYCB's program cites a study in which ballet was found to be the second-most strenuous ""sport"" out there: easier than <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span>, harder than <span style=""color: #6CB219; font-weight: bold"">hockey:[OBJECT_B]</span>.","For example, NYCB's program cites a study in which ballet was found to be the second-most strenuous ""sport"" out there: easier than *football*, harder than §hockey$."
facebook,,youtube,T3272957071,True,"Your Social Media Hub - for Youtube, Facebook and Flickr PowerDVD 11 brings you a host of features designed to make enjoying social media easier, more convenient and faster!","Your Social Media Hub - for <span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">facebook:[OBJECT_B]</span> and Flickr PowerDVD 11 brings you a host of features designed to make enjoying social media easier, more convenient and faster!","Your Social Media Hub - for *youtube*, §facebook$ and Flickr PowerDVD 11 brings you a host of features designed to make enjoying social media easier, more convenient and faster!"
reagan,,nixon,E656964702,True,"epic fail, Mitt!) - spending (WSJ says Obama has the slower rate of growth in spending than Eisenhower, Nixon, Ford, Reagan, Bush the 1st and Bush the Lessor.)","epic fail, Mitt!) - spending (WSJ says Obama has the slower rate of growth in spending than Eisenhower, <span style=""color: #9A14B2; font-weight: bold"">nixon:[OBJECT_A]</span>, Ford, <span style=""color: #6CB219; font-weight: bold"">reagan:[OBJECT_B]</span>, Bush the 1st and Bush the Lessor.)","epic fail, Mitt!) - spending (WSJ says Obama has the slower rate of growth in spending than Eisenhower, *nixon*, Ford, §reagan$, Bush the 1st and Bush the Lessor.)"
phone,,laptop,A93830067,True,600$ for a phone we can get a decent quad core laptop for that price...pass,"600$ for a <span style=""color: #9A14B2; font-weight: bold"">phone:[OBJECT_A]</span> we can get a decent quad core <span style=""color: #6CB219; font-weight: bold"">laptop:[OBJECT_B]</span> for that price...pass",600$ for a *phone* we can get a decent quad core §laptop$ for that price...pass
harvard,,princeton,R2824141006,True,"This first place finish earned 32 points for Harvard, contributing to a solid second day lead over Princeton.","This first place finish earned 32 points for <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span>, contributing to a solid second day lead over <span style=""color: #6CB219; font-weight: bold"">princeton:[OBJECT_B]</span>.","This first place finish earned 32 points for *harvard*, contributing to a solid second day lead over §princeton$."
football,,basketball,I1392708170,True,I think the UConn women's basketball team would have a better chance against OU than their really mediocre football team.,"I think the UConn women's <span style=""color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span> team would have a better chance against OU than their really mediocre <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span> team.",I think the UConn women's *basketball* team would have a better chance against OU than their really mediocre §football$ team.
youtube,,itunes,T3242140065,True,You can listen to it on YouTube but the recording on iTunes is better--and worth it!,"You can listen to it on <span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span> but the recording on <span style=""color: #6CB219; font-weight: bold"">itunes:[OBJECT_B]</span> is better--and worth it!",You can listen to it on *youtube* but the recording on §itunes$ is better--and worth it!
michigan,,missouri,P2449050488,True,"The cooler weather, which will sink temperatures between 5 and 20 degrees lower than July averages, will primarily affect the Upper Midwest, causing thunderstorms from Michigan to Illinois to eastern Missouri on Friday","The cooler weather, which will sink temperatures between 5 and 20 degrees lower than July averages, will primarily affect the Upper Midwest, causing thunderstorms from <span style=""color: #9A14B2; font-weight: bold"">michigan:[OBJECT_A]</span> to Illinois to eastern <span style=""color: #6CB219; font-weight: bold"">missouri:[OBJECT_B]</span> on Friday","The cooler weather, which will sink temperatures between 5 and 20 degrees lower than July averages, will primarily affect the Upper Midwest, causing thunderstorms from *michigan* to Illinois to eastern §missouri$ on Friday"
phone,,ipod,J1447287947,True,It seems to sound better than the iPod/Phone.,"It seems to sound better than the <span style=""color: #9A14B2; font-weight: bold"">ipod:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">phone:[OBJECT_B]</span>.",It seems to sound better than the *ipod*/§phone$.
beer,,champagne,O2286015542,True,spirits .................... $0.40 per ounce; sparkling wine and champagne $0.16 per ounce; other wine ..................$0.12 per ounce; cooler and cider ........... $0.08 per ounce; beer ....................... $0.04 per ounce.,"spirits .................... $0.40 per ounce; sparkling wine and <span style=""color: #9A14B2; font-weight: bold"">champagne:[OBJECT_A]</span> $0.16 per ounce; other wine ..................$0.12 per ounce; cooler and cider ........... $0.08 per ounce; <span style=""color: #6CB219; font-weight: bold"">beer:[OBJECT_B]</span> ....................... $0.04 per ounce.",spirits .................... $0.40 per ounce; sparkling wine and *champagne* $0.16 per ounce; other wine ..................$0.12 per ounce; cooler and cider ........... $0.08 per ounce; §beer$ ....................... $0.04 per ounce.
amazon,,hulu,T3198930015,True,"With streaming services like Netflix, Amazon Prime, and Hulu Plus, watching imported television programs has never been easier.","With streaming services like Netflix, <span style=""color: #9A14B2; font-weight: bold"">amazon:[OBJECT_A]</span> Prime, and <span style=""color: #6CB219; font-weight: bold"">hulu:[OBJECT_B]</span> Plus, watching imported television programs has never been easier.","With streaming services like Netflix, *amazon* Prime, and §hulu$ Plus, watching imported television programs has never been easier."
harvard,,mit,F849880783,False,"Harvard, MA: MIT Press.","<span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span>, MA: <span style=""color: #6CB219; font-weight: bold"">mit:[OBJECT_B]</span> Press.","*harvard*, MA: §mit$ Press."
tennis,,volleyball,O2334625192,False,Tag Archives: tennis volleyball,"Tag Archives: <span style=""color: #9A14B2; font-weight: bold"">tennis:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">volleyball:[OBJECT_B]</span>",Tag Archives: *tennis* §volleyball$
swimming,,skiing,I1352186928,True,"I spend my time helping people feel better, rock climbing, skiing, practicing yoga, swimming, SUPing and sailing.","I spend my time helping people feel better, rock climbing, <span style=""color: #9A14B2; font-weight: bold"">skiing:[OBJECT_A]</span>, practicing yoga, <span style=""color: #6CB219; font-weight: bold"">swimming:[OBJECT_B]</span>, SUPing and sailing.","I spend my time helping people feel better, rock climbing, *skiing*, practicing yoga, §swimming$, SUPing and sailing."
california,,carolina,R2837305580,True,"This is developing a better North Carolina picture so that we can be more competitive with Boston, Atlanta and California.","This is developing a better North <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span> picture so that we can be more competitive with Boston, Atlanta and <span style=""color: #6CB219; font-weight: bold"">california:[OBJECT_B]</span>.","This is developing a better North *carolina* picture so that we can be more competitive with Boston, Atlanta and §california$."
fishing,,skiing,A131783252,True,"Achilles SG Sportboats bring performance and practicality together for better water skiing, diving, fishing, or all-around sport-boating pleasure!","Achilles SG Sportboats bring performance and practicality together for better water <span style=""color: #9A14B2; font-weight: bold"">skiing:[OBJECT_A]</span>, diving, <span style=""color: #6CB219; font-weight: bold"">fishing:[OBJECT_B]</span>, or all-around sport-boating pleasure!","Achilles SG Sportboats bring performance and practicality together for better water *skiing*, diving, §fishing$, or all-around sport-boating pleasure!"
harvard,,stanford,F849873779,True,Harvard is better than Western New England and Stanford is better than GGU.,"<span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> is better than Western New England and <span style=""color: #6CB219; font-weight: bold"">stanford:[OBJECT_B]</span> is better than GGU.",*harvard* is better than Western New England and §stanford$ is better than GGU.
pizza,,sausage,D522346533,True,Cooked sausage stored in pizza preparation top cooler noted at 56 degrees (corrected).,"Cooked <span style=""color: #9A14B2; font-weight: bold"">sausage:[OBJECT_A]</span> stored in <span style=""color: #6CB219; font-weight: bold"">pizza:[OBJECT_B]</span> preparation top cooler noted at 56 degrees (corrected).",Cooked *sausage* stored in §pizza$ preparation top cooler noted at 56 degrees (corrected).
beer,,soda,F797671633,True,"garden cooler ($10) is gin, lime juice, basil, cucumber and soda - a ... Steins Beer","garden cooler ($10) is gin, lime juice, basil, cucumber and <span style=""color: #9A14B2; font-weight: bold"">soda:[OBJECT_A]</span> - a ... Steins <span style=""color: #6CB219; font-weight: bold"">beer:[OBJECT_B]</span>","garden cooler ($10) is gin, lime juice, basil, cucumber and *soda* - a ... Steins §beer$"
football,,golf,K1622314482,True,"Let's take inventory, Chris...Romo is better at football, golf, and getting chicks than you could ever hope to be.","Let's take inventory, Chris...Romo is better at <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">golf:[OBJECT_B]</span>, and getting chicks than you could ever hope to be.","Let's take inventory, Chris...Romo is better at *football*, §golf$, and getting chicks than you could ever hope to be."
metal,,aluminum,P2546354930,True,The liquid metal or liquid aluminum can comprise solid particles.,"The liquid <span style=""color: #9A14B2; font-weight: bold"">metal:[OBJECT_A]</span> or liquid <span style=""color: #6CB219; font-weight: bold"">aluminum:[OBJECT_B]</span> can comprise solid particles.",The liquid *metal* or liquid §aluminum$ can comprise solid particles.
baseball,,softball,A107951124,True,@9:08 At no time has the softball stadium been superior to baseball.,"@9:08 At no time has the <span style=""color: #9A14B2; font-weight: bold"">softball:[OBJECT_A]</span> stadium been superior to <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span>.",@9:08 At no time has the *softball* stadium been superior to §baseball$.
harvard,,mit,F849884452,False,"Harvard, not MIT.","<span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span>, not <span style=""color: #6CB219; font-weight: bold"">mit:[OBJECT_B]</span>.","*harvard*, not §mit$."
bread,,pizza,R2922617051,True,"To make this delectable side bread, it's easier that saying pizza pie!","To make this delectable side <span style=""color: #9A14B2; font-weight: bold"">bread:[OBJECT_A]</span>, it's easier that saying <span style=""color: #6CB219; font-weight: bold"">pizza:[OBJECT_B]</span> pie!","To make this delectable side *bread*, it's easier that saying §pizza$ pie!"
wii,,psp,J1442934419,True,"It's better than the PSP and Wii, plus I always find that 3D seems to make resolutions better than it would look in 2D.","It's better than the <span style=""color: #9A14B2; font-weight: bold"">psp:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">wii:[OBJECT_B]</span>, plus I always find that 3D seems to make resolutions better than it would look in 2D.","It's better than the *psp* and §wii$, plus I always find that 3D seems to make resolutions better than it would look in 2D."
wood,,cement,T3207520891,False,Wood or cement?,"<span style=""color: #9A14B2; font-weight: bold"">wood:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">cement:[OBJECT_B]</span>?",*wood* or §cement$?
steel,,plywood,C370667243,True,"A solid plywood core deck, supported by a steel frame & braced with ... Read More","A solid <span style=""color: #9A14B2; font-weight: bold"">plywood:[OBJECT_A]</span> core deck, supported by a <span style=""color: #6CB219; font-weight: bold"">steel:[OBJECT_B]</span> frame & braced with ... Read More","A solid *plywood* core deck, supported by a §steel$ frame & braced with ... Read More"
paint,,chalk,B177903809,True,A good quality chalk paint and wax will be more enduring and look better.,"A good quality <span style=""color: #9A14B2; font-weight: bold"">chalk:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">paint:[OBJECT_B]</span> and wax will be more enduring and look better.",A good quality *chalk* §paint$ and wax will be more enduring and look better.
ds,,ps2,R2877716398,True,This was one of my favourite games on the PS2 and looks fantastic on the DS: the same but better!,"This was one of my favourite games on the <span style=""color: #9A14B2; font-weight: bold"">ps2:[OBJECT_A]</span> and looks fantastic on the <span style=""color: #6CB219; font-weight: bold"">ds:[OBJECT_B]</span>: the same but better!",This was one of my favourite games on the *ps2* and looks fantastic on the §ds$: the same but better!
michigan,,missouri,L1922347923,True,"On Tuesday, the Gators flunked their midterm against Missouri, but Indiana submitted one of the better wins of the season at Michigan State.","On Tuesday, the Gators flunked their midterm against <span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span>, but Indiana submitted one of the better wins of the season at <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span> State.","On Tuesday, the Gators flunked their midterm against *missouri*, but Indiana submitted one of the better wins of the season at §michigan$ State."
harvard,,princeton,F741039146,True,"For Economics, Harvard, Stanford, MIT and Princeton have better reputations.","For Economics, <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span>, Stanford, MIT and <span style=""color: #6CB219; font-weight: bold"">princeton:[OBJECT_B]</span> have better reputations.","For Economics, *harvard*, Stanford, MIT and §princeton$ have better reputations."
baseball,,basketball,J1469389151,True,"It's true! Archery is safer than basketball, baseball, soccer and even golf.","It's true! Archery is safer than <span style=""color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span>, soccer and even golf.","It's true! Archery is safer than *basketball*, §baseball$, soccer and even golf."
psp,,ps3,M2047751469,True,PSone Classics for PS3 / PSP Metal Gear Solid ($9.99),"PSone Classics for <span style=""color: #9A14B2; font-weight: bold"">ps3:[OBJECT_A]</span> / <span style=""color: #6CB219; font-weight: bold"">psp:[OBJECT_B]</span> Metal Gear Solid ($9.99)",PSone Classics for *ps3* / §psp$ Metal Gear Solid ($9.99)
amazon,,facebook,B231833050,True,"Amazon, Facebook, G+, eBay, whatever...at least that part of your ""business"" becomes ""safer"".","<span style=""color: #9A14B2; font-weight: bold"">amazon:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">facebook:[OBJECT_B]</span>, G+, eBay, whatever...at least that part of your ""business"" becomes ""safer"".","*amazon*, §facebook$, G+, eBay, whatever...at least that part of your ""business"" becomes ""safer""."
football,,golf,E696093861,True,Fantasy football is now a memory and the transition to fantasy golf couldn't come at a better time.,"Fantasy <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span> is now a memory and the transition to fantasy <span style=""color: #6CB219; font-weight: bold"">golf:[OBJECT_B]</span> couldn't come at a better time.",Fantasy *football* is now a memory and the transition to fantasy §golf$ couldn't come at a better time.
michigan,,oregon,S3083887456,True,"We should, undeniably, have classes that are as good or better than Ohio St, Michigan, Nebraska, PSU, Oregon, Tennessee, etc.","We should, undeniably, have classes that are as good or better than Ohio St, <span style=""color: #9A14B2; font-weight: bold"">michigan:[OBJECT_A]</span>, Nebraska, PSU, <span style=""color: #6CB219; font-weight: bold"">oregon:[OBJECT_B]</span>, Tennessee, etc.","We should, undeniably, have classes that are as good or better than Ohio St, *michigan*, Nebraska, PSU, §oregon$, Tennessee, etc."
amazon,,youtube,P2440697502,True,The combination Twitch+YouTube looked great on paper - much better than Amazon+Twitch.,"The combination Twitch+<span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span> looked great on paper - much better than <span style=""color: #6CB219; font-weight: bold"">amazon:[OBJECT_B]</span>+Twitch.",The combination Twitch+*youtube* looked great on paper - much better than §amazon$+Twitch.
golf,,tennis,T3213620702,True,"Wow, better than new golf clubs or even tennis balls!","Wow, better than new <span style=""color: #9A14B2; font-weight: bold"">golf:[OBJECT_A]</span> clubs or even <span style=""color: #6CB219; font-weight: bold"">tennis:[OBJECT_B]</span> balls!","Wow, better than new *golf* clubs or even §tennis$ balls!"
mobile,,laptop,N2134508317,True,"SATA Solid State Drives SSD 2.5"" for laptop / mobile applications.","SATA Solid State Drives SSD 2.5"" for <span style=""color: #9A14B2; font-weight: bold"">laptop:[OBJECT_A]</span> / <span style=""color: #6CB219; font-weight: bold"">mobile:[OBJECT_B]</span> applications.","SATA Solid State Drives SSD 2.5"" for *laptop* / §mobile$ applications."
basketball,,golf,F820324324,False,"Golf, JV Basketball","<span style=""color: #9A14B2; font-weight: bold"">golf:[OBJECT_A]</span>, JV <span style=""color: #6CB219; font-weight: bold"">basketball:[OBJECT_B]</span>","*golf*, JV §basketball$"
milk,,soda,T3175699804,True,Why is soda $5 per gallon when milk is so much better for you?,"Why is <span style=""color: #9A14B2; font-weight: bold"">soda:[OBJECT_A]</span> $5 per gallon when <span style=""color: #6CB219; font-weight: bold"">milk:[OBJECT_B]</span> is so much better for you?",Why is *soda* $5 per gallon when §milk$ is so much better for you?
concrete,,timber,D511154060,False,"concrete, steel and timber.","<span style=""color: #9A14B2; font-weight: bold"">concrete:[OBJECT_A]</span>, steel and <span style=""color: #6CB219; font-weight: bold"">timber:[OBJECT_B]</span>.","*concrete*, steel and §timber$."
reagan,,nixon,K1608188510,True,"Later, when Reagan came to power, I kept thinking, my God, he's worse than Nixon.","Later, when <span style=""color: #9A14B2; font-weight: bold"">reagan:[OBJECT_A]</span> came to power, I kept thinking, my God, he's worse than <span style=""color: #6CB219; font-weight: bold"">nixon:[OBJECT_B]</span>.","Later, when *reagan* came to power, I kept thinking, my God, he's worse than §nixon$."
