id	sentence	a	b	marker
J1496427007	I use Netbeans, just because it's what I learned on and I know all its little quirks, etc. Overall I'd say its a little bit faster than Eclipse and definitely more polished.	Eclipse	NetBeans	True
D417871170	But the world believes that Android will now take out iOS much like we took out BlackBerry or Windows Mobile or Palm.	Windows Mobile	iOS	False
T3276621093	You still get features like a decent firewall with scheduling, guest networks with bandwidth allocation, printer support, FTP and media server capabilities for the two USB 2.0 ports, IPv6, VPN, 4 Gigabit Ethernet ports etc.	USB	Ethernet	True
N2187139524	Sheryl Crow Miranda Lambert Kacey Musgraves Taylor Swift Carrie Underwood	Swift	Miranda	False
L1850335063	Now that in-memory processing is showing up in the feature roster of big-name commercial databases ( Oracle ), and open source products ( VoltDB , MariaDB , PostgreSQL ), Microsoft SQL Server included the commercial offerings, where the technology shows the greatest advantage by dint of being that much more thoroughly integrated into the finished product.	PostgreSQL	Microsoft SQL Server	False
B246760713	And as far as better cover art, sheesh, it was hard to tell any huge differences between S2 and S3.	S2	S3	True
O2411982095	The base Celeron model offers 2GB of RAM, 16GB of SSD storage, dual-band Wi-Fi, Bluetooth 4.0, four USB 3.0 ports, Ethernet, and an SD card reader, with a HDMI output accompanied by a DisplayPort capable of providing 4K video playback on models with the faster processor.	USB	Ethernet	True
J1501214289	I've developed with Eclipse for years but I discovered a few months ago that NetBeans works a lot better and offers the same functionality...and more (FTP integration, stable, fast, support for a lot of languages, etc.)	Eclipse	NetBeans	True
E635907754	Eclipse is still better, next comes Netbeans.	Eclipse	NetBeans	True
M2024554490	Pour over the maple syrup, cover with foil and bake for 20-25 minutes, until the apples have softened slightly.	Maple	FOIL	False
M2045208008	Protect yourself with mSecure on Android, iOS, and Windows mobile devices.	Windows Mobile	iOS	False
N2118420219	Rounding things off nicely, you get decent wireless capability, including 802.11bgn WiFi, up-to-date Bluetooth, and also included is a single USB 3.0 slot, 2 x USB 2 slots, HDMI out, an SD card slot and, handily, an Ethernet connection.	Ethernet	Bluetooth	True
E692823612	fact Ruby is probably faster than Java was back in the early days.	Java	Ruby	True
J1502875189	I've had non-ASCII (ISO-8859-1 actually) characters in my gecos field for at least 10 years, but then again, I'm used to programs not working with anything but ASCII, so I haven't complained :-)	ASCII	ISO 8859:	False
L1837303648	Not sure exactly where the line was drawn between EBCDIC and UTF-8.	UTF-8	EBCDIC	False
F764954524	For this reason, organizations migrate from their current database, such as Microsoft SQL Server, Sybase Adaptive Server, Microsoft Access, or IBM DB2, to an Oracle database.	Oracle	Microsoft Access	False
M2001155422	Place chopped squash on the foil and drizzle with maple syrup.	Maple	FOIL	False
N2130910584	Samsung makes decent hardware, but with the exception of the Galaxy S2 and Galaxy S3 their products, especially regarding software, design and build quality, were kinda fails.	S2	S3	True
M2045526837	Pro Tools, for example, always seemed to run better on Windows XP Home then on Windows Vista: it ran smoother, was more stable and the achievable plugin counts were much higher.	Windows XP	Windows Vista	True
E666176923	Even better, it actually DOES generate industry standard SQL and can be used with several ODBC or JDBC compatible databases, including MySQL, PostgreSQL, DB2, Oracle, Sybase, and of course, SQL Server.	Oracle	MySQL	True
E698410435	FAVORITE FEMALE ARTIST - COUNTRY ·    Miranda Lambert ·    Taylor Swift ·    Carrie Underwood	Swift	Miranda	False
A5215981	[0100] In several exemplary embodiments, a database may be any standard or proprietary database software, such as Oracle, Microsoft Access, SyBase, or DBase II, for example.	Oracle	Microsoft Access	False
T3147160515	When you wanted to migrate for performance reasons it also could happen that PostgreSQL will have an inferior performance than MySQL has had.	MySQL	PostgreSQL	True
A115594089	A better approach is to use a deployment tool such as the Microsoft Visual Studio Installer.	Visual Studio	Microsoft Visual Studio	True
R2822043691	This ensures that you can develop your mobile view for both iOS, Android and Windows Mobile devices.	Windows Mobile	iOS	False
Q2629873295	The query also helps resolve reserved word conflicts between Microsoft Access and Oracle.	Oracle	Microsoft Access	False
O2324195956	Supported databases includes Microsoft Access, Microsoft SQL Server, Oracle or any database with ADO or ODBC connectivity.	Oracle	Microsoft Access	False
I1297100793	Interface SSE data with ADO compliant Databases such as Microsoft access, SQL Server, Oracle and others	Oracle	Microsoft Access	False
B248657367	And both Ruby and Python are easier to program in than Java.	Java	Ruby	True
F878514780	He has been on tour with Miranda Lambert since the fall 2010 and will tour with Taylor Swift later this summer.	Swift	Miranda	False
E703500399	FEMALE VIDEO OF THE YEAR Sara Evans- "A Little Bit Stronger" Miranda Lambert- "The House That Built Me" Reba - "Turn On The Radio" Taylor Swift- "Mine" Carrie Underwood- "Undo It"	Swift	Miranda	False
F890158439	Hello,    Is the UTF-8 encoding scheme the same irrespective of whether the uderlying proccessor is little endian or big endian, or if the system uses ASCII or EBCDIC encoding.	UTF-8	EBCDIC	False
N2159183229	Sensor S3 demonstrates a better performance compared to S1 and S2.	S2	S3	True
P2588640765	Then, we stack the candies by color to make a bar graph on the table.	Graph	Stack	False
B215650696	Also it is not that one particular method is better than the other, but your approach and how you need to use stack space or set up ADT queues and what ordering your are needing to traverse the graph(level ordering?).	Graph	Stack	False
S3099213387	We write in whatever language we need to get the job done including Ruby, Java, Python, PHP, Swift, and ...	Java	Swift	False
I1311508053	In the present example, the photoprinter 10 can communicate to a computer 12 using any one of a variety of different communication links, such as parallel cables, serial cables, telephone lines, universal serial bus port "USB", firewire, bluetooth, fiber optics, infrared "IR", radio frequency "RF", network interface cards (e.g., Ethernet, token ring, etc.), and the like.	USB	Token ring	False
I1326711234	...ion The Swift compiler extends the Jif compiler with about 20,000 lines of non-comment non-blank lines of Java code.	Java	Swift	False
C365152303	As I was working with NodeJS and RabbitMQ every day anyway, I decided to take a leap and prototype a distributed graph system using a completely different stack.	Graph	Stack	False
J1470041096	It supports many databases: MySQL, PostgreSQL, Oracle, DB2, and Microsoft SQL Server.	PostgreSQL	Microsoft SQL Server	False
N2243695117	Solid programming abilities in one or more of the following languages: Java, PHP, JavaScript and Perl	PHP	Perl	True
E714864541	Finally, don't forget that you know Java much better than you know Ruby.	Java	Ruby	True
I1272024384	In most cases, it would be easier and just as performant to write that code in Java, and many pure-Ruby libraries perform well enough to reduce the need for native code.	Java	Ruby	True
S3047398650	We had a license for JDeveloper, even used it but Eclipse blew it away.	Eclipse	JDeveloper	False
D529403790	Country Song: "Begin Again," Taylor Swift; "I Drive Your Truck," Lee Brice; "Mama's Broken Heart," Miranda Lambert; "Merry Go 'Round," Kacey Musgraves; "Mine Would Be You," Blake Shelton	Swift	Miranda	False
S3113709366	What PHP does better than Perl is packaging.	PHP	Perl	True
L1885675207	On Board Computer:     - Winsystems PPM-LX800-G          - AMD 500 MHz Geode LX800          - PC/104-Plus module     - 1 GB of system DDR SDRAM     - 8 GB Compact Flash (CF) card for OS and storage        (Solid state-no-moving parts)     - Ethernet, Serial, Parallel, USB 2.0     - Operating System: Fedora 11	USB	Ethernet	True
H1117323950	If you like this subject, also check out Terrab Erk's cool stack graph comparing movie genres back to the 1880s.	Graph	Stack	False
N2118317484	Round 8 Selena and Taylor Swift Round 9 Selena and Miranda Cosgrove Round 10 Selena and Katy Perry	Swift	Miranda	False
R2928129235	To perform a model number lookup, information relating to the model number from the caller is sent as a query to a Microsoft Access® or Oracle® data table (or any other suitable data table) which stores preloaded model information.	Oracle	Microsoft Access	False
N2133397556	Sara Evans- "My Heart Can't Tell You No" Miranda Lambert - "Over You" Martina McBride - "I'm Gonna Love You Through It" Kellie Pickler - "Tough" Taylor Swift - "Ours" Carrie Underwood - "Good Girl"	Swift	Miranda	False
D462521030	Certainly Java and C# are an even worse choice than VB; since they're mediocre compromises of c-like languages with a subset of OO layered on top (but not as much as ruby/lisp/smalltalk); and are far more cumbersome than VB or Python.	Java	Ruby	True
Q2653881562	There is also no sane reason to use mySQL (or Oracle) when PostgreSQL is better than both in almost every respect.	Oracle	MySQL	True
K1714029069	Microsoft Visual Studio 2012 provides new capabilities to support the latest platforms with modern lifecycle tools to make it easier for teams to deliver real value.	Visual Studio	Microsoft Visual Studio	True
N2243620851	Solid built with SD card, x2 USB, HDMI and Ethernet ports	USB	Ethernet	True
R2930877227	Tori Martin has been embraced by fans of Carrie Underwood, Miranda Lambert, Taylor Swift, Adele, and the band Perry.	Swift	Miranda	False
J1448309952	Its fit and finish are suspect, and it should have more USB ports, a faster Wi-Fi adapter, and gigabit ethernet-even at this price.	USB	Ethernet	True
A68930995	(3:44pm EST Mon Dec 15 2003) Rarely are Open Source products superior to their commercial counterparts, for examples, see MySQL vs Oracle, Sybase, and SQL Server, Tomcat vs Weblogic, GIMP vs Photoshop, Websphere Application Developer vs NetBeans.	Oracle	MySQL	True
T3175976213	Why just put your beer in a regular ol' cooler ... when you can have a cooler that also has a built-in blender, USB port, LED lights, a waterproof Bluetooth speaker, a cutting board, off-road wheels and more?	USB	Bluetooth	True
K1720023687	Miranda Lambert - "More Like Her" Martina McBride - "Ride" Kellie Pickler - "Don't You Know You're Beautiful" Taylor Swift - "Love Story"	Swift	Miranda	False
E596712044	Domain Specific Language (DSL) I don't know a language in wich it is easier to build up domain-specific-languages, but if you look up the books, you will again find examples in java and in ruby.	Java	Ruby	True
Q2653813319	There is also commentary from Kenny Chesney, Merle Haggard, Faith Hill, Miranda Lambert, Tim McGraw, Lady Antebellum's Hillary Scott, Taylor Swift, Carrie Underwood and many more.	Swift	Miranda	False
H1195677137	I'm a pretty slow learner so don't go along with the idea of learning serveral languages - especially when one of them - PHP - is a bastardised, inferior version of something I spent years learning - Perl.	PHP	Perl	True
A126869347	According to Intel, Phi is easier to deploy than NVIDIA's CUDA or AMD's OpenCL-based technologies because it uses common x86 software.	CUDA	OpenCL	True
A110178035	9. During the last 30 minutes, add the reserve shallots, garlic, and herbs to the pan, remove the foil from the turkey and brush twice with the maple glaze.	Maple	FOIL	False
G1036486343	I could imagine that it is quite possible to accelerate certain steps of video decompression on the GPU, however like many non-rendering specific tasks it's probably easier to use a compute API (OpenCL or CUDA).	CUDA	OpenCL	True
T3218285901	Xerox ColorQube 8580DT Solid Ink Printer - Color - 2400 dpi Print - Plain Paper Print - Desktop - 51 ppm Mono / 51 ppm Color Print - 2200 sheets Input - 85000 pages per month - Automatic Duplex Print - Ethernet - USB For state-specific electronic... more	USB	Ethernet	True
D513855074	Connectivity comes in the form of a VGA socket, headphone and microphone 3.5mm jacks, Ethernet (so it's already better than the Air - yes, I went there), an SD slot and three USB ports.	USB	Ethernet	True
S3051204817	We have developed more than 1500 apps for iOS, Android and Windows Mobile along with many cloud solutions.	Windows Mobile	iOS	False
P2498112288	The four most popular databases for use with PHP are MySQL, PostgreSQL, Oracle, and Microsoft SQL Server.	PostgreSQL	Microsoft SQL Server	False
F830866711	graph tw (line y1 y0 pce , sort clcolor(black dknavy ) clwidth(thick thick ) xtitle("Per Capita Expenditure ", margin(vsmall)) ytitle("Annual Firewood Collection in Bharis", margin(vsmall)) xlab(0(10000)55000) ylab(0(20)120, nogrid) ytic(0(10)120) leg(on order(1 2 3) col(1) ring(5) pos(3) stack label(1 "with FUG") label(2 "without FUG" )   ))  /// (line z1 z2 z3 z4 pce_c , sort)	Graph	Stack	False
Q2744366251	The trouble is, database products such as Microsoft Access and Oracle are pretty expensive, which is why Kexi is an attractive option, as it is completely free and open source.	Oracle	Microsoft Access	False
E570316303	Designed for small offices and workgroups (from one to five users), the units are the same except that the Officejet 6700 Premium has faster print speeds and adds a wired Ethernet network interface, automatic duplex printing, and USB host port.	USB	Ethernet	True
T3132460294	When I work in Rails I always have this 'lets put a nice framework on top of this to make things easier' feelingThat was common to do in the early 90s when we all did that in our Perl/PHP/Java frameworks.	PHP	Perl	True
B258838883	And if you think about it, it's quite obvious that this is true, since interpreted languages like Ruby and Python really are  orders of magnitude slower than Java and Scala at computation.	Java	Ruby	True
L1777182658	MySQL's free Workbench application supports migrations from Microsoft SQL Server, PostgreSQL, Sybase ASE, Sybase SQL Anywhere, SQLite, and others.	PostgreSQL	Microsoft SQL Server	False
T3127569462	When I first bought it years ago it was exponentially slower because of Windows Vista but improved greatly when I installed Windows XP.	Windows XP	Windows Vista	True
H1146966698	I have come across some comparisons where Windows 7 was faster than Windows Vista as well as Windows XP, so I was really curious to see if that was in fact the case.	Windows XP	Windows Vista	True
T3167384774	While Windows XP was compatible with over 90 percent of the then-current hardware at its launch, Windows Vista offers even better compatibility.	Windows XP	Windows Vista	True
B308911198	Another 'Windows XP is better than Windows Vista' post	Windows XP	Windows Vista	True
M1984884591	Performances also included Taylor Swift, Kacey Musgraves, Lady Antebellum, and Miranda Lambert, to name a few.	Swift	Miranda	False
P2462600955	The device doesn't have too solid specifications, but it's got a 600MHz processor, 3MP Camera and the normal connectivity options that include Bluetooth and USB.	USB	Bluetooth	True
T3184440482	Windows 7 may be faster than Windows XP! - Many users were disappointed with the performance of Windows Vista.	Windows XP	Windows Vista	True
F744812277	For example, Oracle has supported XML export for some time now; Microsoft Access and Excel 2002 also now support XML output.	Oracle	Microsoft Access	False
F739462034	For cheerleading/dance, Kelsey Shirk performed a solo dance routine to a medley of Miranda Lambert/Taylor Swift songs.	Swift	Miranda	False
H1189030823	i love the fact that samsung had to make the s3 way uglier than the s2, just to get away from cloning the iphone's look yet again.	S2	S3	True
E712802703	file is always saved in ISO-8859-1 and characters having Unicode 0x00ff and above are translated to form \uxxxx where 'xxxx' is the respective Unicode value.	Unicode	ISO 8859-1	False
E675811825	Every day, I have to plug in power (easier with the mag connector) ethernet, monitor cable, 2 USB plugs and a speaker port- put my laptop on a stand- and then I can work- I have a 20" monitor- and the macbook available as a second screen.	USB	Ethernet	True
A141350248	Added chunk removal queue debug-graph.	Graph	Queue	False
D543837507	CVEID: CVE-2013-5791 Description: The Oracle Outside In Microsoft Access 1.x database file parser is vulnerable to a stack-based buffer overflow.	Oracle	Microsoft Access	False
P2455029446	the current mobile application from PhoneGap to (Xamarin, Swift , Java or another similar framework.	Java	Swift	False
C374513259	As set forth further below, a secondary module is slidably engageable with the secondary receptacle, with the secondary module including one or more computer network connection ports such as USB ports or Ethernet ports and/or one or more solid state memory element interfaces such as memory card slots.	USB	Ethernet	True
O2306573588	Storm surge from the Atlantic Ocean propagates into the Pamlico Sound, which further propagates into the Neuse and Trent Rivers; riverine flooding from heavy rainfall occurs on Clubfoot, Maple, Mauls Swamp, Mills Branch, Mosely, Samuels/Rocky Run, Scotts, Snake Swamp, Swift, Tucker, Village, and Wilson Creeks, and the tributaries of Mills Branch and Mosely Creeks.	Swift	Maple	False
G1002251979	I also had to add a USB 2.0, firewire card, a faster Ethernet card, and a second hard drive.	USB	Ethernet	True
G1021645433	I base my findings directly on the languages of Perl and PHP, as they have adopted the same conventions that not only encourage good programming practices, but also is easier to follow.	PHP	Perl	True
H1119770151	If your database is MySQL, MS SQL, or Oracle, you're much better off using an RDS instance rather than trying to roll your own using EC2 and EBS.	Oracle	MySQL	True
I1369966389	It converts Unlimited Databases, including (Firebird , Interbase ,PostGre-Sql , Sybase, SqlLite, Mysql, Oracle, Microsoft Access, Microsoft SQL Server, ...	Oracle	Microsoft Access	False
I1327226399	iOS & Android expert - iOS 8, Swift, iOS7, iPhone6, iPhone 6 Plus, Java, Android Kitkat, Android wear Watch, Xcode, Eclipse, Objective C, C# for Unity, PHP, JSON, XML, REST API, MySQL, MongoDB, XMPP, Node.js.	Java	Swift	False
E609550559	Do you specialise in Windows mobile porting ios android?	Windows Mobile	iOS	False
Q2717643059	The soundtrack features artists including Kid Cudi , Taylor Swift , Miranda Lambert and The Decemberists , and is available for purchase here .	Swift	Miranda	False
M1996489642	PHP offers excellent connectivity to many databases including MySQL, Informix, Oracle, Sybase, Solid, PostgreSQL, and Generic ODBC.	Oracle	MySQL	True
M2050488012	Puchkoff, J.; Curry, L.; Swan, J.; Sharkey, B.; Ruby, B. 1998.	Curry	Ruby	False
M1924420991	Open Source Tools for Database Kexi can be used instead of  Microsoft Access Firebird and SQL can be used instead of  Microsoft SQL Server, others	Firebird	Microsoft SQL Server	False
A7105264	01 White 02 Baby Yellow 05 Baby Mint 06 Baby Peach 09 Ecru 10 Lemon 13 Jade 14 Melon 15 Orchid 16 Lavender 17 Grey 21 Grass 23 Spruce 24 Chocolate 25 Ruby 26 African Violet 27 Navy 28 Boy Blue 31 Italian Plum 32 Cotton Candy 33 Peacock 34 Classic Blue 35 Taupe 36 Cactus 37 Lime Sherbert 38 Yellow 40 Black 41 Blue Mirage 42 Apple Cinnamon 43 Golden Rod 44 Cordovan 45 Raspberry 46 Red Plum 47 Teal 48 Methyl Blue 49 Smoke Blue 50 Capers 51 Yellow Curry 52 Fireball 53 Mauve Orchid 57 Wood Violet	Curry	Ruby	False
A68663710	3. 3 Oracle Fusion Middleware Runs on the WebLogic Suite Proven to Outperform Best Foundation for the Oracle Portfolio Lowest Operational Cost Coherence EE JRockit Real Time WebLogic Server Java EE: Reliability, Availability, Scalability & Performance High Performance, Reliable, Scale Out for Java, C++ and .NET High Performance JVM with Extreme Low Latency WebLogic Suite EnterpriseManager AdminandOperations DevelopmentTools Jdeveloper/Eclipse Java EE/ISV Apps SOA Suite WebCenter Suite Content Management Suite Identity Management Suite Business Intelligence Suite	Eclipse	JDeveloper	False
I1274429908	In no time at all we had Apache, PHP, Perl, MySQL and Samba running, as well as a few more games and a better text editor to replace the featureless editor supplied.	PHP	Perl	True
G985775682	However, wired connections such as serial interfaces, parallel interfaces, USB interfaces, Fire Wire (IEEE 1394), Ethernet and token ring network among others may also be implemented in the present invention.	USB	Token ring	False
P2519721685	The ideal candidate has solid experience with OO Perl (PHP, Ruby or others ...	PHP	Perl	True
K1608728221	Lattice.SPGen is a template-based stored procedure and code generator that supports Microsoft SQL Server, Oracle, IBM DB2 UDB, PostgreSQL and MySQL.Â It processesÂ any tables and views in the databaseÂ that you select andÂ generate stored procedures scripts of insert, update, delete, select (single or multiple records) as well as business entities for C# and VB.NET.	PostgreSQL	Microsoft SQL Server	False
I1341577929	Isabella and Alexander settled in the Maple Creek area of Saskatchewan, west of Swift Current and not too far north of the Montana border.	Swift	Maple	False
M2079008312	Recover Data for Windows software runs on all Windows OS including Windows 95, Windows 98, Windows NT, Windows 2000, Windows 2003 Server, Windows XP and Windows vista and perform better data recovery process.	Windows XP	Windows Vista	True
S2956390829	Two notable exceptions to this rule are the implementations found in PostgreSQL and Microsoft SQL Server , both of which allow TRUNCATE TABLE statements to be committed or rolled back transactionally.	PostgreSQL	Microsoft SQL Server	False
F771490277	Fourth, when received at the network interface module, the internal packets are translated into the appropriate native network packet format (e.g., FDDI, Ethernet, Token Ring, or Frame Relay) and then transmitted to the network connected to the BES via the network interface module.	Frame relay	Token ring	False
D471249679	Check that the tube and capacitors are intact D. D. Explain the pros and cons of each system lTe A customer has asked if Windows XP is better than Windows Vista.	Windows XP	Windows Vista	True
B303426816	An often requested feature for users migrating from Microsoft SQL Server to PostgreSQL is being able to use what Microsoft calls "Integrated Security".	PostgreSQL	Microsoft SQL Server	False
L1846540019	Now in preview, Amazon Aurora joins MySQL, Oracle, Microsoft SQL Server, and PostgreSQL as the fifth database engine available to customers through Amazon RDS.	PostgreSQL	Microsoft SQL Server	False
S3056430674	We intended to drive to Maple Creek, but as we left before 9, we figured we could at least make it to Swift Current.	Swift	Maple	False
P2521466579	The impetus for developing Kexi came from a noticeable lack of applications having the features of Microsoft Access, FoxPro, Oracle Forms or FileMaker while at the same time being powerful, inexpensive, open-standards-driven and sufficiently portable.	Oracle	Microsoft Access	False
K1735002760	More system memory 6. Faster Bluetooth so I can maximize bridge speed when using my future LTE Z10. 7. A real docking station with charging, wireless keyboard, stand, USB and wired LAN connection, and HDMi.	USB	Bluetooth	True
I1294633916	Insurance Group 9, Solid White, 1 owner, Full dealership history, Excellent bodywork, Interior - Excellent Condition, Tyre condition Excellent, Automatic Air Conditioning, Cruise Control, 16in Alloy Wheels, Bluetooth Integrated into Audio Unit (Voice Activated with Music Streaming Capability), Electric Windows Front and Rear, Keyless Start, MP3 / WMA Compatible CD Tuner with USB Port, Privacy Glass (Rear Doors and Tailgate).	USB	Bluetooth	True
N2247115509	Some earlier work on the general stack domination number will be covered in this work, as  well as progress in an ongoing exploration of how this parameter varies between a graph and its Mycielskian.	Graph	Stack	False
R2883896370	This year's candidates for the Entertainer of the Year are Jason Aldean, Luke Bryan, Miranda Lambert, Blake Shelton and Taylor Swift.	Swift	Miranda	False
M2058084275	Queue graph creation, repo impact analyses, blog posts, etc.	Graph	Queue	False
F779469491	From a developer productivity point of view, it just seems like you can get further, faster with Ruby/Rails then with C#/Java.	Java	Ruby	True
H1117218651	If you like Microsoft Visual Studio .NET, or Eclipse, better get used to the command-line stuff...	Visual Studio	Microsoft Visual Studio	True
D459254571	CCNP certified professionals can work with complex (100 - 500 nodes) LAN/WAN technologies including Ethernet, Token Ring, FDDI, X.25, Frame Relay, and ATM.	Frame relay	Token ring	False
T3208606181	Worked on many different games / applications and server using cocos2d, cocos2dx, box2d, chipmunk, ngCore(js), Objective-C, swift, java, php, python with GAE, unity3d and many more.	Java	Swift	False
A62740075	(2) PostgreSQL will be superior to Oracle and DB2 in the same way it is vastly superior to MySQL.	Oracle	MySQL	True
C384542396	ASUSTeK has a new model due soon in Europe, the VDA IV, a very decent looking Windows Mobile 5 Smartphone device featuring UMTS, tri-band GSM, 128MB flash memory, 64MB SDARM, a 2.2-inch QVGA display, microSD slot, Bluetooth 1.2, USB 1.1 (uhh, ok), 3.5mm headphone jack (huzzah!), 1100mAh battery, and a diminutive 110 x 47 x 18mm body (4.3 x 1.85 x 0.7-inch).	USB	Bluetooth	True
P2456731629	The databases 216 , 218 may be managed by a database management system (DBMS), for example but not limited to, Oracle, DB2, Microsoft Access, Microsoft SQL Server, PostgreSQL, MySQL, FileMaker, etc.	Oracle	Microsoft Access	False
Q2703740198	These port adapters have many embodiments, including multiple Ethernet, token ring, and modem cards to handle frame relay, ATM, and ISDN (Integrated Services Digital Network) connections.	Frame relay	Token ring	False
T3184732188	Windows (XP and up), OS X (10.5 and up), iOS, Android, BlackBerry, Windows Mobile 5/6, Symbian	Windows Mobile	iOS	False
N2243706837	Solid scripting skills in Shell, PHP, Perl or Python ?	PHP	Perl	True
D507644584	Compatible all major open source and commercial relational databases, including MySQL, PostgreSQL, Oracle, Sybase, and Microsoft SQL Server.	PostgreSQL	Microsoft SQL Server	False
P2464227337	The Direct3D and OpenGL settings include a few additional setting tweaks that may result in better game play, depending on the game.	OpenGL	Direct3D	True
O2318481112	Such schemes are known as "Unicode encodings" with names such as UTF-2, UTF-7, UTF-8, UTF-16, UTF-32, etc..	Unicode	UTF-32	False
D496186694	Coding and debugging in JDeveloper and Eclipse; Write and review test-cases for software; Knowledge of XML and XML-based technologies such as XPATH; Performing research on new technologies such as RDF/SAXON/XML; and Experience working with Product Management & architects to gather requirements, design, and develop key components."	Eclipse	JDeveloper	False
G963761413	Hosts Brad Paisley and Carrie Underwood kept the evening running smoothly and also performed, while Reba McEntire , Taylor Swift , Miranda , Blake , Kid Rock and more also sang on stage.	Swift	Miranda	False
E709679125	FIG. 5 is a graph showing voltage and current variations with respect to time according to the method described with reference to FIG. 2. In this regard, a voltage was applied to the fuel cell stack by reducing the voltage from 0.9 V to 0.4 V by 0.1 V.	Graph	Stack	False
M1996502156	PHP supports libraries for connecting to a large number of databases, including Oracle, Microsoft SQL Server, and PostgreSQL.	PostgreSQL	Microsoft SQL Server	False
K1743215585	Most programmers weren't sitting around going "I am so sick of Java, I need to find a better way to do this..maybe I'll try Ruby" Rather when Rails was released Hansson practically hit them upside the head with the superiority of Rails.	Java	Ruby	True
B226062562	Although she still doesn't sell as many rec­ords as the other two female country stars who are under the age of thirty-Underwood and Taylor Swift-there are signs that the rest of America is getting to know Miranda.	Swift	Miranda	False
T3226621521	Yes Java is quite a bit faster than Ruby.	Java	Ruby	True
Q2689352500	The screen is much smaller and has lower resolution, the processor is much slower, it only has one USB port and no Firewire, less memory, no Ethernet, etc. Also, I use the CD/DVD drive almost daily, so having it as a separate component (as it is on the Air) didn't appeal to me.	USB	Ethernet	True
C361046523	As I don't believe that PostgreSQL performance is actually 5X faster than InnoDB at low client counts in particular, I am suspicious that something is wrong with the MySQL config here too.	MySQL	PostgreSQL	True
S2998461666	Version 1.1 of Transcode Manager FE (Facility Edition) adds new features including server-level failover, clip manipulation and support for third-party databases including Oracle 10g, Microsoft SQL Server 2005 and PostgreSQL.	PostgreSQL	Microsoft SQL Server	False
E633763538	Easier web programming language: PERL or PHP?	PHP	Perl	True
Q2678147594	There were a ton of great performances in the night from Taylor Swift to Miranda Lambert to Hunter Hayes .	Swift	Miranda	False
J1470251937	It's used in Microsoft SQL Server, Oracle databases, MySQL , Microsoft Access , and many other places.	Oracle	Microsoft Access	False
M2089726808	Reminder: The Brain Science Podcast  mobile app is now FREE for iOS, Android and Windows Mobile.	Windows Mobile	iOS	False
A9805723	[0578] This process is advantageous for the manufacture of solid materials as described herein that essentially consist of or preferably consist of the solvates as described herein and especially essentially consist of or preferably consist of one or more of the crystalline forms S1, S2 and S3.	S2	S3	True
M1955422856	Output Method - Direct3D or OpenGL Sound Driver - XAudio2 (make sure you install it from the XAudio2 website first, this works better on Windows Vista/7 than DirectSound does) Input Rate - 31850Hz to reduce any popping sounds you may hear Buffer Length - 128ms to 160ms Playback Rate - 32KHz	OpenGL	Direct3D	True
B225637482	Although OpenGL is a little behind Direct3D in terms of standard features I still find that it's not only easier to use but generally much faster.	OpenGL	Direct3D	True
P2532787758	The iStick is better suited to work with touchscreen devices, but it also has 3 USB ports and 1 microSD port for additional devices, an optional mSATA port that supports external solid state drives, as well as Bluetooth 4.0 LE and Wi-Fi support.	USB	Bluetooth	True
M1950531869	Our OpenCL implementation is as optimized as the CUDA-C version and in fact produces superior results.	CUDA	OpenCL	True
J1470028110	It supports Cache, DB2, Derby, Firebird, FrontBase, H2, HSQLDB, Informix, Ingres, JDatastore, MaxDB, Mckoi, Mimer, MySQL, Oracle, PointBase, PostgresSQL, Solid, SQLite, SQL Server, SQL Anywhere, and Sybase (ASE).	Oracle	MySQL	True
E635896133	Eclipse and NetBeans are both great IDEs, there isn't one that's clearly better than the other - the choice mainly comes down to personal preference.	Eclipse	NetBeans	True
F749593744	For instance, it is much easier to attach the Microsoft Visual Studio 2005 debugger to a local process than a remote one.	Visual Studio	Microsoft Visual Studio	True
O2402731617	The app can cover iOS, Android, BlackBerry and Windows Mobile.	Windows Mobile	iOS	False
L1776526602	My skills: -iOS Languages and frameworks: iPhone/iPad API:UIKit, CoreFoundation, CoreServices, CoreAnimation, CoreLocation, MapKit, MediaPlayer, Cocoa Touch, Objective c, Swift, Cocos2d-x,... Data Storing: Sqlite, Mysql, CoreData, File storage,... Data Language: JSON, XML -Android Languages: Java(Dalvik VM).	Java	Swift	False
T3185253398	Win, Mac, Linux, Android, iOS, Blackberry, Windows Mobile or HTML.	Windows Mobile	iOS	False
H1097634119	If there's a S3, please make it better than S2 and provide more details if you are going to introduce new people and groups.	S2	S3	True
D408216516	But since the bash shell does command substitution on $PS1 (if necessary) each time it emits a shell prompt, we can hack our own solution together:	Bash	Hack	False
N2124794220	S2 was released and i remember reading some comments along the line of "Hmm not bad but ill wait for the s3, that will be even better".	S2	S3	True
M2010821279	Plugable USB and Bluetooth devices make life better for computer users.	USB	Bluetooth	True
E688029643	Experience with Objective C Swift (IOS) and Java (Android) is required.	Java	Swift	False
P2497026174	The former, 10x, will work together with WLAN for faster data transfer rates, while Bluetooth 100x will have use USB-like speeds, although without wires.	USB	Bluetooth	True
A149877924	ADOReport is an Interactive .Net Reporting Tool that Connects to Oracle, Microsoft SQL Server, Microsoft Access, Excel, Paradox, dBASE, Text files and any other database through OLE DB.	Oracle	Microsoft Access	False
