,sentence,object_a,object_b,pred_if,pred_lex,gold,most_frequent_percentage,s_len
H1155299001,I have several web sites where I have migrated from MySQL to SQLite and I couldn't be happier: it's faster with less CPU and memory footprint.,MySQL,SQLite,NONE,NONE,WORSE,1.0,142
H1158033276,I have tried using Perl (slow) and AWK (faster but still slow) - does anyone have any suggestions or pointers toward alternative approaches?,Perl,AWK,NONE,NONE,WORSE,1.0,140
H1158795912,"I have written similar mechanisms in Perl, but prefer the PHP solution as it is easier.",Perl,PHP,NONE,NONE,WORSE,1.0,87
H1171338301,I knew the Sony store had a reputation for being poorly equipped in comparison to Amazon but this is ridiculous !,Sony,Amazon,BETTER,NONE,WORSE,1.0,113
H1174766283,"I know that there are a lot of commandos out there who will tell me that I just need more practice in drawing my pistol quickly, and, although I have practiced, I am still a little faster with the knife.",pistol,knife,NONE,NONE,WORSE,1.0,203
H1176316564,"I know, you might expect me to be a PHP-GTK fan, but Perl-GTK just seems nicer.",PHP,Perl,NONE,NONE,WORSE,0.4,79
H1177038896,"I learned some other languages before, like Perl and C, but so far, I like Java better.",Perl,Java,NONE,NONE,WORSE,1.0,87
H1178255861,I liked the Toyota over the Ford and it looks better than the Chevy.,Toyota,Ford,NONE,NONE,BETTER,1.0,68
H1179155668,I like the Bluetooth for use with a mouse and the USB 3 makes transferring data so much faster.,Bluetooth,USB,NONE,NONE,WORSE,1.0,95
H1179800685,"I like this model since I can start (or even do local dev) on SQLite and if I need better performance/functionality I can switch to a bigger DB system (MySQL, postgres, etc) by changing a line in my configuration file.",SQLite,MySQL,BETTER,NONE,WORSE,1.0,218
H1181101770,"I live in the home of Coca-Cola, so Pepsi is a little harder to come by vending machine wise.",Coca-Cola,Pepsi,NONE,NONE,BETTER,0.8,93
H1187070887,"I loved the look of Chevrolet and that's what I really wanted, but if the price was better, a Ford would have suited me just fine.",Chevrolet,Ford,NONE,NONE,BETTER,1.0,130
H1193400328,"Imagine how hard it will be for Intel to make the case that its chips are somehow worth the price tag when IBM, HP, Dell, and Sun are all selling faster, cheaper, more capable chips.",Intel,IBM,NONE,BETTER,WORSE,1.0,182
H1199952434,"I mean, when you really analyze it, is the Apple iPod really that much superior to an mp3 player from, for example, Sony?",Apple,Sony,NONE,NONE,BETTER,1.0,121
H1201025316,I'm finding that amazon 's selection of apps are very limited and mediocre compared to google Play.,amazon,google,BETTER,BETTER,WORSE,1.0,99
H1201025316,I'm finding that Amazon 's selection of apps are very limited and mediocre compared to Google Play.,Amazon,Google,BETTER,BETTER,WORSE,1.0,99
H1203579210,"IMHO Lisp is way too heavy on the parenthesis, a Java program is easier to read.",Lisp,Java,NONE,NONE,WORSE,0.8,80
H1209586139,I'm not saying the ps3 is better or worse than the Xbox360 and wii.,ps3,wii,BETTER,BETTER,NONE,1.0,67
H1209635104,I'm not saying Windows 8 is worse than Windows 7 - I believe it has better features and so on.,Windows 8,Windows 7,WORSE,WORSE,BETTER,1.0,94
H1219117644,"I'm thinking about grabbing an Ethernet wireless bridge or even better, a wireless USB network adapter.",Ethernet,USB,NONE,NONE,WORSE,1.0,103
H1220189772,"I'm using mesa and xserver 9999 _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog",Google,Kingston,NONE,NONE,BETTER,1.0,245
H1225288979,"in 2000 Microsoft bought ""Femail"" from IBM and instantly made it better.",Microsoft,IBM,NONE,NONE,BETTER,1.0,72
I1243050773,"In brief, Nokia will never win Motorola.",Nokia,Motorola,NONE,NONE,WORSE,1.0,40
I1248563780,"In Crysis the Kingston 40GB again takes second place to the Intel in the SSD ranks, making it a pretty decent proposition for gaming.",Kingston,Intel,NONE,NONE,WORSE,0.6,133
I1250153644,"Indeed, this has nothing in particular to do with Windows XP, however Windows Vista is becoming worse with respect to integrating DRM into the OS.",Windows XP,Windows Vista,NONE,NONE,BETTER,1.0,146
I1256251013,I never said basketball was easier than baseball.,basketball,baseball,BETTER,BETTER,NONE,1.0,49
I1257165572,"In fact, amazon did poorly in google overall in general.",amazon,google,WORSE,WORSE,NONE,1.0,56
I1257165572,"In fact, Amazon did poorly in Google overall in general.",Amazon,Google,NONE,NONE,WORSE,1.0,56
I1260304340,"In fact, they look even worse than the ps2 visuals, since the psp doesn't have quite as much graphical firepower.",ps2,psp,WORSE,NONE,BETTER,0.6666666666666666,113
I1262129258,InfoQ : Are there specific features of Groovy that you feel make it better suited to Spring development than Java?,Groovy,Java,BETTER,BETTER,NONE,1.0,114
I1275196785,I no more defend that Nokia is superior to Samsung as I did all tese days.,Nokia,Samsung,BETTER,BETTER,WORSE,1.0,74
I1278573372,"In other words, CoffeeScript is an attempt to replace JavaScript syntax with a better one based on experiences from Ruby and Python worlds.",JavaScript,Python,NONE,NONE,WORSE,0.8,139
I1280016715,"I notice many people say they will buy the ""better quality car"" when they make one well lately Cadillac was second only to Lexus and many here still bought Infinity, or Acura, Benz, etc. or kept their remaining.",Cadillac,Lexus,BETTER,BETTER,WORSE,1.0,211
I1291076274,"Instead of bottom-fishing with lost causes like General Motors ( NYSE: GM     ) or Ford ( NYSE: F     ) , I think you'd be better served kicking the tires on Nissan.",Ford,Nissan,NONE,NONE,WORSE,1.0,165
I1291586391,"Instead of pizza, it'll be easier to choose a salad or healthy sandwich .",pizza,sandwich,NONE,BETTER,WORSE,1.0,73
I1294308631,In summary - a plaigarized technology - a bad cement and a worse concrete.,cement,concrete,NONE,NONE,BETTER,1.0,74
I1295487504,"Intel PCs can do art and music, but the Apple stuff was better at it.",Intel,Apple,NONE,BETTER,WORSE,1.0,69
I1297767926,"In terms of revenues, Cisco is growing faster than Intel, about as fast as Juniper, and a bit behind Microsoft.",Intel,Microsoft,NONE,NONE,WORSE,0.8,111
I1301892343,In the Cafe Promenade the pizza was good but the sandwich selection could have been better compared to Carnival.,pizza,sandwich,WORSE,NONE,BETTER,1.0,112
I1307312807,In their second meeting of the season Killorn and harvard got the better of Gotovets and cornell.,harvard,cornell,NONE,NONE,BETTER,0.6,97
I1310886349,"In the past ten years, auto manufacturing jobs have grown at a faster pace in transplant states like georgia, Alabama or Mississippi than they are in michigan.",georgia,michigan,NONE,NONE,BETTER,0.8,159
I1340683567,"Ironically, our Ferrari, lambo, GTRs, bentley is more then BMW //M and MERC AMG.",Ferrari,BMW,NONE,NONE,BETTER,1.0,80
I1341638118,"Is a BMW 3 series $15,000 better than a Ford Focus?",BMW,Ford,BETTER,BETTER,NONE,1.0,51
I1343885079,I say Google is the new Microsoft and in many cases they are even worse.,Google,Microsoft,NONE,NONE,WORSE,1.0,72
I1346801935,Is Google GDrive any better than Microsoft SkyDrive?,Google,Microsoft,BETTER,BETTER,NONE,1.0,52
I1348966353,(Is It easier to beat a google than a facebook?),google,facebook,BETTER,BETTER,NONE,1.0,48
I1350738223,Is murder worse in missouri than michigan?,missouri,michigan,BETTER,BETTER,WORSE,1.0,42
I1352826147,":) Is Python ""better"" than Perl?",Python,Perl,BETTER,BETTER,NONE,1.0,32
I1353330891,"Is Ruby truly better than Python (scripting/programming wise), what about speed wise?",Ruby,Python,BETTER,BETTER,NONE,1.0,85
I1355510312,Is the amazon Prime feed going through Roku better than renting through itunes and Apple TV?,amazon,itunes,BETTER,BETTER,NONE,1.0,92
I1361562997,I switched from Nikon at the time and feel the camera build quality of the Leica was better.,Nikon,Leica,NONE,NONE,WORSE,1.0,92
I1365028328,It also results in extra dimensional stability -- plywood doesn't swell or crack like solid sawed lumber.,plywood,lumber,NONE,NONE,BETTER,1.0,105
I1368119323,It can be very easy to change Perl code quickly but slower in PHP.,Perl,PHP,WORSE,NONE,BETTER,1.0,66
I1370451449,It could be worse for Microsoft - Apple could be dominating this market.,Microsoft,Apple,NONE,NONE,WORSE,1.0,72
I1370990630,It'd be a lot easier (for me) in PHP but I have to use JavaScript this time.,PHP,JavaScript,WORSE,NONE,BETTER,1.0,76
I1377007203,"It gets better-this is cnn, not fox.",cnn,fox,NONE,NONE,BETTER,1.0,36
I1390329615,I think that Scala probably is not better than Java yet.,Scala,Java,BETTER,BETTER,WORSE,1.0,56
I1392037045,I think the problem that both Apple and Google have is that Intel is getting better at making low power x86 chips.,Google,Intel,NONE,NONE,WORSE,0.8333333333333334,114
J1429211763,I traded in a much nicer Samsung cell phone for a lesser (in terms of bells and whistles) Nokia phone because I just like their layout better.,Samsung,Nokia,NONE,NONE,BETTER,0.8,142
J1432575082,"Its 362 nit brightness level is one of the best we've seen, improving on the MacBook and Samsung, but the Lenovo's 646:1 contrast ratio is mediocre - the Toshiba Kira hit a mighty 2,326:1.",Samsung,Toshiba,WORSE,WORSE,NONE,0.4,188
J1433056709,"Its a bouncy, poorly riding, poorly handling live axled truck, while the ML has an independent suspension, smooth and solid modern suv.",truck,suv,NONE,BETTER,WORSE,0.6,135
J1434114386,"It's a decent rival to the Mercedes-Benz CLA45 AMG, though the Mercedes still wins when it comes to power output; let's hope Audi hurries up and brings out a new RS 3.",Mercedes-Benz,Audi,NONE,NONE,BETTER,1.0,167
J1444398784,It's definitely gotten worse since we moved to North carolina from california.,carolina,california,NONE,NONE,WORSE,1.0,78
J1448123510,"It's far easier to exploit flaws in Windows XP than in newer editions, such as Windows 7 and Windows 8, noted Moore, because of the additional security measures that Microsoft's baked into the newer operating systems.",Windows XP,Windows 8,NONE,NONE,WORSE,1.0,217
J1448585060,"It's frustrating when there's very little reason (and if there is a halfway decent reason, I'd like to hear about it---and don't give me that ""ease of use"" crap; any competent programmer can use either API rather well) not to use OpenGL over Direct3D, other than the ""Nobody ever got fired for choosing Microsoft"" mentality.",OpenGL,Direct3D,BETTER,BETTER,NONE,1.0,324
J1448752061,"It's funny--I love it when doing Smalltalk, not so much when coding Java .",Smalltalk,Java,NONE,NONE,BETTER,1.0,74
J1449651088,"It's gotten better with youtube, but Kreva's itunes page is bare except for his collaboration with Miyavi.",youtube,itunes,NONE,NONE,BETTER,0.6,106
J1454866486,It's like giving up my Toyota because somebody promises that the new Ford is better.,Toyota,Ford,NONE,NONE,WORSE,1.0,84
J1475921268,"It was a little cooler here in michigan that it was in Florida and georgia, but in reality not all that bad for the time of year.",michigan,georgia,NONE,NONE,BETTER,0.8,129
J1487908989,"I tweeted back that I thought football, even a lousy Pro Bowl game, still would top hockey in Chicago.",football,hockey,NONE,NONE,BETTER,0.8,102
J1491454868,It would be a virtuous cycle for PHP(things get better because the status quo is better) and a vicious cycle for Java(things get worse because the status quo is worse).,PHP,Java,NONE,NONE,BETTER,1.0,168
J1491637124,"It would be faster to turn on Windows XP, wait 10 minutes for it to boot, and check email that way."" - TechTarget news director Bridget Botelho's husband, on the non-intuitive nature of Windows 8 on a Samsung Series 7 Slate tablet .",Windows XP,Windows 8,NONE,NONE,BETTER,1.0,232
J1496069591,"I used to use Perl or white my own CGI's in C, but PHP is so, much easier than either.",Perl,PHP,NONE,NONE,WORSE,0.4,86
J1499185767,"I've been going through Ruby, enjoy it, like it better then Python, never really dug PHP.",Ruby,Python,NONE,NONE,BETTER,1.0,89
J1501029538,I've compared Firebird with MySQL (don't know PostgreSQL so well) and it is really better.,MySQL,PostgreSQL,NONE,NONE,BETTER,1.0,90
J1506591905,I've seen much better from Dell and certainly the Sony XBrite and Toshiba TruBrite screens are better than what the Inspiron 6000 offers up.,Dell,Sony,NONE,NONE,WORSE,0.6,140
J1513178281,I was also surprised at how robust the query planner and optimizers are compared to Oracle when our performance testing found PostgreSQL to be faster.,Oracle,PostgreSQL,NONE,NONE,WORSE,0.6,150
J1514393967,"I was decent at baseball, alright at football.",baseball,football,NONE,NONE,WORSE,1.0,46
J1514394452,"I was deciding between that and the Honda Civic 2.0 and in my opinion, the handling of the Ford was better than the Civic 2.0.",Honda,Ford,NONE,NONE,WORSE,1.0,126
J1517412012,"I was merely Kidding :) ... As a photographer who does large prints(and needs a MF camera) the hasselblad is visibly superior than a Dx format camera, and as a street photographer the Leica is unnoticeable and often can foil as a Point n shoot but, If you want to go out and just take great pictures (like the ones you have)a Nikon is perfect.",Leica,Nikon,NONE,NONE,WORSE,1.0,343
J1532949471,"I would have expected Python to be slower than Java, but apparently that is not the case.",Python,Java,WORSE,WORSE,BETTER,0.4,89
J1533588532,"I would kill to see good games written in Java or better yet, Scala or Clojure.",Java,Scala,NONE,NONE,WORSE,1.0,79
J1535496541,"I wouldn't be too concerned about using Windows 8, Windows 7 is usually regarded as 'better'.",Windows 8,Windows 7,NONE,NONE,WORSE,1.0,93
J1535912825,I wouldn't say Microsoft is worse then Apple.,Microsoft,Apple,WORSE,BETTER,NONE,1.0,45
J1544989266,Java does not support Lambdas like Python or Code Blocks like Smalltalk.,Java,Smalltalk,NONE,NONE,WORSE,0.8,72
J1545009560,"Java has an impoverished model of abstraction; Groovy is a decent alternative (I find its syntax and a few language features a little weird at times, but when you come from a Lisp/Smalltalk background, languages with extensive syntax always seem a little crude :)",Java,Groovy,NONE,NONE,WORSE,0.8,263
J1545119870,"JavaScript reminds me of Perl 4 with a slightly better syntax and a couple of additional features (basic lexical scoping, higher order functions, and method dispatch, not to mention competing implementations with a lot of effort spent on optimizing away efficiencies inherent in some of the poorest misfeatures of the language's design).",JavaScript,Perl,NONE,NONE,BETTER,1.0,337
J1548338444,Jensen Comment:  Actually Microsoft has a better fix to Windows problems created by Sony.,Microsoft,Sony,NONE,NONE,BETTER,0.8,89
J1562648909,JS is better than GWT? Scala is better for Java in the enterprise?,Scala,Java,BETTER,BETTER,NONE,1.0,66
J1563981247,"juice"" is ok, but ""cider"" is much better.",juice,cider,NONE,NONE,WORSE,1.0,41
K1588658642,"Kind of a toss up as to which is easier, depending on how good your PHP coding is compared to your JavaScript coding.",PHP,JavaScript,BETTER,WORSE,NONE,1.0,117
K1601652077,"Larry Fitzgerald upgraded from Derek Anderson to Kevin Kolb, but so far that's like upgrading from a Honda to an Accura...yeah it's better but you really wanted a BMW.",Honda,BMW,WORSE,NONE,BETTER,1.0,167
K1604521684,Last time I checked Apple had 3% market share (Personal Computers) Sony does better.,Apple,Sony,NONE,NONE,WORSE,0.8,84
K1608487142,"Latex paint provides better fade resistance, flexibility, chalk resistance and adhesion.",paint,chalk,NONE,NONE,BETTER,1.0,88
K1616130741,"Leica makes a very nice low end (about $20K)instrument that compares well in terms of image quality, etc, to all of the others (Nikon is poorer, Olympus is about the same).",Leica,Nikon,NONE,NONE,BETTER,0.8,172
K1616511483,Lemon juice clabbers milk slower so it works better.,juice,milk,NONE,NONE,WORSE,1.0,52
K1636290264,"Lisp is about 1.5 to 4 times faster than Java, and about 10 to 50 times faster than Python.",Java,Python,BETTER,BETTER,NONE,0.6,91
K1640432453,"Lo and behold, the same code runs 280 times slower when compiled as a Groovy class than its Java counterpart.",Groovy,Java,BETTER,BETTER,NONE,0.8,109
K1667848424,"Making matters worse for the company is the fact that its sales were eclipsed last month by Chrysler Group LLC, an automaker that almost ceased to exist a couple of years ago and one which historically has always trailed far behind Toyota.",Chrysler,Toyota,NONE,NONE,WORSE,1.0,239
K1691972633,"Maybe it would be better if I played golf, not hockey.",golf,hockey,NONE,NONE,BETTER,1.0,54
K1693776407,"Maybe things will be better in oregon in 2 to 5 yrs but right now they have the second highest unemployment rate in the country, right behind michigan.",oregon,michigan,WORSE,WORSE,BETTER,1.0,151
K1695826438,"Mazda 6, Honda Accord Euro and Toyota Camry better watch out for this advanced strategic move from Ford.",Toyota,Ford,BETTER,NONE,WORSE,1.0,104
K1702651089,"Mediocre TN panels are usually the best we get on laptops (i.e., anything Apple, or some of the higher resolution upgrade options on Dell, etc).",Apple,Dell,NONE,NONE,WORSE,0.6,144
K1706816148,Men's basketball finds itself somewhere between North carolina (very good) and missouri (decent) when it comes to it's national ranking entering the 2011 season.,carolina,missouri,NONE,NONE,BETTER,1.0,161
K1707560073,"Mercer leads at 556, one stroke better than georgia Tech with virginia Tech third at 565.",georgia,virginia,NONE,NONE,BETTER,0.8,89
K1707970969,"Merging SW development effort with Intel did not work out, and outsourcing OS to Microsoft is going even worse.",Intel,Microsoft,WORSE,BETTER,NONE,1.0,111
K1709061737,"metal ramps are good, but concrete is better.",metal,concrete,NONE,NONE,WORSE,1.0,45
K1713090704,michigan  ran into one of the nation's better defenses in a 12 point loss at virginia.,michigan,virginia,BETTER,NONE,WORSE,0.8,86
K1721800388,"missouri is a decent team and I expect them to give Florida, Tennessee, and South carolina all they can handle and win 2 of those games.",missouri,carolina,NONE,NONE,BETTER,1.0,136
K1722396324,"mit is harder to graduate from (on average probably, at minimum certainly) than HYP or stanford.",mit,stanford,BETTER,NONE,WORSE,1.0,96
K1730848526,"More challenging yet, the van's designers had only shaped the engine box for a four-cylinder engine, meaning Toyota could not fit the Previa with a V-6 engine to compete with the faster and more powerful Chrysler minivans--or those from Ford and General Motors as well.",Toyota,Chrysler,BETTER,NONE,WORSE,0.8,269
K1738171240,"Most chargers for Bluetooth headsets (which, from my limited experience, are wall chargers only) charge slower than a USB cable.",Bluetooth,USB,BETTER,BETTER,WORSE,0.8,128
K1739845699,Mostly that it's almost definitely harder to write maintainable PHP than it is to write maintainable Perl.,PHP,Perl,BETTER,NONE,WORSE,1.0,106
K1740678343,Most of the applications I see that use Oracle would work fine or better with an OSS database such as PostgreSQL or even SQLite.,Oracle,PostgreSQL,NONE,BETTER,WORSE,0.6,128
K1744946329,Motorola was king before Nokia came in.,Motorola,Nokia,NONE,BETTER,WORSE,1.0,39
K1750717112,"MrSeb writes ""In a twist that reinforces Valve's distaste for Windows 8, it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL (315 fps) than Windows 7 and DirectX/Direct3D (270.6 fps); almost a 20% speed-up.",OpenGL,Direct3D,NONE,NONE,BETTER,0.4,296
L1754050404,Much better than JavaScript e -mails/PHP.,JavaScript,PHP,NONE,NONE,WORSE,1.0,41
L1759326361,"My 9800GTX+ does 0% Blanked OpenCL AP tasks in a bit under 4 hours (13,600 secs), while my GTX460 does them in just over half an hour (2,100 secs), so my 9800GTX+ is about 6½ times slower than my GTX460, while at CUDA MB the 9800GTX+ is only around twice as slow as the GTX460, for a 0.37 AR the 9800GTX+ does it around 1250 secs, while the GTX460 does it in 565 secs.",OpenCL,CUDA,WORSE,WORSE,NONE,1.0,368
L1760944919,"My Brit friends Denny and Gillian are continually disgusted by my affection for ""eggy bread"" and maple syrup, or worse-sausage studded with apple and raisins.",bread,sausage,NONE,NONE,BETTER,1.0,158
L1763230731,"My Dell laptop E1505 works fine, my Intel and AMD destop computers are frozen solid.",Dell,Intel,NONE,NONE,BETTER,0.8,84
L1765614031,My first choice was Asus then Gigabyte.,Asus,Gigabyte,NONE,NONE,BETTER,0.6,39
L1766093493,"My Ford Expedition and Honda Accord have way better air conditioning, BMW is a bit noisy and ineffective, you will need to be adjusting temperature because automatic settings don't work effectively",Ford,BMW,NONE,NONE,BETTER,1.0,197
L1769941943,"My last PC had Windows 7 and I would use it from time to time until I realized Windows 8 was better, faster and had less problems.",Windows 7,Windows 8,NONE,NONE,WORSE,0.8,130
L1772955680,"My only point is that the presentation of my numbers is off, but there is no case in which OpenGL has ever been faster than Direct3D in all tests I have run on all machines.",OpenGL,Direct3D,BETTER,BETTER,WORSE,1.0,173
L1773172863,"My original guess was that division might be slower because, for a lot of cases (such as 42/5) the results are non-Integer, so it has to use (mildly slower) Floating-point hardware to find the result.",Integer,Floating-point,WORSE,NONE,BETTER,0.8,200
L1791578878,"Netflix, amazon and I think the new Genius tool for itunes have much better systems.",amazon,itunes,NONE,NONE,WORSE,0.4,84
L1804968540,Nike didn't look to the designs of Adidas to make a better sneaker.,Nike,Adidas,NONE,NONE,WORSE,0.8,67
L1805195115,"Nikon gave to Sigma a first ""wake-up call"" with the cheaper and much better 35mm 1.8DX.",Nikon,Sigma,NONE,NONE,BETTER,1.0,87
L1805844629,"Nintendo, Microsoft, Sony from best to worse in that exact order.",Microsoft,Sony,NONE,NONE,BETTER,1.0,65
L1806075900,"Nissan/Infiniti have been the Houdini of the motor industry, not very long ago it did look as though they might go under because of their horrendous debts but with Renault on board and some truly exciting new products the future looks a great deal better.",Nissan,Renault,NONE,NONE,WORSE,0.6,255
L1809946316,"No car drives nicer and safer than this one, made of a real steel, not plastic or aluminum.",steel,aluminum,NONE,NONE,BETTER,1.0,91
L1813128167,"No, I've had some very bad experiences with a bad language :-) And having started getting into Groovy, I might say that time spent on something like, say, closures, would be time better spent in the Java world then parametric polymorphism.",Groovy,Java,NONE,NONE,WORSE,1.0,239
L1813324493,"Nokia is just one of many Windows 8 phones, and not even the best because Samsung is far better!",Nokia,Samsung,BETTER,NONE,WORSE,1.0,96
L1834721862,"Not only are there reasonable alternatives in languages like Scala, Groovy, and C#, but there is even a better option that has already been explored for Java:",Groovy,Java,NONE,BETTER,WORSE,1.0,158
L1837290234,"Not sure, but I am sure that Chrysler can not do 25%+ better than GM and Toyota.",Chrysler,Toyota,NONE,BETTER,WORSE,1.0,80
L1837304663,Not sure Ford is going to be any better than Honda in that regard.,Ford,Honda,BETTER,BETTER,NONE,0.6,66
L1839693916,"Not to ruin the review, but in our HTPC real world benchmark the Express 6G was 243% faster than the Samsung SSD and an astonishing 361% faster than the Apple stock Toshiba drive; and that's not even the worst drubbing the OWC SSD levied.",Samsung,Toshiba,BETTER,BETTER,NONE,1.0,238
L1839696258,"Not to say, Canon also have lousy auto ISO system, Sigma quality 24-70 and 70-200, very high read noise (low dynamic range), inferior entry level lenses compared to Nikon, and many more.",Sigma,Nikon,BETTER,NONE,WORSE,1.0,186
L1842619513,No way is Python or TCL faster than Java.,Python,Java,BETTER,BETTER,WORSE,1.0,41
L1843135135,Nowdays though it seems that SE is makeing better quality built phones followed closely by Moto and Siemens (love the SL55 BTW - just i need BT) and last and IMO least - Nokia.,Siemens,Nokia,NONE,NONE,BETTER,0.8333333333333334,176
L1852608729,"Now this last system used only a 1.8GHz Opteron 144 processor as opposed to the 2.0GHz Opteron 246 of the IBM systems, so the Intel compiler is actually faster at 1093/1162.",IBM,Intel,NONE,NONE,WORSE,0.8,173
L1852967075,"Now, unlike Microsoft, Apple isn't selling an inferior product.",Microsoft,Apple,NONE,NONE,WORSE,0.8,63
L1853878975,"Now whether or not hockey hits are harder than football, who knows.",hockey,football,WORSE,BETTER,NONE,1.0,67
L1861225768,Obviously tennis was easier but baseball was a real challenge.,tennis,baseball,NONE,WORSE,BETTER,1.0,62
L1887405462,"Once I know Java, is jsp easier to learn than PHP?",Java,PHP,BETTER,BETTER,NONE,0.6,50
L1892630713,"One cannot have communion with beer and steak (both of which, I, for one, think superior to bread and wine), just as one cannot baptise someone with sand rather than water.",steak,bread,NONE,NONE,BETTER,1.0,172
L1895124577,"one I know who's seen Ruby code argues that Perl is better -- but then,",Ruby,Perl,NONE,NONE,WORSE,1.0,71
L1903440718,One reviewer felt that Mitt Romney delivered a better performance than John F. kennedy against nixon.,kennedy,nixon,NONE,NONE,BETTER,1.0,101
L1905912546,One was for pistol barrels and one with a much slower twist was for rifle barrels.,pistol,rifle,WORSE,NONE,BETTER,1.0,82
L1909328976,"Only 78% of Apple customers were satisfied or very satisfied with their value for money; Lenovo was worse, with only 70% satisfaction and Sony was bottom with 62%.",Apple,Sony,NONE,NONE,BETTER,0.8,163
L1909870428,"Only california is projected to lose more graduates than michigan, and only Vermont will shrink faster.",california,michigan,BETTER,BETTER,WORSE,1.0,103
L1910672141,"Only Nevada (14.4 percent), michigan (13 percent) and california (12.4 percent) were worse.",michigan,california,NONE,NONE,BETTER,1.0,91
L1919016402,"On the other hand, overall turnout grew at a slower pace in georgia than virginia or North Carolina after adjusting for population growth.",georgia,virginia,BETTER,BETTER,WORSE,1.0,138
L1923137616,OO in Ruby or Smalltalk is very different than OO in C# or Java.,Smalltalk,Java,BETTER,BETTER,NONE,1.0,64
M1926897745,"Oracle has superior clustering to PostgreSQL, better native XML support, autonomous transactions, procedures that can return multiple result sets, a really solid embedded JVM for procedures, proven scaling to absurdly huge database sizes, etc.",Oracle,PostgreSQL,NONE,NONE,BETTER,1.0,243
M1929526579,"oregon maybe isn't Notre Dame or michigan, but (it is) certainly better known than George Mason or Gonzaga,"" McEvoy said.",oregon,michigan,NONE,NONE,WORSE,1.0,121
M1932198337,"Originally, that up there said 'Smalltalk' instead of 'Java'.",Smalltalk,Java,NONE,NONE,BETTER,1.0,61
M1933738630,Or may be it's related to the inferior CPU/memory management in Windows 98 in comparison with Windows XP?,Windows 98,Windows XP,NONE,NONE,WORSE,0.8,105
M1936854585,"OS/2 was technically superior, but Microsoft beat IBM through marketing and by tying its Office applications to Windows.""",Microsoft,IBM,NONE,NONE,BETTER,0.6,121
M1939331226,"Other JVM languages - Java is a solid od workhorse, but the real innovation is happening with the new JVM langauges (Scala, Clojure in particular).",Java,Scala,NONE,NONE,WORSE,1.0,147
M1943087901,"Otherwise, Microsoft will build hardware that better integrates with the operating software, and companies like Dell will suffer.",Microsoft,Dell,NONE,NONE,BETTER,1.0,129
M1952681640,Our Sources tell us that Pepsi felt that Lynxxx who spent the better part of 2011 Touring and doing TV/Radio interviews has been career dead for just too long and this is affecting their brand presence in Nigeria which is currently controlled by arch rival Coca-Cola.,Pepsi,Coca-Cola,NONE,BETTER,WORSE,1.0,267
M1979675884,"pennsylvania is no better, but states such as South carolina and Florida have no estate or inheritance tax.",pennsylvania,carolina,NONE,NONE,WORSE,1.0,107
M1984940196,"Performance The Ford Fusion Energi has less horsepower than the Toyota Avalon Hybrid, so it will probably be somewhat slower.",Ford,Toyota,BETTER,BETTER,WORSE,1.0,125
M1988300932,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,Perl,Java,BETTER,NONE,WORSE,1.0,110
M1988309240,Perl isn't inherently a better language than Java.,Perl,Java,BETTER,BETTER,WORSE,1.0,50
M1988309762,Perl is slower and faster than Java,Perl,Java,WORSE,WORSE,BETTER,0.6,35
M1988332584,"Perl's still at a decent level, on par with PHP and still above Python and...",PHP,Python,NONE,NONE,BETTER,1.0,77
M1988340193,Perl would have been more better had there been good REPL like Python.,Perl,Python,NONE,BETTER,WORSE,1.0,70
M1989843760,"Personally, I see all of these major players in the hardware segment of the market all supporting Blu-Ray (Samsung, Panasonic, and LG, in addition to Sony) while only Toshiba has support for their format, as an indication that Blu-Ray is, at least from a technological standpoint, a superior format.",Samsung,Toshiba,NONE,NONE,WORSE,1.0,299
M1990127364,"(Personally, my users demand OCamL anyway, so it's not an additional build for me; and it's much faster to build than Erlang or Haskell and I think also than Perl; don't know about Python).",Haskell,Python,BETTER,BETTER,NONE,0.6,189
M1997837740,Pick your beverage for better nutrition - milk for a calcium boost or juice instead of soda.,milk,soda,NONE,NONE,BETTER,1.0,92
M2000603877,Pity Apple didn't kill the IBM PC much earlier and we'd have the vastly superior Motorola technology.,Apple,IBM,WORSE,BETTER,NONE,1.0,101
M2000765046,"pizza cooks faster and is more tender, bread crusts as it's never crusted before.",pizza,bread,NONE,NONE,BETTER,1.0,81
M2003218877,plastic and brass would be much easier on your wood.,plastic,wood,NONE,NONE,BETTER,1.0,52
M2003247030,plastic frames are far harder to work with than wood.,plastic,wood,BETTER,BETTER,WORSE,0.6,53
M2003260280,"Plasticky in the way a Samsung Galaxy S II feels solid, although far from finely machined like a Nokia N8 .",Samsung,Nokia,NONE,BETTER,WORSE,1.0,107
M2004309352,Playing baseball involved different skills than hockey... which one is harder?,baseball,hockey,BETTER,BETTER,NONE,1.0,78
M2012558937,"Plus, unlike hockey or, worse, soccer, football and baseball allow for a lot of downtime.",hockey,football,NONE,NONE,WORSE,0.8,89
