,caption,gold,id,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
B326793899,middle_paths_unrestricted_16,NONE,,1.0,Apple,Amazon,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> nasdaq:aapl/PROPN/appos/V be/VERB/ROOT/^', 'with/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,False,117,"Apple  ( NASDAQ:AAPL ) is obviously the major player, with Amazon pushing its Kindle line harder this year than ever.","Apple\xa0 ( NASDAQ:AAPL ) is obviously the major player, with\xa0Amazon', 'pushing its Kindle line harder this year than ever."
B330386079,middle_paths_unrestricted_16,ARG,,1.0,Perl,Java,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ python/PROPN/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<']]",,,NONE,True,148,"A program to read a file, do some regex processing and write it out is likely to be significantly faster in Perl (and probably Python) than in Java.","A program to read a file, do some regex processing and write it out is', 'likely to be significantly faster in Perl (and probably Python) than', 'in Java."
B339147551,middle_paths_unrestricted_16,NONE,,0.8,beer,milk,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ color/NOUN/dobj/V Y/PROPN/pobj/<']]",,,ARG,False,67,A rich solid foam rises above the beer the color of milk chocolate.,A rich solid foam rises above the beer the color of milk chocolate.
B340093280,middle_paths_unrestricted_16,ARG,,1.0,Floating-point,Integer,lex (unique),"[['X/ADJ/amod/> arithmetic/NOUN/ROOT/^ be/VERB/conj/< under/ADP/prep/<', 'impression/NOUN/pobj/< do/VERB/acl/< on/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,False,154,"ARM has historically been weak at Floating-point arithmetic, but I'm under the impression that ARM might do better per watt on Integer workloads than x86.","ARM has historically been weak at Floating-point arithmetic, but I'm"", 'under the impression that ARM might do better per watt on Integer', 'workloads than x86."
C347275538,middle_paths_unrestricted_16,ARG,,1.0,Sony,Amazon,lex (unique),"[['X/PROPN/compound/> be/VERB/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ ie/X/compound/V Y/PROPN/appos/<']]",,,NONE,True,319,"As a Netflix subscriber (and also short since $140) I do agree with most of the comments about the indy-type films being better views than Starz content; however, I can get the indy stuff elsewhere, most of the Stars -- especially Sony content is the high priced stuff that's harder to find elsewhere (ie Amazon, Hulu).","As a Netflix subscriber (and also short since $140) I do agree with', 'most of the comments about the indy-type films being better views than', 'Starz content; however, I can get the indy stuff elsewhere, most of', ""the Stars -- especially Sony content is the high priced stuff that's"", 'harder to find elsewhere (ie Amazon, Hulu)."
C352476483,middle_paths_unrestricted_16,NONE,,0.8,Dell,Microsoft,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ customer/NOUN/attr/< for/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,ARG,True,120,"As Dell has always been a big, fat Windows/Office customer for Microsoft, suing them would have been worse than idiotic.","As Dell has always been a big, fat Windows/Office customer for', 'Microsoft, suing them would have been worse than idiotic."
C356884269,middle_paths_unrestricted_16,ARG,,1.0,OpenGL,Direct3D,lex (unique),"[['X/ADJ/amod/> performance/NOUN/ROOT/^ superior/ADJ/conj/< of/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,316,"As for performance, this primarily comes down to the individual driver implementations of GPU makers, which in NVIDIA's case, we've seen it's possible to achieve OpenGL performance in-line with and, even superior to that, of Direct3D, once the firm had enough incentive to optimise its drivers and remove pesky bugs.","As for performance, this primarily comes down to the individual driver', ""implementations of GPU makers, which in NVIDIA's case, we've seen it's"", 'possible to achieve OpenGL performance in-line with and, even superior', 'to that, of Direct3D, once the firm had enough incentive to optimise', 'its drivers and remove pesky bugs."
C358901539,middle_paths_unrestricted_16,ARG,,0.8,mobile,laptop,lex (unique),"[['X/ADJ/amod/> device/NOUN/ROOT/^ than/ADP/prep/< on/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,True,114,"As he explained, ""Writing, reading, and organising e-mails is usually faster on my mobile device than on a laptop.","As he explained, ""Writing, reading, and organising e-mails is usually', 'faster on my mobile device than on a laptop."
C370643168,middle_paths_unrestricted_16,NONE,,1.0,Chrysler,Toyota,lex (unique),"[['X/PROPN/compound/> cruiser/PROPN/ROOT/^ hhr/PROPN/conj/<', 'Y/PROPN/conj/<']]",,,ARG,True,257,"A solid argument could be made for retrofuturism as one of automotive design's defining themes over the past few years... witness offerings like the Chrysler PT Cruiser, Volkswagen New Beetle, MINI Cooper, and more recently, the Chevrolet HHR and Toyota FJ.","A solid argument could be made for retrofuturism as one of automotive', ""design's defining themes over the past few years... witness offerings"", 'like the Chrysler PT Cruiser, Volkswagen New Beetle, MINI Cooper, and', 'more recently, the Chevrolet HHR and Toyota FJ."
C370644780,middle_paths_unrestricted_16,NONE,,1.0,beer,tea,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ doubt/ADV/advmod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ but/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ cup/NOUN/conj/V Y/PROPN/pobj/<']]",,,ARG,True,51,"A solid beer, no doubt, but just not my cup of tea.","A solid beer, no doubt, but just not my cup of tea."
C370649244,middle_paths_unrestricted_16,NONE,,0.8,concrete,metal,lex (unique),"[['X/ADJ/amod/> be/VERB/ROOT/^ for/ADP/prep/< set/VERB/pcomp/<', 'wood/NOUN/dobj/< Y/PROPN/conj/<']]",,,ARG,True,74,A solid concrete base is important for firmly setting wood or metal posts.,"A solid concrete base is important for firmly setting wood or metal', 'posts."
C375165985,middle_paths_unrestricted_16,NONE,,1.0,Java,Ruby,lex (unique),[['X/ADJ/amod/> object/NOUN/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<']],,,ARG,True,38,Assigning Java objects to Ruby objects,Assigning Java objects to Ruby objects
C378856749,middle_paths_unrestricted_16,NONE,,1.0,pen,paint,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/ccomp/<'], ['X/PROPN/nsubj/> effect/NOUN/appos/V be/VERB/ROOT/^ Y/PROPN/ccomp/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ that/ADP/mark/V Y/PROPN/ccomp/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ more/ADJ/amod/V Y/PROPN/ccomp/<']]",,,ARG,False,104,"As the artist presses harder on the pen, the effect seen on the monitor is that more ""paint"" is applied.","As the artist presses harder on the pen, the effect seen on the', 'monitor is that more ""paint"" is applied."
D391351621,middle_paths_unrestricted_16,NONE,,1.0,MSI,Nvidia,lex (unique),"[['X/PROPN/npadvmod/> have/VERB/ROOT/^ 6xx/NOUN/dobj/< Y/PROPN/conj/<'], ['X/PROPN/npadvmod/> have/VERB/ROOT/^ 6xx/NOUN/dobj/<', 'series/NOUN/compound/V Y/PROPN/conj/<']]",,,ARG,False,284,"But if video capture is what you're after, there are better tools than FRAPS or MSI AB.If you have a 6xx or 7xx series Nvidia card, SHADOWPLAY is your friend (it's part of Geforce Experience and can capture at full HD, with or without audio (+ your own microphone should you want to).","But if video capture is what you're after, there are better tools than"", 'FRAPS or MSI AB.If you have a 6xx or 7xx series Nvidia card,', ""SHADOWPLAY is your friend (it's part of Geforce Experience and can"", 'capture at full HD, with or without audio (+ your own microphone', 'should you want to)."
D393417540,middle_paths_unrestricted_16,ARG,,1.0,JavaScript,Perl,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ good/ADJ/advmod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ work/VERB/advcl/V Y/PROPN/pobj/<']]",,,NONE,False,78,But I'm not convinced it works in JavaScript any better than it works in Perl.,"But I'm not convinced it works in JavaScript any better than it works"", 'in Perl."
D397956017,middle_paths_unrestricted_16,NONE,,0.6,Perl,Java,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ in/ADP/prep/V Y/PROPN/pobj/<']]",,,ARG,False,56,But it seems better than dropping Perl in favor of Java.,But it seems better than dropping Perl in favor of Java.
D402677286,middle_paths_unrestricted_16,ARG,,1.0,Microsoft,Google,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ flog/VERB/conj/V Y/PROPN/pobj/<']]",,,NONE,False,184,But my biggest worry is that the tech press will continue to do what they always do and ignore a superior product from Microsoft and flog an inferior offering because it's from Google.,"But my biggest worry is that the tech press will continue to do what', 'they always do and ignore a superior product from Microsoft and flog', ""an inferior offering because it's from Google."
D404375057,middle_paths_unrestricted_16,ARG,,1.0,MySQL,PostgreSQL,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ faster/ADV/conj/V Y/PROPN/pobj/<']]",,,NONE,True,103,But now version 2.7.6 is over two times faster than MySQL and over twenty times faster than PostgreSQL.,"But now version 2.7.6 is over two times faster than MySQL and over', 'twenty times faster than PostgreSQL."
D406091925,middle_paths_unrestricted_16,NONE,,1.0,Sigma,Nikon,lex (unique),[['X/PROPN/nsubj/> mm/NOUN/ROOT/^ art/NOUN/conj/< Y/PROPN/conj/<']],,,ARG,True,115,"But perhaps better to have a Full frame body with a 24-70, or a Sigma 35mm or 50mm f/1.4 Art or a Nikon 24mm f/1.4.","But perhaps better to have a Full frame body with a 24-70, or a Sigma', '35mm or 50mm f/1.4 Art or a Nikon 24mm f/1.4."
D411212653,middle_paths_unrestricted_16,NONE,,0.8,Apple TV,iOS,lex (unique),"[['X/PROPN/nsubj/> work/VERB/ROOT/^ with/ADP/prep/< access/NOUN/pobj/<', 'exist/VERB/relcl/< on/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,False,94,But the Apple TV would work better with the same full photo access that exists on iOS devices.,"But the Apple TV would work better with the same full photo access', 'that exists on iOS devices."
D414243132,middle_paths_unrestricted_16,NONE,,1.0,Apple,Intel,lex (unique),[['X/PROPN/nsubj/> switch/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<']],,,ARG,True,100,"But then Motorola fell behind (when Apple switched to Intel, its computers were suddenly 4x faster).","But then Motorola fell behind (when Apple switched to Intel, its', 'computers were suddenly 4x faster)."
D424015599,middle_paths_unrestricted_16,NONE,,0.5,Apple,IBM,lex (unique),"[['X/PROPN/compound/> designate/VERB/ROOT/^ on/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> designate/VERB/ROOT/^ on/ADP/prep/< the/DET/det/V', 'Y/PROPN/pobj/<']]",,,ARG,False,109,"But when I do a qrun, an Apple node is designated the mother superior node but the job runs on the IBM nodes.","But when I do a qrun, an Apple node is designated the mother superior', 'node but the job runs on the IBM nodes."
D425381324,middle_paths_unrestricted_16,ARG,,1.0,OpenGL,Direct3D,lex (unique),[['NOPATH']],,,NONE,True,39,But why is OpenGL better than Direct3D?,But why is OpenGL better than Direct3D?
D440782812,middle_paths_unrestricted_16,ARG,,0.8,california,carolina,lex (unique),"[['X/PROPN/compound/> wake/VERB/ROOT/^ company/NOUN/pobj/<', 'from/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> wake/VERB/ROOT/^ company/NOUN/pobj/<', 'from/ADP/prep/< north/PROPN/compound/V Y/PROPN/pobj/<']]",,,NONE,False,119,california door suppliers better wake up before this Ambiance company from North carolina take away all their business.,"california door suppliers better wake up before this Ambiance company', 'from North carolina take away all their business."
D465083528,middle_paths_unrestricted_16,ARG,,1.0,michigan,virginia,lex (unique),"[['X/ADJ/amod/> team/NOUN/ROOT/^ have/VERB/advcl/< at/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/ADJ/amod/> team/NOUN/ROOT/^ have/VERB/advcl/< at/ADP/prep/<', 'west/PROPN/compound/V Y/PROPN/pobj/<']]",,,NONE,True,118,Chances Rodriguez will have better offensive linemen on his michigan teams than he had at West virginia: roughly 120%.,"Chances Rodriguez will have better offensive linemen on his michigan', 'teams than he had at West virginia: roughly 120%."
D473121402,middle_paths_unrestricted_16,NONE,,0.8,Chevrolet,Toyota,lex (unique),"[['X/PROPN/nsubj/> have/VERB/ccomp/> have/VERB/ROOT/^ Y/PROPN/nsubj/<'], ['X/PROPN/nsubj/> have/VERB/ccomp/> have/VERB/ROOT/^ with/ADP/prep/V', 'Y/PROPN/nsubj/<']]",,,ARG,True,221,"Chevrolet has the pickup truck launch coming this year,"" she says, ""which will make a big impact, but with the new Corolla coming later this year, Toyota should be in a better place -- fixing a weak link in their lineup.""","Chevrolet has the pickup truck launch coming this year,"" she says,', '""which will make a big impact, but with the new Corolla coming later', 'this year, Toyota should be in a better place -- fixing a weak link in', 'their lineup."""
D473301007,middle_paths_unrestricted_16,NONE,,1.0,bread,steak,lex (unique),"[['X/PROPN/nsubj/> set/VERB/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/nsubj/> utility/NOUN/appos/V set/VERB/ROOT/^ Y/PROPN/conj/<']]",,,ARG,False,259,"CHI1283 Features Set includes chef , santoku, bread, utility, parer, peeler, sharpening steel, shears, wood block set and steak knives Blade material: High quality stainless steel Ultra sharp for effortless cutting Innovative grip for superior control... more","CHI1283 Features Set includes chef , santoku, bread, utility, parer,', 'peeler, sharpening steel, shears, wood block set and steak knives', 'Blade material: High quality stainless steel Ultra sharp for', 'effortless cutting Innovative grip for superior control... more"
D480365805,middle_paths_unrestricted_16,NONE,,1.0,Chrysler,Ford,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ 200/NUM/nummod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ vs/ADP/prep/V Y/PROPN/pobj/<']]",,,ARG,False,27,Chrysler 200 vs Ford Fusion,Chrysler 200 vs Ford Fusion
D502547673,middle_paths_unrestricted_16,NONE,,1.0,Honda,BMW,lex (unique),"[['X/PROPN/compound/> be/VERB/ROOT/^ ready/ADJ/acomp/< for/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ ready/ADJ/acomp/< for/ADP/prep/<', 'my/ADJ/poss/V Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ ready/ADJ/acomp/< for/ADP/prep/<', 'little/ADJ/amod/V Y/PROPN/pobj/<']]",,,ARG,False,174,"Coming from an unkillable and rock solid Honda Accord that I've had my entire adulthood, I'm a bit scared of reliability/cost for repair, but I'm ready for my little BMW now!","Coming from an unkillable and rock solid Honda Accord that I've had my"", ""entire adulthood, I'm a bit scared of reliability/cost for repair, but"", ""I'm ready for my little BMW now!"
D502588699,middle_paths_unrestricted_16,ARG,,1.0,PHP,Python,lex (unique),"[['X/PROPN/npadvmod/> have/VERB/ROOT/^ problem/NOUN/dobj/<', 'than/ADP/prep/< self/NOUN/pobj/< require/VERB/acl/< in/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/npadvmod/> language/NOUN/dobj/V have/VERB/ROOT/^', 'problem/NOUN/dobj/< than/ADP/prep/< self/NOUN/pobj/<', 'require/VERB/acl/< in/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,101,"Coming from the PHP ""language"", we have far worse problems than the explicit self required in Python.","Coming from the PHP ""language"", we have far worse problems than the', 'explicit self required in Python."
D506840548,middle_paths_unrestricted_16,NONE,,1.0,PHP,Python,lex (unique),"[['X/PROPN/npadvmod/> be/VERB/ROOT/^ easy/ADJ/acomp/< make/VERB/xcomp/<', 'in/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/npadvmod/> tcl/PROPN/conj/V be/VERB/ROOT/^ easy/ADJ/acomp/<', 'make/VERB/xcomp/< in/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/npadvmod/> for/ADP/prep/V be/VERB/ROOT/^ easy/ADJ/acomp/<', 'make/VERB/xcomp/< in/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,True,128,"Compared to PHP, TCL, REXX (or C for that matter), it is a lot easier to make nicely modular and object-oriented code in Python.","Compared to PHP, TCL, REXX (or C for that matter), it is a lot easier', 'to make nicely modular and object-oriented code in Python."
D510785822,middle_paths_unrestricted_16,ARG,,1.0,Google,Microsoft,lex (unique),[['X/PROPN/nsubj/> act/VERB/ROOT/^ as/ADP/prep/< Y/PROPN/pobj/<']],,,NONE,True,92,Conclusion: Google is acting the same (arguably even worse) as Microsoft used to in the 90s.,"Conclusion: Google is acting the same (arguably even worse) as', 'Microsoft used to in the 90s."
D515788514,middle_paths_unrestricted_16,NONE,,1.0,Sony,Apple,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ but/CONJ/cc/V Y/PROPN/conj/<']]",,,ARG,True,149,"Considering the fact that Nintendo's main competition these days isn't the likes of Sony, but Apple, they really can't afford such a mediocre launch.","Considering the fact that Nintendo's main competition these days isn't"", ""the likes of Sony, but Apple, they really can't afford such a mediocre"", 'launch."
D521383619,middle_paths_unrestricted_16,ARG,,0.8,Audi,Lexus,lex (unique),"[['X/PROPN/compound/> make/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> make/VERB/ROOT/^ with/ADP/prep/< the/DET/det/V', 'Y/PROPN/pobj/<']]",,,NONE,True,169,"Convenience Due to the larger tank size and better fuel economy of the Audi Q7, you will definitely be making fewer stops at the gas station than with the Lexus RX 450h.","Convenience Due to the larger tank size and better fuel economy of the', 'Audi Q7, you will definitely be making fewer stops at the gas station', 'than with the Lexus RX 450h."
D522180600,middle_paths_unrestricted_16,NONE,,1.0,OpenCL,CUDA,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ of/ADP/cc/V Y/PROPN/pobj/<']]",,,ARG,True,183,"Convincing them to try OpenCL instead of CUDA, is like trying to convert a Fortran user to C/C++/..., because ""Fortran is on average 10% faster"" (you hear that a lot from these guys).","Convincing them to try OpenCL instead of CUDA, is like trying to', 'convert a Fortran user to C/C++/..., because ""Fortran is on average', '10% faster"" (you hear that a lot from these guys)."
D522339718,middle_paths_unrestricted_16,NONE,,0.8,sausage,pizza,lex (unique),"[['X/PROPN/nsubj/> store/VERB/ROOT/^ in/ADP/prep/< reach/NOUN/pobj/<', 'in/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> chicken/NOUN/appos/V store/VERB/ROOT/^ in/ADP/prep/<', 'reach/NOUN/pobj/< in/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,True,151,"Cooked ground sausage, ground beef and cubed chicken, all stored in reach-in pizza cooler, noted between 60 degrees-66 degrees (voluntarily discarded).","Cooked ground sausage, ground beef and cubed chicken, all stored in', 'reach-in pizza cooler, noted between 60 degrees-66 degrees', '(voluntarily discarded)."
D522866057,middle_paths_unrestricted_16,ARG,,1.0,Python,JavaScript,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ less/ADJ/acomp/< learn/VERB/xcomp/<', 'php/PROPN/dobj/< Y/PROPN/conj/<']]",,,NONE,False,158,Cooler server side scripting languages of the day like Ruby and Python are a lot less like C. Therefore learning PHP and JavaScript is a great place to start.,"Cooler server side scripting languages of the day like Ruby and Python', 'are a lot less like C. Therefore learning PHP and JavaScript is a', 'great place to start."
D552571618,middle_paths_unrestricted_16,ARG,,1.0,Toyota,Ford,lex (unique),[['X/PROPN/compound/> drive/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],,,NONE,False,108,"@Dave M - when you suggest a Toyota Camry would drive better than a Ford Contour, what exactly did you mean?","@Dave M - when you suggest a Toyota Camry would drive better than a', 'Ford Contour, what exactly did you mean?"
E564020705,middle_paths_unrestricted_16,NONE,,1.0,Dell,Apple,lex (unique),[['X/PROPN/nsubj/> make/VERB/ROOT/^ make/VERB/conj/< Y/PROPN/conj/<']],,,ARG,False,164,"Dell makes some solid laptops, Asus makes some solid laptops, and Apple makes some solid laptops, but you'll find horror stories about all three all over the place.","Dell makes some solid laptops, Asus makes some solid laptops, and', ""Apple makes some solid laptops, but you'll find horror stories about"", 'all three all over the place."
E570038037,middle_paths_unrestricted_16,NONE,,0.8333333333333334,JavaScript,Ruby,lex (unique),"[['X/PROPN/npadvmod/> be/VERB/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/npadvmod/> experience/PROPN/appos/V be/VERB/ROOT/^', 'Y/PROPN/appos/<']]",,,ARG,False,520,"Design and develop minor improvements to core Zipcar systems, third party interfaces, web-based systems and internal tools Qualifications: 2-3 years web development / sustaining engineeing experience Solid foundation in web software development, including HTML, JavaScript, CSS Experience with relational database queries and SQL programming; Oracle PL/SQL is a plus Command of your favorite scripting and server side languages; for example: Ruby, PHP, Perl, Python Familiar with the Linux operating system and utilities","Design and develop minor improvements to core Zipcar systems, third', 'party interfaces, web-based systems and internal tools Qualifications:', '2-3 years web development / sustaining engineeing experience Solid', 'foundation in web software development, including HTML, JavaScript,', 'CSS Experience with relational database queries and SQL programming;', 'Oracle PL/SQL is a plus Command of your favorite scripting and server', 'side languages; for example: Ruby, PHP, Perl, Python Familiar with the', 'Linux operating system and utilities"
E571886149,middle_paths_unrestricted_16,ARG,,0.8,Windows 8,Windows 7,lex (unique),"[['X/PROPN/npadvmod/> believe/VERB/ROOT/^ be/VERB/ccomp/<', 'faster/ADV/acomp/< be/VERB/advcl/< for/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,False,124,"Despite improved security in Windows 8, McAfee believes targeted malware will be available faster than it was for Windows 7.","Despite improved security in Windows 8, McAfee believes targeted', 'malware will be available faster than it was for Windows 7."
E588892384,middle_paths_unrestricted_16,NONE,,1.0,Java,Perl,lex (unique),"[['X/ADJ/amod/> programmer/NOUN/nsubj/> programmer/NOUN/ROOT/^', 'Y/PROPN/attr/<'], ['X/ADJ/amod/> programmer/NOUN/nsubj/> programmer/NOUN/ROOT/^', 'star/NOUN/compound/V Y/PROPN/attr/<']]",,,ARG,False,134,"Diversity is good in a larger sense - someone who might be a mediocre Java programmer might be a star Perl programmer, and vice versa.","Diversity is good in a larger sense - someone who might be a mediocre', 'Java programmer might be a star Perl programmer, and vice versa."
E591869036,middle_paths_unrestricted_16,ARG,,1.0,tennis,basketball,lex (unique),[['NOPATH']],,,NONE,True,99,(?) Does Ani prefer cat to dog? M. Like Better 1) (+) He likes table tennis better than basketball.,"(?) Does Ani prefer cat to dog? M. Like Better 1) (+) He likes table', 'tennis better than basketball."
E602986925,middle_paths_unrestricted_16,NONE,,1.0,Java,Objective-C,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ for/ADP/prep/V Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ its/ADJ/poss/V Y/PROPN/appos/<']]",,,ARG,False,454,"Don't worry about languages, just use C# and XNA (C# is a great language), only switch if you have to (The main reason to switch language these days is for platform considerations (Many platforms have 1 ""official"" language for their SDK that is alot easier to work with than the rest, (For Android its Java, for WP7 its C# and for iOS its Objective-C for example, while you can use other languages aswell on those platforms it isn't necessarily as easy).","Don't worry about languages, just use C# and XNA (C# is a great"", 'language), only switch if you have to (The main reason to switch', 'language these days is for platform considerations (Many platforms', 'have 1 ""official"" language for their SDK that is alot easier to work', 'with than the rest, (For Android its Java, for WP7 its C# and for iOS', 'its Objective-C for example, while you can use other languages aswell', ""on those platforms it isn't necessarily as easy)."
E606655841,middle_paths_unrestricted_16,ARG,,1.0,Microsoft,Dell,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ activate/VERB/xcomp/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ be/VERB/oprd/V Y/PROPN/pobj/<']]",,,NONE,True,153,"Downloading the media yourself, installing, and then using the ""phone Microsoft to activate"" option might be faster than waiting for the media from Dell.","Downloading the media yourself, installing, and then using the ""phone', 'Microsoft to activate"" option might be faster than waiting for the', 'media from Dell."
E624727986,middle_paths_unrestricted_16,ARG,,0.8,Samsung,Toshiba,lex (unique),"[['X/ADJ/amod/> model/NOUN/ROOT/^ than/ADP/cc/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> model/NOUN/ROOT/^ than/ADP/cc/< the/DET/det/V', 'Y/PROPN/pobj/<']]",,,NONE,True,105,During this SSD exchange I identified my drive was the faster Samsung model rather than the Toshiba ones.,"During this SSD exchange I identified my drive was the faster Samsung', 'model rather than the Toshiba ones."
E633973084,middle_paths_unrestricted_16,NONE,,1.0,carolina,california,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ game/NOUN/attr/< than/ADP/prep/<', 'purdue/PROPN/pobj/< illinois/PROPN/appos/< indiana/PROPN/conj/<', 'kansa/PROPN/conj/< tech/NOUN/conj/< Y/PROPN/appos/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V be/VERB/ROOT/^ game/NOUN/attr/<', 'than/ADP/prep/< purdue/PROPN/pobj/< illinois/PROPN/appos/<', 'indiana/PROPN/conj/< kansa/PROPN/conj/< tech/NOUN/conj/<', 'Y/PROPN/appos/<'], ['X/PROPN/nsubj/> boise/PROPN/conj/V be/VERB/ROOT/^ game/NOUN/attr/<', 'than/ADP/prep/< purdue/PROPN/pobj/< illinois/PROPN/appos/<', 'indiana/PROPN/conj/< kansa/PROPN/conj/< tech/NOUN/conj/<', 'Y/PROPN/appos/<'], ['X/PROPN/nsubj/> st/INTJ/conj/V be/VERB/ROOT/^ game/NOUN/attr/<', 'than/ADP/prep/< purdue/PROPN/pobj/< illinois/PROPN/appos/<', 'indiana/PROPN/conj/< kansa/PROPN/conj/< tech/NOUN/conj/<', 'Y/PROPN/appos/<']]",,,ARG,True,182,"East carolina and Boise st are a harder game than Purdue, Illinois, Indiana, Kansa, Texas tech, california, Colorado, Kentucky, Rutgers, West Virginia, Maryland, virginia, and so on.","East carolina and Boise st are a harder game than Purdue, Illinois,', 'Indiana, Kansa, Texas tech, california, Colorado, Kentucky, Rutgers,', 'West Virginia, Maryland, virginia, and so on."
E663380182,middle_paths_unrestricted_16,ARG,,1.0,Ethernet,USB,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ order/NOUN/conj/< Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ order/NOUN/conj/< the/DET/det/V', 'Y/PROPN/dobj/<']]",,,NONE,False,103,"Ethernet will always be faster, but if your machines are not networked, order the USB cable and use it.","Ethernet will always be faster, but if your machines are not', 'networked, order the USB cable and use it."
E666194775,middle_paths_unrestricted_16,NONE,,1.0,Apple TV,iOS,lex (unique),[['X/PROPN/nsubj/> run/VERB/ROOT/^ Y/PROPN/dobj/<']],,,ARG,True,197,"Even better, since the Apple TV is running iOS it has recently been confirmed that it will be fully susceptible to jailbreaking , thus allowing power users to make full use of this God given space.","Even better, since the Apple TV is running iOS it has recently been', 'confirmed that it will be fully susceptible to jailbreaking , thus', 'allowing power users to make full use of this God given space."
