,sentence,object_a,object_b,predicted,gold,origin
1458,Last time I checked Apple had 3% market share (Personal Computers) Sony does better.,Apple,Sony,NONE,WORSE,both
1459,"Latex paint provides better fade resistance, flexibility, chalk resistance and adhesion.",paint,chalk,NONE,BETTER,both
1460,"OS/2 was technically superior, but Microsoft beat IBM through marketing and by tying its Office applications to Windows.""",Microsoft,IBM,NONE,BETTER,both
1461,"-SQL Server is significantly superior to MySQL, faster than PostgreSQL, and for most businesses is cheaper than Oracle.",MySQL,PostgreSQL,BETTER,NONE,both
1462,"Docter continued her solid play in Saturday's home defeat of cornell, leading harvard with 13 kills.",harvard,cornell,NONE,WORSE,both
1463,"It's better for Amazon to cannibalize itself than have it done anymore by Apple,"" he adds.",Apple,Amazon,BETTER,NONE,both
1464,Try shooting a wedding on a manual focus Hasselblad and a Nikon F3 or worse still a Leica ;),Nikon,Leica,NONE,BETTER,both
1465,"Intel PCs can do art and music, but the Apple stuff was better at it.",Apple,Intel,NONE,WORSE,both
1466,You could make it in Java but its probably going to be a lot easier in PHP.,Java,PHP,NONE,WORSE,both
1467,"The 6th Generation of Chevrolet Camaro finally unveiled in Detroit, since 5th generation the Camaro is just getting better to rival the direct competition - Ford Mustang.",Ford,Chevrolet,NONE,BETTER,both
1468,"To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the Chevrolet rather then the Toyota.",Toyota,Chevrolet,NONE,BETTER,both
1470,sausage and Broccolini work better than expected in a pizza ($11).,pizza,sausage,BETTER,NONE,both
1473,I wouldn't say Microsoft is worse then Apple.,Microsoft,Apple,WORSE,NONE,both
1474,"I live in the home of Coca-Cola, so Pepsi is a little harder to come by vending machine wise.",Coca-Cola,Pepsi,NONE,BETTER,both
1475,"ARM has historically been weak at Floating-point arithmetic, but I'm under the impression that ARM might do better per watt on Integer workloads than x86.",Integer,Floating-point,WORSE,BETTER,both
1476,"While the Python source code browsing is only mediocre when compared with the Java support, the integrated debugging is very powerful.",Java,Python,NONE,BETTER,both
1477,"I don't know if Sony would be better than Dell, or any other make for that matter.",Sony,Dell,BETTER,NONE,both
1478,"But in both cases Apple gets poor grades from Greenpeace while Dell gets better grades, despite the inconvenient fact that both are in exactly the same boat: stuck.",Apple,Dell,NONE,WORSE,both
1479,"Apple cider vinegar will taste better then white, but lemon juice is the best tasting.",juice,cider,BETTER,WORSE,both
1480,ur kidding right ?? i use core i5 and 4gb ram with this graphics 45 fps no less than that number iam sure i can i make it (and any game) hit 120 fps simply doing 1 thing which is installing the ugly Windows XP sp3 (it dont even compare to Windows 8 beauty) but its about 3 times faster,Windows XP,Windows 8,NONE,WORSE,both
1481,I switched from Nikon at the time and feel the camera build quality of the Leica was better.,Nikon,Leica,NONE,WORSE,both
1483,One reviewer felt that Mitt Romney delivered a better performance than John F. kennedy against nixon.,kennedy,nixon,NONE,BETTER,both
1485,The only sport that's slower to watch than golf is baseball.,baseball,golf,NONE,BETTER,both
1488,The USB 3.0 port enables 10 times faster file transfer while the Bluetooth and WLAN IEEE 802.11 ac standards enable network communications.,USB,Bluetooth,NONE,BETTER,both
1489,"metal ramps are good, but concrete is better.",metal,concrete,NONE,WORSE,both
1490,"This is Windows XP not Vista !! Windows Vista has nicer desktop than xp, because it has more additional features.",Windows XP,Windows Vista,NONE,WORSE,both
1491,Good to see again a Renault ahead of a Ferrari.,Ferrari,Renault,NONE,BETTER,both
1492,"The real question is: for any given programming concept, is there anything about Ruby syntax that makes it harder to learn or implement than the equivalent in PHP?",Ruby,PHP,NONE,WORSE,both
1493,Is Google GDrive any better than Microsoft SkyDrive?,Microsoft,Google,BETTER,NONE,both
1494,"Windows XP needed two service packs, but Windows 98 was even worse, needing a second edition to plug the holes.",Windows XP,Windows 98,NONE,BETTER,both
1495,"While the ps2 was a lousy DVD player, the ps3 is a fantastic Blu-ray player.",ps3,ps2,NONE,WORSE,both
1496,"The headline read: "" Sega: wii U graphics on-par with playstation 3, maybe even better "".",playstation,wii,NONE,BETTER,both
1497,"oregon maybe isn't Notre Dame or michigan, but (it is) certainly better known than George Mason or Gonzaga,"" McEvoy said.",michigan,oregon,NONE,WORSE,both
1498,"Mercer leads at 556, one stroke better than georgia Tech with virginia Tech third at 565.",virginia,georgia,NONE,BETTER,both
1499,"virginia coach Tony Bennett said georgia Tech is ""a better team"" this season.",virginia,georgia,NONE,WORSE,both
1500,It's better organized than PHP (with its absurdly large global namespace) and less ceremonious than Java (no IStrategyBuilderFactories here).,Java,PHP,BETTER,NONE,both
1501,"This is most likely done to optimize for Integer calculations, rather than slower Floating-point math.",Integer,Floating-point,WORSE,NONE,both
1502,"First nite enjoyed with grilled porterhouse steak, 2nd nite (it tasted even better) with salad, candied carrots and crusty bread!",bread,steak,NONE,WORSE,both
1504,"Decent alternatives for you might include the Android-powered Samsung Galaxy 3 , the HTC Wildfire or indeed, if you can afford the step up, the Nokia C7 for a considerably superior Symbian^3 experience.",Nokia,Samsung,NONE,WORSE,both
1505,"Contrast that with Microsoft or, even worse, Google and its absolutely a disaster.",Microsoft,Google,NONE,BETTER,both
1507,"Granted, Pentium 4M was a horrible CPU platform to start with but somehow IBM pulled off a decent design based on same processor with the T30 and Dell didn't.",IBM,Dell,NONE,BETTER,both
1509,"The Nikon costs $20,000 less and weighs 27.4 pounds less than this Sigma, but is a stop slower and a little less long.",Sigma,Nikon,BETTER,WORSE,both
1510,I have several web sites where I have migrated from MySQL to SQLite and I couldn't be happier: it's faster with less CPU and memory footprint.,MySQL,SQLite,NONE,WORSE,both
1512,The bigger ill is that espn has performed much better than TNT and much worse than fox - which the vast majority of the print media will not discuss.,fox,espn,BETTER,WORSE,both
1513,There is also no sane reason to use mySQL (or Oracle) when PostgreSQL is better than both in almost every respect.,Oracle,PostgreSQL,NONE,WORSE,both
1514,"OT a bit, but I liked Shattered Memories much better on the psp then the wii.",wii,psp,NONE,BETTER,both
1517,"Otherwise, Microsoft will build hardware that better integrates with the operating software, and companies like Dell will suffer.",Microsoft,Dell,NONE,BETTER,both
1519,"While the tutorial implies that using SQLite is the easiest path to getting a working app, it's probably easier to use MySQL or postgres if you're comfortable with those.",MySQL,SQLite,NONE,WORSE,both
1521,Did you work harder at oregon State than you did at virginia?,virginia,oregon,BETTER,NONE,both
1522,"Nintendo, Microsoft, Sony from best to worse in that exact order.",Microsoft,Sony,NONE,BETTER,both
1524,"Open standards are better than propietary ones, and you should know by now that's also my POV, but actual applications are better than none and OpenCL it's been here for only 1 year or so, and it's not yet as good as CUDA.",CUDA,OpenCL,NONE,WORSE,both
1527,"And, one for institutional (soda fountains) use which is, thicker and better for fountain drinks like chocolate egg creams.",chocolate,soda,NONE,BETTER,both
1528,"The discussion turned to having other people work on the project, and why I felt people who knew Lisp would be better to attract than people who knew, say, Java.",Java,Lisp,BETTER,NONE,both
1530,Why should cricketers and hockey players not be able to earn a decent living like footballers or basketball players do?,basketball,hockey,NONE,WORSE,both
1532,"We enjoyed a meal at Café Baghdad (great soup, lousy pizza, reasonable prices) overlooking the Plaza.",soup,pizza,NONE,BETTER,both
1533,Angiulo told me that Microsoft was working harder than ever with its hardware partners -- with Dell and HP and all the other companies -- to make the experience of touch both on Windows 7 and Window 8 better.,Microsoft,Dell,BETTER,NONE,both
1534,"If Nikon wants to claim PRO status and quality and perhaps better than Canon, then they should be willing to go there and hit the big MP guys (Leica & Kodak's huge sensor).",Nikon,Leica,BETTER,NONE,both
1535,"While Direct3D works, OpenGL seems to give better texture quality and smoother frame rate in CS1.6.",OpenGL,Direct3D,NONE,WORSE,both
1536,It can be done on the iphone but editing is much easier on the IPad or a laptop computer.,laptop,iphone,NONE,WORSE,both
1537,"The entity may even provide sample Java code, but Perl is a far better solution.",Java,Perl,NONE,WORSE,both
1538,"Compared with Windows XP, Windows Vista does a better job of helping to prevent hostile programs and Web sites from attacking your PC.",Windows XP,Windows Vista,NONE,WORSE,both
1539,"I don't think it could've worked out any better with what happened (at dartmouth) at the end of the game up there, and then obviously our rival (harvard).""",harvard,dartmouth,NONE,BETTER,both
1540,@9:08 At no time has the softball stadium been superior to baseball.,baseball,softball,NONE,WORSE,both
1541,The consensus seems to be that Java killed Smalltalk.,Java,Smalltalk,NONE,BETTER,both
1543,Nike didn't look to the designs of Adidas to make a better sneaker.,Nike,Adidas,NONE,WORSE,both
1544,"Sony, Grass Valley, Lightworks, even the inferior Apple.",Apple,Sony,NONE,BETTER,both
1545,"The hardware (Sony) feels cheap and easy to break compared to my 4-year old Dell, which feels solid.",Sony,Dell,NONE,WORSE,both
1546,"In fact, Amazon did poorly in Google overall in general.",Google,Amazon,NONE,WORSE,both
1547,"1. BMW, 40 points / Chevrolet, 40 3. Ferrari, 27 4. Porsche, 23",Ferrari,BMW,NONE,BETTER,both
1548,"Early adopters of Windows 8 will find the new operating system to be like Windows 7, but optimized and faster.",Windows 7,Windows 8,NONE,BETTER,both
1549,"Once I know Java, is jsp easier to learn than PHP?",Java,PHP,BETTER,NONE,both
1550,Sorry but if you claim you are an IT tech and you can't figure out how to make Windows 8 work better for you than windows 7 or Windows XP then I do believe you are just a self proclaimed IT tech.,Windows XP,Windows 8,BETTER,NONE,both
1552,"More open to possibilities that once seemed outlandish, Apple couldn't have found a better enterprise partner than IBM.",Apple,IBM,BETTER,NONE,both
1553,I have no desire to argue that fox is any better or worse than cnn.,fox,cnn,WORSE,NONE,both
1554,Soriano produced a steel prototype in Palo Alto that was never put into production - timber was easier.,steel,timber,NONE,WORSE,both
1556,I like the Bluetooth for use with a mouse and the USB 3 makes transferring data so much faster.,USB,Bluetooth,NONE,WORSE,both
1557,"So then it comes down to Intel, will they provide another new SL9x00 CPU faster than 2.13 GHz for Apple?",Apple,Intel,BETTER,NONE,both
1558,"Not all users have automatic updates, but as users move from OS'es that don't (Windows XP) to ones that do (Windows 7 and Windows 8), it results in better security.",Windows XP,Windows 8,NONE,WORSE,both
1560,"Robert Kubica was second fastest in his BMW Sauber, just four-tenths shy of pace-setter Glock while Nico Rosberg posted the third best time just a fraction slower in his Williams Toyota.",Toyota,BMW,WORSE,NONE,both
1562,"I chose a BMW over a Ford Mondeo because it's better put together, more powerful, more comfortable and is more attractive (to me), for the same price (second hand, at the time).",Ford,BMW,NONE,BETTER,both
1563,JS is better than GWT? Scala is better for Java in the enterprise?,Java,Scala,BETTER,NONE,both
1564,I think softball is harder than baseball in its own way.,baseball,softball,BETTER,WORSE,both
1566,"Can you Show How Groovy is ""Better Java""?",Java,Groovy,NONE,BETTER,both
1567,Is football better than baseball?,football,baseball,BETTER,NONE,both
1568,I'm not saying the ps3 is better or worse than the Xbox360 and wii.,wii,ps3,WORSE,NONE,both
1569,Do I think google will score better than amazon?,google,amazon,BETTER,NONE,both
1570,According to many industry experts Windows Vista drains notebook battery life faster than Windows XP.,Windows XP,Windows Vista,BETTER,WORSE,both
1571,"And while some of J.D. Power's top performers with shoppers also scored well with dealers -- Mercedes-Benz, Cadillac, Porsche, Volkswagen -- others NADA faves like Audi, Kia, and Honda fared poorly with consumers.",Audi,Mercedes-Benz,NONE,BETTER,both
1572,"and dont even start with the ""Microsoft greed monopoly"" thing, Apple is 10X worse""",Microsoft,Apple,NONE,BETTER,both
1573,"My original guess was that division might be slower because, for a lot of cases (such as 42/5) the results are non-Integer, so it has to use (mildly slower) Floating-point hardware to find the result.",Integer,Floating-point,WORSE,BETTER,both
1574,"Its Azure PaaS/IaaS platform hasn't overtaken Amazon yet in market share, but Microsoft has enjoyed nine straight quarters of growth at 10 percent or better .",Microsoft,Amazon,NONE,WORSE,both
1575,"ACME, Mich. - General Motors Co., facing disappointing Chevrolet Volt sales, cut the starting price of the plug-in hybrid sedan by $5,000 to compete against the less- expensive and better-selling Toyota Prius and Nissan Leaf.",Toyota,Chevrolet,NONE,WORSE,both
1576,"A second generation is planned for the mid-year point with Toshiba flash chips replacing the Samsung ones, and a Marvell controller, possibly a faster 6Gbit/s model.",Samsung,Toshiba,NONE,BETTER,both
1577,"A migration to Windows 7 will likely be faster, but one to Windows 8 will have more longevity - Windows 7 support ends in January 2020, less than 6 years away, and organizations that are so late on Windows XP should not get into the same situation with end of Windows 7 support.",Windows XP,Windows 8,BETTER,NONE,both
1578,CUDA performance is 2X that of a GTX285 & OpenCL is 3X better.,CUDA,OpenCL,NONE,WORSE,both
1579,"While it is certainly true that few companies posted big wins in the equity markets this week, it remains striking that Google underperformed Oracle, IBM, Apple, Microsoft, and Yahoo! (all of whom posted losses much closer to those of NASDAQ) and HP did even worse.",Google,IBM,NONE,WORSE,both
1580,"If Microsoft wants to get into hardware, they would do better making an Android tablet and adding value, as others like Samsung and Amazon have done.",Microsoft,Amazon,NONE,WORSE,both
1581,"People are in a serious mood of trolling in OTW! _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog",Google,Kingston,NONE,BETTER,both
1582,"For some reason baseball players think hitting a softball is 'easier.'""",baseball,softball,NONE,WORSE,both
1583,"Any software company wants as huge a target audience as possible, so for them it's much better to write OpenGL-based apps instead of apps based on Direct3D.",OpenGL,Direct3D,NONE,BETTER,both
1584,"I like this model since I can start (or even do local dev) on SQLite and if I need better performance/functionality I can switch to a bigger DB system (MySQL, postgres, etc) by changing a line in my configuration file.",MySQL,SQLite,NONE,WORSE,both
1585,"We decided to code the account switching business logic on the back-end in Groovy, instead of Java as the rest of the back-end.The reason for thiswasreallythathavingoneprograminglanguage on a project is superior to havingtwo, especiallysince the new language is much more expressive and cool than the old one.Compilation of code base in twolanguages is slow.",Java,Groovy,NONE,BETTER,both
1586,"As for parallel mode MySQL retained its performance while PostgreSQL/PostGIS introduced some decrease in performance while still performing faster, now by 27.5% .",MySQL,PostgreSQL,NONE,BETTER,both
1587,"Finally, the concept was perfected by Apple - and later poorly copied by Microsoft.",Microsoft,Apple,NONE,BETTER,both
1589,"Imagine how hard it will be for Intel to make the case that its chips are somehow worth the price tag when IBM, HP, Dell, and Sun are all selling faster, cheaper, more capable chips.",IBM,Intel,NONE,WORSE,both
1590,"I'll repeat with a GTX580 on the next tests - I imagine CUDA does not improve PP6 over FCPX when you have a faster, higher spec Nvidia card that also boosts OpenCL on FCPX.",CUDA,OpenCL,BETTER,NONE,both
1592,It's like giving up my Toyota because somebody promises that the new Ford is better.,Ford,Toyota,NONE,WORSE,both
1593,"Nikon, zeiss or schneider industrial optic but even quite often mainstream optic is able to beat most what Leica produces and for even better price.",Nikon,Leica,WORSE,BETTER,both
1594,"I can see why you would prefer Java to Python (speed), and Tcl (better language).",Java,Python,NONE,BETTER,both
1595,InfoQ : Are there specific features of Groovy that you feel make it better suited to Spring development than Java?,Java,Groovy,BETTER,NONE,both
1596,"After all, who would play the 'wii' when there were much cooler names like playstation 3 and Xbox 360?",playstation,wii,NONE,WORSE,both
1598,"And no, the Sony earbuds are smaller than the Apple earbuds (which have better sound) so they won't fit.",Apple,Sony,BETTER,WORSE,both
1599,"By about a chapter into the PHP book, I was thinking ""holy crap, this language is uglier than Perl"".",PHP,Perl,BETTER,WORSE,both
1600,"Goodnight NetBeans, Hello Eclipse",Eclipse,NetBeans,NONE,WORSE,both
1601,"It's light as aluminum, but harder than steel,"" he said.",steel,aluminum,WORSE,NONE,both
1602,"Did Microsoft just make Kinect better, while Sony neglected Move?",Microsoft,Sony,NONE,BETTER,both
1603,We obviously linked to youtube above even though hulu has superior quality and content.,youtube,hulu,NONE,WORSE,both
1604,"IMHO Lisp is way too heavy on the parenthesis, a Java program is easier to read.",Java,Lisp,NONE,WORSE,both
1605,In the Cafe Promenade the pizza was good but the sandwich selection could have been better compared to Carnival.,pizza,sandwich,WORSE,BETTER,both
1606,"Still Perl is faster, but Java is not worse than other languages like Python.",Python,Perl,WORSE,NONE,both
1607,"It does seem Amazon is using a lower quality display in new Kindle's, so you want the best looking screen maybe better to go with Kindle Keyboard, Nook STR or new Sony-T1.",Sony,Amazon,NONE,WORSE,both
1608,I just think whole milk would be better then juice?,milk,juice,NONE,BETTER,both
1609,"On the other hand, overall turnout grew at a slower pace in georgia than virginia or North Carolina after adjusting for population growth.",virginia,georgia,BETTER,WORSE,both
1610,"He may like working in Python better, but sometimes the order is for Java.",Java,Python,BETTER,NONE,both
1611,Samsung got the market jump on Nokia going the faster but less vetted approach of Android.,Nokia,Samsung,NONE,BETTER,both
1613,"From what I could gather, it is much easier for a Java programmer to read (make sense of) simple Python code than to read Scala code.",Java,Scala,BETTER,NONE,both
1614,"Kind of a toss up as to which is easier, depending on how good your PHP coding is compared to your JavaScript coding.",PHP,JavaScript,BETTER,NONE,both
1618,If you can ally with the market leader (IBM) you can use market dominance to beat products of vastly superior quality (Apple computers).,Apple,IBM,NONE,WORSE,both
1620,"Modern hardware/ multicore systems perform much better on Windows 7 or Windows 8, instead of Windows XP.",Windows XP,Windows 8,NONE,BETTER,both
1622,"Canon, Nikon and Sony lenses longer than 400mm cost more than $8,000 (although Sigma and Tamron offer slower tele-zooms that go out to 500mm for around $1,000).",Sigma,Nikon,BETTER,NONE,both
1623,Windows 8 has no better support than Windows 7 for NTVDM.,Windows 7,Windows 8,BETTER,NONE,both
1624,"I notice many people say they will buy the ""better quality car"" when they make one well lately Cadillac was second only to Lexus and many here still bought Infinity, or Acura, Benz, etc. or kept their remaining.",Cadillac,Lexus,NONE,WORSE,both
1625,Apple is reportedly planning to upgrade its current lineup of MacBook Air laptops on Tuesday with faster processors from Intel.,Apple,Intel,NONE,BETTER,both
1626,"(ie: the slower, general-purpose Perl engine, versus the faster Python DFA-based engine).",Python,Perl,NONE,WORSE,both
1627,I say Google is the new Microsoft and in many cases they are even worse.,Microsoft,Google,NONE,WORSE,both
1628,"Chromatic aberration and distortion are better controlled on the Nikon, while Sigma does well in controlling vignetting.",Sigma,Nikon,NONE,BETTER,both
1629,The wii U version will be inferior to the others (except ps3 and Xbox 360.,wii,ps3,WORSE,NONE,both
1630,"This last fact alone makes it easier to code in Java, even though the code can never be as terse and and elegant as the equivalent Groovy code.",Java,Groovy,NONE,WORSE,both
1631,"I'm sure the dedicated winter tires help but I have found that my BMW handles better then some of my previous cars (00 Honda Accord EX-V6, 97 Ford Explorer, 96 Maxima SE).",Ford,BMW,NONE,BETTER,both
1632,"Samsung voids warranty for rooting, Motorola doesn't.",Samsung,Motorola,NONE,WORSE,both
1634,Our Sources tell us that Pepsi felt that Lynxxx who spent the better part of 2011 Touring and doing TV/Radio interviews has been career dead for just too long and this is affecting their brand presence in Nigeria which is currently controlled by arch rival Coca-Cola.,Coca-Cola,Pepsi,NONE,WORSE,both
1635,"Netflix, amazon and I think the new Genius tool for itunes have much better systems.",amazon,itunes,NONE,WORSE,both
1636,"As an aside, who in their right mind would buy an inferior GM or Ford car when a very well engineered European car, like that from Mercedes Benz and BMW can be purchased for a much lower price than now when the euro falls.",Ford,BMW,NONE,WORSE,both
1637,"That's true, and it's definitely doable in any language, but it's a lot harder in Java than it is in OCaml, Haskell, Scala, etc.",Java,Scala,BETTER,WORSE,both
1640,"Tomorrow, the ps2 and some WALL-E (I can not play that game on the ds anymore, cuz it is sooooo much slower, more boring, and all you can do is make/throw cubes).",ds,ps2,NONE,BETTER,both
1641,Developers won't view Amazon as any better than Apple.,Apple,Amazon,BETTER,WORSE,both
1642,"Intel SSDs had a failure rate of 0.59%, while the solid-state competition from Corsair, Crucial, Kingston, and OCZ ranged from 2.17-2.93%.",Intel,Kingston,NONE,BETTER,both
1643,Lemon juice clabbers milk slower so it works better.,milk,juice,NONE,WORSE,both
1644,"Penetration of Windows 2000 wasn't really that great, Windows XP was better, but there's still a lot of people out there running Windows 98 in all honesty.",Windows XP,Windows 98,BETTER,NONE,both
1645,"The restaurant is doing much better,"" Sal reveals of Papa C's Eastside cafe.",restaurant,cafe,NONE,BETTER,both
1646,"I used to use Perl or white my own CGI's in C, but PHP is so, much easier than either.",PHP,Perl,NONE,WORSE,both
1647,This was one of my favourite games on the ps2 and looks fantastic on the ds: the same but better!,ds,ps2,NONE,WORSE,both
1649,I have owned a Ford F150 and I also think that the Toyota is a better driver and better built.,Ford,Toyota,NONE,WORSE,both
1650,1) Laptop or netbook with Bluetooth means that I don't have to plug anything into a USB port in order to use a decent mouse with the computer.,USB,Bluetooth,NONE,BETTER,both
1651,princeton has almost invariably played her best game against harvard--usually better than when opposing Yale.,harvard,princeton,NONE,BETTER,both
1652,"Amazon is, I think, in a better position (how much better, I don't know) to compete directly with Apple.",Apple,Amazon,NONE,BETTER,both
1653,Compared to Perl - Ruby is much much nicer.,Ruby,Perl,NONE,WORSE,both
1654,"Not only are there reasonable alternatives in languages like Scala, Groovy, and C#, but there is even a better option that has already been explored for Java:",Java,Groovy,BETTER,WORSE,both
1655,Not sure Ford is going to be any better than Honda in that regard.,Ford,Honda,BETTER,NONE,both
1656,Much better than JavaScript e -mails/PHP.,PHP,JavaScript,NONE,WORSE,both
1657,Google would not put a 2300mah battery of it didn't get decent battery life (higher quality parts can raise power efficiency so battery life can be better/worse than mah would make it seem) your mixing them up with Sony who is notorious for it.,Google,Sony,WORSE,NONE,both
1658,"You also say, ""Additionally, it is equally as hard (I believe harder) to score a[n] incapacitating blow with a knife that with a pistol.""",knife,pistol,NONE,WORSE,both
1659,"It was a little cooler here in michigan that it was in Florida and georgia, but in reality not all that bad for the time of year.",georgia,michigan,NONE,BETTER,both
1660,But my biggest worry is that the tech press will continue to do what they always do and ignore a superior product from Microsoft and flog an inferior offering because it's from Google.,Microsoft,Google,NONE,BETTER,both
1661,But I'm not convinced it works in JavaScript any better than it works in Perl.,Perl,JavaScript,BETTER,WORSE,both
1665,"Yeah, there's a lot of idiots here who still think OpenGL is better than Direct3D.",OpenGL,Direct3D,BETTER,WORSE,both
1666,"So if you've built a TV library around iTunes, you own iOS devices and you rip your DVDs, the Apple TV will probably be a better choice.",iOS,Apple TV,NONE,WORSE,both
1667,"The whole Florida line didn't play well versus missouri, but was better against georgia.",georgia,missouri,BETTER,NONE,both
1668,"Unless you need USB 3.0, or better Bluetooth, or Fusion drive or something like that.....",USB,Bluetooth,NONE,WORSE,both
1669,"Grails uses Groovy, which IMO is easier to learn than Ruby, especially is you already know Java.",Java,Groovy,BETTER,NONE,both
1670,"Groovy code often looks and feels like Java code, but is almost always simpler and easier to use.",Java,Groovy,NONE,BETTER,both
1672,"Unlike the Leica 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the Nikon above.",Nikon,Leica,BETTER,WORSE,both
1673,"tennis is so much harder on the body than golf,"" he said.",golf,tennis,BETTER,WORSE,both
1674,"one I know who's seen Ruby code argues that Perl is better -- but then,",Ruby,Perl,NONE,WORSE,both
1675,"the pizza looked better than it tasted, but the soup was so yummy!",soup,pizza,BETTER,WORSE,both
1677,"If OSU beats michigan State Saturday and finishes undefeated, there's a better chance for a one-loss Auburn to jump the Buckeyes than a one-loss missouri.",michigan,missouri,BETTER,NONE,both
1678,"Scala is a hell of a lot faster than PLT Scheme, and it plays perfectly with the vast Java ecosystem, while Scheme does not.",Java,Scala,BETTER,NONE,both
1679,Renault also clinched the Constructors Championship over Ferrari.,Ferrari,Renault,NONE,BETTER,both
1680,california is a much harder place to practice law than is South carolina.,california,carolina,BETTER,WORSE,both
1681,"(FWIW, Smalltalk (and to a much lesser extent, Java)",Java,Smalltalk,NONE,BETTER,both
1682,"Generally speaking, in a ""squeeze the brakes as hard as possible and let ABS take over"" kind of stop, the Yamaha and the Honda, with their faster cycling times, will out-stop the BMW by several feet.",Honda,BMW,NONE,BETTER,both
1683,"The psp sells very well in Japan, in america sometimes the ps2 sells better.",psp,ps2,NONE,WORSE,both
1684,for those who care about such things... i returned my Nikon 4500 10 days ago on 12th day of free 10-day trial and i traded down to a panasonic lumix LC40 with Leica lens because it had a faster shutter response and looked pretty bad ass.,Nikon,Leica,NONE,WORSE,both
1685,espn gets much better and fox falls apart - how can that be?,fox,espn,NONE,BETTER,both
1686,"However, I do wish it was optimized better, but PHP is not Java.",Java,PHP,NONE,BETTER,both
1687,ISA is the old bus of the old IBM-compatible PCs while PCI is a newer and faster bus from Intel.,IBM,Intel,NONE,WORSE,both
1689,"However, it is a thing to be aware of if you're writing world class 3D Windoze apps, but not in determining whether OpenGL is better than Direct3D.",OpenGL,Direct3D,BETTER,NONE,both
1690,"(I was surprised that they did not cough up some virginia wines, but they limited themselves to the safer california varietals.",california,virginia,WORSE,NONE,both
1691,"Compared with the Mercedes-Benz C class, BMW 3 series and Audi A4, the Lexus ES sedan now offers more power (268 hp) and worse fuel economy (24 mpg combined) from its base engine.",Audi,Lexus,NONE,WORSE,both
1692,"Performance The Ford Fusion Energi has less horsepower than the Toyota Avalon Hybrid, so it will probably be somewhat slower.",Ford,Toyota,BETTER,WORSE,both
1693,"For such a small self-contained task, I don't think Haskell is any better than Python.",Python,Haskell,BETTER,WORSE,both
1694,"Other reviews have shown these new 470 series SSDs from Samsung have significantly better scores than the rest, while still competing with Toshiba on power consumption.",Samsung,Toshiba,BETTER,NONE,both
1695,Google Makes it Easier to Dump Microsoft Office #io14,Microsoft,Google,NONE,BETTER,both
1696,"It provides d rastic JSON parsing and serialization performance improvements "" The Rick (Hightower)/ Andrey duo spent a fair amount of time optimizing our JSON support, making Groovy 2.3's JSON support usually faster than all the JSON libraries available in the Java ecosystem.",Java,Groovy,BETTER,NONE,both
1697,"Python would be a much better choice in my view for a variety of reasons (and I say this though I'm a Perl nut!), or hell, if you teach them Lisp they'll be horribly screwed up for the rest of their lives but at least they'll understand how registers and OOP work.",Python,Lisp,NONE,BETTER,both
1698,"There's another damaging situation: You can complain about itunes and subscription sites being damaging to copyright owners and having inferior audio quality, but one of the worst culprits is youtube.",youtube,itunes,WORSE,BETTER,both
1699,"I haven't tried it with this modem, but on my ADSL line the superior performance of Ethernet over USB modems is striking, particularly in terms of responsiveness.",USB,Ethernet,NONE,BETTER,both
1700,"This is where Scala stops being a better Java, in the sense Groovy is, and becomes its own language.",Java,Scala,NONE,WORSE,both
1701,Thanks to Apple removing Google maps which is 1000x better.,Apple,Google,NONE,WORSE,both
1702,"Are you saying that you use JavaScript outside a browser, and that you feel it is a better language in that context than Java, C++, C, Smalltalk, Lisp, Perl, Python, etc?",Python,JavaScript,BETTER,NONE,both
1704,"Even if this juice isn't your typical cider, it's just as good if not better in our opinion!",juice,cider,NONE,BETTER,both
1705,"@tanasten Bowling is WAY better, baseball is WAY better, golf is WAY better, tennis is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!",baseball,tennis,BETTER,NONE,both
1706,"We chose for PostgreSQL (not to start an MySQL pg flamewar, but pg was the more suitable for our purposes) because it's open, and thus safer.",MySQL,PostgreSQL,NONE,BETTER,both
1707,I was using google music but amazon is just better.,google,amazon,NONE,WORSE,both
1709,"Windows 8 Developer desktop - looks like Windows 7, runs a hair faster.",Windows 7,Windows 8,NONE,BETTER,both
1710,"That's true, function passing is painless in Python and a little harder in Ruby.",Ruby,Python,NONE,BETTER,both
1711,"Its 362 nit brightness level is one of the best we've seen, improving on the MacBook and Samsung, but the Lenovo's 646:1 contrast ratio is mediocre - the Toshiba Kira hit a mighty 2,326:1.",Samsung,Toshiba,WORSE,NONE,both
1712,"Whatever the ds can do , wii can do better, right?",wii,ds,NONE,WORSE,both
1713,"While dozens of manufacturers will gladly slap an Intel, Microsoft, or NVIDIA advertisement on the palmrest of your brand new laptop, Google knows better than to partake in this annoying practice.",Google,Intel,NONE,WORSE,both
