id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,sentencer,paths,s_len
E617137525,middle_paths_unrestricted_16,"ds - 276,000 psp - 25,000",ds,psp,BETTER,NONE,1.0,lex (unique),"ds - 276,000 psp - 25,000","[['X/PROPN/quantmod/> Y/PROPN/ROOT/^'], ['X/PROPN/quantmod/> 276,000/NUM/nummod/V Y/PROPN/ROOT/^']]",25
E624727986,middle_paths_unrestricted_16,During this SSD exchange I identified my drive was the faster Samsung model rather than the Toshiba ones.,Samsung,Toshiba,NONE,BETTER,1.0,lex (unique),"During this SSD exchange I identified my drive was the faster Samsung', 'model rather than the Toshiba ones.","[['X/ADJ/amod/> model/NOUN/ROOT/^ than/ADP/cc/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> model/NOUN/ROOT/^ than/ADP/cc/< the/DET/det/V', 'Y/PROPN/pobj/<']]",105
E633973084,middle_paths_unrestricted_16,"East carolina and Boise st are a harder game than Purdue, Illinois, Indiana, Kansa, Texas tech, california, Colorado, Kentucky, Rutgers, West Virginia, Maryland, virginia, and so on.",carolina,california,BETTER,NONE,1.0,lex (unique),"East carolina and Boise st are a harder game than Purdue, Illinois,', 'Indiana, Kansa, Texas tech, california, Colorado, Kentucky, Rutgers,', 'West Virginia, Maryland, virginia, and so on.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ game/NOUN/attr/< than/ADP/prep/<', 'purdue/PROPN/pobj/< illinois/PROPN/appos/< indiana/PROPN/conj/<', 'kansa/PROPN/conj/< tech/NOUN/conj/< Y/PROPN/appos/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V be/VERB/ROOT/^ game/NOUN/attr/<', 'than/ADP/prep/< purdue/PROPN/pobj/< illinois/PROPN/appos/<', 'indiana/PROPN/conj/< kansa/PROPN/conj/< tech/NOUN/conj/<', 'Y/PROPN/appos/<'], ['X/PROPN/nsubj/> boise/PROPN/conj/V be/VERB/ROOT/^ game/NOUN/attr/<', 'than/ADP/prep/< purdue/PROPN/pobj/< illinois/PROPN/appos/<', 'indiana/PROPN/conj/< kansa/PROPN/conj/< tech/NOUN/conj/<', 'Y/PROPN/appos/<'], ['X/PROPN/nsubj/> st/INTJ/conj/V be/VERB/ROOT/^ game/NOUN/attr/<', 'than/ADP/prep/< purdue/PROPN/pobj/< illinois/PROPN/appos/<', 'indiana/PROPN/conj/< kansa/PROPN/conj/< tech/NOUN/conj/<', 'Y/PROPN/appos/<']]",182
E666194775,middle_paths_unrestricted_16,"Even better, since the Apple TV is running iOS it has recently been confirmed that it will be fully susceptible to jailbreaking , thus allowing power users to make full use of this God given space.",Apple TV,iOS,BETTER,NONE,1.0,lex (unique),"Even better, since the Apple TV is running iOS it has recently been', 'confirmed that it will be fully susceptible to jailbreaking , thus', 'allowing power users to make full use of this God given space.",[['X/PROPN/nsubj/> run/VERB/ROOT/^ Y/PROPN/dobj/<']],197
E673528167,middle_paths_unrestricted_16,"Even when Sony entered the market with its own streaming box, it was an inferior product with nothing to differentiate it from Apple TV, Roku, or Google TV.",Sony,Apple,BETTER,NONE,1.0,lex (unique),"Even when Sony entered the market with its own streaming box, it was', 'an inferior product with nothing to differentiate it from Apple TV,', 'Roku, or Google TV.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ differentiate/VERB/relcl/<', 'from/ADP/prep/< Y/PROPN/pobj/<']]",156
E673909808,middle_paths_unrestricted_16,"Even without that killer app, people who do upgrade from older versions, such as Windows 98, are likely to find Windows XP to be ""a better version of Windows than a lot of people have realized,"" Cherry said.",Windows 98,Windows XP,NONE,WORSE,1.0,lex (unique),"Even without that killer app, people who do upgrade from older', 'versions, such as Windows 98, are likely to find Windows XP to be ""a', 'better version of Windows than a lot of people have realized,"" Cherry', 'said.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ likely/ADJ/acomp/< find/VERB/xcomp/<', 'Y/PROPN/dobj/<']]",207
E673917026,middle_paths_unrestricted_16,"Even without the heavy functional stuff, just as a basic OO language, Scala is far better than C++/Java/C#.",Scala,Java,NONE,BETTER,0.8,lex (unique),"Even without the heavy functional stuff, just as a basic OO language,', 'Scala is far better than C++/Java/C#.",[['NOPATH']],107
E687268120,middle_paths_unrestricted_16,"Expect enhanced chances of near normal temperatures in Washington, oregon, and western Indiana and cooler than normal in michigan and northern Wisconsin.",oregon,michigan,NONE,BETTER,1.0,lex (unique),"Expect enhanced chances of near normal temperatures in Washington,', 'oregon, and western Indiana and cooler than normal in michigan and', 'northern Wisconsin.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ indiana/PROPN/conj/V Y/PROPN/pobj/<']]",153
E696093861,middle_paths_unrestricted_16,Fantasy football is now a memory and the transition to fantasy golf couldn't come at a better time.,football,golf,BETTER,NONE,1.0,lex (unique),"Fantasy football is now a memory and the transition to fantasy golf', ""couldn't come at a better time.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ memory/NOUN/attr/<', 'transition/NOUN/conj/< to/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ memory/NOUN/attr/<', 'transition/NOUN/conj/< to/ADP/prep/< fantasy/NOUN/compound/V', 'Y/PROPN/pobj/<']]",99
E699244900,middle_paths_unrestricted_16,FD: football and baseketball got on it faster than baseball.,football,baseball,WORSE,BETTER,1.0,lex (unique),FD: football and baseketball got on it faster than baseball.,"[['X/PROPN/nsubj/> get/VERB/ROOT/^ faster/ADV/advmod/< than/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V get/VERB/ROOT/^ faster/ADV/advmod/<', 'than/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> baseketball/NOUN/conj/V get/VERB/ROOT/^', 'faster/ADV/advmod/< than/ADP/prep/< Y/PROPN/pobj/<']]",60
E718327191,middle_paths_unrestricted_16,"Finding your way through Kingston can be tricky: follow the Google map and the cycle route signs for National Cycle Route 4 to emerge back on the towpath through Canbury Gardens, then carry on until you reach Ham House (National Trust).",Kingston,Google,WORSE,NONE,1.0,lex (unique),"Finding your way through Kingston can be tricky: follow the Google map', 'and the cycle route signs for National Cycle Route 4 to emerge back on', 'the towpath through Canbury Gardens, then carry on until you reach Ham', 'House (National Trust).","[['X/PROPN/nsubj/> be/VERB/ROOT/^ follow/VERB/xcomp/< Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ follow/VERB/xcomp/< the/DET/det/V', 'Y/PROPN/dobj/<']]",236
F737655281,middle_paths_unrestricted_16,"For another, while the current Apple TV is noticeably slower than the Amazon Fire TV, that shouldn't be the case for much longer.",Apple,Amazon,BETTER,WORSE,0.6666666666666666,lex (unique),"For another, while the current Apple TV is noticeably slower than the', ""Amazon Fire TV, that shouldn't be the case for much longer.","[['X/PROPN/compound/> be/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ than/ADP/prep/< the/DET/det/V', 'Y/PROPN/pobj/<']]",129
F738994779,middle_paths_unrestricted_16,"For BMW money, I really expect them to sell a car that is better than Toyota in every way, not just in the intangibles.",BMW,Toyota,WORSE,BETTER,1.0,lex (unique),"For BMW money, I really expect them to sell a car that is better than', 'Toyota in every way, not just in the intangibles.","[['X/PROPN/advcl/> expect/VERB/ROOT/^ sell/VERB/ccomp/< car/NOUN/dobj/<', 'be/VERB/relcl/< good/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/advcl/> money/NOUN/dobj/V expect/VERB/ROOT/^ sell/VERB/ccomp/<', 'car/NOUN/dobj/< be/VERB/relcl/< good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",119
F740340336,middle_paths_unrestricted_16,"Ford had Mazda, and Chrysler had Mitsubishi.",Ford,Chrysler,WORSE,NONE,1.0,lex (unique),"Ford had Mazda, and Chrysler had Mitsubishi.",[['X/PROPN/nsubj/> have/VERB/ROOT/^ Y/PROPN/conj/<']],44
F743199221,middle_paths_unrestricted_16,"For example he was acclaiming, that Nokia N8 has a worse camera, than SE Satio or Samsung S8500.",Nokia,Samsung,BETTER,WORSE,1.0,lex (unique),"For example he was acclaiming, that Nokia N8 has a worse camera, than', 'SE Satio or Samsung S8500.","[['X/PROPN/compound/> have/VERB/ROOT/^ than/ADP/prep/< satio/PROPN/pobj/<', 'Y/PROPN/conj/<']]",96
F743372097,middle_paths_unrestricted_16,"For example: If AWK has a find_the_first_word_after_this_string(""Insert string here"") command, or If Perl has a grab_text_between_these_two_strings(""string1"", ""string2"") command, then it is quite easy to decent which language is best suited for which task.",AWK,Perl,BETTER,NONE,1.0,lex (unique),"For example: If AWK has a', 'find_the_first_word_after_this_string(""Insert string here"") command,', 'or If Perl has a grab_text_between_these_two_strings(""string1"",', '""string2"") command, then it is quite easy to decent which language is', 'best suited for which task.",[['X/PROPN/nsubj/> have/VERB/ROOT/^ if/ADP/conj/< Y/PROPN/pobj/<']],256
F744090920,middle_paths_unrestricted_16,"For example, Integer data is processed faster than Floating-point data or decimal data.",Integer,Floating-point,WORSE,BETTER,1.0,lex (unique),"For example, Integer data is processed faster than Floating-point data', 'or decimal data.",[['X/PROPN/compound/> process/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],87
F753244629,middle_paths_unrestricted_16,Formidable football programs are exponentially harder and more expensive to construct than decent basketball programs.,football,basketball,BETTER,WORSE,0.8,lex (unique),"Formidable football programs are exponentially harder and more', 'expensive to construct than decent basketball programs.","[['X/ADJ/amod/> be/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> be/VERB/ROOT/^ than/ADP/prep/< decent/ADJ/amod/V', 'Y/PROPN/pobj/<']]",118
F759800838,middle_paths_unrestricted_16,"For that, Groovy just offers alternative (better?) syntax over Java.",Groovy,Java,NONE,BETTER,1.0,lex (unique),"For that, Groovy just offers alternative (better?) syntax over Java.","[['X/PROPN/nsubj/> offer/VERB/ROOT/^ alternative/NOUN/dobj/<', 'syntax/NOUN/parataxis/< over/ADP/prep/< Y/PROPN/pobj/<']]",68
F762149531,middle_paths_unrestricted_16,For the moment though Gene Smith has to be hoping these problems will go away faster than the Nissan 350z Pryor drives or OSU's future looks more explosive than a Ford Pinto!,Nissan,Ford,BETTER,NONE,0.8,lex (unique),"For the moment though Gene Smith has to be hoping these problems will', ""go away faster than the Nissan 350z Pryor drives or OSU's future looks"", 'more explosive than a Ford Pinto!",[['X/PROPN/compound/> drive/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],174
F766948365,middle_paths_unrestricted_16,"Fortunately, I got Verizon wireless broadband for my laptop today and it works OK from my uncle's farm, better than the cell phone, which works poorly.",laptop,phone,NONE,BETTER,0.6,lex (unique),"Fortunately, I got Verizon wireless broadband for my laptop today and', ""it works OK from my uncle's farm, better than the cell phone, which"", 'works poorly.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ today/NOUN/npadvmod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ work/VERB/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ cell/NOUN/compound/V Y/PROPN/pobj/<']]",151
F781773821,middle_paths_unrestricted_16,"From Mexican by Better Homes and Gardens, this Mexican meatball soup comes with a surprise: pasta.",soup,pasta,BETTER,NONE,0.8,lex (unique),"From Mexican by Better Homes and Gardens, this Mexican meatball soup', 'comes with a surprise: pasta.",[['X/PROPN/nsubj/> come/VERB/ROOT/^ Y/PROPN/dep/<']],98
F796579064,middle_paths_unrestricted_16,gamecube looks solid but not quite as solid as the ps2.,gamecube,ps2,BETTER,WORSE,1.0,lex (unique),gamecube looks solid but not quite as solid as the ps2.,"[['X/PROPN/nsubj/> look/VERB/ROOT/^ solid/ADJ/acomp/< solid/ADJ/conj/<', 'as/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> look/VERB/ROOT/^ solid/ADJ/acomp/< solid/ADJ/conj/<', 'as/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<']]",55
F801586602,middle_paths_unrestricted_16,"Generally, both Amazon and Google are superior to Apple in managing recommendations.",Amazon,Apple,NONE,BETTER,0.4,lex (unique),"Generally, both amazon and google are superior to Apple in managing', 'recommendations.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",84
F804953248,middle_paths_unrestricted_16,"georgia looked much better against missouri, particularly in the second half than it did at any point against Buffalo and might be putting things together now.",georgia,missouri,NONE,BETTER,1.0,lex (unique),"georgia looked much better against missouri, particularly in the', 'second half than it did at any point against Buffalo and might be', 'putting things together now.","[['X/PROPN/nsubj/> look/VERB/ROOT/^ better/ADV/acomp/< against/ADP/prep/<', 'Y/PROPN/pobj/<']]",159
F810014429,middle_paths_unrestricted_16,"Gigabit Ethernet (which all of the TeraStations support) is faster than any flavor of USB or firewire, and is much more conducive to simultaneous connections to multiple machines.",Ethernet,USB,NONE,BETTER,0.8,lex (unique),"Gigabit Ethernet (which all of the TeraStations support) is faster', 'than any flavor of USB or firewire, and is much more conducive to', 'simultaneous connections to multiple machines.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ be/VERB/relcl/V Y/PROPN/pobj/<']]",179
F814268061,middle_paths_unrestricted_16,"Gladow's take: A loss to Florida State is worse than a loss at oregon, true, but Boston College still boasts wins over virginia Tech, Georgia Tech and Wake Forest.",oregon,virginia,BETTER,NONE,1.0,lex (unique),"Gladow's take: A loss to Florida State is worse than a loss at oregon,"", 'true, but Boston College still boasts wins over virginia Tech, Georgia', 'Tech and Wake Forest.","[['X/PROPN/nsubj/> true/ADJ/ROOT/^ boast/VERB/conj/< win/NOUN/dobj/<', 'over/ADP/prep/< Y/PROPN/pobj/<']]",163
F814705439,middle_paths_unrestricted_16,Glass Fiber reinforced plastic technology is an innovative technology that is rapidly replacing the conventional materials such as concrete due to its superior properties.,plastic,concrete,NONE,BETTER,1.0,lex (unique),"Glass Fiber reinforced plastic technology is an innovative technology', 'that is rapidly replacing the conventional materials such as concrete', 'due to its superior properties.","[['X/PROPN/compound/> be/VERB/ROOT/^ replace/VERB/relcl/< as/ADP/prep/<', 'Y/PROPN/pobj/<']]",171
F816446267,middle_paths_unrestricted_16,"GM's point: Apply enough hybrid technology you developed (in a joint project with DaimlerChrysler and BMW) and you can develop a nearly three-ton SUV that gets better city mileage than a gasoline-engine Toyota Camry, a figure we verified in our recent review.",BMW,Toyota,NONE,BETTER,1.0,lex (unique),"GM's point: Apply enough hybrid technology you developed (in a joint"", 'project with DaimlerChrysler and BMW) and you can develop a nearly', 'three-ton SUV that gets better city mileage than a gasoline-engine', 'Toyota Camry, a figure we verified in our recent review.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ develop/VERB/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ engine/NOUN/compound/V Y/PROPN/pobj/<']]",259
F820306759,middle_paths_unrestricted_16,golf gets better coverage than tennis ffs.,golf,tennis,WORSE,BETTER,1.0,lex (unique),golf gets better coverage than tennis ffs.,[['X/PROPN/nsubj/> get/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],42
F821495545,middle_paths_unrestricted_16,"Good for Apple, better for Google?",Apple,Google,BETTER,NONE,0.4,lex (unique),"Good for Apple, better for Google?","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ good/ADJ/advmod/V Y/PROPN/pobj/<']]",34
F824255834,middle_paths_unrestricted_16,Google better at FOSS than Apple?,Google,Apple,NONE,BETTER,1.0,lex (unique),Google better at FOSS than Apple?,[['NOPATH']],33
F824293724,middle_paths_unrestricted_16,"Google Chrome is just simple spyware, much worse than even Microsoft.",Google,Microsoft,BETTER,WORSE,0.6,lex (unique),"Google Chrome is just simple spyware, much worse than even Microsoft.","[['X/PROPN/compound/> be/VERB/ROOT/^ bad/ADJ/appos/< than/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ bad/ADJ/appos/< than/ADP/prep/<', 'even/ADV/advmod/V Y/PROPN/pobj/<']]",69
F824385502,middle_paths_unrestricted_16,"Google for some combination of PostgreSQL, better than row-level locking, and MVCC for their claims that they have it and Oracle doesn't.",PostgreSQL,Oracle,NONE,BETTER,1.0,lex (unique),"Google for some combination of PostgreSQL, better than row-level', 'locking, and MVCC for their claims that they have it and Oracle', ""doesn't.",[['X/PROPN/npadvmod/> good/ADJ/ROOT/^ have/VERB/conj/< Y/PROPN/conj/<']],137
F824508819,middle_paths_unrestricted_16,google+ is a better facebook.,google,facebook,NONE,BETTER,1.0,lex (unique),google+ is a better facebook.,[['NOPATH']],29
F824527377,middle_paths_unrestricted_16,"Google is ""excited to partner with IBM to provide resources which will better equip students and researchers to address today's developing computational challenges,"" said the company's CEO Eric Schmidt.",Google,IBM,BETTER,NONE,1.0,lex (unique),"Google is ""excited to partner with IBM to provide resources which will', ""better equip students and researchers to address today's developing"", 'computational challenges,"" said the company\'s CEO Eric Schmidt.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ excited/ADJ/acomp/<', 'partner/NOUN/xcomp/< with/ADP/prep/< Y/PROPN/pobj/<']]",202
F824556825,middle_paths_unrestricted_16,google+ is simply worse than facebook.,google,facebook,NONE,WORSE,1.0,lex (unique),google+ is simply worse than facebook.,[['NOPATH']],38
F824635109,middle_paths_unrestricted_16,"google Music has made things a lot better, but even there, it doesn't really sync with itunes; not directly, anyway.",google,itunes,BETTER,NONE,1.0,lex (unique),"google Music has made things a lot better, but even there, it doesn't"", 'really sync with itunes; not directly, anyway.",[['X/PROPN/compound/> make/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<']],116
F824845343,middle_paths_unrestricted_16,"google+ starts out far faster than facebook, Twitter",google,facebook,NONE,BETTER,1.0,lex (unique),"google+ starts out far faster than facebook, Twitter",[['NOPATH']],52
F828202509,middle_paths_unrestricted_16,GPP: In that regard Apple really suck and are worse than even Microsoft.,Apple,Microsoft,BETTER,WORSE,0.8,lex (unique),"GPP: In that regard Apple really suck and are worse than even', 'Microsoft.","[['X/PROPN/nsubj/> suck/VERB/ROOT/^ be/VERB/conj/< bad/ADJ/acomp/<', 'than/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> suck/VERB/ROOT/^ be/VERB/conj/< bad/ADJ/acomp/<', 'than/ADP/prep/< even/ADV/advmod/V Y/PROPN/pobj/<']]",72
F830799432,middle_paths_unrestricted_16,"Graphics, shmaphics ;) The Nindendo wii has uglier graphics but way more creative games than the ps3.",wii,ps3,WORSE,BETTER,1.0,lex (unique),"Graphics, shmaphics ;) The Nindendo wii has uglier graphics but way', 'more creative games than the ps3.","[['X/PROPN/nsubj/> have/VERB/ROOT/^ way/NOUN/npadvmod/< game/NOUN/dobj/<', 'than/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> have/VERB/ROOT/^ way/NOUN/npadvmod/< game/NOUN/dobj/<', 'than/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<']]",101
F835979386,middle_paths_unrestricted_16,Groovy - a very powerful object oriented language that extends Java while making it much easier to use for analytic programmers that are used to languages like SAS.,Groovy,Java,WORSE,NONE,1.0,lex (unique),"Groovy - a very powerful object oriented language that extends Java', 'while making it much easier to use for analytic programmers that are', 'used to languages like SAS.","[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ object/NOUN/appos/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ language/NOUN/appos/V Y/PROPN/dobj/<']]",164
F844526082,middle_paths_unrestricted_16,"halloween is a short 12 days away, so there is no better time to start planning your thanksgiving meal.",halloween,thanksgiving,BETTER,NONE,1.0,lex (unique),"halloween is a short 12 days away, so there is no better time to start', 'planning your thanksgiving meal.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ be/VERB/conj/< time/NOUN/attr/<', 'start/VERB/relcl/< plan/VERB/xcomp/< Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ be/VERB/conj/< time/NOUN/attr/<', 'start/VERB/relcl/< plan/VERB/xcomp/< your/ADJ/poss/V Y/PROPN/dobj/<']]",103
F849866934,middle_paths_unrestricted_16,harvard goes 1-0-1; Brown or princeton goes 1-0-1 or worse; Quinnipiac goes 0-1-1 or worse,harvard,princeton,WORSE,NONE,1.0,lex (unique),"harvard goes 1-0-1; Brown or princeton goes 1-0-1 or worse; Quinnipiac', 'goes 0-1-1 or worse",[['X/PROPN/nsubj/> go/VERB/ROOT/^ brown/PROPN/dep/< Y/PROPN/conj/<']],90
F849870785,middle_paths_unrestricted_16,harvard Head Coach Tim Murphy opening statement: Obviously it as a very solid win over princeton last week.,harvard,princeton,BETTER,NONE,0.8,lex (unique),"harvard Head Coach Tim Murphy opening statement: Obviously it as a', 'very solid win over princeton last week.","[['X/PROPN/compound/> statement/NOUN/ROOT/^ as/ADP/prep/< win/NOUN/pobj/<', 'over/ADP/prep/< Y/PROPN/pobj/<']]",107
F849896929,middle_paths_unrestricted_16,"harvard shot better than 55 percent for the game while outrebounding dartmouth, 36-27, stealing 11 balls and blocking 10 shots.",harvard,dartmouth,NONE,BETTER,1.0,lex (unique),"harvard shot better than 55 percent for the game while outrebounding', 'dartmouth, 36-27, stealing 11 balls and blocking 10 shots.","[['X/PROPN/nsubj/> shoot/VERB/ROOT/^ outrebounding/VERB/advcl/<', 'Y/PROPN/dobj/<']]",127
F850957200,middle_paths_unrestricted_16,Haskell compiled to native code is typically an order of magnitude faster than Python.,Haskell,Python,WORSE,BETTER,1.0,lex (unique),"Haskell compiled to native code is typically an order of magnitude', 'faster than Python.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],86
F853232188,middle_paths_unrestricted_16,Haven't felt this mad since Nintendo delayed Twilight Princess to make an inferior wii port of the gamecube version.,wii,gamecube,BETTER,NONE,1.0,lex (unique),"Haven't felt this mad since Nintendo delayed Twilight Princess to make"", 'an inferior wii port of the gamecube version.","[['X/PROPN/compound/> port/NOUN/ROOT/^ of/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> port/NOUN/ROOT/^ of/ADP/prep/< the/DET/det/V', 'Y/PROPN/pobj/<']]",116
G1001834535,middle_paths_unrestricted_16,I also enjoy the fact that my motorcycle gets better gas mileage than my truck and I can cut my commute down by lane splitting (I love California!),motorcycle,truck,NONE,BETTER,1.0,lex (unique),"I also enjoy the fact that my motorcycle gets better gas mileage than', 'my truck and I can cut my commute down by lane splitting (I love', 'California!)","[['X/PROPN/nsubj/> get/VERB/ROOT/^ mileage/NOUN/dobj/< than/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> get/VERB/ROOT/^ mileage/NOUN/dobj/< than/ADP/prep/<', 'my/ADJ/poss/V Y/PROPN/pobj/<']]",147
G1014774100,middle_paths_unrestricted_16,"I am pretty sure that NVIDIA has implemented a slow down on OpenCL to make CUDA looks stronger because, as you said as well, "" it's the compiler (and the programmer) which makes it faster.",OpenCL,CUDA,WORSE,NONE,1.0,lex (unique),"I am pretty sure that NVIDIA has implemented a slow down on OpenCL to', 'make CUDA looks stronger because, as you said as well, "" it\'s the', 'compiler (and the programmer) which makes it faster.","[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ make/VERB/xcomp/V Y/PROPN/dobj/<']]",188
G1015632418,middle_paths_unrestricted_16,"I am skilled in C/C++, Java, VB, Objective C (iOS development for both iPad and iPhone), Python,Ruby also got decent experience in web developement using html, css, JavaScript, ajax, jsp and php.",Python,JavaScript,BETTER,NONE,1.0,lex (unique),"I am skilled in C/C++, Java, VB, Objective C (iOS development for both', 'iPad and iPhone), Python,Ruby also got decent experience in web', 'developement using html, css, JavaScript, ajax, jsp and php.","[['X/PROPN/nsubj/> get/VERB/ROOT/^ use/VERB/advcl/< html/NOUN/dobj/<', 'Y/PROPN/appos/<']]",195
G1024578593,middle_paths_unrestricted_16,"IBM introduces its 386SLC microprocessor, a chip that runs at least 80 percent faster than Intel Corp's 80386SX microprocessor.",IBM,Intel,NONE,BETTER,1.0,lex (unique),"IBM introduces its 386SLC microprocessor, a chip that runs at least 80', ""percent faster than Intel Corp's 80386SX microprocessor.","[['X/PROPN/nsubj/> introduce/VERB/ROOT/^ microprocessor/NOUN/dobj/<', 'chip/NOUN/appos/< run/VERB/relcl/< faster/ADV/advmod/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",127
G1027435578,middle_paths_unrestricted_16,"I can do everything faster on my laptop than any Kindle, iphone, iPad, tablet or other device.",laptop,iphone,NONE,BETTER,0.6,lex (unique),"I can do everything faster on my laptop than any Kindle, iphone, iPad,', 'tablet or other device.","[['X/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/appos/<']]",94
G1027464304,middle_paths_unrestricted_16,"I can do the same on my laptop, although I think the iphone app is better.",laptop,iphone,NONE,WORSE,0.6,lex (unique),"I can do the same on my laptop, although I think the iphone app is', 'better.","[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ think/VERB/advcl/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/dobj/<']]",74
G1027473718,middle_paths_unrestricted_16,"I can do whatever Google does[masked] cheaper and much better; I do what neither IBM, nor Oracle, nor Microsoft cannot do.",Google,IBM,NONE,BETTER,1.0,lex (unique),"I can do whatever Google does[masked] cheaper and much better; I do', 'what neither IBM, nor Oracle, nor Microsoft cannot do.","[['X/PROPN/compound/> does[mask/VERB/ccomp/> does[mask/VERB/ROOT/^', 'Y/PROPN/ccomp/<'], ['X/PROPN/compound/> does[mask/VERB/ccomp/> does[mask/VERB/ROOT/^', 'what/NOUN/dep/V Y/PROPN/ccomp/<'], ['X/PROPN/compound/> does[mask/VERB/ccomp/> does[mask/VERB/ROOT/^', 'neither/CONJ/preconj/V Y/PROPN/ccomp/<']]",122
G1027673359,middle_paths_unrestricted_16,"I can get a project from concept to completion in Java faster than in C, C++, C# (although that's damn close..), or Objective-C.",Java,Objective-C,NONE,BETTER,1.0,lex (unique),"I can get a project from concept to completion in Java faster than in', ""C, C++, C# (although that's damn close..), or Objective-C.","[['X/PROPN/ROOT/^ Y/PROPN/nmod/<'], ['X/PROPN/ROOT/^ faster/ADV/advmod/V Y/PROPN/nmod/<'], [""X/PROPN/ROOT/^ '/VERB/advcl/V Y/PROPN/nmod/<""]]",128
G1028135805,middle_paths_unrestricted_16,I can make a classic tomato pasta faster than they can deliver that horrible pizza!,pasta,pizza,NONE,BETTER,0.4,lex (unique),"I can make a classic tomato pasta faster than they can deliver that', 'horrible pizza!","[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ faster/ADV/advmod/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ that/DET/det/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ horrible/ADJ/amod/V Y/PROPN/dobj/<']]",83
