,caption,sentence,object_a,object_b,predicted,gold,binary,occ
1403,"unigrams ('middle part', ExtractMiddlePart(processing=None))","There is a real, major benefit of using Java over other languages, such as C or Haskell or Smalltalk, which is this: it lets you work with other mediocre programmers, and has limitations that prevents them from doing anything too crazy.",Java,Haskell,NONE,BETTER,False,2
1404,"unigrams ('middle part', ExtractMiddlePart(processing=None))","We reached to 10k websites as we speak, and we find it 100x harder to run Python than PHP.",Python,PHP,BETTER,WORSE,False,1
1405,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Solid beer but not my cup of tea.,beer,tea,NONE,WORSE,False,2
1406,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Although it doesn't quite match the ease of string-handling that Perl delivers, it is certainly easier to perform many string manipulations in Java than in C++.",Java,Perl,NONE,BETTER,False,2
1407,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Amidst a game going poorly against carolina, fans blamed Jones for drafting Carter earlier than Quincy's pedigree at georgia dictated.",georgia,carolina,BETTER,NONE,False,2
1408,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Similarly if you are talking client side processing JavaScript is much faster since PHP doesn't run at all.,PHP,JavaScript,NONE,BETTER,False,2
1409,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Play To, almost completely worthless in Windows 7, is now even harder to use in Windows 8.",Windows 7,Windows 8,NONE,BETTER,False,2
1410,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The answer, much like the iphone, is you better have your laptop with you.",laptop,iphone,NONE,WORSE,False,2
1411,"unigrams ('middle part', ExtractMiddlePart(processing=None))","When compared to the Ford products we owned before, the Toyota vehicles have been a better experience for us.",Ford,Toyota,NONE,WORSE,False,2
1412,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The Cell is a high performance chip that is set to be the core of the Sony Playstation 3 video game system - its incredibly low cost, but because its highly specialized to do certain kinds of number crunching and application tasks, its faster than general purpose chips like the Intel Pentium or the PowerPC G5.",Sony,Intel,BETTER,NONE,False,2
1413,"unigrams ('middle part', ExtractMiddlePart(processing=None))","One cannot have communion with beer and steak (both of which, I, for one, think superior to bread and wine), just as one cannot baptise someone with sand rather than water.",bread,steak,NONE,BETTER,False,2
1414,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I like the Sigma (Nex) 30mm even better then the Nikon, and I do want a faster, wider lens then the 50mm for this trip.",Sigma,Nikon,NONE,BETTER,False,1
1415,"unigrams ('middle part', ExtractMiddlePart(processing=None))","My only point is that the presentation of my numbers is off, but there is no case in which OpenGL has ever been faster than Direct3D in all tests I have run on all machines.",OpenGL,Direct3D,BETTER,WORSE,False,1
1416,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Perl's still at a decent level, on par with PHP and still above Python and...",Python,PHP,NONE,BETTER,False,2
1417,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Regarding this C/C++/D/Java/C#/etc are worse and Python and Go are better.,Java,Python,NONE,WORSE,False,2
1418,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This colleague, let's call him Phil, was a role model of self-taught analysis-programming physicists, until he decided that choosing a script language like Python for the said task was completely insane, because, you know, Bash scripts do things much faster, don't they?",Python,Bash,NONE,WORSE,False,2
1419,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Undefeated missouri jumped ahead of michigan State by winning 51-28 at Vanderbilt, and the Commodores are a better team than Iowa in my estimation.",michigan,missouri,NONE,BETTER,False,2
1420,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Perl is surely harder to learn than Python.,Python,Perl,BETTER,WORSE,False,1
1421,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Do you think Microsoft handled their situation better than Sony handled theirs?,Microsoft,Sony,BETTER,NONE,False,2
1422,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Other JVM languages - Java is a solid od workhorse, but the real innovation is happening with the new JVM langauges (Scala, Clojure in particular).",Java,Scala,NONE,WORSE,False,2
1423,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Windows 7 boots much faster than Windows Vista-but surprisingly, no faster than Windows XP.",Windows XP,Windows Vista,BETTER,WORSE,False,1
1424,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Apart from that, raytracing with Direct3D is in development at the moment (so no wonderfull new era of platform independent graphics APIs), the situation will just get worse as the people behind OpenGL will just add that functionality using extensions, but I guess that discussion has been hold long enough now...",OpenGL,Direct3D,WORSE,NONE,False,2
1425,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Groovy makes writing Java programs far easier.,Java,Groovy,NONE,BETTER,False,2
1426,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Suprise for me that sbcl is much slower then ccl, also that Java is so much faster then both clozure and sbcl .. Also Perl is 2x faster then clozure and 7-8x faster then sbcl .. and that is really unexpected.",Java,Perl,BETTER,NONE,False,2
1427,"unigrams ('middle part', ExtractMiddlePart(processing=None))","It's funny--I love it when doing Smalltalk, not so much when coding Java .",Java,Smalltalk,NONE,BETTER,False,1
1428,"unigrams ('middle part', ExtractMiddlePart(processing=None))",For the moment though Gene Smith has to be hoping these problems will go away faster than the Nissan 350z Pryor drives or OSU's future looks more explosive than a Ford Pinto!,Ford,Nissan,BETTER,NONE,False,2
1429,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Sony should also prefer windows phone os(apollo) along with android because windows phone is much better than android.Microsoft is os giant as compared to Google which is internet search giant.So anytime microsoft can make best os for smartphones and tablets.agree it,Google,Sony,BETTER,NONE,False,2
1430,"unigrams ('middle part', ExtractMiddlePart(processing=None))",LUKE : Is Perl better than Python?,Python,Perl,BETTER,NONE,False,2
1431,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Many smaller sites use MySQL, but I believe most of them actually would be better served by SQLite.",MySQL,SQLite,NONE,WORSE,False,2
1432,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Ruby is older than Java.,Java,Ruby,BETTER,WORSE,False,1
1433,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The pasta was mediocre, not as memorable as the pizza.",pizza,pasta,NONE,WORSE,False,1
1434,"unigrams ('middle part', ExtractMiddlePart(processing=None))","georgia looked much better against missouri, particularly in the second half than it did at any point against Buffalo and might be putting things together now.",georgia,missouri,NONE,BETTER,False,2
1435,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I no more defend that Nokia is superior to Samsung as I did all tese days.,Nokia,Samsung,BETTER,WORSE,False,1
1436,"unigrams ('middle part', ExtractMiddlePart(processing=None))","And I work with files from the Nikon 35/1.4G and I know, optically, it's not better than the Sigma.",Sigma,Nikon,BETTER,WORSE,False,1
1437,"unigrams ('middle part', ExtractMiddlePart(processing=None))","So, to me, Python isn't better or worse than Java.",Java,Python,WORSE,NONE,False,2
1438,"unigrams ('middle part', ExtractMiddlePart(processing=None))","We are looking at maybe moving to IBM hardware 2006/7 though whether that will be any better than Dell remains to be seen, I suspect not from what I have heard.",IBM,Dell,BETTER,NONE,False,2
1439,"unigrams ('middle part', ExtractMiddlePart(processing=None))","misunderstanding to think that Ruby is an attempt at better Perl,",Ruby,Perl,NONE,WORSE,False,2
1440,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Cooler server side scripting languages of the day like Ruby and Python are a lot less like C. Therefore learning PHP and JavaScript is a great place to start.,Python,JavaScript,NONE,WORSE,False,2
1441,"unigrams ('middle part', ExtractMiddlePart(processing=None))",JavaScript is just as bad as PHP if not worse now that someone's tried to port it to server side.,PHP,JavaScript,NONE,WORSE,False,2
1442,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Apparently the wii isn't superior to the ds for Square-enix.,wii,ds,BETTER,WORSE,False,1
1443,"unigrams ('middle part', ExtractMiddlePart(processing=None))",My compelling use case for MI in Python is... better to model MI in Java,Java,Python,NONE,BETTER,False,1
1444,"unigrams ('middle part', ExtractMiddlePart(processing=None))",So the standard (C)Python is not necessarily slower than Java or C#.,Java,Python,WORSE,NONE,False,2
1445,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While recognized as a great basketball player, he was only mediocre on the baseball diamond.",baseball,basketball,NONE,BETTER,False,2
1446,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Glass Fiber reinforced plastic technology is an innovative technology that is rapidly replacing the conventional materials such as concrete due to its superior properties.,plastic,concrete,NONE,BETTER,False,2
1447,"unigrams ('middle part', ExtractMiddlePart(processing=None))","A Honda CRX is cooler than ANY Alfa?!?! Bite your tongue, Ford-obsessed heathen!!",Ford,Honda,BETTER,NONE,False,2
1448,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Acer Travelmate 8372 and Aspire 3820, Dell Vostro V130, Samsung QX310 all have inferior displays; Sony Vaio S13 and Apple MacBook Air aren't as expensive; Sony Vaio...",Apple,Dell,NONE,WORSE,False,2
1449,"unigrams ('middle part', ExtractMiddlePart(processing=None))",So they're better at utilizing these features across the suite that Microsoft and a little bit better than IBM.,Microsoft,IBM,BETTER,NONE,False,2
1450,"unigrams ('middle part', ExtractMiddlePart(processing=None))",This makes JavaScript in my experience harder to debug than Python.,Python,JavaScript,NONE,WORSE,False,1
1451,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Granted both players have their own endorsement deals with the Nike, but perhaps they should have known better than to show an Adidas event in Swoosh-branded attire.",Nike,Adidas,BETTER,NONE,False,2
1452,"unigrams ('middle part', ExtractMiddlePart(processing=None))",It also didn't hurt my faith in Microsoft when Sony kept releasing a newer and uglier PS3 each time.,Microsoft,Sony,NONE,BETTER,False,2
1453,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",Python,Lisp,NONE,WORSE,False,2
1454,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Perl is slower and faster than Java,Java,Perl,WORSE,BETTER,False,1
1455,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Yeah, Nvidia's OpenCL is not good and CUDA is way better.",CUDA,OpenCL,NONE,WORSE,False,2
1456,"unigrams ('middle part', ExtractMiddlePart(processing=None))","That's a problem for Dell, and it won't get any better until it starts beating Apple at its own game.",Apple,Dell,NONE,WORSE,False,2
1457,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Perl would have been more better had there been good REPL like Python.,Python,Perl,NONE,WORSE,False,2
1458,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Last time I checked Apple had 3% market share (Personal Computers) Sony does better.,Apple,Sony,NONE,WORSE,False,2
1459,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Latex paint provides better fade resistance, flexibility, chalk resistance and adhesion.",paint,chalk,NONE,BETTER,False,2
1460,"unigrams ('middle part', ExtractMiddlePart(processing=None))","OS/2 was technically superior, but Microsoft beat IBM through marketing and by tying its Office applications to Windows.""",Microsoft,IBM,NONE,BETTER,False,2
1461,"unigrams ('middle part', ExtractMiddlePart(processing=None))","-SQL Server is significantly superior to MySQL, faster than PostgreSQL, and for most businesses is cheaper than Oracle.",MySQL,PostgreSQL,BETTER,NONE,False,2
1462,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Docter continued her solid play in Saturday's home defeat of cornell, leading harvard with 13 kills.",harvard,cornell,NONE,WORSE,False,2
1463,"unigrams ('middle part', ExtractMiddlePart(processing=None))","It's better for Amazon to cannibalize itself than have it done anymore by Apple,"" he adds.",Apple,Amazon,BETTER,NONE,False,2
1464,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Try shooting a wedding on a manual focus Hasselblad and a Nikon F3 or worse still a Leica ;),Nikon,Leica,NONE,BETTER,False,2
1465,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Intel PCs can do art and music, but the Apple stuff was better at it.",Apple,Intel,NONE,WORSE,False,2
1466,"unigrams ('middle part', ExtractMiddlePart(processing=None))",You could make it in Java but its probably going to be a lot easier in PHP.,Java,PHP,NONE,WORSE,False,2
1467,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The 6th Generation of Chevrolet Camaro finally unveiled in Detroit, since 5th generation the Camaro is just getting better to rival the direct competition - Ford Mustang.",Ford,Chevrolet,NONE,BETTER,False,1
1468,"unigrams ('middle part', ExtractMiddlePart(processing=None))","To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the Chevrolet rather then the Toyota.",Toyota,Chevrolet,NONE,BETTER,False,2
1469,"unigrams ('middle part', ExtractMiddlePart(processing=None))",But they did look better against oregon and Stanford than michigan did yesterday.,michigan,oregon,BETTER,NONE,False,2
1470,"unigrams ('middle part', ExtractMiddlePart(processing=None))",sausage and Broccolini work better than expected in a pizza ($11).,pizza,sausage,BETTER,NONE,False,2
1471,"unigrams ('middle part', ExtractMiddlePart(processing=None))","My use of Scala to date has been as a ""better Java.",Java,Scala,NONE,BETTER,False,2
1472,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I'm so glad people here have finally remembered that fox isn't actually better than espn!,fox,espn,BETTER,WORSE,False,1
1473,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I wouldn't say Microsoft is worse then Apple.,Microsoft,Apple,WORSE,NONE,False,2
1474,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I live in the home of Coca-Cola, so Pepsi is a little harder to come by vending machine wise.",Coca-Cola,Pepsi,NONE,BETTER,False,2
1475,"unigrams ('middle part', ExtractMiddlePart(processing=None))","ARM has historically been weak at Floating-point arithmetic, but I'm under the impression that ARM might do better per watt on Integer workloads than x86.",Integer,Floating-point,WORSE,BETTER,False,1
1476,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While the Python source code browsing is only mediocre when compared with the Java support, the integrated debugging is very powerful.",Java,Python,NONE,BETTER,False,1
1477,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I don't know if Sony would be better than Dell, or any other make for that matter.",Sony,Dell,BETTER,NONE,False,2
1478,"unigrams ('middle part', ExtractMiddlePart(processing=None))","But in both cases Apple gets poor grades from Greenpeace while Dell gets better grades, despite the inconvenient fact that both are in exactly the same boat: stuck.",Apple,Dell,NONE,WORSE,False,2
1479,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Apple cider vinegar will taste better then white, but lemon juice is the best tasting.",juice,cider,BETTER,WORSE,False,1
1480,"unigrams ('middle part', ExtractMiddlePart(processing=None))",ur kidding right ?? i use core i5 and 4gb ram with this graphics 45 fps no less than that number iam sure i can i make it (and any game) hit 120 fps simply doing 1 thing which is installing the ugly Windows XP sp3 (it dont even compare to Windows 8 beauty) but its about 3 times faster,Windows XP,Windows 8,NONE,WORSE,False,2
1481,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I switched from Nikon at the time and feel the camera build quality of the Leica was better.,Nikon,Leica,NONE,WORSE,False,2
1482,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Also, Eclipse has more plugins that NetBeans.",Eclipse,NetBeans,NONE,BETTER,False,2
1483,"unigrams ('middle part', ExtractMiddlePart(processing=None))",One reviewer felt that Mitt Romney delivered a better performance than John F. kennedy against nixon.,kennedy,nixon,NONE,BETTER,False,2
1484,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The Sony Xperia Z is already a TechRadar-recommended smartphone, but the Android device's interface may get even better thanks to a report that says a Google Nexus edition is on the way.",Google,Sony,WORSE,NONE,False,2
1485,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The only sport that's slower to watch than golf is baseball.,baseball,golf,NONE,BETTER,False,2
1486,"unigrams ('middle part', ExtractMiddlePart(processing=None))",In terms of connectivity the 2230s comes with Marvell 10/100/1000 Ethernet and built-in modem.Â While the modem is probably largely obsolete for Internet connectivity it is handy if you need to send or receive a fax while on the move.Â Wireless connectivity is provided through a Broadcom wireless adaptor that supports 802.11a/b/g/n draft 2.0 standard as well as Bluetooth 2.0.Â Although it's not difficult to hook the unit up to a wireless network within Windows the supplied HP Wireless Assist software makes it even easier.,Ethernet,Bluetooth,WORSE,NONE,False,2
1487,"unigrams ('middle part', ExtractMiddlePart(processing=None))","tl;dr To me, Haskell is better sold as ""that one language that allows you to make the same that in Java, only with 5 times less code and 5 times more trust in your code"" than ""that one language that's good for teaching purposes, like Pascal or good ol' Caml"".",Java,Haskell,WORSE,BETTER,False,1
1488,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The USB 3.0 port enables 10 times faster file transfer while the Bluetooth and WLAN IEEE 802.11 ac standards enable network communications.,USB,Bluetooth,NONE,BETTER,False,2
1489,"unigrams ('middle part', ExtractMiddlePart(processing=None))","metal ramps are good, but concrete is better.",metal,concrete,NONE,WORSE,False,2
1490,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This is Windows XP not Vista !! Windows Vista has nicer desktop than xp, because it has more additional features.",Windows XP,Windows Vista,NONE,WORSE,False,2
1491,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Good to see again a Renault ahead of a Ferrari.,Ferrari,Renault,NONE,BETTER,False,2
1492,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The real question is: for any given programming concept, is there anything about Ruby syntax that makes it harder to learn or implement than the equivalent in PHP?",Ruby,PHP,NONE,WORSE,False,1
1493,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Is Google GDrive any better than Microsoft SkyDrive?,Microsoft,Google,BETTER,NONE,False,2
1494,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Windows XP needed two service packs, but Windows 98 was even worse, needing a second edition to plug the holes.",Windows XP,Windows 98,NONE,BETTER,False,2
1495,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While the ps2 was a lousy DVD player, the ps3 is a fantastic Blu-ray player.",ps3,ps2,NONE,WORSE,False,2
1496,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The headline read: "" Sega: wii U graphics on-par with playstation 3, maybe even better "".",playstation,wii,NONE,BETTER,False,2
1497,"unigrams ('middle part', ExtractMiddlePart(processing=None))","oregon maybe isn't Notre Dame or michigan, but (it is) certainly better known than George Mason or Gonzaga,"" McEvoy said.",michigan,oregon,NONE,WORSE,False,2
1498,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Mercer leads at 556, one stroke better than georgia Tech with virginia Tech third at 565.",virginia,georgia,NONE,BETTER,False,2
1499,"unigrams ('middle part', ExtractMiddlePart(processing=None))","virginia coach Tony Bennett said georgia Tech is ""a better team"" this season.",virginia,georgia,NONE,WORSE,False,2
1500,"unigrams ('middle part', ExtractMiddlePart(processing=None))",It's better organized than PHP (with its absurdly large global namespace) and less ceremonious than Java (no IStrategyBuilderFactories here).,Java,PHP,BETTER,NONE,False,2
1501,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This is most likely done to optimize for Integer calculations, rather than slower Floating-point math.",Integer,Floating-point,WORSE,NONE,False,2
1502,"unigrams ('middle part', ExtractMiddlePart(processing=None))","First nite enjoyed with grilled porterhouse steak, 2nd nite (it tasted even better) with salad, candied carrots and crusty bread!",bread,steak,NONE,WORSE,False,2
1503,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The Google Books implementation will still be superior, because it will offer both the ASCII text and the backup page images, which are presumably not in the Sony versions.",Google,Sony,NONE,BETTER,False,2
1504,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Decent alternatives for you might include the Android-powered Samsung Galaxy 3 , the HTC Wildfire or indeed, if you can afford the step up, the Nokia C7 for a considerably superior Symbian^3 experience.",Nokia,Samsung,NONE,WORSE,False,2
1505,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Contrast that with Microsoft or, even worse, Google and its absolutely a disaster.",Microsoft,Google,NONE,BETTER,False,2
1506,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The ps2 games were miles better, though, and I'm sure the ds one I mentioned would be great, too.",ds,ps2,NONE,BETTER,False,2
1507,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Granted, Pentium 4M was a horrible CPU platform to start with but somehow IBM pulled off a decent design based on same processor with the T30 and Dell didn't.",IBM,Dell,NONE,BETTER,False,2
1508,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Python is easier to read (Matlab is more like Ruby or Lua).,Ruby,Python,NONE,BETTER,False,2
1509,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The Nikon costs $20,000 less and weighs 27.4 pounds less than this Sigma, but is a stop slower and a little less long.",Sigma,Nikon,BETTER,WORSE,False,1
1510,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I have several web sites where I have migrated from MySQL to SQLite and I couldn't be happier: it's faster with less CPU and memory footprint.,MySQL,SQLite,NONE,WORSE,False,2
1511,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This is more of a cafe bar rather than a restaurant, but it is none the worse for that.",restaurant,cafe,BETTER,NONE,False,2
1512,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The bigger ill is that espn has performed much better than TNT and much worse than fox - which the vast majority of the print media will not discuss.,fox,espn,BETTER,WORSE,False,1
1513,"unigrams ('middle part', ExtractMiddlePart(processing=None))",There is also no sane reason to use mySQL (or Oracle) when PostgreSQL is better than both in almost every respect.,Oracle,PostgreSQL,NONE,WORSE,False,2
1514,"unigrams ('middle part', ExtractMiddlePart(processing=None))","OT a bit, but I liked Shattered Memories much better on the psp then the wii.",wii,psp,NONE,BETTER,False,2
1515,"unigrams ('middle part', ExtractMiddlePart(processing=None))","In other news, Apple is upgrading its current lineup of MacBook Air laptops with faster processors from Intel.",Apple,Intel,NONE,BETTER,False,2
1516,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The extra Nokia apps give it an edge over Samsung and HTC and L920's design is just better.,Nokia,Samsung,NONE,BETTER,False,2
1517,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Otherwise, Microsoft will build hardware that better integrates with the operating software, and companies like Dell will suffer.",Microsoft,Dell,NONE,BETTER,False,2
1518,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Even when Sony entered the market with its own streaming box, it was an inferior product with nothing to differentiate it from Apple TV, Roku, or Google TV.",Apple,Sony,WORSE,NONE,False,2
1519,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While the tutorial implies that using SQLite is the easiest path to getting a working app, it's probably easier to use MySQL or postgres if you're comfortable with those.",MySQL,SQLite,NONE,WORSE,False,1
1520,"unigrams ('middle part', ExtractMiddlePart(processing=None))","On March 30, Dell released eight new black-and-white printers as the PC maker looks to better compete against Hewlett-Packard, which continues to dominate the printing and imaging market.",Dell,Hewlett-Packard,NONE,BETTER,False,1
1521,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Did you work harder at oregon State than you did at virginia?,virginia,oregon,BETTER,NONE,False,2
1522,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Nintendo, Microsoft, Sony from best to worse in that exact order.",Microsoft,Sony,NONE,BETTER,False,2
1523,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The wii version is inferior to the ps3 version in many ways though.,wii,ps3,NONE,WORSE,False,1
1524,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Open standards are better than propietary ones, and you should know by now that's also my POV, but actual applications are better than none and OpenCL it's been here for only 1 year or so, and it's not yet as good as CUDA.",CUDA,OpenCL,NONE,WORSE,False,2
1525,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Gladow's take: A loss to Florida State is worse than a loss at oregon, true, but Boston College still boasts wins over virginia Tech, Georgia Tech and Wake Forest.",virginia,oregon,BETTER,NONE,False,2
1526,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The developers explained that Direct3D, the 3D component of DirectX, was a miserable hack and was very much inferior to OpenGL",OpenGL,Direct3D,BETTER,WORSE,False,1
1527,"unigrams ('middle part', ExtractMiddlePart(processing=None))","And, one for institutional (soda fountains) use which is, thicker and better for fountain drinks like chocolate egg creams.",chocolate,soda,NONE,BETTER,False,2
1528,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The discussion turned to having other people work on the project, and why I felt people who knew Lisp would be better to attract than people who knew, say, Java.",Java,Lisp,BETTER,NONE,False,2
1529,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The ds versions looks really good, but wii could look alot better.",wii,ds,NONE,WORSE,False,2
1530,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Why should cricketers and hockey players not be able to earn a decent living like footballers or basketball players do?,basketball,hockey,NONE,WORSE,False,2
1531,"unigrams ('middle part', ExtractMiddlePart(processing=None))","lacrosse was harder than Soccer by far, and still didn't come close to football.",football,lacrosse,BETTER,WORSE,False,1
1532,"unigrams ('middle part', ExtractMiddlePart(processing=None))","We enjoyed a meal at Café Baghdad (great soup, lousy pizza, reasonable prices) overlooking the Plaza.",soup,pizza,NONE,BETTER,False,2
1533,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Angiulo told me that Microsoft was working harder than ever with its hardware partners -- with Dell and HP and all the other companies -- to make the experience of touch both on Windows 7 and Window 8 better.,Microsoft,Dell,BETTER,NONE,False,2
1534,"unigrams ('middle part', ExtractMiddlePart(processing=None))","If Nikon wants to claim PRO status and quality and perhaps better than Canon, then they should be willing to go there and hit the big MP guys (Leica & Kodak's huge sensor).",Nikon,Leica,BETTER,NONE,False,2
1535,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While Direct3D works, OpenGL seems to give better texture quality and smoother frame rate in CS1.6.",OpenGL,Direct3D,NONE,WORSE,False,2
1536,"unigrams ('middle part', ExtractMiddlePart(processing=None))",It can be done on the iphone but editing is much easier on the IPad or a laptop computer.,laptop,iphone,NONE,WORSE,False,1
1537,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The entity may even provide sample Java code, but Perl is a far better solution.",Java,Perl,NONE,WORSE,False,2
1538,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Compared with Windows XP, Windows Vista does a better job of helping to prevent hostile programs and Web sites from attacking your PC.",Windows XP,Windows Vista,NONE,WORSE,False,2
1539,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I don't think it could've worked out any better with what happened (at dartmouth) at the end of the game up there, and then obviously our rival (harvard).""",harvard,dartmouth,NONE,BETTER,False,2
1540,"unigrams ('middle part', ExtractMiddlePart(processing=None))",@9:08 At no time has the softball stadium been superior to baseball.,baseball,softball,NONE,WORSE,False,1
1541,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The consensus seems to be that Java killed Smalltalk.,Java,Smalltalk,NONE,BETTER,False,2
1542,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I like Java very much but it causes severe RSI, so Groovy is a welcome addition it makes life easier for the 10% of the APIs/language we use 90% of the time.",Java,Groovy,NONE,WORSE,False,1
1543,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Nike didn't look to the designs of Adidas to make a better sneaker.,Nike,Adidas,NONE,WORSE,False,2
1544,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Sony, Grass Valley, Lightworks, even the inferior Apple.",Apple,Sony,NONE,BETTER,False,2
1545,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The hardware (Sony) feels cheap and easy to break compared to my 4-year old Dell, which feels solid.",Sony,Dell,NONE,WORSE,False,2
1546,"unigrams ('middle part', ExtractMiddlePart(processing=None))","In fact, Amazon did poorly in Google overall in general.",Google,Amazon,NONE,WORSE,False,2
1547,"unigrams ('middle part', ExtractMiddlePart(processing=None))","1. BMW, 40 points / Chevrolet, 40 3. Ferrari, 27 4. Porsche, 23",Ferrari,BMW,NONE,BETTER,False,2
1548,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Early adopters of Windows 8 will find the new operating system to be like Windows 7, but optimized and faster.",Windows 7,Windows 8,NONE,BETTER,False,2
1549,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Once I know Java, is jsp easier to learn than PHP?",Java,PHP,BETTER,NONE,False,2
1550,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Sorry but if you claim you are an IT tech and you can't figure out how to make Windows 8 work better for you than windows 7 or Windows XP then I do believe you are just a self proclaimed IT tech.,Windows XP,Windows 8,BETTER,NONE,False,2
