Concept,Source,Type
Atari TOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Atari MultiTOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
BeOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
BeIA,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
BeOS r5.1d0,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"magnussoft ZETA (based on BeOS r5.1d0 source code, developed by yellowTAB)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX Time-Sharing System v1,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX Time-Sharing System v2,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX Time-Sharing System v3,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX Time-Sharing System v4,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX Time-Sharing System v5,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX Time-Sharing System v6,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
MINI-UNIX,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
PWB/UNIX,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
USG,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
CB Unix,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"UNIX Time-Sharing System v7 (It is from Version 7 Unix (and, to an extent, its descendants listed below) that almost all Unix-based and Unix-like operating systems descend.)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Unix System III,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Unix System IV,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Unix System V,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"Unix System V Releases 2.0, 3.0, 3.2, 4.0, and 4.2",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX Time-Sharing System v8,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX TIme-Sharing System v9,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
UNIX Time-Sharing System v10,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Burroughs MCP,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Batch-11/DOS-11,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"Domain/OS (originally Aegis, from Apollo Computer who were bought by HP)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
HP-UX,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Multi-Programming Executive (from HP),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
NonStop,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
OS/8,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
RSTS/E (multi-user time-sharing OS for PDP-11s),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"RSX-11 (multiuser, multitasking OS for PDP-11s)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
RT-11 (single user OS for PDP-11),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
TOPS-10 (for the PDP-10),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"TENEX (an ancestor of TOPS-20 from BBN, for the PDP-10)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
TOPS-20 (for the PDP-10),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"Digital UNIX (derived from OSF/1, became HP's Tru64 UNIX)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Ultrix,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"VMS (originally by DEC and HP now by VMS Software Inc.) for the VAX mini-computer range, Alpha and Intel Itanium i2 and i4; later renamed OpenVMS)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
WAITS (for the PDP-6 and PDP-10),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Xenix (licensed version of Unix; licensed to SCO in 1987),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
MSX-DOS (developed by MS Japan for the MSX 8-bit computer),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"MS-DOS (developed jointly with IBM, versions 1.0–6.22)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"Windows (16-bit and 32-bit preemptive and cooperative multitasking, running atop MS-DOS)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 1.0 (Windows 1),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 2.0 (Windows 2 – separate version for i386 processor),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 3.0 (Windows 3),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 3.1x (Windows 3.1),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows for Workgroups 3.1 (Codename Snowball),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 3.2 (Chinese-only release),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows for Workgroups 3.11,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 95 (codename Chicago – Windows 4.0),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 98 (codename Memphis – Windows 4.1),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Millennium Edition (Windows ME – Windows 4.9),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"Windows NT (Full 32-bit or 64-bit kernel, not dependent on MS-DOS)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows NT 3.1,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows NT 3.5,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows NT 3.51,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows NT 4.0,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 2000 (Windows NT 5.0),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows XP (Windows NT 5.1),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Server 2003 (Windows NT 5.2),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Fundamentals for Legacy PCs (based on Windows XP),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Vista (Windows NT 6.0),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Azure (Cloud OS Platform) 2009,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Home Server (based on Windows Server 2003),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Server 2008 (based on Windows Vista),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 7 (Windows NT 6.1),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Server 2008 R2 (based on Windows 7),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Home Server 2011 (based on Windows Server 2008 R2),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Server 2012 (based on Windows 8),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 8 (Windows NT 6.2),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Phone 8,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 8.1 (Windows NT 6.3),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Server 2012 R2 (based on Windows 8.1),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Xbox One system software,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Phone 8.1,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 10 (Windows NT 10.0),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows 10 Mobile,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Server 2016,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"Windows CE (OS for handhelds, embedded devices, and real-time applications that is similar to other versions of Windows)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows CE 3.0,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows CE 5.0,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows CE 6.0,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
"Windows Mobile (based on Windows CE, but for a smaller form factor)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Windows Phone 7,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Singularity – A research operating system written mostly in managed code (C#),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Midori – A managed code operating system,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Xbox 360 system software,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Xbox One system software,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
ARCNET,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
AppleTalk,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
ATM,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
Bluetooth,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
DECnet,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
Ethernet,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
FDDI,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
Frame relay,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
HIPPI,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
IEEE 1394,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
IEEE 802.11,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
IEEE-488,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
Internet protocol suite,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
IPX,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
Myrinet,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
OSI protocol suite,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
QsNet,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
SPX,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
System Network Architecture,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
Token ring,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
USB,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
X.25 protocol suite,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
E6,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol
"AM29000, (112 Instructions) RISC[2]",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
AMD extensions to x86,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
3DNow![citation needed] – 3DNow! instructions (21 instructions),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
3DNow! Extended – extended 3DNow! instructions (5 instructions),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"AMD64 64-bit version of x86, a superset of Intel's IA-32",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARM[3],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARMv1,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARMv2,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARMv3,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARMv4,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARMv5,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Extensions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Thumb[4],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
DSP[5],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Jazelle,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
VFPv2 – vector floating point,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARMv6,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Extensions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Thumb-2[6],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
TrustZone[7],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SIMD[8],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARMv7,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Extensions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Thumb-2,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
NEON – media acceleration technology[9],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
VFPv3,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ARMv8-A,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC 160 series,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC 924,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC 1604,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC 3000 24-bit,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC 3000 48-bit,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC 6000 series,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC 7600,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC STAR-100,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Cyber 70 and 170 series,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC Cyber 180,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CDC Cyber 200,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PDP-1,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PDP-7,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PDP-8,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PDP-10,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PDP-11,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
VAX,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Alpha,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Prism,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIX,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MMIX[12],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
HP 2100,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
FOCUS,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"HP 3000 ""Classic"" CISC",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PA-RISC,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PA-RISC 1.0,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PA-RISC 1.1,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 1130/IBM 1800,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 1400 series/IBM 7010,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 1620/IBM 1710,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 37xx,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 3790,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 650,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 701,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 704/IBM 709/IBM 7090/IBM 7094/IBM 7040/IBM 7044,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 702/IBM 705/IBM 7080,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 7070/IBM 7072/IBM 7074,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 7030 Stretch,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
System/360 and successors,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
System/370,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
System/390,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
z/Architecture,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM 8100,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM Series/1,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM System/3,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM System/34,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM System/36,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM System/38,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM System/7,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
IBM AS/400/IBM System i,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ROMP,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Power Architecture,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
POWER,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PowerPC,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PowerPC AS,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
4004,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
8008 / Datapoint 2200,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"8080 (111 Instructions),[24] 8085 (113 Instructions)[25]",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
8021 (66 Instructions)[26],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
8022 (73 Instructions)[27],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MCS-41 (8041) (87 Instructions)[28],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MCS-48 (8048) (93 Instructions)[29],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MCS-51 (8051),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Intel iAPX 432,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Intel i860[30][31],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
i960,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"IA-64,[32] Itanium, originated at Hewlett-Packard (HP), and later jointly developed by HP and Intel",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"x86, See: x86 instruction listings",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"IA-32 (i386, Pentium, Athlon)",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"Intel 64 64-bit version of x86, originally developed by AMD as AMD64",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Extensions[33],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
FPU (x87) – Floating-point-unit (FPU) instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MMX – MMX SIMD instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MMX Extended – extended MMX SIMD instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SSE – streaming SIMD extensions (SSE) instructions (70 instructions),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SSE2 – streaming SIMD extensions 2 instructions (144 new instructions),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SSE3 – streaming SIMD extensions 3 instructions (13 new instructions),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SSSE3 – supplemental streaming SIMD extensions (16 instructions),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"SSE4.1 – streaming SIMD extensions 4, Penryn subset (47 instructions)",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
"SSE4.2 – streaming SIMD extensions 4, Nehalem subset (7 instructions)",https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SSE4 – All streaming SIMD extensions 4 instructions (both SSE4.1 and SSE4.2),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SSE4a – streaming SIMD extensions 4a (AMD),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SSE5 – streaming SIMD extensions 5 (170 instructions),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
XSAVE – XSAVE instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
AVX – advanced vector extensions instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
FMA – fused multiply-add instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
AES – Advanced Encryption Standard instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
CLMUL – Carry-less mtiply (PCLMULQDQ) instruction,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Cyrix – Cyrix-specific instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
AMD – AMD-specific instructions (older than K6),https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SMM – System management mode instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SVM – Secure virtual machine instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
PadLock – VIA PadLock instructions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIPS I,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIPS II,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIPS III,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIPS IV[37],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIPS V,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIPS16,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIPS32,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MIPS64,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MDMX,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
HC11 (62 instructions)[40],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
HC16,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Motorola 6800 (107 instructions)[41],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Motorola 6801 (98 instructions)[42],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Motorola 6805 (86 instructions)[43],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Motorola 6809 (94 instructions)[44],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Motorola 68000 family,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
68000[45],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
68010[46],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
68020 and 68030,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
68881 and 68882 FPUs,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
68040,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
68060,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
683XX,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
ColdFire,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
88000,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
DSP56800[47],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SPARC[58],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SPARC-V7,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SPARC-V8,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
SPARC-V9,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Extensions,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
VIS [2],https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
picoJava,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
MAJC,https://en.wikipedia.org/wiki/List_of_instruction_sets,instructionset
Blum Blum Shub,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Blum–Micali algorithm,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Complementary-multiply-with-carry,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Counter-based random number generator (CBRNG),https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Inversive congruential generator,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
ISAAC (cipher),https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
KISS (algorithm),https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Lagged Fibonacci generator,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Linear congruential generator - of historical importance,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Linear feedback shift register,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Maximal periodic reciprocals,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Mersenne Twister,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Middle-square method,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
MIXMAX generator,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Multiply-with-carry,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Naor–Reingold pseudorandom function,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Park–Miller random number generator,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
PCG,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
RC4 PRGA,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Rule 30,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Well equidistributed long-period linear,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Wichmann–Hill,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Xorshift,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Xoroshiro128+,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Yarrow,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Araneus Alea,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
ComScire,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Entropy Key,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Fox-IT Fox RandomCard,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
ID Quantique,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Intel 810/815/840/845G chipsets,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Intel RdRand instruction,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
LETech,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
QuintessenceLabs,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
TectroLabs,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
TRNG98,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
VIA Padlock engine,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
Whitewood Entropy Engine,https://en.wikipedia.org/wiki/List_of_random_number_generators,randomnumber
