,id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,sentencer,paths,idr,s_len
1671,1471,middle_paths_unrestricted_16,"georgia looked much better against missouri, particularly in the second half than it did at any point against Buffalo and might be putting things together now.",georgia,missouri,NONE,BETTER,1.0,lex (unique),psp & ds,[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],M2047776376,159
1673,2105,middle_paths_unrestricted_16,"I have a google Play account - buying an app is as simple as hitting the ""buy"" button...no harder than an itunes account.",google,itunes,BETTER,NONE,1.0,lex (unique),Perl would have been more better had there been good REPL like Python.,"[['X/PROPN/nsubj/> be/VERB/ROOT/^ be/VERB/advcl/< repl/NOUN/attr/<', 'like/ADP/prep/< Y/PROPN/pobj/<']]",M1988340193,121
1674,996,middle_paths_unrestricted_16,"Sadly, at that time AMD wasn't 100% compatible to Intel; but still way better than that IBM/Cyrix shit.",Intel,IBM,NONE,BETTER,1.0,lex (unique),Oracle/MySQL : Database Schema,[['NOPATH']],M1926920084,103
1675,1268,middle_paths_unrestricted_16,I'm so glad people here have finally remembered that fox isn't actually better than espn!,fox,espn,BETTER,WORSE,1.0,lex (unique),"So there are a lot of solid players in the market which Cadillac is', ""attacking, and I haven't even mentioned Jeep, Acura, BMW, Mercedes,"", 'Lexus.","[['X/PROPN/nsubj/> attack/VERB/ROOT/^ mention/VERB/conj/<', 'jeep/PROPN/dobj/< acura/PROPN/conj/< bmw/PROPN/conj/<', 'mercedes/PROPN/conj/< Y/PROPN/conj/<']]",O2269470919,89
1676,1782,middle_paths_unrestricted_16,I guess wood is harder than plastic.,wood,plastic,WORSE,BETTER,1.0,lex (unique),"Done with ballpoint pen & a bit of acrylic paint for the solid grey', 'tones.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ bit/NOUN/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ acrylic/NOUN/compound/V Y/PROPN/pobj/<']]",E597688318,36
1678,483,middle_paths_unrestricted_16,"Also, the Gamecocks played georgia much better than Nebraska played missouri.",georgia,missouri,NONE,BETTER,1.0,lex (unique),Microsoft (perhaps even worse than IBM) thinks that,[['X/PROPN/intj/> bad/ADJ/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],K1713860315,77
1681,1042,middle_paths_unrestricted_16,Some Scala standard library classes are slower than their Java counterparts e.g.,Scala,Java,BETTER,WORSE,1.0,lex (unique),"ITS GETTING WORSE NOW, Microsoft ACTING LIKE Apple, THEY WANT TO RIP', 'CUSTOMERS OFF!!","[['X/PROPN/compound/> Y/PROPN/ROOT/^'], ['X/PROPN/compound/> acting/PROPN/compound/V Y/PROPN/ROOT/^'], ['X/PROPN/compound/> like/PROPN/compound/V Y/PROPN/ROOT/^']]",J1448974886,80
1682,1502,middle_paths_unrestricted_16,"We tested PostgreSQL, and it was acutually faster, and easier to maintain then our Oracle database.",PostgreSQL,Oracle,NONE,BETTER,1.0,lex (unique),"In tennis, it seems to me it is easier to be selective as a hitter', 'than it is in baseball.","[['X/PROPN/npadvmod/> seem/VERB/ROOT/^ be/VERB/ccomp/< be/VERB/xcomp/<', 'be/VERB/advcl/< in/ADP/prep/< Y/PROPN/pobj/<']]",I1295607907,99
1684,2296,middle_paths_unrestricted_16,"She'd like to try hockey, but her dad got her hooked on the safer alternative of golf instead.",hockey,golf,BETTER,NONE,1.0,lex (unique),"Yet, Americans keep coming to the trough, to lap up the syrupy slogans', 'like: ""We Can Do Better"" (kennedy) ""Are You Better Off Than You Were', 'Four Years Ago?"" (reagan) ""A Safer World and a More Hopeful America""', '(G.W. Bush), ""A Stronger America"" (Kerry), ""Yes, We Can"", ""Change We', 'Can Believe In"", ""Forward"" (Obama), and ""Believe in America"" (Romney).",[['NOPATH']],T3229852360,94
1685,1144,middle_paths_unrestricted_16,I think the UConn women's basketball team would have a better chance against OU than their really mediocre football team.,basketball,football,NONE,BETTER,0.8,lex (unique),"USB 2.0, aparently, is faster than Gigabit Ethernet (which I'm still"", 'confused about as the rated speed is much higher.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> 2.0/NUM/nummod/V be/VERB/ROOT/^ fast/ADJ/acomp/<', 'than/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/<', 'gigabit/PROPN/compound/V Y/PROPN/pobj/<']]",S2981353201,121
1686,783,middle_paths_unrestricted_16,"I can understand some voters putting oregon fourth, based on their dominance -- they're 11 points a game better than georgia against a tougher schedule.",oregon,georgia,NONE,BETTER,1.0,lex (unique),"Regardless of your chosen/mandated framework for building web', 'applications: Spring, Struts, Rails, PHP, Python, etc., you want to', 'make your life easier, and potentially less embarrassing.",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],M2083606832,152
1687,2289,middle_paths_unrestricted_16,"It is JavaScript-based, which is safer than ActiveX and the Ruby component is negligible.",JavaScript,Ruby,WORSE,BETTER,0.8,lex (unique),For price of Asus vs msi vs Gigabyte vs AsRock.,"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ vs/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ vs/ADP/prep/V Y/PROPN/pobj/<']]",F757195347,89
1688,2353,middle_paths_unrestricted_16,"If OSU beats michigan State Saturday and finishes undefeated, there's a better chance for a one-loss Auburn to jump the Buckeyes than a one-loss missouri.",michigan,missouri,BETTER,NONE,1.0,lex (unique),"From here on out the skiing will get worse, but fishing and flower', 'gazing will improve.",[['X/PROPN/nsubj/> get/VERB/ROOT/^ Y/PROPN/conj/<']],F780994260,154
1690,2314,middle_paths_unrestricted_16,"That is, I can code faster in Java than in C++; I can code faster in Python than either of them.",Java,Python,NONE,BETTER,1.0,lex (unique),"Going cordless is good and going Bluetooth is even better since it', 'frees up a USB port.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ free/VERB/advcl/< Y/PROPN/dobj/<']],F819063073,96
1694,1203,middle_paths_unrestricted_16,"But Lenovo, with its IBM ancestry knows the enterprise market better than Google does.",IBM,Google,NONE,BETTER,0.8,lex (unique),"Java is more expensive than Perl, it must be better.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ expensive/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",J1545026300,86
1697,919,middle_paths_unrestricted_16,Microsoft Live Maps Looks Better Than Google Maps/Earth,Microsoft,Google,NONE,BETTER,0.6,lex (unique),"A) 3 wires coming up from a solid metal conduit in the foundation', '(concrete slab).",[['X/PROPN/compound/> conduit/NOUN/ROOT/^ Y/PROPN/appos/<']],A112510589,55
1698,1065,middle_paths_unrestricted_16,You want the latest smart phone and a faster Internet connection for your laptop or iPad.,phone,laptop,BETTER,NONE,0.6,lex (unique),"We got into her BMW X5! Well let me tell you that it is a lot better', 'than my Ford.",[['NOPATH']],S3046641856,89
1702,451,middle_paths_unrestricted_16,cafe Largo is a decent neighborhood restaurant.,cafe,restaurant,BETTER,NONE,1.0,lex (unique),Material: /foam/wood.,[['NOPATH']],K1686371623,47
1704,1808,middle_paths_unrestricted_16,"Google is worse than most other greedy giants like Microsoft, Apple, etc.",Google,Microsoft,BETTER,WORSE,1.0,lex (unique),"deep, excavated in solid ground throughout, and lined with cement', 'concrete, 9in.",[['X/PROPN/compound/> Y/PROPN/ROOT/^']],E560385016,73
1705,932,middle_paths_unrestricted_16,"As a rule of thumb, Floating-point is about 2x slower than Integer on Android-powered devices.",Floating-point,Integer,BETTER,WORSE,1.0,lex (unique),"IBM responds to Microsoft: OOXML is ""technically inferior""",[['X/PROPN/nsubj/> respond/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<']],G1024616580,94
1707,1970,middle_paths_unrestricted_16,"Coca-Cola per say is not worse than any other type of cola, like Pepsi, or generic branded cola.",Coca-Cola,Pepsi,BETTER,NONE,0.8,lex (unique),"its on a piece of wood though, which is far easier to move than', 'cardboard.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ easy/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",J1460751912,96
1709,967,middle_paths_unrestricted_16,The Lenticular plastic is poorly glued to the cardboard backing; multiple pieces have flaked off.,plastic,cardboard,BETTER,NONE,0.8333333333333334,lex (unique),"Apple, on the other hand, chose to use GCC and NAGWare, which', 'apparently is poorly optimized for the Intel P4.","[['X/PROPN/nsubj/> choose/VERB/ROOT/^ use/VERB/xcomp/< gcc/PROPN/dobj/<', 'nagware/PROPN/conj/< be/VERB/relcl/< optimize/VERB/acomp/<', 'for/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> choose/VERB/ROOT/^ use/VERB/xcomp/< gcc/PROPN/dobj/<', 'nagware/PROPN/conj/< be/VERB/relcl/< optimize/VERB/acomp/<', 'for/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<']]",B326463867,97
1714,2035,middle_paths_unrestricted_16,"Apple, Nvidia, and Asus wouldn't need graphics switching systems if Intel had not forced manufacturers to adopt their lousy graphics platform.",Apple,Intel,BETTER,NONE,0.6,lex (unique),"With less than a week until Christmas, there's nothing better to get"", 'us in the spirit than a pretty red and gold holiday wedding!",[['X/PROPN/compound/> Y/PROPN/ROOT/^']],T3194082388,142
1720,285,middle_paths_unrestricted_16,I think that Scala probably is not better than Java yet.,Scala,Java,BETTER,WORSE,0.8,lex (unique),"But the ILEC is not alone in this issue: providers like Windstream are', 'also finding that the data center mountain is harder to climb than', 'they initially thought, especially against competition like Amazon Web', 'Services, Microsoft and Google.",[['X/PROPN/compound/> services/PROPN/ROOT/^ Y/PROPN/npadvmod/<']],D412853920,56
1722,2020,middle_paths_unrestricted_16,It's what makes Python easier to test than Perl.,Python,Perl,NONE,BETTER,0.4,lex (unique),"Wargear on ship: Bolt-action solid slug rifle, laser pistol","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ laser/NOUN/compound/V Y/PROPN/conj/<']]",S3014534620,48
1723,1637,middle_paths_unrestricted_16,Microsoft (perhaps even worse than IBM) thinks that,Microsoft,IBM,NONE,WORSE,1.0,lex (unique),"Material: Padded solid hardwood & plywood frame, steel base, wood', 'slats.",[['X/PROPN/compound/> frame/NOUN/ROOT/^ Y/PROPN/nmod/<']],K1686419659,51
1724,1043,middle_paths_unrestricted_16,"In tennis, it seems to me it is easier to be selective as a hitter than it is in baseball.",tennis,baseball,NONE,BETTER,1.0,lex (unique),"As for hybrid models, the Eco is claimed to be better than the Ford', 'Fusion Hybrid, Nissan Altima Hybrid and Toyota Camry Hybrid.",[['X/PROPN/compound/> hybrid/PROPN/ROOT/^ Y/PROPN/npadvmod/<']],C356485731,90
1725,1620,middle_paths_unrestricted_16,"From here on out the skiing will get worse, but fishing and flower gazing will improve.",skiing,fishing,NONE,WORSE,0.8,lex (unique),"Now, unlike Microsoft, Apple isn't selling an inferior product.",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],L1852967075,87
1729,300,middle_paths_unrestricted_16,"Make sure you are using the Ethernet port rather than the USB one, it will be faster with 98 anyway and should just work with linux.",Ethernet,USB,NONE,BETTER,0.8,lex (unique),"We've been \xa0hitting hard with evidence for the past few months \xa0that"", 'suggest a new Apple TV is in development, and what better time to', 'launch it than alongside the latest and greatest mobile iOS device?","[['X/PROPN/nsubj/> be/VERB/ROOT/^ time/NOUN/conj/< Y/PROPN/appos/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ time/NOUN/conj/< mobile/NOUN/compound/V', 'Y/PROPN/appos/<']]",S3090673216,132
1730,1704,middle_paths_unrestricted_16,We got into her BMW X5! Well let me tell you that it is a lot better than my Ford.,BMW,Ford,NONE,BETTER,0.8,lex (unique),"Those are all decent reasons for Microsoft to throw down a few billion', 'on Dell.",[['X/PROPN/nsubj/> throw/VERB/ROOT/^ on/ADP/prep/< Y/PROPN/pobj/<']],R2886209729,82
1731,12,middle_paths_unrestricted_16,"The ds versions looks really good, but wii could look alot better.",ds,wii,NONE,WORSE,1.0,lex (unique),"Drugs such as aspirin, Ibuprofen (Advil, Motrin), or naproxen (Aleve,', 'Naprosyn) may make your symptoms worse.",[['X/PROPN/ROOT/^ Y/PROPN/appos/<']],E616511528,66
1732,934,middle_paths_unrestricted_16,"Amazon Video On-Demand offers everything you could find through Apple TV's store and then some, but it has a superior pricing model.",Amazon,Apple,BETTER,NONE,1.0,lex (unique),"Some of us remember when the Blackhawks had a better golf team than', 'hockey team.",[['X/ADJ/amod/> team/NOUN/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],N2252022083,132
1734,1575,middle_paths_unrestricted_16,"Apple, on the other hand, chose to use GCC and NAGWare, which apparently is poorly optimized for the Intel P4.",Apple,Intel,BETTER,NONE,1.0,lex (unique),"Although michigan is possible, missouri seems to fit better in that', 'cluster of states.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/npadvmod/<']],B225179425,110
1737,1189,middle_paths_unrestricted_16,Love the plastic....so much better than the Kingdome's green concrete.,plastic,concrete,NONE,BETTER,1.0,lex (unique),"Over the past few years, Siemens had ditched its handset business to', 'focus more on infrastructure, while Nokia had a decent infrastructure', 'business and booming handset sales.","[['X/PROPN/nsubj/> ditch/VERB/ROOT/^ Y/PROPN/advcl/<'], ['X/PROPN/nsubj/> ditch/VERB/ROOT/^ while/ADP/mark/V Y/PROPN/advcl/<']]",M1959703305,70
1743,1790,middle_paths_unrestricted_16,"Over the past few years, Siemens had ditched its handset business to focus more on infrastructure, while Nokia had a decent infrastructure business and booming handset sales.",Siemens,Nokia,WORSE,NONE,0.6,lex (unique),"Intel Core 2 Duo E6750 Gigabyte GA-G31M-S2L Thermaltake Blue Orb II', '4GB DDR2-1066 Kingston Hyper-X (running at 800MHz :() 640GB Samsung', 'SATA2 7200RPM HDD, 32MB cache Samsung DVD+-RW SATA2 Cooler Master', 'Centurion 5 Bestec ATX-300-12Z 300W (came with my Compaq, the original', 'system) Windows Vista 64-bit Business SP2","[['X/PROPN/amod/> ii/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/amod/> ii/PROPN/ROOT/^ gb/PROPN/compound/V Y/PROPN/appos/<'], ['X/PROPN/amod/> ii/PROPN/ROOT/^ 1066/NUM/compound/V Y/PROPN/appos/<']]",I1295260103,174
1746,1005,middle_paths_unrestricted_16,Haskell is much faster to write in and allows me to sort out conceptual problems before implementing anything in a procedural language like Java.,Haskell,Java,BETTER,NONE,0.8,lex (unique),"Windows 8 is far superior to Windows 7 when it comes to speed and SSD', 'functionality, even 2D Image Quality.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ superior/ADJ/acomp/< to/ADP/prep/<', 'Y/PROPN/pobj/<']]",T3184472002,145
1747,1701,middle_paths_unrestricted_16,"Trauma Center 2 is great, definitely suits the ds better than the wii.",ds,wii,NONE,BETTER,1.0,lex (unique),I actually think that cnn is worse than fox News.,"[['X/PROPN/nsubj/> be/VERB/ROOT/^ bad/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",G998494601,70
1748,235,middle_paths_unrestricted_16,"Windows 8, slightly better than Windows 7",Windows 8,Windows 7,NONE,BETTER,1.0,lex (unique),"It is powered (OTS) by SQLite, but for larger systems can use MySQL', '(obviously quite capable), supports multiple playlists, global', 'hotkeys, a decent search (no support for regex tho, AFAIK), etc.",[['X/PROPN/dep/> use/VERB/ROOT/^ Y/PROPN/dobj/<']],J1413384229,41
1750,2122,middle_paths_unrestricted_16,JavaScript is widely considered even worse than PHP and yet is unavoidable in Web development.,JavaScript,PHP,BETTER,WORSE,1.0,lex (unique),The beetroot juice or milk sugar (diabetes worse.,"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<']]",O2413931611,94
1752,1354,middle_paths_unrestricted_16,Then I got the 2000 jeep and its been a good solid reliable suv all this time.,jeep,suv,BETTER,NONE,1.0,lex (unique),"Haskell is much faster to write in and allows me to sort out', 'conceptual problems before implementing anything in a procedural', 'language like Java.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ allow/VERB/conj/< sort/VERB/ccomp/<', 'before/ADP/prep/< implement/VERB/pcomp/< like/ADP/prep/<', 'Y/PROPN/pobj/<']]",F850961380,78
1753,930,middle_paths_unrestricted_16,The 1979-1985 E-bodys had presence and as long as you got the Oldsmobile or Buick over the 4100V8 Cadillac you got a decent engine too.,Buick,Cadillac,NONE,BETTER,1.0,lex (unique),"This is why FreeSWITCH makes Lua, JavaScript, Perl, Python and other', 'APIs available since they are far better alternatives than coming up', 'with a convoluted XML solution, or worse yet some arcane and', 'convoluted acronym such as ""AEL"".","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ perl/PROPN/conj/V Y/PROPN/conj/<']]",R2849091482,135
1755,152,middle_paths_unrestricted_16,michigan is no better than california.,michigan,california,BETTER,WORSE,1.0,lex (unique),"(It is easier to find a hosting provider, and many people are more', 'familiar to PHP than Ruby.)","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<']]",I1405472427,38
1758,1270,middle_paths_unrestricted_16,"The thing is that when I look at Ruby, or maybe Groovy or Scala is even better since they're closer to Java, these languages have sets of features that support each other.",Groovy,Java,BETTER,WORSE,1.0,lex (unique),"Smalltalk (and Java)"".","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",N2223379078,171
1759,1401,middle_paths_unrestricted_16,"Remember the Dell display is a little smaller, but I am guessing the Intel processer is a little better (not sure though).",Dell,Intel,BETTER,WORSE,1.0,lex (unique),"Smalltalk (C++, C#, Java, Flavors, Common Loops, CLOS, Scheme, Dylan,', 'Simula, Self)",[['X/PROPN/nmod/> c++/PROPN/ROOT/^ Y/PROPN/conj/<']],N2223379500,122
1760,635,middle_paths_unrestricted_16,"MSI joined the GeForce GTX 760 launch party with two graphics cards, one which sticks to Nvidia-reference design, and the other being its GTX 760 Gaming Series, which features the same TwinFrozr III cooler as its GTX 770 Gaming Series.",MSI,Nvidia,BETTER,NONE,1.0,lex (unique),"iOS, watchOS, Swift, Objective-C and more...",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],I1327258533,235
1761,1052,middle_paths_unrestricted_16,The move from System p to Intel-based blades was made easier by the fact that the IBM has embraced the Linux platform.,Intel,IBM,NONE,BETTER,1.0,lex (unique),LG beats Samsung & Motorola,[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],K1625057634,118
1767,262,middle_paths_unrestricted_16,"(And both are a bit faster than Python on my benchmark, and way faster than Ruby.)",Python,Ruby,NONE,BETTER,1.0,lex (unique),"- Databases: DB2, Oracle, PostgreSQL, MySQL.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ postgresql/PROPN/conj/V Y/PROPN/conj/<']]",D550515903,82
1768,2072,middle_paths_unrestricted_16,Python is a better language than JavaScript.,Python,JavaScript,WORSE,BETTER,1.0,lex (unique),You won't find a better suv than this charming 2013 jeep Wrangler.,"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ this/DET/det/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ charming/ADJ/amod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ 2013/NUM/nummod/V Y/PROPN/pobj/<']]",T3281946467,44
1769,2371,middle_paths_unrestricted_16,Smalltalk had a nice bytecoded multi-platform virtual machine long before Java.,Smalltalk,Java,NONE,BETTER,1.0,lex (unique),"Why would Intel, AMD, IBM or any other tech firm stop developing', 'desktops since they are so much cheaper and easier to put together for', 'enterprise solutions?","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ amd/PROPN/conj/V Y/PROPN/conj/<']]",T3178002380,79
1772,563,middle_paths_unrestricted_16,"What are the benefits, where is PHP better than ColdFusion, Java, etc.?",PHP,Java,NONE,BETTER,1.0,lex (unique),"The leaf shutter placed lenses farther away from the focal plane,', ""ensuring Voigtlander's best could never compete with the faster or"", 'wider lenses of Leica, Nikon or Canon.",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],P2542809229,71
1776,2333,middle_paths_unrestricted_16,"There's something about it that feels much faster than my (admittedly out of date) mobile phone, and it feels significantly faster than my laptop or desktop.",mobile,laptop,NONE,BETTER,1.0,lex (unique),"JavaScript is widely considered even worse than PHP and yet is', 'unavoidable in Web development.","[['X/PROPN/nsubjpass/> consider/VERB/ROOT/^ bad/ADJ/oprd/<', 'than/ADP/prep/< Y/PROPN/pobj/<']]",J1545112705,157
1782,1155,middle_paths_unrestricted_16,"For such a small self-contained task, I don't think Haskell is any better than Python.",Haskell,Python,BETTER,WORSE,1.0,lex (unique),"Sawdust and wood shavings are ok as they de-compose slower, paper and', 'cardboard are good too.","[['X/PROPN/compound/> be/VERB/ROOT/^ slow/ADJ/advmod/< paper/NOUN/conj/<', 'Y/PROPN/conj/<']]",N2136561640,86
1783,831,middle_paths_unrestricted_16,"Windows 7 hasn't been any faster for me than XP under VMWare Fusion (but perhaps that's obvious; Windows XP would probably seem slower than Windows 98, as well).",Windows XP,Windows 98,BETTER,WORSE,0.8,lex (unique),"I think Amazon has a much better selection of fly fishing books than', 'either B&N or Apple.","[['X/PROPN/nsubj/> have/VERB/ROOT/^ selection/NOUN/dobj/< than/ADP/prep/<', 'b&n/PROPN/pobj/< Y/PROPN/conj/<']]",I1383296626,161
1784,481,middle_paths_unrestricted_16,First off I will say I love the ds version better than the wii version.,ds,wii,WORSE,BETTER,1.0,lex (unique),"Google, Ebay, and Amazon have done a decent job of infiltrating', 'amongst the big guys.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ ebay/PROPN/conj/V Y/PROPN/conj/<']]",F824361931,71
1787,1632,middle_paths_unrestricted_16,"Under these refining conditions, pennsylvania crude oil made better engine oil than Texas crude or california crude.",pennsylvania,california,NONE,BETTER,0.6,lex (unique),"The 1979-1985 E-bodys had presence and as long as you got the', 'Oldsmobile or Buick over the 4100V8 Cadillac you got a decent engine', 'too.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ over/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ 4100v8/NOUN/compound/V Y/PROPN/pobj/<']]",O2388564543,116
1789,478,middle_paths_unrestricted_16,"Now that just might be why Toyota has a better market position than GM, Ford, and Chrysler.",Toyota,Chrysler,NONE,BETTER,1.0,lex (unique),"Today, Hewlett-Packard , Boeing and Intel are leading the declines.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ boeing/PROPN/conj/V Y/PROPN/conj/<']]",R2913291255,91
1790,693,middle_paths_unrestricted_16,I get e-mails on my phone faster than when I'm sitting at my laptop.,phone,laptop,NONE,BETTER,0.6,lex (unique),"Perhaps start your day off with a breakfast cone, which features a', 'luscious blend of eggs, sausage, bacon and jack/cheddar cheese - like', 'a breakfast sandwich, but better!","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ bacon/NOUN/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ breakfast/NOUN/compound/V Y/PROPN/pobj/<']]",M1986722244,68
1796,286,middle_paths_unrestricted_16,"Java) is demonstrably worse than teaching in Python, but ""worse"" in",Java,Python,BETTER,WORSE,1.0,lex (unique),TechRadar: Things have only got easier for Microsoft and Sony.,"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",O2345744622,67
1797,477,middle_paths_unrestricted_16,"Now that PHP is available on Columbia University servers, we will most likely rewrite this JavaScript application in our LAMP environment to provide better accessibility compliance and faster, easier searching.",PHP,JavaScript,BETTER,NONE,1.0,lex (unique),"Pass protection as a whole was solid, but virginia Tech struggled', 'diagnosing georgia Tech blitzers all night.",[['X/PROPN/compound/> struggle/VERB/ROOT/^ Y/PROPN/dobj/<']],M1972461066,210
1799,1538,middle_paths_unrestricted_16,"I can write both Prim's and Kruskal's algorithms to find a minimum spanning tree in C++ or Java, but I want to know how to implement them in Haskell with O(mlogm) or O(mlogn) (pure functional programs is better).",Java,Haskell,WORSE,NONE,0.8,lex (unique),Google Chrome is even worse on my old IBM ThinkPad.,"[['X/PROPN/compound/> be/VERB/ROOT/^ on/PART/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ on/PART/prep/< my/ADJ/poss/V', 'Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ on/PART/prep/< old/ADJ/amod/V', 'Y/PROPN/pobj/<']]",F824293615,212
1800,824,middle_paths_unrestricted_16,The poorer people ate mostly bread made of potato flour.,bread,potato,BETTER,NONE,1.0,lex (unique),"Touch, almost no change iPhone same(bad) form factor after 1.5 years', 'MacBooks, no changes apart from actualizing components iOS boring', 'changes OSX Lion, overall bad changes and direction looks bad as well', 'Nano, classic etc.? Crickets Apple TV nada Mini, worse than before (no', 'DVD player in a media pc?) iPad2, flatter (actually important but not', 'really nice)",[['NOPATH']],R2936176963,56
1802,1213,middle_paths_unrestricted_16,"Mahan Is superior to Curtis, but there Is nothing to choose between Murdock, of dartmouth, and Bradlce, of harvard.",dartmouth,harvard,BETTER,NONE,1.0,lex (unique),"Select ABAR AC ACCE ADLY ADMI AIE AIXAM AJS ALFA ROMEO ALL ALPH ALPI', 'AMC AMS APAC APPL APRI APRILIA ARCT ARMSTRONG ASCA ASHO ASTA ASTON', 'MARTIN ASTR AUDI AUSTIN B & BAIMO BAJA BAJAJ BANH BAOTIAN BARO BARON', 'BASHAN BB C BCC2 BEELINE BELLA BEND BENELLI BENTLEY BETTER BIKE BIMOTA', ""BMW BMW' BOAT BOMBARDIER BOOM BOX BRANSON BRIL BRIS BRITISH TRACKSTAR"", 'BSA BTM BUELL Buick BUNTING BYD Cadillac CAGIVA CAMC CAN-AM CARAVAN', '(1980)?","[['X/ADJ/amod/> Y/PROPN/ROOT/^'], ['X/ADJ/amod/> bunting/NOUN/compound/V Y/PROPN/ROOT/^'], ['X/ADJ/amod/> byd/PROPN/compound/V Y/PROPN/ROOT/^']]",N2155322514,115
1804,982,middle_paths_unrestricted_16,"For better flavor, cook the rice or pasta in the soup when reheating.",pasta,soup,BETTER,NONE,1.0,lex (unique),"Hewitt, better known as ""Rip,"" attended Baltimore Polytechnic', 'Institute where he won letters and was an outstanding athlete in', 'football, ice hockey and lacrosse.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ hockey/NOUN/conj/V Y/PROPN/conj/<']]",G935169944,69
1807,2072,middle_paths_unrestricted_16,"While nixon came across better on radio, kennedy appeared the winner to television viewers.",nixon,kennedy,BETTER,NONE,0.8,lex (unique),"For us better here than california, Illinois, or Maryland, michigan,', 'all places we have lived.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ illinois/PROPN/conj/V Y/PROPN/conj/<']]",F767944554,91
