,sentence,object_a,object_b,pred_if,pred_lex,gold,most_frequent_percentage,s_len
734,I knew the Sony store had a reputation for being poorly equipped in comparison to Amazon but this is ridiculous !,Sony,Amazon,NONE,BETTER,WORSE,0.8,113
739,Ruby is older than Java.,Ruby,Java,BETTER,BETTER,WORSE,1.0,24
746,"Honda is solid at #6 and 6.1% share, Ford is back above Mercedes and BMW, Mazda shines again at #8 and local manufacturer Luxgen is back inside the Top 10 at #9 with 1.104 sales and 3.2% share.",Ford,BMW,NONE,NONE,BETTER,1.0,193
753,"This implementation is based on Integer arithmetic, while the second-generation versions RANLXS and RANLXD described above provide Floating-point implementations which will be faster on many platforms.",Integer,Floating-point,NONE,NONE,WORSE,1.0,201
762,"The divergence in performance is a turning point for Dell, which has lost personal-computer market share to Hewlett-Packard and suffered a worse stock performance every year from 2005 to 2009.",Dell,Hewlett-Packard,NONE,NONE,WORSE,1.0,192
764,steel is 3 times harder than aluminum.,steel,aluminum,BETTER,WORSE,NONE,1.0,38
774,"Just look at the garbage being produced in Windows 8. My old Windows XP pro had better graphics and functionality in my opinion, and I'm not even going to discuss the problems I've had with Windows Vista.",Windows 8,Windows XP,NONE,NONE,WORSE,0.8333333333333334,204
781,"While youtube has faced difficulties in monetizing its ads, a site like hulu has grown faster than expected, balancing things out, he said.",youtube,hulu,NONE,NONE,WORSE,1.0,139
787,"According to The New York Times, Amazon has an employee stack-ranking system every bit as bad - if not considerably worse - than did Ballmer's Microsoft.",Amazon,Microsoft,BETTER,NONE,WORSE,0.6,153
787,"Unless you can't prove that OpenGL falls short in terms of the results you get out of it, Direct3D might be the better designed API - but it's not a better solution.",OpenGL,Direct3D,NONE,NONE,WORSE,1.0,165
790,"missouri is a decent team and I expect them to give Florida, Tennessee, and South carolina all they can handle and win 2 of those games.",missouri,carolina,NONE,NONE,BETTER,1.0,136
791,gamecube doesnt have better realistic graphics than the ps2? RE:4 anyone?,gamecube,ps2,BETTER,BETTER,WORSE,1.0,73
800,"I can do whatever Google does[masked] cheaper and much better; I do what neither IBM, nor Oracle, nor Microsoft cannot do.",Google,IBM,NONE,NONE,BETTER,1.0,122
802,Why Microsoft and Oracle Are Safer Long-Term Bets Than Google and SAP [ View article ],Microsoft,Google,NONE,NONE,BETTER,1.0,86
809,I like the Bluetooth for use with a mouse and the USB 3 makes transferring data so much faster.,Bluetooth,USB,NONE,BETTER,WORSE,0.8,95
810,"Swift Swift is based on Objective-C, and will be even easier for a Java programmer to learn and use.",Objective-C,Java,NONE,BETTER,WORSE,1.0,100
812,"Sigma makes some decent lenses, but Nikon knows their own exposure system better than anyone.",Sigma,Nikon,BETTER,NONE,WORSE,1.0,93
820,Pick your beverage for better nutrition - milk for a calcium boost or juice instead of soda.,milk,soda,NONE,NONE,BETTER,1.0,92
826,"Thereâ(TM)s another damaging situation: You can complain about itunes and subscription sites being damaging to copyright owners and having inferior audio quality, but one of the worst culprits is youtube.",itunes,youtube,NONE,NONE,BETTER,1.0,204
837,They just couldn't understand that hockey was significantly cooler than tennis.,hockey,tennis,BETTER,BETTER,WORSE,1.0,79
848,alhluu said:   The Kingston V+ series is suppose to be faster because it supports SATA III while the 160gb Intel X25-M is SATA II.,Kingston,Intel,NONE,NONE,BETTER,1.0,130
848,"We enjoyed a meal at Café Baghdad (great soup, lousy pizza, reasonable prices) overlooking the Plaza.",soup,pizza,NONE,NONE,BETTER,1.0,101
853,"States with 10 percent unemployment or worse included Nevada, 14.2; Rhode Island, 11.3; michigan 10.7; South carolina, 10.5; Oregon, 10.4; Kentucky, 10.4; Georgia, 10.4; and Mississippi 10.1.",michigan,carolina,NONE,NONE,WORSE,1.0,191
854,"Reviewed by: Lianne Reitter , send e-mail Published by: Stardock Corporation, go to the web site Requires: Works best with Windows XP, but also works with Windows 98, ME and 2000; Pentium III or faster CPU, 128MB RAM MSRP: $49.95",Windows XP,Windows 98,NONE,NONE,BETTER,1.0,229
858,"Also, Eclipse has more plugins that NetBeans.",Eclipse,NetBeans,NONE,NONE,BETTER,1.0,45
859,"So.. I'm not saying Java can't do it (because it can), but it IS easier to do it in PHP.",Java,PHP,NONE,BETTER,WORSE,1.0,88
862,"If your goal is merely to consume tools -- perhaps writing a small amount of code, you (I think) still have intention (if unseen) to be a programmer, but you might find it easier to use languages like Perl, Python, or Ruby -- which have large standard libraries, good ability to function as ""glue"" and low syntactic and semantic overhead (that is to say, they're a bit easier to write) than some languages (eg, Erlang, Haskell, R, etc.)",Python,Haskell,NONE,NONE,BETTER,1.0,436
867,"My original guess was that division might be slower because, for a lot of cases (such as 42/5) the results are non-Integer, so it has to use (mildly slower) Floating-point hardware to find the result.",Integer,Floating-point,WORSE,NONE,BETTER,1.0,200
868,"Haskell has a decent set of libs, not quite as bit as Python however.",Haskell,Python,WORSE,NONE,BETTER,1.0,69
874,"The abstraction level of both C# and Java is mediocre; it's much better than C, somewhat weaker (!) than C++, and not nearly as good as languages that support both object-oriented and functional programming (such as Lisp and Ocaml).",Java,Lisp,BETTER,NONE,WORSE,1.0,232
876,"Netflix, amazon and I think the new Genius tool for itunes have much better systems.",amazon,itunes,NONE,NONE,WORSE,1.0,84
879,1) Laptop or netbook with Bluetooth means that I don't have to plug anything into a USB port in order to use a decent mouse with the computer.,Bluetooth,USB,WORSE,NONE,BETTER,1.0,142
884,I liked the Toyota over the Ford and it looks better than the Chevy.,Toyota,Ford,NONE,NONE,BETTER,1.0,68
885,In the Cafe Promenade the pizza was good but the sandwich selection could have been better compared to Carnival.,pizza,sandwich,WORSE,WORSE,BETTER,1.0,112
886,"In fact, amazon did poorly in google overall in general.",amazon,google,WORSE,WORSE,NONE,1.0,56
888,"I think the Toyota stopped fine, but the Nissan was definitely better.",Toyota,Nissan,NONE,BETTER,WORSE,1.0,70
890,"one I know who's seen Ruby code argues that Perl is better -- but then,",Ruby,Perl,NONE,NONE,WORSE,1.0,71
892,"(By analogy, however, getting hit by a bus is no worse than getting hit by a truck!)",bus,truck,WORSE,WORSE,NONE,1.0,84
894,"We decided to code the account switching business logic on the back-end in Groovy, instead of Java as the rest of the back-end.The reason for thiswasreallythathavingoneprograminglanguage on a project is superior to havingtwo, especiallysince the new language is much more expressive and cool than the old one.Compilation of code base in twolanguages is slow.",Groovy,Java,NONE,NONE,BETTER,1.0,358
900,"No, I've had some very bad experiences with a bad language :-) And having started getting into Groovy, I might say that time spent on something like, say, closures, would be time better spent in the Java world then parametric polymorphism.",Groovy,Java,NONE,NONE,WORSE,1.0,239
901,"and dont even start with the ""Microsoft greed monopoly"" thing, Apple is 10X worse""",Microsoft,Apple,NONE,NONE,BETTER,1.0,82
905,"Even when Sony entered the market with its own streaming box, it was an inferior product with nothing to differentiate it from Apple TV, Roku, or Google TV.",Sony,Apple,WORSE,BETTER,NONE,0.6666666666666666,156
906,This is one where a company like Dell can dominate a company like Apple that makes a better product.,Dell,Apple,NONE,WORSE,BETTER,1.0,100
909,"Mine was the hot dog à la maison (16), a fairly decent sausage presented on rather dry bread and topped with pickled fennel.",sausage,bread,NONE,NONE,BETTER,1.0,124
912,"metal ramps are good, but concrete is better.",metal,concrete,NONE,NONE,WORSE,1.0,45
917,"It does seem Amazon is using a lower quality display in new Kindle's, so you want the best looking screen maybe better to go with Kindle Keyboard, Nook STR or new Sony-T1.",Amazon,Sony,NONE,NONE,WORSE,0.6,171
923,"That's a problem for Dell, and it won't get any better until it starts beating Apple at its own game.",Dell,Apple,NONE,NONE,WORSE,1.0,101
924,"Still much better in Java, but the Scala plugin is catching up fast.",Java,Scala,WORSE,BETTER,NONE,1.0,68
935,There's also a whole bunch of things that Java can do way better (PHP can't even handle longs well!).,Java,PHP,WORSE,NONE,BETTER,1.0,101
947,I've done it before with Perl but I'm not particularly solid with PHP.,Perl,PHP,WORSE,WORSE,NONE,1.0,70
949,"Apple's Swift Programming Language Faster, Safer Than Objective-C",Swift,Objective-C,NONE,NONE,BETTER,0.8333333333333334,65
950,I was also surprised at how robust the query planner and optimizers are compared to Oracle when our performance testing found PostgreSQL to be faster.,Oracle,PostgreSQL,NONE,NONE,WORSE,1.0,150
959,It can be very easy to change Perl code quickly but slower in PHP.,Perl,PHP,WORSE,NONE,BETTER,0.6,66
962,"Perhaps if they had more time and test code, they could've caught these problems earlier, but as it is, the Haskell code lagged far behind the Java and C++ solutions, which are so much faster that they are barely visible on this chart:",Haskell,Java,BETTER,NONE,WORSE,1.0,235
966,"But in less-than-expert hands or worse, in the hands of those that resent Scala, it's less good than Java.",Scala,Java,BETTER,BETTER,WORSE,0.8,106
970,"Unlike the Leica 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the Nikon above.",Leica,Nikon,BETTER,BETTER,WORSE,1.0,162
975,I have owned a Ford F150 and I also think that the Toyota is a better driver and better built.,Ford,Toyota,NONE,NONE,WORSE,0.4,94
976,Last time I checked Apple had 3% market share (Personal Computers) Sony does better.,Apple,Sony,NONE,NONE,WORSE,0.6,84
978,A better alternative is to substitute light gauge steel Zeds for the timber joists.,steel,timber,NONE,NONE,WORSE,0.8,83
980,"This is why it is easier to install Windows 98 first, then Windows XP.",Windows 98,Windows XP,NONE,NONE,BETTER,0.6,70
986,"google Analytics for youtube, only better",google,youtube,NONE,NONE,BETTER,1.0,41
987,"So, yes, PHP is getting better and better while catching up with Java.",PHP,Java,NONE,NONE,WORSE,0.6,70
998,"wii U CPU and GPU Clock Speeds revealed, slower than ps3/360",wii,ps3,BETTER,NONE,WORSE,1.0,60
1000,"JavaScript reminds me of Perl 4 with a slightly better syntax and a couple of additional features (basic lexical scoping, higher order functions, and method dispatch, not to mention competing implementations with a lot of effort spent on optimizing away efficiencies inherent in some of the poorest misfeatures of the language's design).",JavaScript,Perl,NONE,NONE,BETTER,1.0,337
1005,"Soon after I bought an RX1 and saw for myself the distant/ infinity performance was exceptional (superior to any 35mm lens I had used on a 24MP camera previously AND superior to the new Nikon G 28/1.8G as used on my then D800E, though I'm sure a better lens such as the Sigma 35 1.4 might outperform the RX1 on the D800E).",Nikon,Sigma,BETTER,BETTER,WORSE,1.0,322
1011,I have it installed on my Windows XP system as well as an older (and considerably slower) Windows 98 machine.,Windows XP,Windows 98,WORSE,NONE,BETTER,0.6,109
1012,The new Windows 7 is said to be so much better than the problems ridden Windows Vista and is a considerable improvement on Windows XP.,Windows Vista,Windows XP,NONE,BETTER,WORSE,0.8,134
1017,"Docter continued her solid play in Saturday's home defeat of cornell, leading harvard with 13 kills.",cornell,harvard,NONE,NONE,WORSE,1.0,100
1020,Do I think google will score better than amazon?,google,amazon,BETTER,BETTER,NONE,0.8,48
1021,"In brief, Nokia will never win Motorola.",Nokia,Motorola,NONE,BETTER,WORSE,1.0,40
1023,"Most chargers for Bluetooth headsets (which, from my limited experience, are wall chargers only) charge slower than a USB cable.",Bluetooth,USB,BETTER,NONE,WORSE,1.0,128
1030,"As an aside, who in their right mind would buy an inferior GM or Ford car when a very well engineered European car, like that from Mercedes Benz and BMW can be purchased for a much lower price than now when the euro falls.",Ford,BMW,NONE,NONE,WORSE,1.0,222
1033,"safer on youtube, but the google Play lists (you also work for each of languages.",youtube,google,NONE,NONE,BETTER,0.8,81
1047,"Sun is positioning its Linux products against Red Hat, Inc. and Dell Computer Corp. in the Intel server market, and suggesting how they offer a better strategy than the enterprise offerings from IBM and HP.",Dell,IBM,NONE,NONE,BETTER,0.8,206
1053,"Samsung voids warranty for rooting, Motorola doesn't.",Samsung,Motorola,NONE,NONE,WORSE,1.0,53
1063,"Also, keep in tmind that two years ago, Dell,HP,Gateway etc, never used AMD chips as Intel produced the better chip.",Dell,Intel,NONE,NONE,WORSE,1.0,116
1073,"But, that Acer does not have a dedicated video card (it's using built in Intel Graphics instead) and it uses a slightly slower Core i7 4770 CPU (versus the slightly faster Core i7 4790 CPU in the Dell config you're looking at).",Intel,Dell,NONE,NONE,WORSE,0.6,227
1074,"Despite improved security in Windows 8, McAfee believes targeted malware will be available faster than it was for Windows 7.",Windows 8,Windows 7,BETTER,BETTER,WORSE,1.0,124
1078,"My only point is that the presentation of my numbers is off, but there is no case in which OpenGL has ever been faster than Direct3D in all tests I have run on all machines.",OpenGL,Direct3D,BETTER,BETTER,WORSE,0.6,173
1086,"In the age of BP, deploying solid Perl web applications was significantly harder than say deploying PHP applications.",Perl,PHP,BETTER,NONE,WORSE,0.6,117
1090,"ACME, Mich. - General Motors Co., facing disappointing Chevrolet Volt sales, cut the starting price of the plug-in hybrid sedan by $5,000 to compete against the less- expensive and better-selling Toyota Prius and Nissan Leaf.",Chevrolet,Toyota,NONE,NONE,WORSE,1.0,225
1091,"My code Scala is typically half the length than the same thing done via Java, plus it's more concise and is easier to maintain.",Scala,Java,WORSE,NONE,BETTER,1.0,127
1093,"To me, Ruby on Rails doesn't look any better than PHP.",Ruby,PHP,WORSE,BETTER,NONE,0.8,54
1096,"While the tutorial implies that using SQLite is the easiest path to getting a working app, it's probably easier to use MySQL or postgres if you're comfortable with those.",SQLite,MySQL,NONE,NONE,WORSE,1.0,170
1106,"If they are good, they might find it easier to make an impact on the PHP community than, say, in the Java or .NET community.",PHP,Java,NONE,NONE,BETTER,1.0,124
1112,"Apple is like the Microsoft of the 90s, but potentially much, much worse.",Apple,Microsoft,NONE,BETTER,WORSE,1.0,73
1119,"if people love the wii, they will love the nextgen graphics plus playstation Move even better.",wii,playstation,NONE,NONE,WORSE,1.0,94
1121,We were glad that Apple was a niche product compared with the ubiquity of the competition of mediocre IBM clones.,Apple,IBM,NONE,NONE,BETTER,1.0,113
1126,"Maybe Java code is longer but it is much easier to read because it is talking to You and has a clean structure, whereas this Lisp is nesting and neting and nesting.",Java,Lisp,NONE,NONE,BETTER,1.0,164
1128,"The CPU performance of the AMD APU hardware on Sony PS4 and Microsoft XBox720 it's on par if not slower than Intel Core2Quad Q9650 which is rather oudated, a 4-5 years old CPU.",Sony,Intel,NONE,WORSE,BETTER,1.0,176
1129,"Now, unlike Microsoft, Apple isn't selling an inferior product.",Microsoft,Apple,NONE,NONE,WORSE,1.0,63
1132,"The PowerPC CPU (Apple had a hand in it, but it was mainly Motorola and IBM) was always a much better design than Intel's x86.",Apple,IBM,NONE,NONE,WORSE,1.0,126
1134,Arguably the biggest disappointment with the psp version of Armored Core 3 is the control scheme; it's simply inferior to the ps2 version.,psp,ps2,NONE,NONE,WORSE,1.0,138
1134,So in this respect Google is no better than Microsoft.,Google,Microsoft,WORSE,BETTER,NONE,1.0,54
1138,"I changed employers once after that in order to get out of california...AFTER getting a solid (and better) offer in oregon, where I stayed until I retired.",california,oregon,NONE,NONE,WORSE,1.0,155
1140,I say Google is the new Microsoft and in many cases they are even worse.,Google,Microsoft,NONE,BETTER,WORSE,1.0,72
1144,"Come on now Windows 8 may not be Windows 7 in popularity but it is actually a better, faster and more secure OS.",Windows 8,Windows 7,WORSE,NONE,BETTER,1.0,112
1145,You can listen to it on youtube but the recording on itunes is better--and worth it!,youtube,itunes,NONE,NONE,WORSE,1.0,84
1152,"Can you Show How Groovy is ""Better Java""?",Groovy,Java,NONE,NONE,BETTER,1.0,41
1153,"Rather than take a sporty approach, and build a true rear-wheel drive competitor to the BMW 3-Series and Mercedes-Benz 190E sedans, Lexus took a much softer and safer route, basing their entry-level ES, or ""Executive Sedan,"" on the very un-sporty front-wheel drive Toyota Camry.",BMW,Toyota,NONE,NONE,BETTER,1.0,278
1153,30% better in MySQL 5.0.20a and 37% better in PostgreSQL 8.2-dev.,MySQL,PostgreSQL,BETTER,NONE,WORSE,0.6666666666666666,65
1155,harvard is better than Western New England and stanford is better than GGU.,harvard,stanford,BETTER,BETTER,NONE,1.0,75
1159,@9:08 At no time has the softball stadium been superior to baseball.,softball,baseball,BETTER,BETTER,WORSE,1.0,68
1178,Why is soda $5 per gallon when milk is so much better for you?,soda,milk,NONE,NONE,WORSE,1.0,62
1179,"Honda quality has gone downhill in recent years, Hyundai or Ford is a much better value if shopping for a new 2012.",Honda,Ford,NONE,NONE,WORSE,1.0,115
1182,"Decent alternatives for you might include the Android-powered Samsung Galaxy 3 , the HTC Wildfire or indeed, if you can afford the step up, the Nokia C7 for a considerably superior Symbian^3 experience.",Samsung,Nokia,NONE,NONE,WORSE,1.0,202
1197,"Groovy code often looks and feels like Java code, but is almost always simpler and easier to use.",Groovy,Java,NONE,NONE,BETTER,1.0,97
1198,"It's a well-known fact that returning from a holiday weekend isn't always easy, but a beautiful bride with an ""aversion to all things boring"" and a drop-dead gorgeous Fort Lauderdale wedding can make the transition much, much easier.",holiday,wedding,NONE,NONE,WORSE,0.6,233
1202,"Although the Ford CMax Hybrid gets better fuel economy, the Toyota Hybrid system has a reputation for working extremely well.",Ford,Toyota,BETTER,NONE,WORSE,0.8,125
1202,"I've been going through Ruby, enjoy it, like it better then Python, never really dug PHP.",Ruby,Python,NONE,NONE,BETTER,1.0,89
1206,"Who's up for an intra-company cannibalizing Buick Regal 2.0T, which looks better, probably drives better, and is more Teutonic in every way than this large-on-the-outside but small-on-the-inside answer to a question no one is asking of Cadillac?",Buick,Cadillac,NONE,NONE,BETTER,1.0,245
1214,He has had better success using dimensional lumber then plywood over the years.,lumber,plywood,NONE,NONE,BETTER,1.0,79
1216,"Freeman and Pryce describe DSLs and their benefits and how EDSLs are common in lanugages with small syntaxes (Haskell, Lisp, Smalltalk) but are harder to hit into large syntax languages such as Java.",Lisp,Java,WORSE,WORSE,BETTER,0.8,199
1219,"ARCEE changes into a motorcycle and is very quick and acrobatic with her attacks, and BULKHEAD changes into an armoured truck and moves slower, but hits much harder.",motorcycle,truck,NONE,NONE,BETTER,1.0,165
1222,The emphasis is surprisingly different: Scala is very much about better component oriented programming for the Java platform.,Scala,Java,BETTER,BETTER,NONE,1.0,125
1226,"Larry Fitzgerald upgraded from Derek Anderson to Kevin Kolb, but so far that's like upgrading from a Honda to an Accura...yeah it's better but you really wanted a BMW.",Honda,BMW,NONE,NONE,BETTER,1.0,167
1226,"Much better to ask what the strengths and weaknesses are of particular languages, eg. for programming a particular kind of task, for future employability of developers and maintainers, for compiler efficiency, for expressive completeness, for FFI, etc. Python clearly has many strengths that Lisp/scheme lack, also vica versa.",Python,Lisp,NONE,NONE,BETTER,0.8,326
1231,Solid pitching efforts earn michigan baseball team a 5-2 win againt Coastal carolina,michigan,carolina,NONE,NONE,BETTER,1.0,84
1234,"Expect enhanced chances of near normal temperatures in Washington, oregon, and western Indiana and cooler than normal in michigan and northern Wisconsin.",oregon,michigan,NONE,NONE,BETTER,1.0,153
1235,It also results in extra dimensional stability -- plywood doesn't swell or crack like solid sawed lumber.,plywood,lumber,NONE,NONE,BETTER,1.0,105
1247,"AMD fans should take a look at the Samsung Series 5 510R5E, which is lighter and slimmer, hence offering better mobility.",AMD,Samsung,NONE,NONE,WORSE,1.0,121
1248,"Pretty much if we took in a MBZ,BMW or Lexus it was solid gold ( sport car hands down a Porshe, Audi wasn't our first choice to have on the lot.",Lexus,Audi,NONE,NONE,BETTER,1.0,144
1255,As much as I love PHP would it not be easier to implement this using JavaScript by hiding and showing layers dynamically depending on what is selected?,PHP,JavaScript,NONE,NONE,WORSE,0.8333333333333334,151
1256,"(10 For NetBeans, -5 for Eclipse)",NetBeans,Eclipse,NONE,NONE,BETTER,0.8,33
1257,Is OpenGL faster than Direct3D?,OpenGL,Direct3D,BETTER,BETTER,NONE,0.4,31
1258,"I'm thinking about grabbing an Ethernet wireless bridge or even better, a wireless USB network adapter.",Ethernet,USB,NONE,NONE,WORSE,0.8,103
1259,Playing baseball involved different skills than hockey... which one is harder?,baseball,hockey,BETTER,BETTER,NONE,0.6,78
1259,"Still Perl is faster, but Java is not worse than other languages like Python.",Perl,Python,BETTER,BETTER,NONE,0.6,77
1260,"One cannot have communion with beer and steak (both of which, I, for one, think superior to bread and wine), just as one cannot baptise someone with sand rather than water.",steak,bread,NONE,NONE,BETTER,0.8,172
1262,"Sean's answer was ""steel is harder than aluminum.""",steel,aluminum,NONE,WORSE,BETTER,1.0,50
1274,"Maybe things will be better in oregon in 2 to 5 yrs but right now they have the second highest unemployment rate in the country, right behind michigan.",oregon,michigan,WORSE,NONE,BETTER,1.0,151
1279,"The ps2 games were miles better, though, and I'm sure the ds one I mentioned would be great, too.",ps2,ds,NONE,NONE,BETTER,1.0,97
1281,The Bluetooth is convenient but the sound quality is so much better with the USB.,Bluetooth,USB,BETTER,BETTER,WORSE,1.0,81
1283,"Reliability for domestic autos is much better for long term reliability than you think, In JD Powers survey for long term reliability, cars on the road for four years, domestic nameplates held 3 of the top 5 spots, Buick was in 2nd place Lexus placed 1st, Cadillac and Lincoln also placed in the top 5.",Lexus,Cadillac,NONE,NONE,BETTER,1.0,302
1285,i have been trying to bend MySQL (PostgreSQL has better support,MySQL,PostgreSQL,NONE,NONE,WORSE,1.0,63
1288,"But this week PC Magazine columnist John Dvorak speculates that the company could be about to make a switch itself, from Motorola/IBM chips to faster Intel ones.",IBM,Intel,NONE,NONE,WORSE,1.0,161
1293,Tethering over Bluetooth is slower but being wireless is a great advantage over USB.,Bluetooth,USB,WORSE,WORSE,BETTER,1.0,84
1294,"You need a place to cry into your beer, or better yet your champagne.",beer,champagne,NONE,NONE,WORSE,1.0,69
1297,Mobile Nokia 15           Motorola 6           HTC 10,Nokia,Motorola,NONE,NONE,BETTER,1.0,53
1299,"Indeed is even worse; Ruby shows about 10K hits there, compared to 20K for PHP and 100K for Java.",PHP,Java,NONE,NONE,WORSE,1.0,97
1310,"Personally, I see all of these major players in the hardware segment of the market all supporting Blu-Ray (Samsung, Panasonic, and LG, in addition to Sony) while only Toshiba has support for their format, as an indication that Blu-Ray is, at least from a technological standpoint, a superior format.",Samsung,Toshiba,NONE,NONE,WORSE,1.0,299
1324,Groovy makes writing Java programs far easier.,Groovy,Java,NONE,NONE,BETTER,1.0,46
1327,I never said basketball was easier than baseball.,basketball,baseball,BETTER,BETTER,NONE,1.0,49
1331,"The restaurant is doing much better,"" Sal reveals of Papa C's Eastside cafe.",restaurant,cafe,NONE,NONE,BETTER,1.0,76
1332,ds beats out psp,ds,psp,NONE,NONE,BETTER,1.0,16
1335,"pizza cooks faster and is more tender, bread crusts as it's never crusted before.",pizza,bread,NONE,NONE,BETTER,1.0,81
1338,If you can ally with the market leader (IBM) you can use market dominance to beat products of vastly superior quality (Apple computers).,IBM,Apple,BETTER,NONE,WORSE,1.0,136
1346,"Compare the Cloud released new rankings indicating Amazon Web Services, though a perennial cloud services frontrunner, is experiencing slower growth and is losing the ""mind share"" battle with competitors such as IBM and Microsoft.",Amazon,Microsoft,NONE,NONE,WORSE,1.0,230
1352,"(Personally, my users demand OCamL anyway, so it's not an additional build for me; and it's much faster to build than Erlang or Haskell and I think also than Perl; don't know about Python).",Haskell,Python,BETTER,BETTER,NONE,1.0,189
1360,Try shooting a wedding on a manual focus Hasselblad and a Nikon F3 or worse still a Leica ;),Nikon,Leica,NONE,NONE,BETTER,1.0,92
1366,"Originally, that up there said 'Smalltalk' instead of 'Java'.",Smalltalk,Java,NONE,NONE,BETTER,1.0,61
1368,"The discussion turned to having other people work on the project, and why I felt people who knew Lisp would be better to attract than people who knew, say, Java.",Lisp,Java,BETTER,BETTER,NONE,0.8,161
1370,The only thing worse than pro football is pro hockey!,football,hockey,NONE,WORSE,BETTER,0.8,53
1373,Or may be it's related to the inferior CPU/memory management in Windows 98 in comparison with Windows XP?,Windows 98,Windows XP,NONE,NONE,WORSE,1.0,105
1376,"- QUICK MOVEMENT The speed of your player is based on the weight of your gun, so when the round starts, switching to the pistol or even better, your knife, will result in much faster movement.",pistol,knife,NONE,NONE,WORSE,0.8,192
1378,"Contrast that with Microsoft or, even worse, Google and its absolutely a disaster.",Microsoft,Google,NONE,NONE,BETTER,1.0,82
1379,But why is OpenGL better than Direct3D?,OpenGL,Direct3D,NONE,NONE,BETTER,0.6,39
1381,This printer has always been slow but it's even slower now that I'm using a USB connection instead of Ethernet.,USB,Ethernet,NONE,NONE,WORSE,0.6,111
1389,"PHP is not better than Java, it is just better for ""typical"" web applications.",PHP,Java,WORSE,BETTER,NONE,1.0,78
1389,"AMD and Apple are leading the way, and Intel better get in line soon.",Apple,Intel,NONE,NONE,BETTER,1.0,69
1390,"But in both cases Apple gets poor grades from Greenpeace while Dell gets better grades, despite the inconvenient fact that both are in exactly the same boat: stuck.",Apple,Dell,NONE,BETTER,WORSE,1.0,164
1391,"I would have expected Python to be slower than Java, but apparently that is not the case.",Python,Java,WORSE,WORSE,BETTER,0.8,89
1396,"Although we have Mercedes-Benz to thank for the oxymoronic ""4-door coupe"" category, Audi has gone one better with its A7 5-door coupe .",Mercedes-Benz,Audi,NONE,NONE,WORSE,1.0,135
1399,"Neither is a clear winner on performance; Perl is faster for some things, Python for others.",Perl,Python,NONE,NONE,BETTER,0.8,92
1407,"Certainly it's not the best language, but it's better than writing C or Java, more fun than Python and more straightforward than Haskell.",Python,Haskell,BETTER,BETTER,NONE,0.8,137
1411,"This tea is much better with milk, I think.",tea,milk,BETTER,BETTER,NONE,0.8,43
1411,I think the problem that both Apple and Google have is that Intel is getting better at making low power x86 chips.,Google,Intel,NONE,NONE,WORSE,0.6,114
1415,"If you're talking about CHRP/PREP hardware, IBM and Motorola delivered PowerPC machines with lots of PC legacy, while Apple delivered much better, legacy free PowerPC Macs.",IBM,Apple,NONE,NONE,WORSE,0.4,172
1423,"I don't know if Sony would be better than Dell, or any other make for that matter.",Sony,Dell,BETTER,BETTER,NONE,0.8,82
1425,It's more explicit and faster (especially since regex in Python is not super optimized like Perl).,Python,Perl,NONE,NONE,WORSE,1.0,98
1440,"Generally speaking, in a ""squeeze the brakes as hard as possible and let ABS take over"" kind of stop, the Yamaha and the Honda, with their faster cycling times, will out-stop the BMW by several feet.",Honda,BMW,NONE,NONE,BETTER,1.0,199
1445,And yet Microsoft somehow comes off worse than Google for it...,Microsoft,Google,BETTER,BETTER,WORSE,0.8,63
1448,It's definitely gotten worse since we moved to North carolina from california.,carolina,california,NONE,NONE,WORSE,1.0,78
1449,I have several web sites where I have migrated from MySQL to SQLite and I couldn't be happier: it's faster with less CPU and memory footprint.,MySQL,SQLite,NONE,NONE,WORSE,1.0,142
1453,"-SQL Server is significantly superior to MySQL, faster than PostgreSQL, and for most businesses is cheaper than Oracle.",MySQL,PostgreSQL,BETTER,BETTER,NONE,1.0,119
1455,Does Apple manage its supply chain better than Amazon manages its own?,Apple,Amazon,BETTER,BETTER,NONE,1.0,70
1463,InfoQ : Are there specific features of Groovy that you feel make it better suited to Spring development than Java?,Groovy,Java,BETTER,BETTER,NONE,1.0,114
1465,"That said, the solid metal base provides a 25-degree range of motion, and much more stability than you get from the Samsung Series 7 (DP700A3B-A01US) ($1,099 direct, 3.5 stars) or the Sony VAIO VPC-L231FX/W ($999.99 list, 4.5 stars), if less than you get with the Dell Inspiron One 2320 ($1,249.99 direct, 4 stars).",Sony,Dell,NONE,NONE,BETTER,1.0,315
1465,"Depending on what you're actually trying to accomplish (watching digital movies on the go, watching streaming movies on the go, playing iOS games on the car TV, etc) there is likely a better solution to the problem than an Apple TV, router, and ipad.",iOS,Apple TV,NONE,NONE,BETTER,0.6,250
1474,"PHP is probably better for quick/simple/numerous project, but Perl is better for monolithic problems.",PHP,Perl,BETTER,BETTER,NONE,1.0,101
1478,You also shouldn't know whether the SSD is a decent quality Samsung a much slower and lower quality Toshiba.,Samsung,Toshiba,WORSE,NONE,BETTER,1.0,108
1480,"I can wax lyrical about the technical superiority of languages like Self, Smalltalk and Lisp as compared to lesser languages like Java and C# (and even Ruby and Python), but this doesn't matter a jot if people just aren't 'comfortable' with these supposedly 'superior' languages.",Lisp,Python,NONE,NONE,BETTER,0.8,279
