,id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,s_len
3928,1576,InferSent,"Jython/Python brings extra advantages to the Java development with its elegant code, faster to develop, easier to explain and understand after writing the code.",Python,Java,NONE,BETTER,1.0,se (unique),160
3930,473,InferSent,"Sales of the Chevrolet Cruze compact are closing in on 200,000 through October, far better than GM's previous compact and a strong counterpunch to Toyota and Honda.",Chevrolet,Toyota,NONE,BETTER,1.0,se (unique),164
3932,1553,InferSent,Visibly faster than Python ... faster than Java I'd bet.,Python,Java,BETTER,NONE,1.0,se (unique),56
3943,1362,InferSent,The good part is it provides a generic set of applications that can work across operating system versions and are clearly better than what came with Windows 98; the bad news is they can really screw up Windows XP.,Windows 98,Windows XP,BETTER,NONE,1.0,se (unique),213
3944,848,InferSent,"You can use JavaScript server side too, and you could take a look at Ruby which is much nicer to write than PHP.",JavaScript,PHP,BETTER,NONE,0.6,se (unique),112
3946,278,InferSent,Wood/ timber inventories are being depleted throughout the developing world (far faster than forest land inventories).,timber,forest,WORSE,BETTER,1.0,se (unique),118
3948,34,InferSent,"Maybe we're going to use Python (simpler but slower) , or Java (much complexer compared to a ""pure"" scripting one, but faster - as fast as C/Cpp).",Python,Java,BETTER,NONE,1.0,se (unique),146
3950,1502,InferSent,"Latex paint provides better fade resistance, flexibility, chalk resistance and adhesion.",paint,chalk,NONE,BETTER,1.0,se (unique),88
3952,754,InferSent,Hopefully the Nikon one performs close o the Sigma otherwise its going to look even worse on a price/performance basis.,Nikon,Sigma,BETTER,NONE,1.0,se (unique),119
3955,2317,InferSent,"Other reviews have shown these new 470 series SSDs from Samsung have significantly better scores than the rest, while still competing with Toshiba on power consumption.",Samsung,Toshiba,BETTER,NONE,1.0,se (unique),168
3961,2358,InferSent,It will still be a lot harder and pricier to get a loan in states like california and Florida than Kansas or pennsylvania.,california,pennsylvania,BETTER,NONE,0.8,se (unique),122
3963,681,InferSent,We chose MySQL over PostgreSQL primarily because it scales better and has embedded replication.,MySQL,PostgreSQL,NONE,BETTER,1.0,se (unique),95
3964,386,InferSent,That makes the 2013 Fusion Energi 8 MPGe better than the Chevrolet Volt and 13 MPGe more fuel efficient than the Toyota Prius Plug-In models.,Chevrolet,Toyota,BETTER,NONE,0.8,se (unique),141
3965,1709,InferSent,"This is more of a cafe bar rather than a restaurant, but it is none the worse for that.",cafe,restaurant,BETTER,NONE,0.6,se (unique),87
3969,2351,InferSent,"Windows 8 is sequential successor to Windows 7. It doesn't matter which one is ""better"".",Windows 8,Windows 7,WORSE,NONE,0.8,se (unique),88
3973,1920,InferSent,"It seems as though luxury makers are going for bigger is better when it comes to grilles (we're looking at you, Audi ), but Lexus takes the cake here.",Audi,Lexus,NONE,WORSE,0.8,se (unique),150
3974,2373,InferSent,"When it comes to resale values, we expect the 2012 Buick Verano to offer long-term residual numbers similar to the Audi A3 but worse than the Lexus IS and Acura TSX.",Audi,Lexus,WORSE,BETTER,1.0,se (unique),165
3975,351,InferSent,"Edit: I do have a decent amount of Java experience, but I haven't used Scala before, if that plays into it.",Java,Scala,WORSE,NONE,1.0,se (unique),107
3977,904,InferSent,"Looking backwards, investing in Sears in 1890 turned out better than investing in Sony in 1950; that, more than anything, explains the relative performance of Amazon and Apple in the stock market.",Sony,Amazon,BETTER,NONE,0.6,se (unique),196
3978,1120,InferSent,I know you can write Scala as a 'better Java'.,Scala,Java,NONE,BETTER,1.0,se (unique),46
3981,1905,InferSent,"CatZilla is a stern test and it's shown in how far down the graph you have to scan to come across the MSI, and although the overclock helps the situation there is obviously better performance to be had from the 290X, as it should be, and the Nvidia cards.",MSI,Nvidia,BETTER,NONE,0.8333333333333334,se (unique),255
3982,868,InferSent,"General Motors ( GM ) , Ford Motor ( F ) and Chrysler Group all posted U.S. sales gains of 5% or better, while Toyota Motor ( TM ) sales edged up 1% from a year ago.",Chrysler,Toyota,BETTER,NONE,0.8,se (unique),165
3984,702,InferSent,"pennsylvania this fall js a better team, but michigan has also made advances.",pennsylvania,michigan,WORSE,NONE,1.0,se (unique),77
3988,1873,InferSent,"I'm getting excited because most people got the impression from testing that BMW wouldn't be any better than Renault/Red Bull/Williams/Toyota - and now it turns out they're miles ahead from that group, and even look slightly closer to McLaren/Ferrari than last year.",BMW,Toyota,WORSE,NONE,1.0,se (unique),266
4001,258,InferSent,An example would be Ford makes better pick up trucks and Toyota makes better sedans.,Ford,Toyota,BETTER,NONE,1.0,se (unique),84
4003,1163,InferSent,# This subprogram will green tag a red tagged truck  and mark it as availible #Each truck should have its own file and there should be a csv file showing the current status of all of the trucks in the system # This might be easier to write as a Bash script rather then a Python program.,Bash,Python,NONE,BETTER,1.0,se (unique),286
4008,343,InferSent,"Handling The Lexus LS 460 has a significantly smaller turning radius than the Audi A6, allowing much better maneuverability in and out of tight spots.",Lexus,Audi,BETTER,WORSE,1.0,se (unique),150
4013,1979,InferSent,"Python at least is every bit as good at 'net' programming as Java, and faster to develop with.",Python,Java,NONE,BETTER,1.0,se (unique),94
4014,1857,InferSent,Anything more than a few lines of Bash could be done better in Python.,Bash,Python,NONE,WORSE,1.0,se (unique),70
4022,1150,InferSent,"It's better for Amazon to cannibalize itself than have it done anymore by Apple,"" he adds.",Amazon,Apple,WORSE,NONE,1.0,se (unique),90
4024,817,InferSent,So Macmillan say the Apple deal is much better that any of yours Amazon so no ebooks for you.,Apple,Amazon,NONE,BETTER,1.0,se (unique),93
4027,468,InferSent,"In terms of the reliability of models sold in the past three years, CR shows that 90% of Toyota models it rated have better-than-average reliability, vs. 35% for Chrysler, 25% for GM, and just 7% for Ford.",Toyota,Chrysler,NONE,BETTER,1.0,se (unique),205
4031,1785,InferSent,"You can also do ith with Python, but I think this is quite straightforward and easier to understand #!/bin/Bash # This script reprojects and subsets a bunch of HDF files stored in # a given dir (WORKDIR).",Python,Bash,WORSE,NONE,1.0,se (unique),204
4034,1084,InferSent,"As for parallel mode MySQL retained its performance while PostgreSQL/PostGIS introduced some decrease in performance while still performing faster, now by 27.5% .",MySQL,PostgreSQL,NONE,BETTER,1.0,se (unique),162
4038,1388,InferSent,"The point is Skov saying that somehow michigan is worse than a Notre Dame, USC, or virginia, because that's just plain false.",michigan,virginia,NONE,WORSE,1.0,se (unique),125
4039,1412,InferSent,The advantage of Java over Python for scientific computing is faster for,Java,Python,NONE,BETTER,1.0,se (unique),72
4043,166,InferSent,Online shopping and shopping via mobile devices will become quicker and easier for users of a digital wallet.,mobile,wallet,BETTER,NONE,0.6,se (unique),109
4048,1808,InferSent,"Rightly or wrongly, end users now expect faster performance levels from mobile applications than from the desktop or laptop.",mobile,laptop,BETTER,NONE,0.8,se (unique),124
4058,870,InferSent,"On March 30, Dell released eight new black-and-white printers as the PC maker looks to better compete against Hewlett-Packard, which continues to dominate the printing and imaging market.",Dell,Hewlett-Packard,NONE,BETTER,0.8,se (unique),187
4066,1956,InferSent,Currently forest resources are seriously depleted and the ecological environment is getting worse; people must stop using non-renewable timber.,forest,timber,WORSE,NONE,0.6,se (unique),143
4072,1107,InferSent,Or better yet they can block youtube until google pays.,youtube,google,BETTER,NONE,0.6,se (unique),55
4075,1813,InferSent,"The more basic pizza, ""You Ain't Seen Nothing Yet,"" fared a little better, because the toppings of sausage and green olives were a bit more traditional, but, still, the crust was lousy.",pizza,sausage,WORSE,NONE,1.0,se (unique),185
4076,185,InferSent,"Microsoft Reader was an early entry in the e-reader space, and in many ways is still superior to the offerings of Amazon, Barnes & Noble, and others.",Microsoft,Amazon,NONE,BETTER,1.0,se (unique),149
4077,866,InferSent,Since halloween is officially here I guess there is no better time to start posting thanksgiving recipes.,halloween,thanksgiving,WORSE,NONE,1.0,se (unique),105
4078,2087,InferSent,"Lexus owners can make themselves feel much better by looking in on the Mercedes, BMW and Audi forums.",Lexus,Audi,BETTER,NONE,1.0,se (unique),101
4084,1437,InferSent,"Ruby is slower and not quite as popular, and PHP is more C/Perl like, with flatter interfaces, which comes with performance boons of its own.",PHP,Perl,BETTER,NONE,0.8,se (unique),141
4088,1822,InferSent,"Unexpectedly, it was football that made him a better tennis player.",football,tennis,BETTER,NONE,1.0,se (unique),67
4091,1217,InferSent,"Penetration of Windows 2000 wasn't really that great, Windows XP was better, but there's still a lot of people out there running Windows 98 in all honesty.",Windows XP,Windows 98,BETTER,NONE,1.0,se (unique),155
4102,1346,InferSent,"Also, I found R easier to master than either Octave or Python, but this is probably because I am familiar with Lisp.",Python,Lisp,WORSE,NONE,0.8,se (unique),116
4103,1531,InferSent,"East carolina and Boise st are a harder game than Purdue, Illinois, Indiana, Kansa, Texas tech, california, Colorado, Kentucky, Rutgers, West Virginia, Maryland, virginia, and so on.",carolina,california,BETTER,NONE,1.0,se (unique),182
4106,2318,InferSent,"Here you say that you like Python clean syntax, but do you know that Pliant one is as clean but much more flexible (can either look instructions centric or Lisp like), and can even be customized to better match various needs.",Python,Lisp,BETTER,NONE,0.6,se (unique),225
4112,58,InferSent,Field sharpening requires a stone harder than steel and a smooth stroke.,stone,steel,BETTER,NONE,1.0,se (unique),72
4114,1021,InferSent,This is so much nicer in Swift than Objective-C because of the concise syntax.,Swift,Objective-C,NONE,BETTER,1.0,se (unique),78
4121,1934,InferSent,I often use it to transfer medium-sized files because it is faster than Bluetooth and easier to start compared to USB wired transfers.,Bluetooth,USB,NONE,BETTER,0.6,se (unique),134
4123,20,InferSent,arrrggghh...Python is a terrible language - only Perl sucks worse.,Python,Perl,WORSE,BETTER,1.0,se (unique),66
4125,576,InferSent,"It's light as aluminum, but harder than steel,"" he said.",aluminum,steel,BETTER,NONE,1.0,se (unique),56
4131,164,InferSent,What's better with pasta than fresh baked bread?,pasta,bread,BETTER,NONE,1.0,se (unique),48
4138,2410,InferSent,Well Suzanne took a spin on homemade pizza and made it even easier and faster by using french bread.,pizza,bread,BETTER,NONE,0.8,se (unique),100
4140,2141,InferSent,"Soon, there will be an MP3 player far superior to the ipod; there will be faster laptops and cells phones and a much better iphone.",ipod,iphone,BETTER,NONE,1.0,se (unique),131
4142,756,InferSent,"@tanasten Bowling is WAY better, baseball is WAY better, golf is WAY better, tennis is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!",baseball,tennis,BETTER,NONE,1.0,se (unique),174
4143,2380,InferSent,"google Music has made things a lot better, but even there, it doesn't really sync with itunes; not directly, anyway.",google,itunes,BETTER,NONE,0.8,se (unique),116
4149,776,InferSent,"The PSP does support a few thing that ds can't, They are DLC, better sound, ps2-like Graphics.",ds,ps2,WORSE,NONE,1.0,se (unique),94
4150,14,InferSent,"It fared better than other netbooks in this price range, such as the ASUS Eee PC 1001P (1,384) and the Toshiba mini NB255 (1,393), and even the costlier Samsung N150 Plus (1,300).",Toshiba,Samsung,WORSE,NONE,1.0,se (unique),179
