id,a,b,raw_text,text_html,text_readable,type,marker,label_gold,label_gold_reason,_golden
O2366701208,Sigma,Nikon,"That is some high praise in the review..highest I have ever heard and lets face it....ALL of the Canon, Nikon, Sigma, (previous) Zeiss 50mm primes to date are mediocre if you are a pixel peeper.","That is some high praise in the review..highest I have ever heard and lets face it....ALL of the Canon, <span style=""color: #9A14B2; font-weight: bold"">Nikon:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Sigma:[OBJECT_B]</span>, (previous) Zeiss 50mm primes to date are mediocre if you are a pixel peeper.","That is some high praise in the review..highest I have ever heard and lets face it....ALL of the Canon, *Nikon*, §Sigma$, (previous) Zeiss 50mm primes to date are mediocre if you are a pixel peeper.",brands,True,,,False
O2388564543,Cadillac,Buick,The 1979-1985 E-bodys had presence and as long as you got the Oldsmobile or Buick over the 4100V8 Cadillac you got a decent engine too.,"The 1979-1985 E-bodys had presence and as long as you got the Oldsmobile or <span style=""color: #9A14B2; font-weight: bold"">Buick:[OBJECT_A]</span> over the 4100V8 <span style=""color: #6CB219; font-weight: bold"">Cadillac:[OBJECT_B]</span> you got a decent engine too.",The 1979-1985 E-bodys had presence and as long as you got the Oldsmobile or *Buick* over the 4100V8 §Cadillac$ you got a decent engine too.,brands,True,,,False
P2518163375,Samsung,AMD,"The HSA Foundation (Heterogeneous System Architecture Foundation) is a not-for-profit industry standards body founded by companies such as AMD, ARM Samsung and Texas Instruments and focused on making it dramatically easier to program heterogeneous computing devices such as GPUs.","The HSA Foundation (Heterogeneous System Architecture Foundation) is a not-for-profit industry standards body founded by companies such as <span style=""color: #9A14B2; font-weight: bold"">AMD:[OBJECT_A]</span>, ARM <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> and Texas Instruments and focused on making it dramatically easier to program heterogeneous computing devices such as GPUs.","The HSA Foundation (Heterogeneous System Architecture Foundation) is a not-for-profit industry standards body founded by companies such as *AMD*, ARM §Samsung$ and Texas Instruments and focused on making it dramatically easier to program heterogeneous computing devices such as GPUs.",brands,True,,,False
C384373749,Gigabyte,Asus,Asus and Gigabyte are both quite good.,"<span style=""color: #9A14B2; font-weight: bold"">Asus:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Gigabyte:[OBJECT_B]</span> are both quite good.",*Asus* and §Gigabyte$ are both quite good.,brands,False,,,False
L1921257682,Google,Sony,"On this front, the Google Nexus 4 and Sony Xperia S do a much better job (400 cd/m²).","On this front, the <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> Nexus 4 and <span style=""color: #6CB219; font-weight: bold"">Sony:[OBJECT_B]</span> Xperia S do a much better job (400 cd/m²).","On this front, the *Google* Nexus 4 and §Sony$ Xperia S do a much better job (400 cd/m²).",brands,True,,,False
B231965421,Apple,Amazon,"Amazon Video On-Demand offers everything you could find through Apple TV's store and then some, but it has a superior pricing model.","<span style=""color: #9A14B2; font-weight: bold"">Amazon:[OBJECT_A]</span> Video On-Demand offers everything you could find through <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> TV's store and then some, but it has a superior pricing model.","*Amazon* Video On-Demand offers everything you could find through §Apple$ TV's store and then some, but it has a superior pricing model.",brands,True,,,False
T3204251190,IBM,Dell,"With version 3.0, Piston appears poised to go toe to toe with the likes of Red Hat, HP, Dell, IBM and Cloudscaling if not surpass them altogether with superior technology.","With version 3.0, Piston appears poised to go toe to toe with the likes of Red Hat, HP, <span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span> and Cloudscaling if not surpass them altogether with superior technology.","With version 3.0, Piston appears poised to go toe to toe with the likes of Red Hat, HP, *Dell*, §IBM$ and Cloudscaling if not surpass them altogether with superior technology.",brands,True,,,False
M2006117577,Google,Kingston,"Please do a Google Search for ""Places of Worship in Kingston, RI"" for complete listings, or contact one of the chaplains for recommendations.","Please do a <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> Search for ""Places of Worship in <span style=""color: #6CB219; font-weight: bold"">Kingston:[OBJECT_B]</span>, RI"" for complete listings, or contact one of the chaplains for recommendations.","Please do a *Google* Search for ""Places of Worship in §Kingston$, RI"" for complete listings, or contact one of the chaplains for recommendations.",brands,False,,,False
N2130880452,Samsung,Motorola,Samsung HTC ASUS Motorola,"<span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> HTC ASUS <span style=""color: #6CB219; font-weight: bold"">Motorola:[OBJECT_B]</span>",*Samsung* HTC ASUS §Motorola$,brands,False,,,False
G983075789,Honda,Nissan,"However, these are Honda and Nissan cars.","However, these are <span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> cars.","However, these are *Honda* and §Nissan$ cars.",brands,False,,,False
L1795713475,Ferrari,Renault,New Ferrari better than 2009 Renault - Alonso,"New <span style=""color: #9A14B2; font-weight: bold"">Ferrari:[OBJECT_A]</span> better than 2009 <span style=""color: #6CB219; font-weight: bold"">Renault:[OBJECT_B]</span> - Alonso",New *Ferrari* better than 2009 §Renault$ - Alonso,brands,False,,,False
H1236852734,Ibuprofen,Advil,"In an almost unanimous decision (8-1), the Supreme Court ruled that a public school violated a 13-year-old student's 4th Amendment rights for executing a humiliating strip search with basically no evidence for something as silly as Ibuprofen, better know by its street name: Advil.","In an almost unanimous decision (8-1), the Supreme Court ruled that a public school violated a 13-year-old student's 4th Amendment rights for executing a humiliating strip search with basically no evidence for something as silly as <span style=""color: #9A14B2; font-weight: bold"">Ibuprofen:[OBJECT_A]</span>, better know by its street name: <span style=""color: #6CB219; font-weight: bold"">Advil:[OBJECT_B]</span>.","In an almost unanimous decision (8-1), the Supreme Court ruled that a public school violated a 13-year-old student's 4th Amendment rights for executing a humiliating strip search with basically no evidence for something as silly as *Ibuprofen*, better know by its street name: §Advil$.",brands,True,,,False
P2466159414,Nvidia,MSI,"The DIY once again takes a lead across the board, with the integrated ATI HD3650 GPU putting out some decent results in both 3DMark suites and showing better performance than the Nvidia 8600M GT used in the MSI Turbobook.","The DIY once again takes a lead across the board, with the integrated ATI HD3650 GPU putting out some decent results in both 3DMark suites and showing better performance than the <span style=""color: #9A14B2; font-weight: bold"">Nvidia:[OBJECT_A]</span> 8600M GT used in the <span style=""color: #6CB219; font-weight: bold"">MSI:[OBJECT_B]</span> Turbobook.","The DIY once again takes a lead across the board, with the integrated ATI HD3650 GPU putting out some decent results in both 3DMark suites and showing better performance than the *Nvidia* 8600M GT used in the §MSI$ Turbobook.",brands,True,,,False
J1444412106,Google,Sony,"It's definitely no match for the Google Nexus 10, or the recently announced Sony Xperia Tablet Z , but it still provides decent performance in most situations.","It's definitely no match for the <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> Nexus 10, or the recently announced <span style=""color: #6CB219; font-weight: bold"">Sony:[OBJECT_B]</span> Xperia Tablet Z , but it still provides decent performance in most situations.","It's definitely no match for the *Google* Nexus 10, or the recently announced §Sony$ Xperia Tablet Z , but it still provides decent performance in most situations.",brands,True,,,False
T3234772268,IBM,Dell,You are better off with IBM ThinkPad or Dell notebooks.,"You are better off with <span style=""color: #9A14B2; font-weight: bold"">IBM:[OBJECT_A]</span> ThinkPad or <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span> notebooks.",You are better off with *IBM* ThinkPad or §Dell$ notebooks.,brands,True,,,False
B314090694,Toyota,Honda,Any Make Honda Scion Toyota,"Any Make <span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span> Scion <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span>",Any Make *Honda* Scion §Toyota$,brands,False,,,False
N2106789622,Honda,BMW,Riding in this BMW with this music feels a thousand times better than riding in my messy Honda listening to punk CDs.,"Riding in this <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span> with this music feels a thousand times better than riding in my messy <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span> listening to punk CDs.",Riding in this *BMW* with this music feels a thousand times better than riding in my messy §Honda$ listening to punk CDs.,brands,True,,,False
K1589384507,Intel,Kingston,Kingston is making its first foray into the solid state drive (SSD) market using technology developed by Intel.,"<span style=""color: #9A14B2; font-weight: bold"">Kingston:[OBJECT_A]</span> is making its first foray into the solid state drive (SSD) market using technology developed by <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span>.",*Kingston* is making its first foray into the solid state drive (SSD) market using technology developed by §Intel$.,brands,True,,,False
T3153757236,Nissan,Renault,Which car is better: Renault Scala or Nissan Sunny?,"Which car is better: <span style=""color: #9A14B2; font-weight: bold"">Renault:[OBJECT_A]</span> Scala or <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> Sunny?",Which car is better: *Renault* Scala or §Nissan$ Sunny?,brands,True,,,False
R2938165370,Toyota,Nissan,Toyota or Honda will depreciate slower than a Nissan.,"<span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> or Honda will depreciate slower than a <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span>.",*Toyota* or Honda will depreciate slower than a §Nissan$.,brands,True,,,False
P2567347266,Nvidia,MSI,The MSI GeForce 8800 GTS 512MB is one of the better mid-high performance cards available for its price and fills the gap between the current generation of high-end cards and the eagerly awaited series that's soon to come from Nvidia.,"The <span style=""color: #9A14B2; font-weight: bold"">MSI:[OBJECT_A]</span> GeForce 8800 GTS 512MB is one of the better mid-high performance cards available for its price and fills the gap between the current generation of high-end cards and the eagerly awaited series that's soon to come from <span style=""color: #6CB219; font-weight: bold"">Nvidia:[OBJECT_B]</span>.",The *MSI* GeForce 8800 GTS 512MB is one of the better mid-high performance cards available for its price and fills the gap between the current generation of high-end cards and the eagerly awaited series that's soon to come from §Nvidia$.,brands,True,,,False
O2363224475,Ford,Toyota,"That Ferrari is far better than that Ford,GM,Toyota... it's way more expensive.","That Ferrari is far better than that <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span>,GM,<span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span>... it's way more expensive.","That Ferrari is far better than that *Ford*,GM,§Toyota$... it's way more expensive.",brands,True,,,False
N2201997302,Honda,BMW,Show Bikes by Make Select Category Aermacchi AJS Ariel Benelli Bimota BMW Brough Superior BSA Bultaco Cagiva DKW Ducati Gilera Greeves Harley Davidson Honda Horex Indian Kawasaki Laverda Matchless Mondial Moto Guzzi Moto Morini Motobi MV Agusta Norton NSU Panther Parilla Racycle Rickman Royal Enfield Suzuki Triumph Uncategorized Velocette Vincent Yamaha Zenith,"Show Bikes by Make Select Category Aermacchi AJS Ariel Benelli Bimota <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span> Brough Superior BSA Bultaco Cagiva DKW Ducati Gilera Greeves Harley Davidson <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span> Horex Indian Kawasaki Laverda Matchless Mondial Moto Guzzi Moto Morini Motobi MV Agusta Norton NSU Panther Parilla Racycle Rickman Royal Enfield Suzuki Triumph Uncategorized Velocette Vincent Yamaha Zenith",Show Bikes by Make Select Category Aermacchi AJS Ariel Benelli Bimota *BMW* Brough Superior BSA Bultaco Cagiva DKW Ducati Gilera Greeves Harley Davidson §Honda$ Horex Indian Kawasaki Laverda Matchless Mondial Moto Guzzi Moto Morini Motobi MV Agusta Norton NSU Panther Parilla Racycle Rickman Royal Enfield Suzuki Triumph Uncategorized Velocette Vincent Yamaha Zenith,brands,True,,,False
Q2741820476,Toyota,Chevrolet,"The Toyota Avalon Hybrid and 2014 Chevrolet Impala eAssist get better mileage still, but both combine gasoline and electric power.","The <span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> Avalon Hybrid and 2014 <span style=""color: #6CB219; font-weight: bold"">Chevrolet:[OBJECT_B]</span> Impala eAssist get better mileage still, but both combine gasoline and electric power.","The *Toyota* Avalon Hybrid and 2014 §Chevrolet$ Impala eAssist get better mileage still, but both combine gasoline and electric power.",brands,True,,,False
G983281059,Nokia,Siemens,"However, the son of Eric has been wooing Nokia Siemens with a better offer.","However, the son of Eric has been wooing <span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">Siemens:[OBJECT_B]</span> with a better offer.","However, the son of Eric has been wooing *Nokia* §Siemens$ with a better offer.",brands,True,,,False
B232414809,Sony,Intel,AMD XP 2800+ CPU w/ aftermarket cpu cooler (temps running at mid 40s) Mitsumi Mini Floppy (been swapped with a Sony mini floppy with no change in performance) Liteon 52xXXx52x CDR LG 16x DVD-ROM Maxtor Diamond MAX 80GB 8MEG IDE Drive Not even installed yet is a 56k Intel hardware controlled Modem.,"AMD XP 2800+ CPU w/ aftermarket cpu cooler (temps running at mid 40s) Mitsumi Mini Floppy (been swapped with a <span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span> mini floppy with no change in performance) Liteon 52xXXx52x CDR LG 16x DVD-ROM Maxtor Diamond MAX 80GB 8MEG IDE Drive Not even installed yet is a 56k <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> hardware controlled Modem.",AMD XP 2800+ CPU w/ aftermarket cpu cooler (temps running at mid 40s) Mitsumi Mini Floppy (been swapped with a *Sony* mini floppy with no change in performance) Liteon 52xXXx52x CDR LG 16x DVD-ROM Maxtor Diamond MAX 80GB 8MEG IDE Drive Not even installed yet is a 56k §Intel$ hardware controlled Modem.,brands,True,,,False
F824547513,Apple,Google,Google is obviously nicer than Apple.,"<span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> is obviously nicer than <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span>.",*Google* is obviously nicer than §Apple$.,brands,True,,,False
B298061489,Honda,BMW,"An expensive BMW performs better than a low-priced Honda, so shouldn't a high-cost fund deliver better returns than a low-cost one, even after taking all expenses into account?","An expensive <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span> performs better than a low-priced <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span>, so shouldn't a high-cost fund deliver better returns than a low-cost one, even after taking all expenses into account?","An expensive *BMW* performs better than a low-priced §Honda$, so shouldn't a high-cost fund deliver better returns than a low-cost one, even after taking all expenses into account?",brands,True,,,False
J1470968218,Apple,Amazon,"It's well suited for the content suite Amazon has lined up for it, which is superior to every other non-Apple tablet.","It's well suited for the content suite <span style=""color: #9A14B2; font-weight: bold"">Amazon:[OBJECT_A]</span> has lined up for it, which is superior to every other non-<span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> tablet.","It's well suited for the content suite *Amazon* has lined up for it, which is superior to every other non-§Apple$ tablet.",brands,True,,,False
F770328145,Intel,Hewlett-Packard,Founding members of the V-Alliance also include Hewlett-Packard and Intel.,"Founding members of the V-Alliance also include <span style=""color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span>.",Founding members of the V-Alliance also include *Hewlett-Packard* and §Intel$.,brands,False,,,False
E672979288,Google,IBM,"Eventually, that is exactly what people will do - leave ... If companies were countries they would realise that even with national disagreements it is better to have co-operation and respective free trade, Apple is acting like North Korea or Iran and being totally xenophobic ... As the next generation of devices they produce have no hardware from Samsung, no software from Google or Microsoft, all they need to do now is piss off Facebook, Valve and IBM and we could see a truely desolate future for Apple.","Eventually, that is exactly what people will do - leave ... If companies were countries they would realise that even with national disagreements it is better to have co-operation and respective free trade, Apple is acting like North Korea or Iran and being totally xenophobic ... As the next generation of devices they produce have no hardware from Samsung, no software from <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> or Microsoft, all they need to do now is piss off Facebook, Valve and <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span> and we could see a truely desolate future for Apple.","Eventually, that is exactly what people will do - leave ... If companies were countries they would realise that even with national disagreements it is better to have co-operation and respective free trade, Apple is acting like North Korea or Iran and being totally xenophobic ... As the next generation of devices they produce have no hardware from Samsung, no software from *Google* or Microsoft, all they need to do now is piss off Facebook, Valve and §IBM$ and we could see a truely desolate future for Apple.",brands,True,,,False
D502547673,Honda,BMW,"Coming from an unkillable and rock solid Honda Accord that I've had my entire adulthood, I'm a bit scared of reliability/cost for repair, but I'm ready for my little BMW now!","Coming from an unkillable and rock solid <span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span> Accord that I've had my entire adulthood, I'm a bit scared of reliability/cost for repair, but I'm ready for my little <span style=""color: #6CB219; font-weight: bold"">BMW:[OBJECT_B]</span> now!","Coming from an unkillable and rock solid *Honda* Accord that I've had my entire adulthood, I'm a bit scared of reliability/cost for repair, but I'm ready for my little §BMW$ now!",brands,True,,,False
J1505653341,Nikon,Leica,"I've pre-ordered a Leica M and I'm hoping that it's a camera I can use for my personal projects ... I want something small, digital .... and I want the images to ""look"" better than Canon/Nikon etc ...","I've pre-ordered a <span style=""color: #9A14B2; font-weight: bold"">Leica:[OBJECT_A]</span> M and I'm hoping that it's a camera I can use for my personal projects ... I want something small, digital .... and I want the images to ""look"" better than Canon/<span style=""color: #6CB219; font-weight: bold"">Nikon:[OBJECT_B]</span> etc ...","I've pre-ordered a *Leica* M and I'm hoping that it's a camera I can use for my personal projects ... I want something small, digital .... and I want the images to ""look"" better than Canon/§Nikon$ etc ...",brands,True,,,False
R2858014660,Ford,Nissan,"This one is easier to park in shopping malls than full-size trucks such as the Nissan Titan or Ford F-Series, yet it is almost as functional.","This one is easier to park in shopping malls than full-size trucks such as the <span style=""color: #9A14B2; font-weight: bold"">Nissan:[OBJECT_A]</span> Titan or <span style=""color: #6CB219; font-weight: bold"">Ford:[OBJECT_B]</span> F-Series, yet it is almost as functional.","This one is easier to park in shopping malls than full-size trucks such as the *Nissan* Titan or §Ford$ F-Series, yet it is almost as functional.",brands,True,,,False
O2376134421,Toyota,Honda,"That's Honda, Merc, and Toyota.","That's <span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span>, Merc, and <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span>.","That's *Honda*, Merc, and §Toyota$.",brands,False,,,False
H1125498318,Samsung,Toshiba,"If you've been wondering why your Toshiba SSD benchmarks slower than someone else's Samsung, check to see what sort of data the benchmark tool is writing to the drive.","If you've been wondering why your <span style=""color: #9A14B2; font-weight: bold"">Toshiba:[OBJECT_A]</span> SSD benchmarks slower than someone else's <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span>, check to see what sort of data the benchmark tool is writing to the drive.","If you've been wondering why your *Toshiba* SSD benchmarks slower than someone else's §Samsung$, check to see what sort of data the benchmark tool is writing to the drive.",brands,True,,,False
Q2720222648,IBM,Intel,"The SSS PTS was developed by SNIA with representatives of more than 40 solid state drive (SSD) and storage system companies including Intel, IBM and Seagate.","The SSS PTS was developed by SNIA with representatives of more than 40 solid state drive (SSD) and storage system companies including <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span> and Seagate.","The SSS PTS was developed by SNIA with representatives of more than 40 solid state drive (SSD) and storage system companies including *Intel*, §IBM$ and Seagate.",brands,True,,,False
L1825695758,Nokia,Samsung,"Not a worthy Brand.... atleast Nokia , HTC, Samsung, LG, they are better...","Not a worthy Brand.... atleast <span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span> , HTC, <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span>, LG, they are better...","Not a worthy Brand.... atleast *Nokia* , HTC, §Samsung$, LG, they are better...",brands,True,,,False
I1259538745,Microsoft,IBM,"In fact, technology giants Microsoft and IBM are expected to post better growth rates at 8.83% and 9.83%, respectively.","In fact, technology giants <span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span> are expected to post better growth rates at 8.83% and 9.83%, respectively.","In fact, technology giants *Microsoft* and §IBM$ are expected to post better growth rates at 8.83% and 9.83%, respectively.",brands,True,,,False
J1500278363,Gigabyte,Asus,Ive been told Gigabyte of Asus.,"Ive been told <span style=""color: #9A14B2; font-weight: bold"">Gigabyte:[OBJECT_A]</span> of <span style=""color: #6CB219; font-weight: bold"">Asus:[OBJECT_B]</span>.",Ive been told *Gigabyte* of §Asus$.,brands,False,,,False
A151622304,Ibuprofen,Advil,"Advil or Ibuprofen Of course, subtracting Richardson, the Brownsa?? best offensive player, may subtract victories, which makes Cleveland solid contenders to get the first pick themselves.","<span style=""color: #9A14B2; font-weight: bold"">Advil:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Ibuprofen:[OBJECT_B]</span> Of course, subtracting Richardson, the Brownsa?? best offensive player, may subtract victories, which makes Cleveland solid contenders to get the first pick themselves.","*Advil* or §Ibuprofen$ Of course, subtracting Richardson, the Brownsa?? best offensive player, may subtract victories, which makes Cleveland solid contenders to get the first pick themselves.",brands,True,,,False
S2974204258,Nikon,Leica,"Unlike the Leica 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the Nikon above.","Unlike the <span style=""color: #9A14B2; font-weight: bold"">Leica:[OBJECT_A]</span> 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the <span style=""color: #6CB219; font-weight: bold"">Nikon:[OBJECT_B]</span> above.","Unlike the *Leica* 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the §Nikon$ above.",brands,True,,,False
H1226445600,Nissan,Renault,"In 2008 Renault-Nissan signed a deal to mass-produce electric cars for an initiative in Israel with Better Place , a US company developing new non-petrolium based transport infrastructure.","In 2008 <span style=""color: #9A14B2; font-weight: bold"">Renault:[OBJECT_A]</span>-<span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> signed a deal to mass-produce electric cars for an initiative in Israel with Better Place , a US company developing new non-petrolium based transport infrastructure.","In 2008 *Renault*-§Nissan$ signed a deal to mass-produce electric cars for an initiative in Israel with Better Place , a US company developing new non-petrolium based transport infrastructure.",brands,True,,,False
K1744936439,Nokia,Samsung,"Motorola's menu design seems better than Samsung to me, but Nokia still rules the roost in interface design.","Motorola's menu design seems better than <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> to me, but <span style=""color: #6CB219; font-weight: bold"">Nokia:[OBJECT_B]</span> still rules the roost in interface design.","Motorola's menu design seems better than *Samsung* to me, but §Nokia$ still rules the roost in interface design.",brands,True,,,False
H1220189772,Google,Kingston,"I'm using mesa and xserver 9999 _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog","I'm using mesa and xserver 9999 _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, <span style=""color: #6CB219; font-weight: bold"">Kingston:[OBJECT_B]</span>, WD, Yahoo, MSI, XFX, Huawei My blog","I'm using mesa and xserver 9999 _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, *Google* etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, §Kingston$, WD, Yahoo, MSI, XFX, Huawei My blog",brands,False,,,False
O2377764718,Gigabyte,Asus,That's not to say Asus and Gigabyte have idle competition.,"That's not to say <span style=""color: #9A14B2; font-weight: bold"">Asus:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Gigabyte:[OBJECT_B]</span> have idle competition.",That's not to say *Asus* and §Gigabyte$ have idle competition.,brands,False,,,False
H1153851300,Ford,Toyota,I have owned a Ford F150 and I also think that the Toyota is a better driver and better built.,"I have owned a <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span> F150 and I also think that the <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span> is a better driver and better built.",I have owned a *Ford* F150 and I also think that the §Toyota$ is a better driver and better built.,brands,True,,,False
K1604521684,Apple,Sony,Last time I checked Apple had 3% market share (Personal Computers) Sony does better.,"Last time I checked <span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> had 3% market share (Personal Computers) <span style=""color: #6CB219; font-weight: bold"">Sony:[OBJECT_B]</span> does better.",Last time I checked *Apple* had 3% market share (Personal Computers) §Sony$ does better.,brands,True,,,False
S3019188701,Ferrari,Renault,Watch Renault and Ferrari this year.,"Watch <span style=""color: #9A14B2; font-weight: bold"">Renault:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ferrari:[OBJECT_B]</span> this year.",Watch *Renault* and §Ferrari$ this year.,brands,False,,,False
H1175106741,Sigma,Nikon,"I know the Nikon 200-400mm f/4 AF-s works great, has VR and zooms much faster (and directly), while this Sigma zooms electrically.","I know the <span style=""color: #9A14B2; font-weight: bold"">Nikon:[OBJECT_A]</span> 200-400mm f/4 AF-s works great, has VR and zooms much faster (and directly), while this <span style=""color: #6CB219; font-weight: bold"">Sigma:[OBJECT_B]</span> zooms electrically.","I know the *Nikon* 200-400mm f/4 AF-s works great, has VR and zooms much faster (and directly), while this §Sigma$ zooms electrically.",brands,True,,,False
C356047712,Nike,Adidas,"As for apparel, what better than wearing the clothing that top tour players wear such as Oakley  Puma,  Nike, Callaway, and Adidas .","As for apparel, what better than wearing the clothing that top tour players wear such as Oakley  Puma,  <span style=""color: #9A14B2; font-weight: bold"">Nike:[OBJECT_A]</span>, Callaway, and <span style=""color: #6CB219; font-weight: bold"">Adidas:[OBJECT_B]</span> .","As for apparel, what better than wearing the clothing that top tour players wear such as Oakley  Puma,  *Nike*, Callaway, and §Adidas$ .",brands,True,,,False
B231859416,Google,Amazon,Amazon has the superior strategy over Google.,"<span style=""color: #9A14B2; font-weight: bold"">Amazon:[OBJECT_A]</span> has the superior strategy over <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span>.",*Amazon* has the superior strategy over §Google$.,brands,True,,,False
K1744915771,Samsung,Motorola,Motorola is no different from Samsung.,"<span style=""color: #9A14B2; font-weight: bold"">Motorola:[OBJECT_A]</span> is no different from <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span>.",*Motorola* is no different from §Samsung$.,brands,False,,,False
D506177345,Intel,Hewlett-Packard,"Companies headquartered in Silicon Valley include Intel, Hewlett-Packard, Apple, Cisco, Google, Oracle, and Yahoo.","Companies headquartered in Silicon Valley include <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Hewlett-Packard:[OBJECT_B]</span>, Apple, Cisco, Google, Oracle, and Yahoo.","Companies headquartered in Silicon Valley include *Intel*, §Hewlett-Packard$, Apple, Cisco, Google, Oracle, and Yahoo.",brands,False,,,False
