id,a,b,raw_text,text_html,text_readable,type,marker,label_gold,label_gold_reason,_golden
K1640432453,Java,Groovy,"Lo and behold, the same code runs 280 times slower when compiled as a Groovy class than its Java counterpart.","Lo and behold, the same code runs 280 times slower when compiled as a <span style=""color: #9A14B2; font-weight: bold"">Groovy:[OBJECT_A]</span> class than its <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> counterpart.","Lo and behold, the same code runs 280 times slower when compiled as a *Groovy* class than its §Java$ counterpart.",compsci,True,,,False
T3257566307,Python,JavaScript,"You'll also find significantly better tooling for Web development with ASP.Net, as well as better support for JavaScript, HTML, CSS, and Python editing and debugging.","You'll also find significantly better tooling for Web development with ASP.Net, as well as better support for <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span>, HTML, CSS, and <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> editing and debugging.","You'll also find significantly better tooling for Web development with ASP.Net, as well as better support for *JavaScript*, HTML, CSS, and §Python$ editing and debugging.",compsci,True,,,False
N2215830499,USB,Bluetooth,"Since you'll need a USB for your keyboard and mouse (unless you use Bluetooth), you might be wiser to use firewire readers.","Since you'll need a <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> for your keyboard and mouse (unless you use <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span>), you might be wiser to use firewire readers.","Since you'll need a *USB* for your keyboard and mouse (unless you use §Bluetooth$), you might be wiser to use firewire readers.",compsci,True,,,False
N2120512467,Ruby,Python,Ruby is far slower than Python in general (though it is far more comparable of late).,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is far slower than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> in general (though it is far more comparable of late).",*Ruby* is far slower than §Python$ in general (though it is far more comparable of late).,compsci,True,,,False
T3184751290,Windows XP,Windows 8,"Windows XP / Windows Vista SP 2 / Windows 7 or Windows 8 Processor: Intel Core 2 Duo 2.8GHz CPU equivalent or better Memory: 2GB RAM or more Video: GeForce 8800 or ATI Radeon HD 2900GT or better, 512MB+ video ram","<span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> / Windows Vista SP 2 / Windows 7 or <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> Processor: Intel Core 2 Duo 2.8GHz CPU equivalent or better Memory: 2GB RAM or more Video: GeForce 8800 or ATI Radeon HD 2900GT or better, 512MB+ video ram","*Windows XP* / Windows Vista SP 2 / Windows 7 or §Windows 8$ Processor: Intel Core 2 Duo 2.8GHz CPU equivalent or better Memory: 2GB RAM or more Video: GeForce 8800 or ATI Radeon HD 2900GT or better, 512MB+ video ram",compsci,True,,,False
L1923137616,Java,Smalltalk,OO in Ruby or Smalltalk is very different than OO in C# or Java.,"OO in Ruby or <span style=""color: #9A14B2; font-weight: bold"">Smalltalk:[OBJECT_A]</span> is very different than OO in C# or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",OO in Ruby or *Smalltalk* is very different than OO in C# or §Java$.,compsci,False,,,False
S3114283329,Ruby,Python,What's better about Ruby than Python?,"What's better about <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>?",What's better about *Ruby* than §Python$?,compsci,True,,,False
T3228617265,USB,Ethernet,Yes the re-image process is slower over wireless but still is better then trying to use a USB to Ethernet Adapter on large numbers of machines.,"Yes the re-image process is slower over wireless but still is better then trying to use a <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> to <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span> Adapter on large numbers of machines.",Yes the re-image process is slower over wireless but still is better then trying to use a *USB* to §Ethernet$ Adapter on large numbers of machines.,compsci,True,,,False
H1178653943,Java,Objective-C,"I like Java better than Objective-C, and any coding practice you gain will be more widely applicable.","I like <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> better than <span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span>, and any coding practice you gain will be more widely applicable.","I like *Java* better than §Objective-C$, and any coding practice you gain will be more widely applicable.",compsci,True,,,False
G1014774100,CUDA,OpenCL,"I am pretty sure that NVIDIA has implemented a slow down on OpenCL to make CUDA looks stronger because, as you said as well, "" it's the compiler (and the programmer) which makes it faster.","I am pretty sure that NVIDIA has implemented a slow down on <span style=""color: #9A14B2; font-weight: bold"">OpenCL:[OBJECT_A]</span> to make <span style=""color: #6CB219; font-weight: bold"">CUDA:[OBJECT_B]</span> looks stronger because, as you said as well, "" it's the compiler (and the programmer) which makes it faster.","I am pretty sure that NVIDIA has implemented a slow down on *OpenCL* to make §CUDA$ looks stronger because, as you said as well, "" it's the compiler (and the programmer) which makes it faster.""",compsci,True,,,False
O2309315480,Swift,Objective-C,Strong knowledge of Objective-C / Swift,"Strong knowledge of <span style=""color: #9A14B2; font-weight: bold"">Objective-C:[OBJECT_A]</span> / <span style=""color: #6CB219; font-weight: bold"">Swift:[OBJECT_B]</span>",Strong knowledge of *Objective-C* / §Swift$,compsci,False,,,False
F850961288,Python,Haskell,Haskell is -- in my experience at least -- harder to learn than Python.,"<span style=""color: #9A14B2; font-weight: bold"">Haskell:[OBJECT_A]</span> is -- in my experience at least -- harder to learn than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.",*Haskell* is -- in my experience at least -- harder to learn than §Python$.,compsci,True,,,False
T3184120351,Java,Perl,"Win32 Scripting: Whether it's VBS, Java, Perl, command line, Python, Rexx or Kixstart, you are going to find a decent sample here.","Win32 Scripting: Whether it's VBS, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>, command line, Python, Rexx or Kixstart, you are going to find a decent sample here.","Win32 Scripting: Whether it's VBS, *Java*, §Perl$, command line, Python, Rexx or Kixstart, you are going to find a decent sample here.",compsci,True,,,False
L1843658284,Java,Python,"Now for some reason the more I learn Python, the faster I can do things in Java.","Now for some reason the more I learn <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, the faster I can do things in <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.","Now for some reason the more I learn *Python*, the faster I can do things in §Java$.",compsci,True,,,False
H1214304348,USB,Bluetooth,"Improved: support for USB Bluetooth adapters, including better detection and correct name display","Improved: support for <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> adapters, including better detection and correct name display","Improved: support for *USB* §Bluetooth$ adapters, including better detection and correct name display",compsci,True,,,False
I1295513478,OpenGL,Direct3D,Intel's drivers tend to work better with Direct3D rather than OpenGL on Windows.,"Intel's drivers tend to work better with <span style=""color: #9A14B2; font-weight: bold"">Direct3D:[OBJECT_A]</span> rather than <span style=""color: #6CB219; font-weight: bold"">OpenGL:[OBJECT_B]</span> on Windows.",Intel's drivers tend to work better with *Direct3D* rather than §OpenGL$ on Windows.,compsci,True,,,False
D550500150,Oracle,MySQL,"Database :MySQL,Msaccess,Oracle.","Database :<span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span>,Msaccess,<span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span>.","Database :*MySQL*,Msaccess,§Oracle$.",compsci,False,,,False
R2848866556,Java,Scala,"This is where Scala stops being a better Java, in the sense Groovy is, and becomes its own language.","This is where <span style=""color: #9A14B2; font-weight: bold"">Scala:[OBJECT_A]</span> stops being a better <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, in the sense Groovy is, and becomes its own language.","This is where *Scala* stops being a better §Java$, in the sense Groovy is, and becomes its own language.",compsci,True,,,False
G1019098628,Java,Perl,I and nearly everybody knows C++ is way faster than Java and Perl & CGI is even more faster than every other language.,"I and nearly everybody knows C++ is way faster than <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> & CGI is even more faster than every other language.",I and nearly everybody knows C++ is way faster than *Java* and §Perl$ & CGI is even more faster than every other language.,compsci,True,,,False
R2830119915,Java,Perl,"This invention allows programmers to develop software codes faster and easier, and enables lines of code to be embedded in the code of another language, such as HTML, Java, or Perl.","This invention allows programmers to develop software codes faster and easier, and enables lines of code to be embedded in the code of another language, such as HTML, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, or <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>.","This invention allows programmers to develop software codes faster and easier, and enables lines of code to be embedded in the code of another language, such as HTML, *Java*, or §Perl$.",compsci,True,,,False
O2373450650,MySQL,PostgreSQL,":-) That said, MySQL still doesn't handle parallel load nearly as well as PostgreSQL, it's just better than it once was.",":-) That said, <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> still doesn't handle parallel load nearly as well as <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span>, it's just better than it once was.",":-) That said, *MySQL* still doesn't handle parallel load nearly as well as §PostgreSQL$, it's just better than it once was.",compsci,True,,,False
N2158567265,Swift,Objective-C,"Senior iOS Developer - iOS Development, Objective-C, Swift...","Senior iOS Developer - iOS Development, <span style=""color: #9A14B2; font-weight: bold"">Objective-C:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Swift:[OBJECT_B]</span>...","Senior iOS Developer - iOS Development, *Objective-C*, §Swift$...",compsci,False,,,False
L1886222908,Ethernet,Bluetooth,"Once again, the console will have wireless networking support built in, gigabit Ethernet, Bluetooth connectivity, a ""large"" hard drive, and a much faster 6x Blu-ray drive, with the other interesting new addition being high speed USB 3.0 instead of the slower and more common USB 2.","Once again, the console will have wireless networking support built in, gigabit <span style=""color: #9A14B2; font-weight: bold"">Ethernet:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> connectivity, a ""large"" hard drive, and a much faster 6x Blu-ray drive, with the other interesting new addition being high speed USB 3.0 instead of the slower and more common USB 2.","Once again, the console will have wireless networking support built in, gigabit *Ethernet*, §Bluetooth$ connectivity, a ""large"" hard drive, and a much faster 6x Blu-ray drive, with the other interesting new addition being high speed USB 3.0 instead of the slower and more common USB 2.",compsci,True,,,False
G979528215,PHP,Perl,However recently the support for integrating PHP and Perl has become significantly better.,"However recently the support for integrating <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> has become significantly better.",However recently the support for integrating *PHP* and §Perl$ has become significantly better.,compsci,True,,,False
G984840942,Ruby,Python,"However, VisualWorks Smalltalk is almost twice as fast as Python which is faster than Perl which is faster than Ruby.","However, VisualWorks Smalltalk is almost twice as fast as <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> which is faster than Perl which is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>.","However, VisualWorks Smalltalk is almost twice as fast as *Python* which is faster than Perl which is faster than §Ruby$.",compsci,True,,,False
F835980083,Java,Groovy,Groovy comes out of the box with a better Date object than standard Java.,"<span style=""color: #9A14B2; font-weight: bold"">Groovy:[OBJECT_A]</span> comes out of the box with a better Date object than standard <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",*Groovy* comes out of the box with a better Date object than standard §Java$.,compsci,True,,,False
H1184992533,Python,PHP,I'll wager that this will prove remarkably faster than having Python or PHP stream the data directly (it seems like it is faster than my browser).,"I'll wager that this will prove remarkably faster than having <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> stream the data directly (it seems like it is faster than my browser).",I'll wager that this will prove remarkably faster than having *Python* or §PHP$ stream the data directly (it seems like it is faster than my browser).,compsci,True,,,False
F850965356,Java,Smalltalk,"Haskell, Smalltalk, Java, .. -backed companies, that would","Haskell, <span style=""color: #9A14B2; font-weight: bold"">Smalltalk:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, .. -backed companies, that would","Haskell, *Smalltalk*, §Java$, .. -backed companies, that would",compsci,False,,,False
T3184472602,Windows 7,Windows 8,"Windows 8 is just plain faster than Windows 7 , he says.","<span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> is just plain faster than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> , he says.","*Windows 8* is just plain faster than §Windows 7$ , he says.",compsci,True,,,False
P2583431389,Ethernet,Bluetooth,"The notebooks are equipped with 512MB or 1GB (Windows XP version only, model AOA150-1570) of PC2-5300 (DDR2 667MHz) memory, 8GB solid state drive (Linux version, model AOA110-1722), 120GB hard disk drive (Windows XP version, model AOA150-1570), memory card reader, 1.3MP webcam, Ethernet controller, Wi-Fi controller, Bluetooth controller, audio outputs, USB ports and so on.","The notebooks are equipped with 512MB or 1GB (Windows XP version only, model AOA150-1570) of PC2-5300 (DDR2 667MHz) memory, 8GB solid state drive (Linux version, model AOA110-1722), 120GB hard disk drive (Windows XP version, model AOA150-1570), memory card reader, 1.3MP webcam, <span style=""color: #9A14B2; font-weight: bold"">Ethernet:[OBJECT_A]</span> controller, Wi-Fi controller, <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> controller, audio outputs, USB ports and so on.","The notebooks are equipped with 512MB or 1GB (Windows XP version only, model AOA150-1570) of PC2-5300 (DDR2 667MHz) memory, 8GB solid state drive (Linux version, model AOA110-1722), 120GB hard disk drive (Windows XP version, model AOA150-1570), memory card reader, 1.3MP webcam, *Ethernet* controller, Wi-Fi controller, §Bluetooth$ controller, audio outputs, USB ports and so on.",compsci,True,,,False
Q2654999678,Java,Haskell,"There is a real, major benefit of using Java over other languages, such as C or Haskell or Smalltalk, which is this: it lets you work with other mediocre programmers, and has limitations that prevents them from doing anything too crazy.","There is a real, major benefit of using <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> over other languages, such as C or <span style=""color: #6CB219; font-weight: bold"">Haskell:[OBJECT_B]</span> or Smalltalk, which is this: it lets you work with other mediocre programmers, and has limitations that prevents them from doing anything too crazy.","There is a real, major benefit of using *Java* over other languages, such as C or §Haskell$ or Smalltalk, which is this: it lets you work with other mediocre programmers, and has limitations that prevents them from doing anything too crazy.",compsci,True,,,False
S2948221526,Eclipse,NetBeans,"Try: JDeveloper from Oracle, NetBeans or Eclipse.","Try: JDeveloper from Oracle, <span style=""color: #9A14B2; font-weight: bold"">NetBeans:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Eclipse:[OBJECT_B]</span>.","Try: JDeveloper from Oracle, *NetBeans* or §Eclipse$.",compsci,False,,,False
Q2666496640,USB,Ethernet,"There's a free demo that you can try using any type of network connection, including USB and Firewire, but if you decide to use it you'll get better results from a faster network connection, such as Gigabit Ethernet.","There's a free demo that you can try using any type of network connection, including <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> and Firewire, but if you decide to use it you'll get better results from a faster network connection, such as Gigabit <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span>.","There's a free demo that you can try using any type of network connection, including *USB* and Firewire, but if you decide to use it you'll get better results from a faster network connection, such as Gigabit §Ethernet$.",compsci,True,,,False
H1122750530,Java,PHP,If you're writing bad PHP code it's probably best you stick to that instead of trying to forge even worse Java or Python wouldn't you say?,"If you're writing bad <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> code it's probably best you stick to that instead of trying to forge even worse <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> or Python wouldn't you say?",If you're writing bad *PHP* code it's probably best you stick to that instead of trying to forge even worse §Java$ or Python wouldn't you say?,compsci,True,,,False
S3108011691,OpenGL,Direct3D,"What if I have an integrated Intel card that only supports OpenGL 2.1, but for some reason supports Direct3D 10, which is apparently the better ""programmable"" version?","What if I have an integrated Intel card that only supports <span style=""color: #9A14B2; font-weight: bold"">OpenGL:[OBJECT_A]</span> 2.1, but for some reason supports <span style=""color: #6CB219; font-weight: bold"">Direct3D:[OBJECT_B]</span> 10, which is apparently the better ""programmable"" version?","What if I have an integrated Intel card that only supports *OpenGL* 2.1, but for some reason supports §Direct3D$ 10, which is apparently the better ""programmable"" version?",compsci,True,,,False
M2023104034,Oracle,PostgreSQL,PostgreSQL is a better fit for most Oracle apps.,"<span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span> is a better fit for most <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span> apps.",*PostgreSQL* is a better fit for most §Oracle$ apps.,compsci,True,,,False
E720888341,Python,PHP,"First and foremost, it is written in PHP, which makes it easier to administrate and maintain than a Python-based application.","First and foremost, it is written in <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span>, which makes it easier to administrate and maintain than a <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>-based application.","First and foremost, it is written in *PHP*, which makes it easier to administrate and maintain than a §Python$-based application.",compsci,True,,,False
E659306642,Oracle,MySQL,ERP 21 Oracle MySQL MySvc,"ERP 21 <span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> MySvc",ERP 21 *Oracle* §MySQL$ MySvc,compsci,False,,,False
F810029080,Ethernet,Bluetooth,"Gigabyte X11 is based on Intel Core i-series 3000 ""Ivy Bridge"" ultra low voltage microprocessor with advanced HD 4000 graphics adapter, sports 4GB DDR3 memory onboard (cannot be upgraded), 128GB solid-state drive with Intel Rapid Start technology, USB 3.0, 1Gb Ethernet, 1.3MP webcam, Bluetooth 4.0, Wi-Fi 802.11 b/g/n, microSD slot and so on.","Gigabyte X11 is based on Intel Core i-series 3000 ""Ivy Bridge"" ultra low voltage microprocessor with advanced HD 4000 graphics adapter, sports 4GB DDR3 memory onboard (cannot be upgraded), 128GB solid-state drive with Intel Rapid Start technology, USB 3.0, 1Gb <span style=""color: #9A14B2; font-weight: bold"">Ethernet:[OBJECT_A]</span>, 1.3MP webcam, <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> 4.0, Wi-Fi 802.11 b/g/n, microSD slot and so on.","Gigabyte X11 is based on Intel Core i-series 3000 ""Ivy Bridge"" ultra low voltage microprocessor with advanced HD 4000 graphics adapter, sports 4GB DDR3 memory onboard (cannot be upgraded), 128GB solid-state drive with Intel Rapid Start technology, USB 3.0, 1Gb *Ethernet*, 1.3MP webcam, §Bluetooth$ 4.0, Wi-Fi 802.11 b/g/n, microSD slot and so on.",compsci,True,,,False
R2862199799,Java,Scala,"This problem becomes worse as hybrid languages such as Scala, Java 8 and Ruby become common.","This problem becomes worse as hybrid languages such as <span style=""color: #9A14B2; font-weight: bold"">Scala:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> 8 and Ruby become common.","This problem becomes worse as hybrid languages such as *Scala*, §Java$ 8 and Ruby become common.",compsci,True,,,False
N2243695127,Ruby,Python,"Solid programming experience in another language (JavaScript, PHP, Ruby, Python, Java, C#, C++, etc.).","Solid programming experience in another language (JavaScript, PHP, <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>, Java, C#, C++, etc.).","Solid programming experience in another language (JavaScript, PHP, *Ruby*, §Python$, Java, C#, C++, etc.).",compsci,True,,,False
N2120510232,Ruby,Python,"Ruby is 1.7 times slower than Perl, TCL is 3.3 times slower, and Python is 8.2 times slower!","<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is 1.7 times slower than Perl, TCL is 3.3 times slower, and <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> is 8.2 times slower!","*Ruby* is 1.7 times slower than Perl, TCL is 3.3 times slower, and §Python$ is 8.2 times slower!",compsci,True,,,False
A157563823,Java,Lisp,After 15+ years of C++/Java and OO we would still all be better off programming in Lisp.,"After 15+ years of C++/<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> and OO we would still all be better off programming in <span style=""color: #6CB219; font-weight: bold"">Lisp:[OBJECT_B]</span>.",After 15+ years of C++/*Java* and OO we would still all be better off programming in §Lisp$.,compsci,True,,,False
K1676263152,Python,JavaScript,Many programmers that prefer a text editor approach to coding don't gain as much from statically typed languages (like C# and Java) and so could be better off if they stick to dynamic ones like Python and JavaScript.,"Many programmers that prefer a text editor approach to coding don't gain as much from statically typed languages (like C# and Java) and so could be better off if they stick to dynamic ones like <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span>.",Many programmers that prefer a text editor approach to coding don't gain as much from statically typed languages (like C# and Java) and so could be better off if they stick to dynamic ones like *Python* and §JavaScript$.,compsci,True,,,False
D527569884,Python,Bash,Could I do this with a Bash script or would Python or Perl be a better option?,"Could I do this with a <span style=""color: #9A14B2; font-weight: bold"">Bash:[OBJECT_A]</span> script or would <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> or Perl be a better option?",Could I do this with a *Bash* script or would §Python$ or Perl be a better option?,compsci,True,,,False
H1121693507,Java,Groovy,"If you're mostly dealing with Java development, Groovy is a FAR better choice than Ruby for scripting.","If you're mostly dealing with <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> development, <span style=""color: #6CB219; font-weight: bold"">Groovy:[OBJECT_B]</span> is a FAR better choice than Ruby for scripting.","If you're mostly dealing with *Java* development, §Groovy$ is a FAR better choice than Ruby for scripting.",compsci,True,,,False
H1189579023,Swift,Objective-C,I love the Swift because it's safer and easier than Objective-C.,"I love the <span style=""color: #9A14B2; font-weight: bold"">Swift:[OBJECT_A]</span> because it's safer and easier than <span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span>.",I love the *Swift* because it's safer and easier than §Objective-C$.,compsci,False,,,False
T3193786100,Python,Haskell,"With it, you can just output longish endless lines of autocompleted method calls, but it won't all of a sudden be any easier to read and make sense of that gibberish output in the long run... That's another huge advantage of denser, compact languages like Python, Ruby, Haskell, Scheme and the likes: powerful, very high-level primitive operators and datatypes which do away for most of the need for lots of libraries providing the same...","With it, you can just output longish endless lines of autocompleted method calls, but it won't all of a sudden be any easier to read and make sense of that gibberish output in the long run... That's another huge advantage of denser, compact languages like <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, Ruby, <span style=""color: #6CB219; font-weight: bold"">Haskell:[OBJECT_B]</span>, Scheme and the likes: powerful, very high-level primitive operators and datatypes which do away for most of the need for lots of libraries providing the same...","With it, you can just output longish endless lines of autocompleted method calls, but it won't all of a sudden be any easier to read and make sense of that gibberish output in the long run... That's another huge advantage of denser, compact languages like *Python*, Ruby, §Haskell$, Scheme and the likes: powerful, very high-level primitive operators and datatypes which do away for most of the need for lots of libraries providing the same...",compsci,True,,,False
B338857000,MySQL,PostgreSQL,"Arguably, MySQL is more widely used, has more information available on the internet and is easier to use, than PostgreSQL.","Arguably, <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> is more widely used, has more information available on the internet and is easier to use, than <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span>.","Arguably, *MySQL* is more widely used, has more information available on the internet and is easier to use, than §PostgreSQL$.",compsci,True,,,False
B216956985,OpenGL,Direct3D,Also note that in most cases the Direct3D rendering performed much better then the OpenGL...,"Also note that in most cases the <span style=""color: #9A14B2; font-weight: bold"">Direct3D:[OBJECT_A]</span> rendering performed much better then the <span style=""color: #6CB219; font-weight: bold"">OpenGL:[OBJECT_B]</span>...",Also note that in most cases the *Direct3D* rendering performed much better then the §OpenGL$...,compsci,True,,,False
D524603073,Windows XP,Windows Vista,"CorelDRAW Graphics Suite X4 has been designed to take advantage of the latest innovations from Windows Vista, while still offering a superior experience for Windows XP users.","CorelDRAW Graphics Suite X4 has been designed to take advantage of the latest innovations from <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, while still offering a superior experience for <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span> users.","CorelDRAW Graphics Suite X4 has been designed to take advantage of the latest innovations from *Windows Vista*, while still offering a superior experience for §Windows XP$ users.",compsci,True,,,False
I1327252869,Swift,Objective-C,iOS (Swift&Objective-C),"iOS (<span style=""color: #9A14B2; font-weight: bold"">Swift:[OBJECT_A]</span>&<span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span>)",iOS (*Swift*&§Objective-C$),compsci,False,,,False
L1846410616,Windows 7,Windows 8,No. Windows 8 is far better than Windows 7 is on a touch device.,"No. <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> is far better than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> is on a touch device.",No. *Windows 8* is far better than §Windows 7$ is on a touch device.,compsci,True,,,False
K1636185641,CUDA,OpenCL,Lisa Su and David Cummings mentioned the OpenCL way that is the path of choice for FirePro cards and how the open compute platform provides better flexibility than CUDA and Quadro/Tesla counterparts.,"Lisa Su and David Cummings mentioned the <span style=""color: #9A14B2; font-weight: bold"">OpenCL:[OBJECT_A]</span> way that is the path of choice for FirePro cards and how the open compute platform provides better flexibility than <span style=""color: #6CB219; font-weight: bold"">CUDA:[OBJECT_B]</span> and Quadro/Tesla counterparts.",Lisa Su and David Cummings mentioned the *OpenCL* way that is the path of choice for FirePro cards and how the open compute platform provides better flexibility than §CUDA$ and Quadro/Tesla counterparts.,compsci,True,,,False
E684648381,Java,Python,"exception finally cleanup(old Java, c#, Python, as a backup/more flexible pattern in various languages with exceptions)(a bit verbose but nicer then the previous 2)","exception finally cleanup(old <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, c#, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>, as a backup/more flexible pattern in various languages with exceptions)(a bit verbose but nicer then the previous 2)","exception finally cleanup(old *Java*, c#, §Python$, as a backup/more flexible pattern in various languages with exceptions)(a bit verbose but nicer then the previous 2)",compsci,True,,,False
M1988332584,Python,PHP,"Perl's still at a decent level, on par with PHP and still above Python and...","Perl's still at a decent level, on par with <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> and still above <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> and...","Perl's still at a decent level, on par with *PHP* and still above §Python$ and...",compsci,True,,,False
H1116345476,USB,Bluetooth,"If you have to add USB dongles to get Bluetooth and wifi, it gets much uglier.","If you have to add <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> dongles to get <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> and wifi, it gets much uglier.","If you have to add *USB* dongles to get §Bluetooth$ and wifi, it gets much uglier.",compsci,True,,,False
