,caption,gold,id,idr,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
2105,,NONE,,,1.0,IBM,Apple,,,ARG,ARG,,False,119,"Rushed to market in 1983 to compete against the new IBM PC, it was so poorly designed that even Apple couldn't sell it.",
2105,,NONE,,,0.8,google,itunes,,,ARG,ARG,,False,121,"I have a google Play account - buying an app is as simple as hitting the ""buy"" button...no harder than an itunes account.",
2105,,ARG,,,0.8,OpenGL,Direct3D,,,NONE,NONE,,True,171,I have found that OpenGL games run better on Linux+Intel 3000 and Direct3D games could go either way(PlayOnLinux+Intel vs native+AMD) usually with only a 5-10% difference.,
2129,,NONE,,,1.0,michigan,oregon,,,ARG,ARG,,True,89,Will the michigan-Alabama game this September be better than last year's oregon-LSU game?,
2132,,ARG,,,1.0,Nikon,Sigma,,,NONE,NONE,,True,87,"Nikon gave to Sigma a first ""wake-up call"" with the cheaper and much better 35mm 1.8DX.",
2141,,NONE,,,1.0,ipod,iphone,,,ARG,ARG,,False,131,"Soon, there will be an MP3 player far superior to the ipod; there will be faster laptops and cells phones and a much better iphone.",
2155,,ARG,,,0.8,Java,Scala,,,NONE,NONE,,True,147,"Other JVM languages - Java is a solid od workhorse, but the real innovation is happening with the new JVM langauges (Scala, Clojure in particular).",
2169,,NONE,,,0.6,dartmouth,harvard,,,ARG,ARG,,False,156,"Sure, Princeton students are unholy monsters, the dartmouth kids are vaguely feral, and the less said about Brown students the better, but harvard and Yale?",
2170,,ARG,,,1.0,Lisp,Java,,,NONE,NONE,,True,80,"IMHO Lisp is way too heavy on the parenthesis, a Java program is easier to read.",
2175,,ARG,,,1.0,Java,Groovy,,,NONE,NONE,,True,188,"We got some developers in the team that just started coming to Java from Delphi, so they already have some work to do, and Groovy is easier for its learning curve; also, pretty productive.",
2180,,ARG,,,1.0,laptop,iphone,,,NONE,NONE,,True,94,"I can do everything faster on my laptop than any Kindle, iphone, iPad, tablet or other device.",
2187,,ARG,,,1.0,Microsoft,Dell,,,NONE,NONE,,False,129,"Otherwise, Microsoft will build hardware that better integrates with the operating software, and companies like Dell will suffer.",
2195,,NONE,,,1.0,IBM,Google,,,ARG,ARG,,True,143,"On the enterprise side, Microsoft should look at way of getting better than IBM, on the consumer side it's got Google and Yahoo to worry about.",
2201,,ARG,,,1.0,georgia,michigan,,,NONE,NONE,,True,159,"In the past ten years, auto manufacturing jobs have grown at a faster pace in transplant states like georgia, Alabama or Mississippi than they are in michigan.",
2202,,ARG,,,0.6,Windows XP,Windows 8,,,NONE,NONE,,True,232,"It would be faster to turn on Windows XP, wait 10 minutes for it to boot, and check email that way."" - TechTarget news director Bridget Botelho's husband, on the non-intuitive nature of Windows 8 on a Samsung Series 7 Slate tablet .",
2203,,ARG,,,1.0,Samsung,Nokia,,,NONE,NONE,,True,142,I traded in a much nicer Samsung cell phone for a lesser (in terms of bells and whistles) Nokia phone because I just like their layout better.,
2208,,NONE,,,1.0,stone,metal,,,ARG,ARG,,True,27,stone is harder than metal.,
2215,,ARG,,,1.0,Sony,Microsoft,,,NONE,NONE,,True,77,By the time Sony does get a foothold Microsoft will release something better.,
2215,,ARG,,,1.0,virginia,georgia,,,NONE,NONE,,True,77,"virginia coach Tony Bennett said georgia Tech is ""a better team"" this season.",
2217,,NONE,,,1.0,Nokia,Samsung,,,ARG,ARG,,True,58,"Yeah, it's much easier to compete with Nokia than Samsung.",
2224,,ARG,,,0.8,Toyota,BMW,,,NONE,NONE,,True,226,"Considering AM is alive and well on all other electric cars and hybrids from manufacturers like General Motors, Toyota, Tesla and Nissan, just to name a few, I'd say it has more to do with lousy engineering on the part of BMW.",
2225,,ARG,,,1.0,Bash,Python,,,NONE,NONE,,True,157,This idea has given me a small kick in the pants and I actually started prototyping in Bash-- but will switch back to Python because of better array support.,
2231,,NONE,,,1.0,Microsoft,IBM,,,ARG,ARG,,True,104,There are not many companies better poised to take a run at Microsoft than IBM and Sun in their heydays.,
2231,,ARG,,,1.0,juice,milk,,,NONE,NONE,,True,52,Lemon juice clabbers milk slower so it works better.,
2238,,NONE,,,1.0,Cadillac,Lexus,,,ARG,ARG,,True,247,"I love talking cars with people I work with that don't know much about them, a lincoln in their eyes is nowhere near luxury, just a ""nice car"", a Cadillac is nicer, but a real symbol of, hey, I've made it, is still in the Germans and Lexus' range.",
2238,,ARG,,,0.8,Bluetooth,USB,,,NONE,NONE,,True,111,We also plan to add Bluetooth support later but we do encourage our users to stay with USB for faster download.,
2239,,ARG,,,1.0,Windows XP,Windows Vista,,,NONE,NONE,,True,134,"Compared with Windows XP, Windows Vista does a better job of helping to prevent hostile programs and Web sites from attacking your PC.",
2240,,ARG,,,0.8,Windows XP,Windows Vista,,,NONE,NONE,,True,113,"This is Windows XP not Vista !! Windows Vista has nicer desktop than xp, because it has more additional features.",
2244,,NONE,,,0.8,BMW,Ford,,,ARG,ARG,,True,51,"Is a BMW 3 series $15,000 better than a Ford Focus?",
2249,,ARG,,,1.0,Perl,PHP,,,NONE,NONE,,True,86,"I used to use Perl or white my own CGI's in C, but PHP is so, much easier than either.",
2249,,NONE,,,1.0,Nikon,Leica,,,ARG,ARG,,True,172,"If Nikon wants to claim PRO status and quality and perhaps better than Canon, then they should be willing to go there and hit the big MP guys (Leica & Kodak's huge sensor).",
2255,,NONE,,,0.8,Buick,Cadillac,,,ARG,ARG,,True,93,The Buick is a far better driver but doesn't have the wretched excess appeal of the Cadillac.,
2262,,ARG,,,1.0,USB,Bluetooth,,,NONE,NONE,,True,67,"As the recommendation, you better use Wi-Fi and USB, not Bluetooth.",
2262,,ARG,,,1.0,dartmouth,harvard,,,NONE,NONE,,True,155,"I don't think it could've worked out any better with what happened (at dartmouth) at the end of the game up there, and then obviously our rival (harvard).""",
2274,,ARG,,,1.0,Toshiba,Samsung,,,NONE,NONE,,True,165,"A second generation is planned for the mid-year point with Toshiba flash chips replacing the Samsung ones, and a Marvell controller, possibly a faster 6Gbit/s model.",
2277,,NONE,,,0.8,Apple,Sony,,,ARG,ARG,,True,99,"We often hear that Apple ""plays the game"" better than Sony, HP, Dell, etc - that's not quite right.",
2277,,NONE,,,0.8,PHP,Ruby,,,ARG,ARG,,True,64,What if I can't find any aspect of PHP that is better than Ruby?,
2296,,NONE,,,1.0,hockey,golf,,,ARG,ARG,,False,94,"She'd like to try hockey, but her dad got her hooked on the safer alternative of golf instead.",
2297,,NONE,,,0.6,Apple,Microsoft,,,ARG,ARG,,True,106,"Worse, everything you're promoting in this ""war against Apple"" is precisely what Microsoft is doing wrong.",
2300,,ARG,,,0.4,BMW,Ford,,,NONE,NONE,,True,171,"I'm sure the dedicated winter tires help but I have found that my BMW handles better then some of my previous cars (00 Honda Accord EX-V6, 97 Ford Explorer, 96 Maxima SE).",
2301,,NONE,,,1.0,JavaScript,Python,,,ARG,ARG,,True,90,"This is better, but still you have some JavaScript code (even if simpler) in a Python/.zpt",
2312,,ARG,,,1.0,ipod,laptop,,,NONE,NONE,,True,112,When giving presentations I find it easier to carry around my ipod and A/V chord instead of a laptop and chords.,
2317,,NONE,,,0.6,Samsung,Toshiba,,,ARG,ARG,,False,168,"Other reviews have shown these new 470 series SSDs from Samsung have significantly better scores than the rest, while still competing with Toshiba on power consumption.",
2318,,ARG,,,0.8,IBM,Dell,,,NONE,NONE,,True,126,"Lenovo has done a nice job of making customizing easier since the IBM days, though they're probably still not as good as Dell.",
2326,,ARG,,,1.0,Windows 8,Windows 7,,,NONE,NONE,,True,71,"Windows 8 Developer desktop - looks like Windows 7, runs a hair faster.",
2327,,ARG,,,1.0,JavaScript,PHP,,,NONE,NONE,,True,41,Much better than JavaScript e -mails/PHP.,
2333,,ARG,,,0.8,Direct3D,OpenGL,,,NONE,NONE,,True,154,The only thing left is ditching their Direct3D stuff for OpenGL/OpenCL support to make porting games easier (which will admittedly probably never happen).,
2338,,ARG,,,1.0,california,oregon,,,NONE,NONE,,True,77,"A 5-2-1 california team went down, 27-7, then 5-1-1 oregon fell harder, 33-0.",
2347,,ARG,,,1.0,IBM,Dell,,,NONE,NONE,,True,158,"Granted, Pentium 4M was a horrible CPU platform to start with but somehow IBM pulled off a decent design based on same processor with the T30 and Dell didn't.",
2351,,NONE,,,1.0,Windows 8,Windows 7,,,ARG,ARG,,False,88,"Windows 8 is sequential successor to Windows 7. It doesn't matter which one is ""better"".",
2363,,ARG,,,1.0,Windows 7,Windows 8,,,NONE,NONE,,True,82,Ubuntu/Mint is definitely slower than Windows 7 and Windows 8 is faster than that.,
2371,,ARG,,,0.6,Smalltalk,Java,,,NONE,NONE,,False,79,Smalltalk had a nice bytecoded multi-platform virtual machine long before Java.,
2383,,ARG,,,0.8,PHP,JavaScript,,,NONE,NONE,,True,76,It'd be a lot easier (for me) in PHP but I have to use JavaScript this time.,
2396,,ARG,,,0.6,Apple,Intel,,,NONE,NONE,,True,127,Apple is reportedly planning to upgrade its current lineup of MacBook Air laptops on Tuesday with faster processors from Intel.,
2397,,NONE,,,0.6,PostgreSQL,MySQL,,,ARG,ARG,,True,149,"In general PostgreSQL is faster at complex queries with a lot of joins and such, while MySQL is faster at simple queries such as primary key look up.",
2402,,NONE,,,1.0,PostgreSQL,MySQL,,,ARG,ARG,,True,149,With this we don't want to say that PostgreSQL isn't good at many things (it is!) or that it isn't faster than MySQL Server under certain conditions.,
2409,,ARG,,,0.8,Hewlett-Packard,Dell,,,NONE,NONE,,True,179,American corporations from Lucent Technologies Inc. to Valley legend Hewlett-Packard Co. also are struggling to catch up with faster upstarts such as Cisco and Dell Computer Corp.,
2413,,ARG,,,0.6,ds,ps3,,,NONE,NONE,,True,146,"Great graphics (remember this is a ds not a ps3), sound is better then what one of the review sites suggested, nothing fantastic, but good enough.",
2419,,NONE,,,1.0,Java,PHP,,,ARG,ARG,,True,106,"Java is not losing out to PHP (and the like) due to lack of focus on the present, not inferior technology.",
1348,middle_paths_unrestricted_16,NONE,1811.0,O2374123061,0.8,Ford,BMW,lex (unique),[['X/PROPN/compound/> cts/PROPN/ROOT/^ Y/PROPN/appos/<']],,,ARG,False,348,"The Lincoln MKX is a big crossover SUV.Based on the superb Ford Edge, the luxurious MKX offers features of pricier crossovers from Acura, BMW, Infiniti, and Lexus.The MKX is a crossover utility vehicle, meaning it has the roominess and cargo capacity of an SUV but is built like a car for improved fuel economy, a smoother ride and better handling.","That same day, Catoosa County Superior Court Judge Ralph Van Pelt', 'ordered that she get possession of the three children, the house, a', 'Cadillac CTS, a Buick LeSabre, a Toyota Four Runner and all of the', ""family's guns."
1349,middle_paths_unrestricted_16,ARG,134.0,Q2671193802,0.8,Ruby,PHP,lex (unique),"[['X/PROPN/nsubj/> mount/VERB/ROOT/^ have/VERB/conj/< hope/NOUN/dobj/<', 'of/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,118,From (1) and (2) follows this question: Is it possible at all to write a web framework in Ruby that's faster than PHP?,"There's the mediocre Tamron 150-600mm that's just out (not sure if"", ""there's a Nikon mount for it yet) and I have high hopes of a Sigma"", '300-600mm announcement this year."
1350,middle_paths_unrestricted_16,ARG,830.0,S3074392058,0.5,Scala,Java,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,107,"Even without the heavy functional stuff, just as a basic OO language, Scala is far better than C++/Java/C#.","We offer superior value with free parking and outside outlets for your', 'car, bus, truck or RV, and more."
1351,middle_paths_unrestricted_16,NONE,378.0,O2358902299,1.0,beer,tea,lex (unique),[['NOPATH']],,,ARG,True,55,"Again, this is a decent beer but its not my cup of tea.","Thank you, Oracle/MySQL!"
1352,middle_paths_unrestricted_16,NONE,1618.0,L1860606467,1.0,sausage,sandwich,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,ARG,True,93,"The sausage is decent too, three kinds sold by the sandwich ($7.50) or by the pound ($15.75).",Obviously a BMW is better than a Ford.
1356,middle_paths_unrestricted_16,ARG,2364.0,F737040473,1.0,PHP,Java,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,80,"Hi, I use PHP validation for my sites it is better then Java script validation ?","For all you people who think that Pepsi is WAY better than Coca-Cola,', 'you will find your beverage of choice as well."
1360,middle_paths_unrestricted_16,ARG,692.0,B306428226,1.0,ps2,psp,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/npadvmod/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/npadvmod/<'], ['X/PROPN/ROOT/^ others/NOUN/conj/V Y/PROPN/npadvmod/<'], ['X/PROPN/ROOT/^ sell/VERB/relcl/V Y/PROPN/npadvmod/<'], ['X/PROPN/ROOT/^ maybe/ADV/advmod/V Y/PROPN/npadvmod/<']]",,,NONE,True,87,-This maybe works too in the ps2 version but it will be harder than on the psp version.,"Another issues is that IBM, Intel and others they sell c++ compilers', 'too so they are not so interested to invest too much in g++ maybe', 'Google have some interest in it who knows (to make it better)"
1361,middle_paths_unrestricted_16,ARG,2296.0,M1938521224,1.0,Chevrolet,Toyota,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,False,300,"And until Chevrolet can make a better vehicle than Kia or Toyota, I will be driving an inferior vehcile because I buy American when I can.I for one abhor the idea of a global economy and a global government but with the forces pushing us in that direction, I am still looking for ways to fend it off.","Other disappointments: Yahoo, Motorola, Nokia, WaMu."
1363,middle_paths_unrestricted_16,NONE,2387.0,D550500150,1.0,MSI,Nvidia,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ msaccess/PROPN/conj/V Y/PROPN/conj/<']]",,,ARG,True,191,"Interestingly enough, during a recent visit to their HQ in Taiwan, MSI told TweakTown that they ""would probably end up adding the world's first powerless air cooler to an Nvidia motherboard.""","Database :MySQL,Msaccess,Oracle."
1364,middle_paths_unrestricted_16,NONE,1833.0,S3032003774,1.0,Swift,Objective-C,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ champion/NOUN/attr/< need/VERB/relcl/<', 'since/ADP/cc/< Y/PROPN/pobj/<']]",,,ARG,False,73,I have Swift Framework project that uses the KissXML Objective-C library.,"We at Dell have been champions of the message that companies need to', 'switch from Windows XP ever since Microsoft announced that it would be', 'dis continuing support for the platform, not only for the superior', 'features that Windows 7 and Windows 8 bring to the enterprise that', 'help to increase productivity and make life easier on the IT', 'department from the management perspective."
1365,middle_paths_unrestricted_16,ARG,2103.0,T3283936171,1.0,football,basketball,lex (unique),[['X/PROPN/compound/> Y/PROPN/ROOT/^']],,,NONE,False,84,the football team is decent but getting better! the basketball teams are awesome!the,"Zain Kuwait has deployed Nokia Siemens Networks' Customer Experience"", 'Management (CEM), to introduce a superior service experience for its', 'mobile broadband customers."
1367,middle_paths_unrestricted_16,ARG,3.0,N2253739526,1.0,Perl,Java,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/advcl/<'], ['X/PROPN/ROOT/^ even/ADV/advmod/V Y/PROPN/advcl/<'], ['X/PROPN/ROOT/^ though/ADP/mark/V Y/PROPN/advcl/<']]",,,NONE,False,110,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,"Some people like to drive a BMW, even though a Toyota would get them', 'around and handle their needs just as well - they have the money, and', ""want the nicer car, even if they don't use 50% of the car's ability."
1368,middle_paths_unrestricted_16,ARG,733.0,J1544980986,0.8,pistol,rifle,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,82,One was for pistol barrels and one with a much slower twist was for rifle barrels.,"Java, C#, Ruby)."
1369,middle_paths_unrestricted_16,ARG,1234.0,G959023668,0.6,oregon,michigan,lex (unique),[['X/PROPN/nsubj/> have/VERB/ROOT/^ acura/PROPN/dobj/< Y/PROPN/conj/<']],,,NONE,False,153,"Expect enhanced chances of near normal temperatures in Washington, oregon, and western Indiana and cooler than normal in michigan and northern Wisconsin.","Honda has Acura, Nissan and Infinity."
1371,middle_paths_unrestricted_16,ARG,79.0,D455085008,1.0,Apple,Sony,lex (unique),[['NOPATH']],,,NONE,False,121,"I mean, when you really analyze it, is the Apple iPod really that much superior to an mp3 player from, for example, Sony?","- CASE: Cooler Master CSX Blue Flame - PROCESSOR: Intel® Core i7-2600K', '- MOBO: Gigabyte GA-Z6X-UD4-B3 - GPU: GTX680 - RAMS: Corsair Domnator', '8GB (4 x 2 GB) 2000 MHz Quad Channel DDR3 - HDD: 256 GB SSD - OPTICAL:', 'Sony optiarc AD-7670S"
1373,middle_paths_unrestricted_16,NONE,1770.0,L1854738548,0.8333333333333334,Intel,Google,lex (unique),"[['X/PROPN/nsubj/> use/VERB/ROOT/^ linux/NOUN/dobj/< version/NOUN/conj/<', 'of/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> me/PROPN/conj/V use/VERB/ROOT/^ linux/NOUN/dobj/<', 'version/NOUN/conj/< of/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,True,275,"I found the better CPU (the CR-48 has a single core Intel Atom processor, the commercial units have dual-core Atoms) and improved trackpad made a huge difference and the Acer has become a favorite web-surfing, Google Docs-writing, Flash-game playing machine around our house.","Now you will be able to read contents of this website and many other', 'urdu web sites on your computer, if you can not Please get rid of', 'Windows 98,Windows Me and Windows 2000 instead use linux or any', 'version of Windows XP or heigher along with internet explorer 6.0 or', 'above, better choice is firefox."
1374,middle_paths_unrestricted_16,ARG,612.0,I1263544076,0.8,wii,ps2,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,False,197,I agree with the above mentioned statement of getting a wii if you just want to have fun and look at mediocre graphics or better yet a ps2 which has tons of games with decent graphics and gameplay.,"In general, domestic models depreciate faster than certain foreign', 'nameplates (Honda, Toyota, Nissan) and slower than others (Hyundai,', 'Kia)."
1375,middle_paths_unrestricted_16,ARG,2357.0,P2521078074,1.0,Chrysler,Toyota,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",,,NONE,True,173,"They had a wonderful run over at Chrysler with a far superior total package (combined salary, healthcare, and pension) than their counterparts at the Toyota U.S. facilities.","the imagined savior is far easier to paint is available on itunes and', 'amazon ."
1377,middle_paths_unrestricted_16,ARG,398.0,K1662985797,1.0,Apple,Dell,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<']]",,,NONE,False,87,"Since then I've gone through the Apple Cinema, then on to the bigger and better Dell :)",Magnesium is a light weight harder metal than aluminum.
1379,middle_paths_unrestricted_16,ARG,1737.0,S2981180141,1.0,Python,Java,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",,,NONE,False,68,(Whether that makes Ruby and Python better than Java is subjective.),"U.S. and European stocks rose on Wednesday on solid earnings from IBM', ""and Google, but Apple, the world's largest technology company,"", 'reported quarterly revenue that slightly missed Wall Street', 'expectations as sales of its flagship iPhone came in below target,', 'sending its shares down more than 10 percent in after-hours trading."
1380,middle_paths_unrestricted_16,ARG,1164.0,L1754048593,1.0,Google,Apple,lex (unique),[['X/PROPN/compound/> video/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,130,"Specifically, Gibson suggests, Google is getting better at gadget design faster than Apple is getting better at Internet services.",Much better than google Video or youtube.
1382,middle_paths_unrestricted_16,ARG,741.0,N2162215932,0.6,wood,cardboard,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ asp/PROPN/conj/V Y/PROPN/conj/<']]",,,NONE,True,83,Light weight wood or one of the various board substitutes is better than cardboard.,"Server side (PHP,ASP,Java,etc) is probably a better way to go."
1384,middle_paths_unrestricted_16,NONE,1072.0,K1666840077,1.0,california,oregon,lex (unique),[['NOPATH']],,,ARG,True,116,"After california, the next most important states for wine are oregon and Washington in the cooler Pacific Northwest.",make sure you have a decent toy knife and a 45. pistol.
1385,middle_paths_unrestricted_16,ARG,470.0,R2852498689,0.8,PHP,Java,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ .net/PROPN/conj/V Y/PROPN/pobj/<']]",,,NONE,True,96,"PHP makes it a bit faster to code than, for instance Java however easier... i wouldn't say that.","This makes the interaction with the Neo4j graph database from PHP,', '.NET and other languages like Perl a lot easier."
1387,middle_paths_unrestricted_16,ARG,935.0,F833232195,0.6,wii,gamecube,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,86,The wii was mostly built using faster but nearly identical processors as the gamecube.,"GREAT swimming, fishing, KAYAKING!"
1388,middle_paths_unrestricted_16,ARG,1656.0,M1984777351,0.8,beer,tea,lex (unique),"[['X/PROPN/nsubj/> work/VERB/ROOT/^ with/ADP/prep/< factor/NOUN/pobj/<', 'performance/NOUN/conj/< than/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,60,"Hops is also used in beer, which tastes better than the tea.","Performance comparison studies revealed that CUDA works with an', 'approximate factor of %10 better performances than OpenCL on the same', 'NVidia card which can be neglected for the freedom gained for working', 'on cross processor availability."
1389,middle_paths_unrestricted_16,ARG,1756.0,K1622314482,1.0,pistol,rifle,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,64,pistol/shotgun powder are much faster burning that rifle powder.,"Let's take inventory, Chris...Romo is better at football, golf, and"", 'getting chicks than you could ever hope to be."
1390,middle_paths_unrestricted_16,ARG,1187.0,R2938103220,0.6,california,carolina,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",,,NONE,True,73,california is a much harder place to practice law than is South carolina.,Toyota and Honda have bailed.
1391,middle_paths_unrestricted_16,NONE,1093.0,O2279121415,1.0,Apple,Google,lex (unique),"[['X/PROPN/nsubj/> get/VERB/ROOT/^ catch/VERB/advcl/< with/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,ARG,False,51,Apple has to do this to better compete with Google.,"So, yes, PHP is getting better and better while catching up with Java."
1392,middle_paths_unrestricted_16,ARG,663.0,A132707689,1.0,Microsoft,Apple,lex (unique),"[['X/PROPN/amod/> sale/NOUN/nsubj/> sale/NOUN/ROOT/^ Y/PROPN/npadvmod/<'], ['X/PROPN/amod/> sale/NOUN/nsubj/> sale/NOUN/ROOT/^ sell/VERB/amod/V', 'Y/PROPN/npadvmod/<']]",,,NONE,False,85,If any company is behaving even worse than Microsoft at it's market peak it is Apple.,"ACME, Mich. - General Motors Co., facing disappointing Chevrolet Volt', 'sales, cut the starting price of the plug-in hybrid sedan by $5,000 to', 'compete against the less- expensive and better-selling Toyota Prius', 'and Nissan Leaf."
1394,middle_paths_unrestricted_16,ARG,1293.0,D440724593,0.8,tennis,baseball,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",,,NONE,False,179,"Now, tennis is the better sport because you have to run around a lot and be in better shape to play and is more aggressive, but in the case you described baseball would be harder.","california and oregon and the solid democratic states are going to be', 'democratic anyway."
1395,middle_paths_unrestricted_16,NONE,2289.0,Q2682781132,0.8,baseball,tennis,lex (unique),[['X/PROPN/compound/> escape/PROPN/ROOT/^ Y/PROPN/conj/<']],,,ARG,False,97,"In baseball the record was 14-13, and apparently the golf and tennis record was equally mediocre.","The Rogue offers better mpg compared to its rivals, including the', 'Honda CR-V, Ford Escape and Toyota RAV4."
1397,middle_paths_unrestricted_16,ARG,991.0,Q2764797032,0.6,Sony,Apple,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/appos/<']],,,NONE,True,91,I totally agree with your conclusion that Sony products are better off tham Apple products.,"The word ""wood,"" rubber stamped poorly onto paper towels?"
1399,middle_paths_unrestricted_16,ARG,1425.0,B232332091,0.8,Python,Perl,lex (unique),"[['X/PROPN/compound/> athlon/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/compound/> athlon/PROPN/ROOT/^ 600w/PROPN/compound/V', 'Y/PROPN/appos/<'], ['X/PROPN/compound/> athlon/PROPN/ROOT/^ psu/PROPN/compound/V', 'Y/PROPN/appos/<']]",,,NONE,False,98,It's more explicit and faster (especially since regex in Python is not super optimized like Perl).,"AMD Athlon 64 3200+ Venice Gigabyte GA-K8N51-GMF9 Motherboard (Nforce', '430/Geforce 6100) 1 GB DDR400 RAM MSI X1800XT 512 MB graphics Cooler', 'master 600W PSU Samsung Syncmaster 793s 17"" CRT display OS: Fedora', 'core 6 x86, Ubuntu Feisty fawn x64"
1400,middle_paths_unrestricted_16,ARG,2322.0,M2050174902,1.0,USB,Bluetooth,lex (unique),"[['X/PROPN/compound/> crimson/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/compound/> crimson/PROPN/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",,,NONE,False,103,"Not too big a deal, as USB is the faster connection method when compared against Bluetooth 1.2, anyway.","Publishers like TechCrunch, VentureBeat, The harvard Crimson, and The', 'stanford Daily use Personforce job boards to better monetize their', 'audience."
1401,middle_paths_unrestricted_16,ARG,202.0,E614094426,1.0,Integer,Floating-point,lex (unique),"[['X/PROPN/compound/> be/VERB/ROOT/^ be/VERB/advcl/< for/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,180,This can skew expectations because an implementation may perform very well on Integer math and considerably worse on Floating-point math due to the objects created (and collected).,"Driver suppport for Windows Vista x64 and Windows 7 x64 is certainly', 'much better than it was for Windows XP x64 Edition."
1403,middle_paths_unrestricted_16,NONE,151.0,M2054206661,1.0,Ethernet,USB,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ language/NOUN/appos/V Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ common/PROPN/compound/V Y/PROPN/appos/<']]",,,ARG,True,97,This means Better Together over Ethernet should work like USB Better Together from UI perspective,"Python , the best language a business can use without risking the lack', ""of programmers ( Common Lisp is better, but I don't know anyone who"", 'knows it except for me)"
1404,middle_paths_unrestricted_16,ARG,701.0,T3220195962,0.8,Floating-point,Integer,lex (unique),[['X/PROPN/nsubj/> dominate/VERB/ROOT/^ Y/PROPN/conj/<']],,,NONE,False,154,"ARM has historically been weak at Floating-point arithmetic, but I'm under the impression that ARM might do better per watt on Integer workloads than x86.","Yamaha and Honda dominate the top three, but BMW also have a solid', 'footing in the top 10, with four models featured, including the', 'S1000RR, with over 1,000 unit sales."
1405,middle_paths_unrestricted_16,ARG,1935.0,D394257774,0.8,Amazon,Microsoft,lex (unique),[['NOPATH']],,,NONE,True,158,"As far as buy back concern, I believe Amazon is offering better deals then even the Microsoft croperate trade in program, especially for win8 tablets and etc.",But in low traffic sites MySQL/PostgreSQL is better.
1407,middle_paths_unrestricted_16,ARG,1603.0,E635911772,1.0,Direct3D,OpenGL,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,169,"The MS-product which is handling the game proper is DirectX/Direct3D, which is pretty damn decent and generally regarded as the best there is (the competitor is OpenGL).","Eclipse, NetBeans) 46% Databases (e.g."
